step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells
10000,0,721,7.53,0.00,0.04,0.01,7.49,0.00,1.00,0.000,0.062,415932.2,22199.8,3,53,2.64,1.00,1.00,3.4441,6.99,112036.8,0.0004,35.9423,5462
10000,1,621,7.51,0.00,0.01,0.00,7.51,0.00,1.00,0.000,0.053,385264.7,22367.2,3,72,2.54,1.00,1.00,3.4041,4.49,25281.7,4.4167,33.0769,5461
10000,2,4,6.25,0.00,0.00,0.00,6.25,0.00,1.00,0.000,0.000,120814.3,19962.6,2,4,2.00,1.00,1.00,3.1669,0.46,1.7,42.1042,7.6497,5461
20000,0,749,7.08,0.00,0.00,0.00,7.08,0.00,1.00,0.000,0.060,376070.3,3946.3,2,86,2.56,1.00,1.00,0.4455,8.29,113019.4,0.0000,36.4452,5462
20000,1,620,7.27,0.01,0.01,0.01,7.24,0.00,1.00,0.000,0.052,316053.3,3362.8,2,69,2.52,1.00,1.00,0.3854,2.90,24317.6,8.4128,30.8756,5461
20000,2,3,5.33,0.00,0.00,0.00,5.33,0.00,1.00,0.000,0.000,1871.4,22.8,1,3,2.00,1.00,1.00,0.0067,0.50,1.2,54.3136,0.1878,5461
30000,0,750,7.23,0.02,0.01,0.01,7.19,0.00,1.00,0.000,0.062,375491.4,4141.7,3,63,2.51,1.00,1.01,0.4697,5.90,113108.4,0.0000,36.3891,5462
30000,1,623,7.44,0.00,0.00,0.00,7.44,0.00,1.00,0.000,0.053,314508.0,3339.3,3,61,2.52,1.00,1.00,0.3835,3.22,24216.9,8.6015,30.7363,5461
30000,2,4,8.00,0.00,0.00,0.00,8.00,0.00,1.00,0.000,0.000,1166.2,13.9,2,4,2.75,1.00,1.00,0.0045,0.21,1.3,54.4264,0.1153,5461
40000,0,765,7.24,0.00,0.00,0.00,7.24,0.00,1.00,0.000,0.063,375437.3,4211.6,4,63,2.53,1.00,1.00,0.4795,3.20,113098.1,0.0000,36.3982,5462
40000,1,633,7.54,0.00,0.01,0.00,7.53,0.00,1.00,0.000,0.054,314102.6,3415.8,5,55,2.55,1.00,1.00,0.3922,4.78,24242.8,8.6595,30.6698,5461
40000,2,3,6.33,0.00,0.00,0.00,6.33,0.00,1.00,0.000,0.000,784.0,8.6,1,3,2.67,1.00,1.00,0.0027,0.12,0.8,54.4830,0.0786,5461
50000,0,761,7.51,0.00,0.02,0.00,7.48,0.00,1.00,0.000,0.065,375193.6,4186.2,6,67,2.57,1.00,1.00,0.4742,4.81,113083.8,0.0000,36.3920,5462
50000,1,620,7.59,0.00,0.02,0.00,7.57,0.00,1.00,0.000,0.054,313622.8,3427.3,4,66,2.57,1.00,1.00,0.3928,3.44,24229.0,8.6929,30.6287,5461
50000,2,1,5.00,0.00,0.00,0.00,5.00,0.00,1.00,0.000,0.000,866.6,11.4,1,1,4.00,1.00,1.00,0.0030,0.61,0.1,54.4714,0.0863,5461
60000,0,746,7.64,0.01,0.01,0.00,7.62,0.00,1.00,0.000,0.065,375831.8,4169.1,4,53,2.58,1.00,1.00,0.4719,6.73,113145.2,0.0000,36.4725,5462
60000,1,618,7.62,0.01,0.02,0.00,7.59,0.00,1.01,0.000,0.054,314316.0,3448.4,4,73,2.58,1.00,1.01,0.3951,5.66,24250.4,8.6276,30.7198,5461
60000,2,1,7.00,0.00,0.00,0.00,7.00,0.00,1.00,0.000,0.000,826.2,11.7,1,1,3.00,1.00,1.00,0.0030,0.13,0.3,54.4787,0.0827,5461
70000,0,728,7.98,0.01,0.01,0.00,7.96,0.00,1.00,0.000,0.066,375814.2,4117.3,1,59,2.60,1.00,1.00,0.4652,5.92,113157.4,0.0000,36.4619,5462
70000,1,614,7.67,0.01,0.01,0.00,7.66,0.00,1.00,0.000,0.054,313984.7,3381.7,2,55,2.59,1.00,1.00,0.3869,6.78,24229.3,8.6830,30.6824,5461
70000,2,1,8.00,0.00,0.00,0.00,8.00,0.00,1.00,0.000,0.000,581.4,7.3,1,1,2.00,1.00,1.00,0.0023,0.07,0.2,54.5180,0.0577,5461
80000,0,734,8.02,0.03,0.02,0.01,7.96,0.00,1.01,0.000,0.067,376153.0,4073.7,1,60,2.61,1.00,1.01,0.4607,5.27,113142.8,0.0000,36.4845,5462
80000,1,627,7.72,0.01,0.02,0.00,7.69,0.00,1.00,0.000,0.055,314730.5,3417.2,1,65,2.59,1.00,1.00,0.3897,2.13,24213.5,8.5988,30.7380,5461
80000,2,3,8.00,0.00,0.00,0.00,8.00,0.00,1.00,0.000,0.000,855.4,12.2,1,3,2.33,1.00,1.00,0.0035,0.14,0.8,54.4733,0.0860,5461
90000,0,711,7.93,0.00,0.01,0.00,7.92,0.00,1.00,0.000,0.064,375885.8,4099.2,1,42,2.57,1.00,1.00,0.4631,5.92,113138.6,0.0000,36.4553,5462
90000,1,619,7.92,0.01,0.01,0.00,7.90,0.00,1.00,0.000,0.056,314300.6,3414.9,1,59,2.56,1.00,1.00,0.3916,5.52,24198.3,8.6465,30.6909,5461
90000,2,3,8.00,0.00,0.00,0.00,8.00,0.00,1.00,0.000,0.000,866.4,10.9,1,3,3.33,1.00,1.00,0.0033,0.40,0.9,54.4723,0.0869,5461
100000,0,735,8.00,0.01,0.02,0.00,7.97,0.00,1.00,0.000,0.067,376011.0,4184.8,1,45,2.57,1.00,1.00,0.4736,3.89,113147.9,0.0000,36.4778,5462
100000,1,615,7.80,0.00,0.00,0.00,7.80,0.00,1.00,0.000,0.055,314419.4,3407.5,1,69,2.61,1.00,1.00,0.3913,7.76,24229.8,8.5971,30.7111,5461
100000,2,2,7.50,0.00,0.00,0.00,7.50,0.00,1.00,0.000,0.000,799.5,12.2,1,2,3.00,1.00,1.00,0.0038,0.08,0.8,54.4828,0.0797,5461
110000,0,729,7.99,0.01,0.02,0.00,7.96,0.00,1.00,0.000,0.067,376810.3,4161.5,1,55,2.62,1.00,1.01,0.4707,7.66,113097.0,0.0000,36.5390,5462
110000,1,618,7.88,0.00,0.01,0.00,7.87,0.00,1.00,0.000,0.056,314873.7,3399.4,1,58,2.60,1.00,1.00,0.3890,2.70,24239.4,8.5737,30.7361,5461
110000,2,3,7.33,0.00,0.00,0.00,7.33,0.00,1.00,0.000,0.000,723.6,11.7,1,3,2.00,1.00,1.00,0.0033,0.13,1.0,54.4939,0.0727,5461
120000,0,737,7.95,0.00,0.03,0.00,7.92,0.00,1.00,0.000,0.067,376488.0,4126.0,1,56,2.62,1.00,1.00,0.4658,4.13,113091.6,0.0000,36.5067,5462
120000,1,602,7.98,0.00,0.03,0.00,7.95,0.00,1.00,0.000,0.055,314280.3,3387.5,1,57,2.51,1.00,1.00,0.3882,4.35,24228.2,8.6948,30.6736,5461
120000,2,2,7.00,0.00,0.00,0.00,7.00,0.00,1.00,0.000,0.000,646.7,9.3,1,2,2.50,1.00,1.00,0.0028,0.10,0.5,54.5069,0.0648,5461
130000,0,729,8.05,0.02,0.01,0.00,8.02,0.00,1.00,0.000,0.067,376366.0,4006.8,1,53,2.65,1.00,1.01,0.4520,4.31,113100.7,0.0000,36.5044,5462
130000,1,606,8.03,0.01,0.02,0.01,7.99,0.00,1.00,0.000,0.056,315287.9,3341.1,1,75,2.65,1.00,1.00,0.3824,3.30,24218.1,8.5643,30.7763,5461
130000,2,3,8.33,0.00,0.00,0.00,8.33,0.00,1.00,0.000,0.000,969.0,9.8,1,3,2.67,1.00,1.00,0.0031,0.19,0.9,54.4570,0.0966,5461
140000,0,710,7.85,0.00,0.00,0.00,7.85,0.00,1.00,0.000,0.064,376424.6,4013.3,2,64,2.58,1.00,1.00,0.4527,4.44,113105.4,0.0000,36.5096,5462
140000,1,617,7.97,0.00,0.03,0.00,7.93,0.00,1.00,0.000,0.056,314392.0,3385.4,2,45,2.57,1.00,1.00,0.3876,7.18,24223.5,8.6922,30.6905,5461
140000,2,3,7.33,0.00,0.00,0.00,7.33,0.00,1.00,0.000,0.000,671.0,10.0,1,3,3.67,1.00,1.00,0.0029,0.07,1.1,54.5032,0.0674,5461
150000,0,729,8.02,0.02,0.01,0.00,8.00,0.00,1.00,0.000,0.067,376479.4,4129.8,3,55,2.60,1.00,1.01,0.4667,2.52,113092.0,0.0000,36.5114,5462
150000,1,603,7.93,0.03,0.04,0.00,7.87,0.00,1.01,0.000,0.055,315327.0,3301.2,3,61,2.58,1.00,1.01,0.3777,4.76,24212.0,8.5580,30.7700,5461
150000,2,2,8.00,0.00,0.00,0.00,8.00,0.00,1.00,0.000,0.000,1081.3,10.7,1,2,3.00,1.00,1.00,0.0034,0.08,0.7,54.4387,0.1083,5461
160000,0,731,7.95,0.00,0.00,0.00,7.95,0.00,1.00,0.000,0.066,376290.8,4007.0,1,48,2.56,1.00,1.00,0.4530,5.01,113104.3,0.0000,36.4730,5462
