step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells
110000,1,19,10.84,0.84,0.53,0.00,9.47,0.00,1.26,0.000,0.137,6600.0,760.2,1,2,2.68,1.00,1.39,0.0945,1.37,273.6,40.6192,0.6970,96
110000,0,6,10.83,0.00,0.00,0.00,10.83,0.00,1.00,0.000,0.000,10477.0,4465.9,1,5,2.17,1.00,1.00,0.6093,1.31,93383.6,0.0000,0.0000,11505
120000,8,395,8.80,0.09,0.00,0.01,8.70,0.00,1.04,0.000,0.046,175785.8,6019.5,2,2,2.87,1.03,1.05,0.7299,10.89,47493.9,33.9318,17.3881,4744
120000,1,21,8.19,0.00,0.00,0.00,8.19,0.00,1.00,0.000,0.114,11361.2,663.7,1,6,2.86,1.00,1.00,0.0765,0.03,430.8,41.4105,1.1726,93
120000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,1106.8,122.8,0,0,-0.00,-0.00,-0.00,0.0223,1.14,88713.0,0.0000,0.0000,11547
130000,8,407,9.47,0.00,0.00,0.00,9.46,0.00,1.00,0.000,0.052,239336.3,7536.6,2,1,3.04,1.00,1.00,0.8782,8.53,51513.8,15.9591,23.8801,4615
130000,1,25,7.08,0.00,0.00,0.00,7.08,0.00,1.00,0.000,0.117,11367.7,534.8,1,2,2.56,1.00,1.00,0.0600,0.25,1447.8,33.5873,1.1890,92
130000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,453.8,17.5,0,0,-0.00,-0.00,-0.00,0.0071,0.51,83813.3,0.0000,0.0000,11677
140000,8,346,9.95,0.04,0.04,0.00,9.86,0.00,1.01,0.000,0.045,188348.8,4690.5,2,2,3.03,1.00,1.02,0.5479,5.64,48976.9,31.8029,18.7785,4767
140000,1,25,8.80,0.00,0.00,0.00,8.80,0.00,1.00,0.000,0.158,11762.8,640.6,1,8,2.32,1.00,1.00,0.0728,0.45,1061.9,40.6118,1.2141,84
140000,0,2,10.50,0.00,0.00,0.00,10.50,0.00,1.00,0.000,0.000,348.2,9.3,1,2,4.00,1.00,1.00,0.0048,0.56,86874.3,0.0000,0.0000,11533
