step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep
10000,340,1.550,0.245,7.05,28872,29039,9,1,966,1676,392432.8,60638.6,0.061,0.349,0.417,0.173,593,10.76,4.37,0.01,0.09,0.08,0.79,0.00,0.00,10.67,4.32,0.00,0.00,0.005,0.048,58,0.265,0.238,0.750,0.000,0.012,43204,38382,2,0.753,0.047,0.000,241385,0.177,1.095,0.026,26.46,18161,44,36.181,1.000,0.000,709854,1.00,16.02,0.000,0.000,0.000,7,10,17,40,3658,0.014,2.94,0.0108,0.000,2,0.347,0.000,0.428,0.459,2.99,2.86,5.16,0.00,0.000,1.00,1.00,1.00,0.347,0.00445,66.57,9.6830,8.57,135457.5,140073.8,67.470,3.6179,36.390,382.926,0.619,0.404
20000,330,1.490,0.247,7.88,15760,15262,16,0,492,4,207191.8,4285.6,0.010,0.241,0.541,0.208,662,11.19,3.56,0.00,0.05,0.04,0.43,0.05,0.65,11.10,3.42,0.00,0.00,0.002,0.024,49,0.239,0.197,0.803,0.000,0.000,8327,5819,2,0.500,0.418,0.012,26874,0.158,1.098,0.026,20.72,5559,0,1071.402,0.000,0.000,167312,1.00,15.35,0.000,0.000,0.000,8,10,18,28,3693,0.014,0.46,0.0057,0.000,0,0.180,0.000,0.344,0.016,2.97,3.21,5.12,0.01,0.003,1.00,1.00,1.00,0.180,0.00247,34.39,0.5101,10.53,135468.4,140073.5,107.869,0.0814,20.639,41.571,0.606,0.399
30000,456,1.451,0.233,8.58,14081,13475,24,0,456,8,197356.2,3526.3,0.005,0.198,0.486,0.312,706,10.10,3.03,0.02,0.33,0.02,0.37,0.02,0.33,10.05,2.98,0.00,0.00,0.001,0.029,47,0.316,0.226,0.770,0.000,0.004,6836,4916,3,0.511,0.000,0.002,26901,0.151,1.068,0.024,19.72,5159,0,440.786,0.000,0.000,69301,1.00,16.71,0.000,0.000,0.000,7,10,14,31,4607,0.018,1.34,0.0043,0.000,1,0.095,0.000,0.267,0.010,2.78,3.08,4.59,0.00,0.000,1.00,1.01,1.01,0.095,0.00147,34.04,0.4257,8.94,135493.9,140073.0,108.343,0.0733,19.645,28.947,0.606,0.399
40000,291,1.563,0.222,9.57,14309,13962,38,0,474,0,211503.0,3701.1,0.002,0.182,0.520,0.296,703,11.97,3.16,0.00,0.00,0.00,0.00,0.09,0.85,11.89,3.01,0.00,0.00,0.000,0.000,48,0.395,0.210,0.790,0.000,0.000,7244,5536,2,0.863,0.010,0.024,43882,0.118,1.038,0.022,21.13,5309,0,3701.141,0.000,0.000,72407,1.00,15.38,0.000,0.000,0.000,9,12,14,33,3484,0.013,4.58,0.0061,0.000,1,0.103,0.000,0.273,0.010,2.98,3.27,5.05,0.00,0.000,1.00,1.00,1.00,0.103,0.00233,36.61,0.4475,6.85,135911.1,140072.6,101.123,0.0776,21.092,29.466,0.604,0.399
50000,261,1.454,0.183,9.63,10418,10031,19,0,398,1,165194.8,2865.0,0.001,0.217,0.528,0.253,850,11.52,2.72,0.00,0.00,0.00,0.00,0.03,0.38,11.49,2.74,0.00,0.00,0.000,0.000,43,0.345,0.257,0.739,0.000,0.004,5357,4768,2,0.893,0.000,0.008,35150,0.104,0.931,0.018,16.45,4065,0,2865.045,0.000,0.000,72007,1.00,15.57,0.000,0.000,0.000,8,11,14,24,3006,0.011,9.77,0.0055,0.000,0,0.112,0.000,0.275,0.016,2.88,3.17,5.05,0.00,0.000,1.00,1.00,1.00,0.112,0.00242,26.79,0.3538,4.90,136628.4,140072.4,110.421,0.0675,16.459,26.103,0.607,0.401
60000,259,1.577,0.176,9.90,10175,9809,14,0,354,9,163012.4,2683.7,0.003,0.223,0.515,0.258,860,12.06,2.55,0.03,0.50,0.00,0.00,0.02,0.17,12.01,2.51,0.00,0.00,0.000,0.000,41,0.363,0.189,0.807,0.000,0.004,5554,4584,2,0.950,0.000,0.019,34156,0.108,0.896,0.017,16.28,4089,0,298.194,0.000,0.000,90396,1.01,15.21,0.000,0.000,0.000,10,12,15,21,3124,0.012,0.92,0.0052,0.000,1,0.136,0.000,0.292,0.014,3.07,3.24,5.18,0.00,0.000,1.00,1.01,1.01,0.136,0.00245,44.89,0.3265,5.34,136709.8,140072.2,101.342,0.0581,16.232,23.638,0.605,0.401
70000,253,1.635,0.316,9.97,7755,7517,15,0,229,0,140482.1,2069.2,0.000,0.248,0.503,0.249,921,12.11,2.78,0.00,0.00,0.00,0.00,0.10,0.95,12.01,2.79,0.00,0.00,0.000,0.000,40,0.478,0.233,0.743,0.000,0.024,4487,3761,1,1.000,0.000,0.024,30091,0.111,1.294,0.033,14.27,3205,0,2069.236,0.000,0.000,64776,1.00,15.08,0.000,0.000,0.000,10,12,14,29,3065,0.012,8.23,0.0046,0.000,0,0.108,0.000,0.279,0.008,3.02,3.24,5.23,0.00,0.000,1.00,1.00,1.00,0.108,0.00252,24.03,0.2498,4.66,134413.1,140071.8,116.908,0.0429,13.998,24.244,0.598,0.394
80000,354,1.538,0.131,10.50,10619,10176,9,0,333,0,177320.9,6686.9,0.005,0.266,0.476,0.252,823,12.12,4.34,0.00,0.00,0.00,0.00,0.07,0.51,12.06,4.32,0.00,0.00,0.000,0.000,65,0.277,0.203,0.794,0.000,0.003,8221,7317,1,0.980,0.020,0.023,73229,0.088,0.708,0.010,17.43,5305,0,6686.932,0.000,0.008,116314,1.00,15.07,0.000,0.000,0.000,7,12,16,30,4292,0.016,33.32,0.0042,0.020,3,0.142,0.000,0.288,0.155,3.16,3.25,5.24,0.00,0.000,1.00,1.00,1.00,0.142,0.00238,35.82,0.8759,11.75,137286.5,140071.2,76.872,0.2065,17.508,48.352,0.612,0.405
90000,236,1.545,0.124,9.95,10021,9802,24,0,313,0,160913.4,2945.8,0.002,0.251,0.491,0.256,932,11.57,2.72,0.03,0.39,0.00,0.00,0.00,0.06,11.54,2.52,0.00,0.00,0.000,0.000,33,0.585,0.182,0.814,0.000,0.004,6591,5768,1,0.928,0.072,0.004,47916,0.113,0.692,0.010,16.07,4335,0,2945.808,0.000,0.000,121206,1.00,15.97,0.000,0.000,0.000,9,12,13,36,2730,0.010,0.78,0.0059,0.013,0,0.165,0.000,0.302,0.033,2.83,3.14,4.89,0.00,0.000,1.00,1.01,1.00,0.165,0.00296,64.22,0.3657,7.69,137623.3,140070.7,82.363,0.0715,16.037,32.860,0.612,0.403
100000,218,1.524,0.122,9.88,8962,8635,24,0,321,0,142102.7,2495.5,0.010,0.256,0.473,0.261,1028,11.85,2.88,0.00,0.00,0.00,0.00,0.01,0.12,11.84,2.88,0.00,0.00,0.000,0.000,31,0.583,0.197,0.789,0.000,0.014,5769,5213,1,0.913,0.087,0.014,30306,0.116,0.689,0.010,14.20,3732,0,2495.540,0.000,0.005,96078,1.00,15.83,0.000,0.000,0.000,9,12,14,28,2584,0.010,0.46,0.0055,0.000,6,0.146,0.000,0.307,0.023,2.93,3.19,4.90,0.00,0.000,1.00,1.00,1.00,0.146,0.00288,58.72,0.3055,4.94,137687.0,140070.3,90.059,0.0562,14.149,22.346,0.612,0.403
