step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep
10000,1406,1.455,0.062,8.13,52504,50833,95,1,1606,2385,921378.9,69220.6,0.037,0.489,0.298,0.176,487,7.80,2.42,0.00,0.03,0.00,0.08,0.05,1.07,7.75,2.24,0.00,0.00,0.001,0.027,86,0.348,0.253,0.741,0.000,0.006,43592,37499,2,0.530,0.000,0.004,493627,0.140,0.170,0.000,79.36,23091,15,29.023,1.000,0.000,1169931,1.00,16.03,0.000,0.000,0.000,6,8,9,40,10961,0.042,0.49,0.0085,0.151,13,0.155,0.000,0.184,0.314,2.83,2.11,6.62,0.00,0.000,1.00,1.00,1.00,0.155,0.00507,41.56,10.4487,9.64,136438.6,139722.8,42.441,3.5319,89.469,340.084,0.664,0.436
20000,1411,1.437,0.064,8.32,40505,38708,133,0,1659,5,723352.1,8704.4,0.011,0.442,0.157,0.390,550,7.68,1.87,0.00,0.00,0.01,0.22,0.02,0.26,7.66,1.87,0.00,0.00,0.001,0.027,89,0.355,0.269,0.725,0.000,0.006,8371,5057,2,0.782,0.017,0.009,72839,0.115,0.290,0.001,71.69,11775,0,1740.881,0.000,0.001,790110,1.00,15.40,0.000,0.000,0.000,6,8,8,37,10840,0.041,0.09,0.0067,0.125,26,0.123,0.000,0.173,0.000,2.88,1.45,7.47,0.00,0.000,1.00,1.00,1.00,0.123,0.00305,37.92,0.9915,12.16,136421.0,139709.9,54.151,0.1207,71.564,85.985,0.666,0.434
30000,1479,1.357,0.063,8.27,41635,39282,127,0,2158,11,721505.6,8662.9,0.004,0.438,0.081,0.476,534,7.00,1.94,0.00,0.08,0.03,0.76,0.02,0.48,6.95,1.82,0.00,0.00,0.002,0.044,70,0.320,0.251,0.745,0.000,0.004,8059,5519,2,0.883,0.000,0.003,75481,0.104,0.237,0.001,71.70,12179,0,787.536,0.000,0.000,819197,1.00,16.47,0.000,0.000,0.000,6,7,8,35,10349,0.039,0.12,0.0070,0.135,43,0.127,0.000,0.166,0.000,2.82,1.23,7.47,0.00,0.000,1.00,1.00,1.00,0.127,0.00280,38.77,1.0012,17.96,136453.5,139697.8,53.259,0.1344,71.570,83.114,0.669,0.433
40000,1487,1.395,0.061,8.37,41327,38877,156,0,2286,5,722405.4,8407.4,0.004,0.431,0.091,0.474,524,6.74,1.73,0.01,0.29,0.00,0.00,0.03,0.89,6.70,1.58,0.00,0.00,0.000,0.000,66,0.486,0.261,0.734,0.000,0.005,8055,5985,2,0.838,0.000,0.004,58227,0.102,0.260,0.001,71.69,10850,0,1681.479,0.000,0.000,840053,1.00,17.01,0.000,0.000,0.000,6,6,8,33,10025,0.038,0.10,0.0073,0.128,40,0.129,0.000,0.144,0.000,2.79,1.24,7.31,0.00,0.000,1.00,1.00,1.01,0.129,0.00260,38.98,0.9720,7.75,136407.7,139686.2,53.059,0.1323,71.559,81.348,0.670,0.433
50000,1537,1.393,0.061,8.13,42212,39385,181,0,2596,8,730977.5,8386.9,0.002,0.435,0.051,0.512,553,6.48,1.67,0.00,0.03,0.00,0.13,0.02,0.41,6.46,1.62,0.00,0.00,0.001,0.028,61,0.710,0.258,0.739,0.000,0.003,8282,6589,2,0.943,0.000,0.003,51408,0.105,0.260,0.001,72.69,9377,0,1048.359,0.000,0.000,840158,1.00,17.34,0.000,0.000,0.000,6,6,8,36,9966,0.038,0.12,0.0074,0.132,42,0.124,0.000,0.140,0.000,2.67,1.16,7.13,0.00,0.000,1.00,1.00,1.00,0.124,0.00249,38.59,0.9795,11.54,136335.0,139674.8,52.435,0.1405,72.547,81.082,0.672,0.434
60000,1583,1.319,0.069,8.01,43503,40324,155,0,2978,0,738758.4,8566.9,0.001,0.437,0.027,0.535,555,6.29,1.60,0.00,0.08,0.02,0.37,0.02,0.36,6.25,1.49,0.00,0.00,0.002,0.034,60,0.831,0.260,0.736,0.001,0.004,8540,7951,2,0.996,0.000,0.003,38190,0.124,0.330,0.002,73.63,8659,0,8566.941,0.000,0.001,849377,1.00,17.66,0.000,0.000,0.000,6,6,7,35,9954,0.038,0.17,0.0075,0.135,72,0.122,0.000,0.137,0.000,2.60,1.10,6.98,0.00,0.000,1.00,1.00,1.00,0.122,0.00241,38.41,1.0110,17.92,136250.2,139663.1,51.639,0.1537,73.466,81.380,0.679,0.433
70000,1575,1.367,0.069,8.01,44581,41294,166,0,3129,0,746116.1,8700.7,0.000,0.444,0.022,0.534,547,6.19,1.32,0.00,0.00,0.01,0.31,0.02,0.36,6.16,1.27,0.00,0.00,0.003,0.047,66,0.865,0.278,0.718,0.000,0.004,8836,8740,1,1.000,0.000,0.006,40294,0.126,0.356,0.002,74.39,8288,0,8700.659,0.000,0.000,868197,1.00,17.78,0.000,0.000,0.000,6,6,6,18,9757,0.037,0.24,0.0077,0.124,66,0.121,0.000,0.135,0.000,2.60,1.08,6.96,0.00,0.000,1.00,1.00,1.00,0.121,0.00245,38.39,1.0288,10.50,136165.5,139651.2,50.828,0.1595,74.222,82.080,0.675,0.433
80000,1589,1.344,0.065,7.99,44273,40947,157,0,3155,0,744693.7,8638.9,0.000,0.442,0.019,0.538,559,6.18,1.25,0.00,0.03,0.00,0.06,0.01,0.24,6.17,1.23,0.00,0.00,0.001,0.026,44,0.881,0.274,0.724,0.000,0.002,8842,8812,1,1.000,0.000,0.001,35478,0.128,0.322,0.002,74.24,8441,0,8638.854,0.000,0.000,860283,1.00,17.76,0.000,0.000,0.000,6,6,6,21,9817,0.037,0.22,0.0076,0.137,62,0.121,0.000,0.136,0.000,2.57,1.07,6.97,0.00,0.000,1.00,1.00,1.00,0.121,0.00241,38.32,1.0243,22.49,136236.9,139639.4,51.064,0.1592,74.087,81.965,0.676,0.433
90000,1592,1.355,0.069,7.99,44077,40897,149,0,3028,0,744349.8,8522.3,0.000,0.441,0.019,0.540,557,6.17,1.28,0.00,0.00,0.00,0.00,0.01,0.34,6.16,1.26,0.00,0.00,0.000,0.000,49,0.860,0.266,0.728,0.000,0.006,8761,8674,1,1.000,0.000,0.001,36119,0.128,0.335,0.002,74.20,8811,0,8522.294,0.000,0.000,856777,1.00,17.82,0.000,0.000,0.000,6,6,6,27,9823,0.037,0.20,0.0076,0.131,61,0.121,0.000,0.137,0.000,2.60,1.08,6.98,0.00,0.000,1.00,1.00,1.00,0.121,0.00240,38.35,1.0061,15.71,136147.4,139627.5,51.097,0.1545,74.033,81.763,0.677,0.433
100000,1559,1.363,0.062,7.99,43883,40700,169,0,3047,0,739996.7,8597.7,0.000,0.436,0.019,0.545,554,6.22,1.36,0.00,0.00,0.01,0.38,0.00,0.18,6.20,1.27,0.00,0.00,0.001,0.023,49,0.786,0.248,0.751,0.000,0.001,8706,8169,1,1.000,0.000,0.001,33957,0.124,0.277,0.001,73.65,9253,0,8597.689,0.000,0.001,861959,1.00,17.70,0.000,0.000,0.000,6,6,6,28,9702,0.037,0.19,0.0077,0.119,52,0.123,0.000,0.138,0.000,2.61,1.08,7.09,0.00,0.000,1.00,1.00,1.00,0.123,0.00241,38.28,1.0141,13.26,136277.4,139615.7,51.729,0.1546,73.507,81.402,0.672,0.433
110000,1556,1.365,0.064,8.00,42913,39829,197,0,2890,0,736187.1,8327.1,0.000,0.423,0.014,0.563,567,6.23,1.40,0.00,0.00,0.01,0.23,0.00,0.15,6.21,1.37,0.00,0.00,0.001,0.018,46,0.706,0.252,0.746,0.000,0.002,8282,6970,1,1.000,0.000,0.001,33424,0.125,0.254,0.001,73.15,9893,0,8327.112,0.000,0.000,824039,1.00,17.70,0.000,0.000,0.000,6,6,7,34,9687,0.037,0.12,0.0076,0.132,47,0.122,0.000,0.140,0.000,2.65,1.07,7.14,0.00,0.000,1.00,1.00,1.00,0.122,0.00232,38.43,0.9778,10.52,136237.7,139603.8,52.145,0.1454,73.005,80.170,0.672,0.433
120000,1561,1.318,0.059,7.99,42439,39403,229,0,2802,0,734853.5,8256.6,0.000,0.415,0.011,0.574,542,6.19,1.43,0.00,0.00,0.00,0.03,0.03,0.81,6.16,1.29,0.00,0.00,0.001,0.025,59,0.632,0.253,0.742,0.000,0.005,8273,6366,1,1.000,0.000,0.003,35761,0.119,0.198,0.001,72.89,10209,0,8256.620,0.000,0.000,811026,1.00,17.77,0.000,0.000,0.000,6,6,6,29,9663,0.037,0.07,0.0076,0.121,32,0.123,0.000,0.141,0.000,2.68,1.07,7.22,0.00,0.000,1.00,1.00,1.00,0.123,0.00227,38.70,0.9686,14.77,136381.4,139592.0,52.175,0.1425,72.766,79.589,0.669,0.433
130000,1524,1.365,0.056,7.99,40914,38173,243,0,2535,0,724739.6,7963.7,0.000,0.393,0.005,0.602,553,6.25,1.33,0.00,0.00,0.01,0.35,0.00,0.14,6.23,1.25,0.00,0.00,0.001,0.021,66,0.531,0.254,0.744,0.000,0.002,7641,4985,1,1.000,0.000,0.001,36246,0.122,0.125,0.000,71.66,10333,0,7963.688,0.000,0.000,772332,1.00,17.67,0.000,0.000,0.000,6,6,6,19,9530,0.036,0.02,0.0076,0.131,24,0.125,0.000,0.146,0.000,2.71,1.12,7.32,0.00,0.000,1.00,1.00,1.00,0.125,0.00217,38.77,0.9239,9.46,136389.8,139580.3,53.388,0.1280,71.533,77.979,0.666,0.433
