step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells
110000,1,456,6.42,0.03,0.03,0.03,6.33,0.00,1.02,0.000,0.034,220961.2,3937.8,1,53,2.99,1.02,1.02,0.4542,4.00,19529.1,20.5406,21.7866,5461
110000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,13.8,0.6,0,0,-0.00,-0.00,-0.00,0.0003,0.00,0.0,54.6071,0.0017,5461
120000,0,752,6.19,0.00,0.00,0.08,6.11,0.00,1.00,0.000,0.054,356266.9,6172.1,1,59,3.04,1.00,1.00,0.7011,5.99,117846.0,0.0000,34.5094,5462
120000,1,461,6.38,0.02,0.02,0.12,6.22,0.00,1.01,0.000,0.033,218754.6,3823.0,1,53,3.10,1.01,1.01,0.4403,4.85,19504.3,20.5856,21.5912,5461
120000,2,1,6.00,0.00,0.00,0.00,6.00,0.00,1.00,0.000,0.000,20.6,1.8,1,1,4.00,1.00,1.00,0.0005,0.00,0.3,54.6065,0.0019,5461
130000,0,731,6.23,0.02,0.02,0.01,6.18,0.00,1.01,0.000,0.052,355843.0,6167.5,1,54,3.03,1.00,1.01,0.7004,9.48,117770.0,0.0000,34.4852,5462
130000,1,469,6.18,0.07,0.00,0.00,6.10,0.00,1.02,0.000,0.033,217672.3,3979.5,1,66,3.07,1.01,1.03,0.4594,6.44,19496.1,20.5318,21.4971,5461
130000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,98.1,1.7,0,0,-0.00,-0.00,-0.00,0.0004,0.02,0.0,54.5938,0.0097,5461
140000,0,738,6.34,0.09,0.00,0.02,6.23,0.00,1.02,0.000,0.053,356425.0,6188.9,1,72,3.08,1.02,1.03,0.7014,3.58,117743.0,0.0000,34.5259,5462
140000,1,456,6.39,0.00,0.02,0.06,6.32,0.00,1.00,0.000,0.033,219235.2,3920.3,1,78,2.94,1.00,1.00,0.4523,3.64,19492.2,20.5669,21.6242,5461
140000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,14.1,0.3,0,0,-0.00,-0.00,-0.00,0.0003,0.00,0.0,54.6071,0.0016,5461
150000,0,718,6.17,0.01,0.00,0.00,6.17,0.00,1.01,0.000,0.051,356984.7,6165.1,1,53,3.02,1.01,1.01,0.7002,8.71,117807.8,0.0000,34.5847,5462
150000,1,456,6.50,0.00,0.00,0.06,6.44,0.00,1.00,0.000,0.034,219911.4,3969.0,1,73,3.04,1.00,1.00,0.4579,6.83,19473.7,20.5476,21.6831,5461
150000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,8.7,1.2,0,0,-0.00,-0.00,-0.00,0.0003,0.00,0.0,54.6081,0.0010,5461
160000,0,754,6.13,0.00,0.05,0.00,6.09,0.00,1.00,0.000,0.053,358686.8,6209.4,1,70,3.05,1.00,1.00,0.7046,8.28,117740.4,0.0000,34.6880,5462
160000,1,450,6.27,0.02,0.04,0.05,6.16,0.00,1.00,0.000,0.032,219774.6,3948.1,1,60,3.09,1.00,1.00,0.4535,3.31,19525.2,20.5699,21.7035,5461
160000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,30.6,0.9,0,0,-0.00,-0.00,-0.00,0.0004,0.15,0.1,54.6047,0.0026,5461
170000,0,711,6.76,0.03,0.02,0.09,6.62,0.00,1.01,0.000,0.055,357480.2,6083.2,1,72,3.10,1.00,1.02,0.6880,5.71,117797.1,0.0000,34.7392,5462
170000,1,465,6.60,0.00,0.00,0.13,6.46,0.00,1.00,0.000,0.035,222224.2,3933.1,1,70,2.97,1.00,1.00,0.4523,9.64,19479.3,20.5245,21.8402,5461
170000,2,1,6.00,0.00,0.00,0.00,6.00,0.00,1.00,0.000,0.000,8.5,1.4,1,1,2.00,1.00,1.00,0.0005,0.01,0.1,54.6082,0.0011,5461
180000,0,726,6.98,0.00,0.00,0.07,6.90,0.00,1.00,0.000,0.058,356798.0,6090.3,1,59,3.21,1.00,1.00,0.6833,6.40,117770.5,0.0000,34.7241,5462
180000,1,448,7.28,0.00,0.00,0.23,7.06,0.00,1.00,0.000,0.038,220150.0,3949.7,1,58,3.14,1.00,1.00,0.4490,6.97,19476.4,20.6832,21.6066,5461
180000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,198.5,1.3,0,0,-0.00,-0.00,-0.00,0.0006,0.03,0.0,54.5794,0.0191,5461
190000,0,711,7.41,0.00,0.01,0.26,7.14,0.00,1.00,0.000,0.061,356793.0,6124.2,1,40,3.26,1.00,1.00,0.6844,8.45,117823.5,0.0000,34.7385,5462
190000,1,441,7.19,0.00,0.00,0.10,7.09,0.00,1.00,0.000,0.036,219485.2,4009.7,1,67,3.21,1.00,1.00,0.4551,3.78,19479.9,20.7471,21.5240,5461
190000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,14.4,0.8,0,0,-0.00,-0.00,-0.00,0.0004,0.00,0.0,54.6076,0.0014,5461
200000,0,720,6.95,0.00,0.00,0.00,6.95,0.00,1.00,0.000,0.057,357315.6,6229.7,1,58,3.17,1.00,1.00,0.6965,8.18,117871.7,0.0000,34.7637,5462
200000,1,441,6.92,0.01,0.00,0.00,6.90,0.00,1.00,0.000,0.035,219327.2,3872.9,1,66,3.18,1.00,1.00,0.4410,5.19,19488.6,20.6874,21.5147,5461
200000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,71.0,1.4,0,0,-0.00,-0.00,-0.00,0.0005,0.03,0.1,54.5991,0.0060,5461
210000,0,694,7.14,0.06,0.03,0.12,6.93,0.00,1.02,0.000,0.057,356962.7,6307.8,1,55,3.16,1.00,1.02,0.7075,6.62,117866.4,0.0000,34.7426,5462
210000,1,433,7.18,0.00,0.00,0.09,7.09,0.00,1.00,0.000,0.035,218741.8,3961.4,1,55,3.19,1.00,1.00,0.4501,1.93,19491.3,20.7663,21.4801,5461
210000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,24.7,1.0,0,0,-0.00,-0.00,-0.00,0.0005,0.00,0.0,54.6058,0.0024,5461
220000,0,692,7.12,0.01,0.01,0.00,7.09,0.00,1.00,0.001,0.056,356882.3,6189.2,1,63,3.21,1.00,1.00,0.6923,7.14,117869.0,0.0000,34.7570,5462
220000,1,424,7.13,0.08,0.00,0.08,6.96,0.00,1.02,0.000,0.035,218728.1,3966.4,1,60,3.20,1.01,1.03,0.4511,4.77,19458.7,20.7903,21.4761,5461
220000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,13.3,1.0,0,0,-0.00,-0.00,-0.00,0.0003,0.00,0.0,54.6075,0.0013,5461
230000,0,704,6.96,0.00,0.06,0.10,6.81,0.00,1.00,0.000,0.056,357628.3,6192.5,1,67,3.16,1.00,1.00,0.6937,6.80,117816.8,0.0000,34.8206,5462
230000,1,431,7.42,0.07,0.00,0.00,7.35,0.00,1.02,0.000,0.036,219339.3,4059.5,1,48,3.25,1.00,1.02,0.4649,5.50,19421.2,20.7661,21.5330,5461
