step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells
10000,8,180,15.80,0.00,0.23,0.12,15.44,0.00,1.00,0.000,0.037,212932.9,24637.5,1,0,3.83,1.00,1.00,3.6656,8.78,18293.5,35.7072,17.7320,4763
10000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,2612.3,790.7,0,0,-0.00,-0.00,-0.00,0.1026,0.00,0.0,67.9871,0.2100,88
10000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,89259.7,37353.2,0,0,-0.00,-0.00,-0.00,6.0850,0.65,115288.6,0.0000,0.0000,11533
20000,8,169,13.34,0.00,0.07,0.15,13.12,0.00,1.00,0.000,0.033,132157.2,3087.9,1,0,3.42,1.00,1.00,0.3716,4.49,20021.0,49.1095,13.2159,4274
20000,1,18,8.61,0.00,0.00,0.22,8.39,0.00,1.00,0.000,0.098,10839.2,1018.9,0,0,2.61,1.00,1.00,0.1197,0.08,779.2,40.2485,1.2015,98
20000,0,4,7.75,0.00,0.00,0.00,7.75,0.00,1.00,0.000,0.000,1234.9,174.8,0,4,2.00,1.00,1.00,0.0311,0.40,113108.6,0.0000,0.0000,12012
30000,8,35,8.60,0.00,0.00,0.00,8.60,0.00,1.00,0.000,0.005,80615.8,1496.7,2,0,2.91,1.00,1.00,0.1837,1.84,5519.5,63.3323,8.1090,3642
30000,1,19,9.05,0.00,0.00,0.05,9.00,0.00,1.00,0.000,0.108,13451.8,1047.3,1,0,2.11,1.00,1.00,0.1203,1.62,1258.8,0.1495,1.5493,98
30000,0,4,8.50,0.00,0.00,0.00,8.50,0.00,1.00,0.000,0.000,776.0,164.3,1,4,2.25,1.00,1.00,0.0282,1.48,125892.4,0.0000,0.0000,12644
40000,8,154,7.40,0.00,0.00,0.21,7.19,0.00,1.00,0.000,0.019,42282.4,519.8,1,0,2.68,1.00,1.00,0.0702,1.84,17950.9,72.0918,4.2993,3816
40000,1,15,8.13,0.13,0.00,0.00,8.00,0.00,1.06,0.000,0.076,12381.6,778.0,1,0,2.67,1.07,1.07,0.0916,2.95,1509.6,0.0000,1.4148,98
40000,0,5,12.00,0.00,0.00,0.00,12.00,0.00,1.00,0.000,0.000,829.3,102.1,1,4,2.60,1.00,1.00,0.0183,2.21,111634.1,0.0000,0.0000,12470
