step,nodes (8 by 8, row by row)
1000,-1.438,0.284,-0.470,1.168,-0.279,0.349,-2.385,-1.243,0.568,0.300,-0.033,-0.563,-1.027,2.223,-1.273,-0.584,-0.466,0.253,0.737,0.713,0.029,-2.210,0.715,1.204,-1.008,1.736,-0.268,0.419,-1.004,-1.612,0.647,-0.323,-0.250,0.150,0.513,0.384,-0.228,0.294,-0.772,1.974,-0.728,-0.184,-0.164,1.595,0.498,-1.717,1.599,0.197,0.550,0.077,-0.379,-0.630,0.701,-0.880,0.871,-1.097,0.744,-0.006,0.364,1.641,-1.516,-0.600,0.488,-0.598
2000,-1.246,0.412,-0.419,-1.564,-1.047,-0.376,-2.636,-0.548,0.723,0.574,0.081,-0.401,-0.890,1.378,-1.353,-0.052,-0.491,-0.257,0.413,1.209,-0.661,-1.816,0.365,1.260,-1.950,1.751,-0.018,1.297,-1.460,-1.951,0.057,-0.090,0.713,0.703,0.232,-0.691,-0.201,0.355,-0.708,1.756,0.258,0.813,0.156,0.037,0.407,-1.456,0.837,-0.069,0.271,0.220,0.602,-1.216,-0.137,-2.039,-0.256,-0.531,-0.257,-0.238,-0.083,1.206,-1.366,-0.931,-0.788,-0.701
3000,-0.443,-1.422,-0.145,-0.616,-1.183,0.300,-1.290,0.914,1.378,2.395,-0.863,-0.555,0.145,0.139,-1.007,1.160,-1.084,0.274,1.035,0.717,-1.247,-1.431,-0.187,0.613,-1.067,0.864,0.280,-0.027,-1.378,-1.566,1.086,-0.873,0.731,0.878,0.258,-0.140,0.787,-0.380,-1.204,1.694,0.469,1.572,-0.397,0.206,-0.030,0.428,0.140,0.107,0.007,-0.561,-0.049,-0.033,-0.151,-2.738,-0.505,0.192,-0.104,-1.174,-0.414,0.358,-1.312,-0.555,-0.815,-2.316
4000,-0.932,-1.195,0.286,1.513,-1.594,-0.251,-1.609,1.218,-0.101,1.293,-1.973,-1.273,0.423,-0.624,-0.211,0.234,0.856,0.374,0.981,0.892,-0.330,-1.243,-0.344,0.812,-0.656,-0.122,0.482,0.267,-1.606,-1.217,0.082,-0.339,1.200,0.363,0.405,0.538,0.345,-1.048,-2.028,0.804,0.530,1.894,-0.356,0.149,0.110,-0.854,0.382,0.955,-0.647,-0.023,0.138,0.598,-0.382,-1.391,-0.485,0.561,0.110,0.140,-0.312,1.186,0.443,-1.625,-1.411,-0.003
5000,0.505,-1.217,1.286,0.819,-0.551,-1.033,-1.762,0.901,0.986,0.734,-0.882,-1.856,-1.101,-0.753,0.408,-0.296,0.707,0.155,1.207,1.196,0.043,-2.045,-1.315,0.056,-0.634,0.173,-0.094,-0.084,-1.420,-1.104,0.003,-1.150,0.377,0.317,0.556,0.104,0.545,-0.822,-0.299,-0.400,0.468,1.597,-0.650,0.266,-1.375,-1.290,0.665,0.748,0.022,-0.489,0.332,1.298,0.925,-0.722,0.237,0.713,-0.324,-0.653,0.702,1.067,0.068,-0.104,-0.279,0.403
6000,-0.049,-0.374,0.532,0.759,-0.198,-0.746,-1.149,0.701,0.446,0.346,0.384,-1.033,-1.293,-1.077,0.342,0.077,1.247,0.546,1.835,1.028,0.051,-1.337,-1.112,0.404,0.074,0.336,0.942,0.763,-1.674,0.182,0.093,-1.154,0.690,-0.635,0.208,0.557,0.652,0.099,-0.795,-0.164,0.065,2.427,-1.676,-0.748,0.213,-0.929,-0.210,0.137,0.396,-0.101,-0.109,-0.315,0.738,-0.475,-0.297,-0.135,-0.340,-0.388,1.453,-0.080,0.868,-0.486,1.118,-0.123
7000,0.713,-0.193,-0.293,0.328,0.331,-0.659,-1.068,0.975,-0.532,0.407,0.757,0.518,0.099,-0.091,-0.322,-0.689,0.126,-0.433,1.170,1.011,-0.485,-2.356,-0.800,0.523,-0.115,-0.943,1.724,0.437,-1.582,0.952,0.459,-1.794,0.901,-0.429,-0.651,0.241,0.314,1.313,-0.044,0.818,-0.151,2.491,-0.446,-0.824,-0.003,-0.850,-0.826,0.409,-0.895,-1.288,-1.135,-1.475,-0.909,-1.707,0.214,-1.851,0.499,-0.093,0.624,-0.154,1.639,1.357,1.716,-1.249
8000,1.013,0.071,-0.730,-0.183,1.579,-0.039,-1.054,2.573,-0.176,0.265,-0.029,1.109,0.989,1.072,0.408,-0.677,-0.051,-0.519,1.693,1.092,0.143,-1.338,-1.389,1.232,0.333,0.539,1.786,0.882,-1.509,-0.428,0.910,-1.015,1.271,0.094,-0.005,0.464,0.417,0.557,0.201,0.790,0.594,2.320,0.831,-1.147,0.767,-1.266,0.774,0.769,-0.540,-1.209,-2.215,-1.237,-0.062,-1.667,0.834,-2.641,0.481,0.279,0.647,-1.057,1.841,0.985,1.507,-0.317
9000,-0.392,1.746,-0.426,-0.982,2.231,-1.601,0.167,0.969,0.450,-1.247,1.375,0.478,-0.038,1.609,-0.388,-0.373,-0.217,0.091,1.177,0.376,-1.387,-1.717,-0.774,1.438,0.341,0.195,1.731,0.749,-1.796,-0.210,-0.751,-0.521,0.204,0.234,-0.477,0.593,0.371,0.566,0.851,-0.335,0.550,2.453,0.725,0.525,0.261,-0.244,0.417,1.541,1.091,-0.167,-1.557,0.027,0.380,-0.808,0.391,-1.455,0.173,-0.649,1.371,0.882,1.097,2.134,1.037,0.319
10000,-1.006,0.755,0.341,0.055,2.343,-2.217,0.833,1.101,0.893,0.750,0.769,-1.086,-0.484,1.949,0.291,0.706,-0.989,0.342,1.279,-0.435,-1.516,0.259,-0.047,-0.274,0.330,-0.067,1.597,0.641,-1.446,-0.429,-0.271,0.614,-0.272,-0.525,-0.148,-0.220,-0.575,1.403,1.317,-0.083,0.783,1.381,0.719,0.033,-1.040,0.323,-0.689,-0.060,1.590,-0.375,-0.884,-0.370,-0.027,-0.637,-0.828,-0.185,0.079,-0.202,0.446,-0.634,1.121,0.272,0.333,0.421
