step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
10000,0,2359,14.40,1.13,2.06,0.14,6.18,0.52,1.34,0.234,0.256,435715.4,1243778.0,4,157,2.81,1.56,1.27,119.9040,3420.67,84460.1,0.1659,6.5028,5462,5.6072,166,48.0985,365022.1
10000,1,1819,14.63,1.13,1.86,0.11,6.94,0.42,1.32,0.194,0.211,386503.7,1078047.9,4,158,2.86,1.52,1.30,103.5532,2686.59,11920.4,7.9534,7.5525,5461,4.9505,215,38.6662,299994.3
10000,2,558,19.71,0.65,1.02,0.16,15.40,0.14,1.16,0.063,0.109,241604.2,561840.8,3,92,3.72,1.18,1.15,67.2410,1328.53,460.3,28.1912,8.9058,5461,4.7677,244,15.1474,122787.5
20000,0,2220,13.73,1.16,1.83,0.05,5.76,0.40,1.35,0.211,0.224,381987.5,1206234.6,2,127,2.65,1.60,1.33,102.6712,3546.12,83327.7,0.0000,5.4996,5462,6.1979,154,48.6627,356927.6
20000,1,1589,15.76,1.16,2.13,0.06,6.99,0.35,1.35,0.183,0.187,326824.8,987514.0,3,139,2.92,1.54,1.33,81.7803,2671.84,11704.8,11.7470,7.3068,5461,4.7958,235,36.3546,275014.4
20000,2,526,18.81,0.77,2.13,0.26,11.02,0.16,1.17,0.078,0.086,156128.7,348701.2,2,90,3.21,1.20,1.16,35.6282,1214.56,604.4,34.0810,9.7392,5461,6.7507,378,7.7786,63898.0
30000,0,2295,14.47,1.25,1.85,0.04,6.03,0.45,1.38,0.220,0.241,384843.4,1182616.0,4,146,2.83,1.60,1.35,100.9469,3744.90,83943.3,0.0000,5.3416,5462,5.2306,124,49.8005,359187.6
30000,1,1756,14.77,1.00,1.97,0.04,7.01,0.36,1.28,0.176,0.201,323546.4,951373.9,2,135,2.93,1.42,1.27,78.7643,2710.65,10273.9,10.9837,7.1239,5461,6.5103,213,36.4826,272912.5
30000,2,435,19.57,0.56,1.31,0.15,14.79,0.14,1.13,0.057,0.084,141149.8,292728.5,2,78,3.71,1.11,1.13,32.4083,1185.71,347.2,36.1611,9.1784,5461,5.2418,292,6.3322,52586.4
40000,0,2435,12.75,1.05,1.80,0.06,5.59,0.36,1.33,0.186,0.236,391253.6,1239066.8,1,139,2.77,1.48,1.30,114.2510,3595.93,81409.7,0.0000,5.0697,5462,4.7639,142,49.8316,375354.4
40000,1,1888,13.72,1.08,1.79,0.12,6.64,0.39,1.32,0.188,0.209,313280.2,961953.5,1,177,2.96,1.47,1.28,84.4855,2961.29,9523.9,13.5986,7.0738,5461,4.9808,150,33.9508,264429.7
40000,2,608,17.66,0.50,1.47,0.18,12.43,0.13,1.12,0.064,0.101,148176.9,335507.2,1,95,3.40,1.15,1.10,36.4391,1280.36,533.7,35.1957,9.3043,5461,5.6076,217,6.9777,59451.2
50000,0,3054,13.43,1.16,1.08,0.07,5.61,0.68,1.46,0.389,0.277,390923.3,1296829.2,3,198,2.78,2.00,1.86,117.0988,3677.67,76965.7,0.0014,5.2596,5462,5.1922,105,49.9562,379359.0
50000,1,2332,13.65,1.06,1.10,0.07,6.48,0.62,1.40,0.337,0.232,322536.5,1093055.8,3,181,2.85,1.90,1.70,91.3066,2572.90,10999.1,11.5727,6.9323,5461,6.6379,94,36.1515,283051.1
50000,2,798,14.70,0.77,1.18,0.10,9.36,0.31,1.25,0.154,0.104,145534.5,371972.3,3,115,3.10,1.49,1.32,36.8839,1313.78,330.5,34.1492,8.7061,5461,6.4691,96,7.3045,62897.4
60000,0,2777,13.18,1.17,0.93,0.13,5.61,0.66,1.47,0.378,0.250,388263.2,1296201.9,3,208,2.77,2.05,1.91,120.4961,3463.00,78065.0,0.0128,4.8335,5462,5.6404,115,49.7152,379871.2
60000,1,1977,13.50,1.08,1.04,0.08,6.23,0.60,1.39,0.332,0.190,320445.2,1070526.4,3,194,2.81,1.85,1.71,91.2474,2429.85,12237.6,11.9981,6.3574,5461,6.8154,105,36.3144,283875.6
60000,2,681,12.91,0.43,0.59,0.09,9.21,0.27,1.15,0.137,0.081,142348.6,357756.5,3,87,2.86,1.34,1.29,35.8315,1004.66,298.6,34.9757,8.0358,5461,5.8834,66,7.6119,65921.5
70000,0,2547,13.05,1.06,0.95,0.11,5.37,0.69,1.43,0.393,0.218,381104.1,1262164.6,3,184,2.71,2.14,1.64,116.3316,3105.70,81968.2,0.0000,4.4884,5462,6.4892,114,49.6497,373957.3
70000,1,2305,12.65,0.96,0.95,0.10,5.64,0.60,1.38,0.350,0.202,328217.1,1095261.5,3,214,2.69,2.00,1.56,93.0949,2751.41,9919.9,11.2813,5.9695,5461,6.6946,115,38.1113,297526.5
70000,2,638,13.67,0.37,0.58,0.15,10.08,0.30,1.11,0.139,0.082,132966.9,323342.6,3,103,3.10,1.33,1.17,34.2781,1019.83,257.5,35.9556,7.4105,5461,5.0836,102,7.1727,62042.9
80000,0,2825,13.54,1.13,1.04,0.14,5.21,0.76,1.45,0.428,0.242,376137.4,1252906.0,3,184,2.74,2.05,1.71,113.5405,3683.80,78282.8,0.0716,4.3694,5462,5.8216,85,48.8490,370365.7
80000,1,2087,13.57,1.04,1.06,0.13,5.88,0.71,1.39,0.373,0.194,322735.6,1094065.6,3,208,2.78,1.99,1.59,92.1620,2595.60,10277.8,11.8680,5.8646,5461,7.1365,129,37.7931,293605.3
80000,2,1014,14.01,0.71,1.38,0.14,7.76,0.53,1.22,0.263,0.117,140627.0,341795.2,3,106,2.95,1.59,1.19,35.1781,1358.43,1048.5,35.4654,7.6630,5461,5.8048,129,7.9153,67897.9
