step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density
100000,21.88,16,3,5,0,3,2,2.22,14,0.229,1394,3.82,86.84,118.45,3,1,0,2,3.00,1.00,2.33,3,6,3,28.4,63.575,11,1.563
100000,4.05,20,0,0,0,4,0,1.00,22,0.000,1125,1.30,57.10,64.94,208,0,0,0,1.00,1.00,1.00,2,1,4,15.6,28.905,4,1.013
100000,12.84,15,3,0,0,2,0,3.00,20,0.000,1004,2.02,50.06,38.69,3,0,0,0,3.00,1.67,3.67,2,6,3,13.8,34.232,5,1.605
100000,2.00,20,0,0,0,2,0,1.00,26,0.000,985,1.61,47.12,63.44,208,1,1,0,1.00,1.00,1.00,1,1,2,28.1,13.883,2,0.999
100000,3.04,20,0,0,0,3,0,1.00,24,0.000,971,0.88,39.40,47.54,208,1,0,0,1.00,1.00,1.00,1,3,1,27.2,21.743,3,1.013
100000,12.84,15,3,0,0,2,0,3.17,20,0.000,939,0.88,36.07,16.64,3,1,0,0,3.00,2.33,3.67,3,6,3,29.0,32.338,5,1.605
100000,11.77,22,0,0,1,11,0,1.00,18,0.000,921,2.33,59.69,47.60,208,1,2,0,1.00,1.00,1.00,4,4,3,32.8,46.436,12,1.024
100000,2.01,28,0,0,0,2,0,1.00,26,0.000,892,1.79,46.02,38.42,208,0,0,0,1.00,1.00,1.00,1,1,2,13.8,15.552,2,1.004
100000,14.44,15,3,0,0,3,0,3.20,22,0.000,872,2.59,39.81,15.37,3,1,0,0,3.00,1.00,5.00,4,4,3,29.9,32.324,6,1.605
100000,17.65,14,3,4,0,1,2,2.71,18,0.227,843,2.55,32.40,64.78,3,1,0,2,3.00,1.67,3.00,1,4,3,30.8,33.223,8,1.605
100000,14.01,17,3,0,0,3,0,3.00,20,0.000,813,1.86,54.01,102.92,3,1,1,0,3.00,1.67,3.67,4,6,3,31.6,22.848,6,1.556
100000,26.70,22,6,0,0,6,0,3.50,14,0.000,802,3.90,65.30,27.06,3,0,0,0,3.00,2.75,4.00,5,8,4,25.2,41.121,12,1.483
100000,4.19,11,0,0,0,3,0,1.00,24,0.000,799,1.90,74.77,33.72,3,1,1,0,1.00,1.00,1.00,2,5,2,26.9,15.784,3,1.396
100000,5.81,15,0,0,0,6,0,1.00,22,0.000,769,1.63,50.18,21.74,208,1,1,0,1.00,1.00,1.00,2,3,2,28.2,26.488,6,0.968
100000,3.14,7,0,0,0,2,0,1.00,26,0.000,755,1.09,24.82,20.42,3,1,1,0,1.00,1.00,1.00,2,1,2,29.2,22.355,2,1.568
100000,15.26,19,0,0,0,9,0,1.00,20,0.000,739,1.47,13.63,50.97,3,2,0,0,1.00,1.00,1.00,4,3,3,43.9,30.473,9,1.696
100000,12.47,19,0,0,0,8,0,1.00,20,0.000,737,2.18,35.94,22.38,3,0,0,0,1.00,1.00,1.00,3,3,3,15.6,30.218,8,1.559
100000,6.42,10,0,1,0,3,0,1.00,24,0.156,734,2.44,40.45,28.24,3,1,1,0,1.00,1.00,1.00,2,2,2,31.7,18.228,4,1.604
100000,14.44,15,3,2,0,1,2,2.86,18,0.138,730,2.45,25.08,38.62,3,1,0,2,3.00,2.33,3.00,2,4,3,27.5,25.758,6,1.605
100000,12.95,16,3,0,0,2,0,3.17,20,0.000,723,0.71,43.48,38.91,3,1,0,0,3.00,2.33,3.67,2,5,3,31.2,19.589,5,1.619
100000,13.60,32,0,3,0,6,0,1.00,18,0.221,718,2.54,77.44,63.96,3,0,0,0,1.00,1.00,1.00,4,6,4,24.2,21.166,9,1.511
100000,1.02,21,0,0,0,1,0,1.00,28,0.000,711,0.62,28.73,22.50,208,0,0,0,1.00,1.00,1.00,1,1,1,13.8,7.305,1,1.024
100000,12.99,16,3,0,0,2,0,3.40,22,0.000,711,1.72,37.04,48.32,3,1,0,0,3.00,1.67,5.00,3,5,3,31.5,21.554,5,1.624
100000,2.05,19,0,0,0,2,0,1.00,26,0.000,699,1.51,23.29,14.70,208,1,2,0,1.00,1.00,1.00,1,1,2,30.8,18.501,2,1.024
100000,20.86,15,3,4,0,3,2,2.57,18,0.192,689,3.62,45.27,61.11,3,0,1,2,3.00,1.00,3.00,4,4,3,16.7,30.391,10,1.605
100000,4.65,17,0,0,0,3,0,1.00,24,0.000,681,2.45,19.52,30.72,3,0,0,0,1.00,1.00,1.00,1,3,1,25.2,16.236,3,1.550
100000,12.70,16,3,0,0,2,0,3.17,20,0.000,672,0.44,30.05,39.97,3,0,0,0,3.00,2.33,3.67,2,6,3,23.9,21.871,5,1.588
100000,22.23,16,3,5,0,3,2,2.22,14,0.225,670,4.20,47.23,20.55,3,0,0,2,3.00,1.00,2.33,5,6,3,9.6,31.712,11,1.588
100000,3.22,14,0,0,0,3,0,1.00,24,0.000,661,1.22,35.88,11.03,3,1,1,0,1.00,1.00,1.00,2,2,2,28.3,20.395,3,1.074
100000,3.04,20,0,0,0,3,0,1.00,24,0.000,656,1.12,83.84,16.19,208,0,0,0,1.00,1.00,1.00,2,2,4,7.8,10.437,3,1.013
100000,14.44,15,3,2,0,1,2,2.86,18,0.138,654,3.36,40.76,33.46,3,0,0,2,3.00,2.33,3.00,3,4,3,25.3,19.985,6,1.605
100000,18.08,14,3,2,0,3,2,2.44,14,0.111,652,2.76,33.79,28.23,3,0,0,2,3.00,2.33,2.33,3,6,3,15.6,25.842,8,1.643
100000,12.84,15,3,0,0,2,0,3.40,22,0.000,652,0.95,51.80,33.85,3,0,0,0,3.00,1.67,5.00,4,5,3,3.0,15.303,5,1.605
100000,5.06,15,0,0,0,5,0,1.00,22,0.000,647,2.14,23.62,23.02,208,1,1,0,1.00,1.00,1.00,2,3,2,30.8,23.247,5,1.013
100000,27.54,19,3,4,0,8,2,2.10,12,0.145,638,3.75,70.35,29.24,3,0,2,2,2.50,1.00,2.33,4,6,4,23.4,37.102,15,1.530
100000,19.22,36,6,0,0,6,0,3.56,16,0.000,637,1.06,55.96,30.34,208,1,1,0,3.75,5.00,2.75,5,4,8,31.8,26.781,12,1.068
100000,3.99,8,0,0,2,3,0,1.00,18,0.000,630,1.56,26.67,6.53,208,0,0,0,1.00,1.00,1.00,3,5,5,16.5,19.615,5,0.998
