step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std
110000,2592,2.239,0.606,7.55,325024,253002,6,64913,6989,2968217,1054486.4,2812619.5,0.017,0.653,0.140,0.190,91,25.05,21.11,2.28,4.59,4.42,8.36,0.33,1.74,13.14,8.94,0.59,1.42,0.104,0.160,1375,0.046,0.034,0.942,0.000,0.024,603076,490752,2,0.521,0.470,0.133,4821016,0.152,2.130,0.041,19.25,159077,121,0.948,0.368,0.717,17745834,1.59,13.43,0.064,0.494,0.163,6.3,17.9,65.9,112.1,52273,0.199,0.00,0.0031,0.071,479,0.657,0.001,0.836,0.482,3.63,4.63,4.77,0.62,0.171,1.69,1.17,1.89,0.692,0.00941,4.63,261.3627,6589.53,105698.1,140277.1,74.625,112.2076,260.058,317.503,0.962,0.337,25.3,24.400,203.115,344,932.8,67.55,9.329,117.489,1928.0,92.729,0.134,2.00,6.7617,17526.3,0.7267,0.4400,20.17,1.192,0.263,1.3183,0.0000
120000,2472,2.269,0.588,7.61,202009,172391,0,26992,2746,2016907,662088.3,1563254.2,0.032,0.716,0.082,0.170,128,27.14,20.61,1.94,4.24,5.19,8.04,0.57,3.05,13.53,9.62,0.54,1.31,0.132,0.171,1419,0.037,0.035,0.941,0.000,0.023,242853,174606,3,0.498,0.021,0.169,3556476,0.136,1.975,0.041,22.43,69782,107,0.775,0.365,0.707,7748789,1.50,12.46,0.062,0.521,0.167,7.1,20.0,63.9,131.3,52491,0.200,0.00,0.0020,0.073,470,0.472,0.001,0.706,0.251,3.75,4.74,5.16,0.62,0.183,1.60,1.15,1.72,0.515,0.00977,2.50,130.4646,6173.28,108326.8,140277.1,29.144,56.1492,167.477,294.992,0.956,0.345,25.6,24.155,104.358,355,889.9,41.53,15.186,57.613,2056.4,45.731,0.135,2.00,6.2038,15335.9,0.6184,0.3640,21.23,1.232,0.284,0.6817,0.0000
130000,2449,2.281,0.637,8.58,259200,211557,11,43621,4034,2597986,990119.2,2234409.0,0.032,0.736,0.075,0.158,92,26.36,21.85,2.56,4.97,4.88,8.85,0.55,2.46,12.92,9.47,0.71,1.54,0.111,0.160,1288,0.054,0.040,0.936,0.000,0.023,442564,350228,3,0.459,0.042,0.209,4718159,0.144,2.176,0.044,20.49,132637,124,0.860,0.370,0.704,16000579,1.66,13.04,0.080,0.523,0.194,6.5,17.9,69.9,111.4,51182,0.195,0.00,0.0031,0.075,455,0.644,0.001,0.802,0.441,3.63,4.88,4.72,0.72,0.197,1.77,1.17,1.99,0.681,0.01005,4.37,200.8702,6802.93,106417.7,140277.1,74.176,112.6434,218.919,308.454,0.969,0.339,24.4,24.612,202.512,338,828.7,50.99,10.705,116.959,2318.3,82.948,0.135,2.00,6.7463,16521.8,0.7251,0.4353,20.90,1.290,0.395,1.3183,0.0000
140000,2554,2.279,0.584,6.66,212474,179638,0,30943,1788,2077081,673269.2,1690848.6,0.018,0.692,0.100,0.190,128,26.01,22.50,2.53,5.37,4.80,9.79,0.83,3.20,14.61,8.99,0.67,1.49,0.088,0.171,1187,0.055,0.048,0.929,0.000,0.023,262144,204699,2,0.759,0.006,0.307,7114769,0.135,2.061,0.041,20.98,75747,106,0.814,0.376,0.721,7996705,1.63,12.17,0.087,0.423,0.185,6.0,17.3,71.9,113.3,58137,0.222,0.00,0.0018,0.057,508,0.481,0.001,0.710,0.268,3.78,4.88,5.13,0.69,0.189,1.76,1.15,1.91,0.521,0.00934,2.68,143.3702,6738.40,106802.6,140277.1,28.657,56.5367,176.862,297.658,0.965,0.342,26.3,23.852,104.126,249,577.2,39.50,13.101,59.374,1811.4,48.495,0.134,2.00,6.5535,16737.7,0.6270,0.3598,22.76,1.067,0.053,0.6817,0.0000
150000,2925,2.188,0.592,6.64,295750,231217,8,57062,7092,2750341,1056098.8,2702774.5,0.019,0.635,0.151,0.194,95,23.26,21.98,2.41,5.22,3.65,8.50,0.45,2.35,13.67,8.38,0.59,1.41,0.063,0.140,1108,0.061,0.039,0.937,0.000,0.024,565892,472880,2,0.731,0.049,0.143,5509174,0.154,1.934,0.042,18.69,148493,126,0.983,0.359,0.747,16150022,1.60,13.63,0.071,0.384,0.161,5.4,14.7,67.9,142.5,59012,0.225,0.00,0.0026,0.060,452,0.648,0.001,0.835,0.499,3.54,4.49,4.76,0.59,0.163,1.74,1.14,1.86,0.681,0.00810,4.46,255.4901,7199.13,101814.6,140277.1,74.799,112.5272,250.209,310.210,0.971,0.328,24.8,23.707,203.029,237,529.4,34.43,8.643,118.044,1515.9,92.817,0.135,2.00,7.1743,20984.9,0.7635,0.4395,20.18,1.058,0.057,1.3183,0.0000
160000,2556,2.340,0.549,6.44,219904,184209,0,33709,2355,2171988,681547.0,1805959.1,0.017,0.671,0.119,0.194,129,26.60,22.82,2.70,5.40,4.69,9.52,0.63,2.53,15.10,8.96,0.71,1.55,0.084,0.163,1119,0.075,0.037,0.941,0.000,0.022,280113,222822,2,0.737,0.000,0.279,7049753,0.137,1.806,0.039,20.83,78892,108,0.831,0.372,0.727,8201205,1.67,12.10,0.093,0.424,0.188,6.4,17.3,72.3,126.1,59097,0.225,0.00,0.0018,0.061,427,0.486,0.001,0.731,0.287,3.91,4.98,5.08,0.72,0.189,1.81,1.17,1.98,0.525,0.00940,2.75,152.9316,6263.47,107204.4,140277.1,28.588,56.8712,184.427,298.736,0.972,0.343,26.6,24.014,103.997,264,596.6,33.95,12.703,59.514,1676.7,49.636,0.135,2.00,6.5354,16704.4,0.6060,0.3612,23.12,1.061,0.051,0.6817,0.0000
170000,2716,2.303,0.641,6.52,303295,235670,2,60115,7348,2964171,1068656.9,2832026.2,0.021,0.656,0.142,0.180,95,25.48,23.45,2.82,5.44,4.68,9.52,0.44,2.07,14.14,9.07,0.77,1.60,0.082,0.158,1155,0.079,0.034,0.946,0.000,0.021,589868,487180,1,0.986,0.014,0.195,6623808,0.151,2.184,0.046,18.75,156284,125,0.955,0.362,0.758,17201699,1.69,12.83,0.085,0.450,0.206,4.9,16.8,72.0,123.2,59965,0.229,0.00,0.0028,0.056,479,0.663,0.001,0.833,0.506,3.83,4.80,4.91,0.78,0.206,1.85,1.17,2.01,0.696,0.00892,4.55,264.4174,7597.07,102349.2,140277.1,74.588,112.1333,257.314,311.421,0.973,0.329,24.1,24.237,202.950,266,601.8,54.10,8.640,118.102,1890.2,94.367,0.135,2.00,7.2760,19761.6,0.7420,0.4327,22.08,1.051,0.053,1.3183,0.0000
180000,2479,2.277,0.562,6.55,214328,180371,0,32019,2175,2176116,681639.3,1783909.9,0.016,0.681,0.112,0.191,134,26.37,23.32,2.81,5.59,4.76,9.54,0.58,2.25,14.82,9.00,0.79,1.59,0.082,0.156,1084,0.130,0.037,0.940,0.000,0.023,274964,218394,2,0.722,0.000,0.315,7715366,0.136,1.971,0.039,20.64,79861,108,0.820,0.372,0.740,8129590,1.68,12.33,0.097,0.441,0.215,5.4,17.9,72.6,118.6,56945,0.217,0.00,0.0019,0.067,482,0.486,0.001,0.724,0.293,3.90,5.02,4.95,0.80,0.216,1.85,1.15,1.96,0.526,0.00969,2.84,151.2687,6330.00,107479.8,140277.1,28.300,57.0454,182.297,299.098,0.950,0.342,25.5,24.018,103.713,229,549.7,46.86,12.409,59.908,1872.4,49.754,0.133,2.00,6.7010,16611.7,0.6342,0.3567,22.97,1.057,0.051,0.6817,0.0000
190000,2898,2.140,0.596,6.63,294420,230931,7,56311,6752,2783572,1051169.5,2687543.2,0.019,0.661,0.134,0.186,97,23.45,21.61,2.18,4.54,4.20,9.10,0.53,2.64,13.47,8.90,0.68,1.52,0.079,0.157,1183,0.073,0.038,0.939,0.000,0.023,564314,472920,1,0.741,0.259,0.211,6365696,0.150,2.156,0.041,18.94,149965,125,0.966,0.363,0.744,16846406,1.54,13.43,0.070,0.415,0.182,5.4,16.8,65.9,107.2,59050,0.225,0.00,0.0027,0.064,490,0.658,0.001,0.828,0.500,3.60,4.64,4.75,0.68,0.182,1.66,1.13,1.79,0.691,0.00819,4.67,252.8689,7281.15,101795.0,140277.1,75.466,111.5508,248.691,308.799,0.931,0.327,24.2,23.734,202.213,207,451.7,40.64,8.669,116.917,1555.5,92.033,0.136,2.00,7.2901,21126.6,0.7756,0.4371,20.38,1.066,0.062,1.3183,0.0000
200000,2512,2.416,0.555,6.54,216914,182605,0,32472,2223,2096729,677319.7,1764690.9,0.016,0.673,0.115,0.195,130,28.65,23.67,3.03,5.44,5.53,10.30,0.61,2.65,15.38,9.26,0.89,1.70,0.096,0.171,1264,0.059,0.036,0.944,0.000,0.020,274931,215759,2,0.689,0.000,0.248,6316487,0.139,1.834,0.037,20.70,79668,107,0.842,0.369,0.729,8057887,1.74,11.47,0.081,0.457,0.236,6.7,17.9,71.3,114.7,61680,0.235,0.00,0.0018,0.064,536,0.485,0.001,0.722,0.286,4.10,5.08,5.32,0.90,0.236,1.90,1.16,2.08,0.524,0.00941,2.67,150.7830,6111.91,107488.8,140277.1,28.883,57.0589,181.264,302.240,0.939,0.342,25.8,23.642,104.129,286,685.2,35.63,12.710,59.434,1761.5,49.294,0.135,2.00,6.4349,16164.6,0.5806,0.3627,24.55,1.064,0.052,0.6817,0.0000
