step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std
10000,2660,2.577,0.717,9.38,306112,250060,6,32355,22451,1604769,1280888.2,2878799.8,0.136,0.493,0.187,0.184,82,30.58,35.47,1.37,4.48,3.56,9.01,0.11,1.13,15.28,10.71,0.30,1.14,0.046,0.112,1446,0.026,0.030,0.942,0.000,0.027,666442,548554,6,0.239,0.465,0.017,1152779,0.210,2.503,0.051,19.29,220424,151,1.794,0.329,0.723,17677836,1.36,11.99,0.051,0.393,0.080,5.3,16.3,95.8,220.9,54033,0.206,0.00,0.0032,0.073,452,0.798,0.000,0.852,0.552,3.83,4.63,5.49,0.34,0.088,1.41,1.22,1.45,0.820,0.00637,2.40,345.6117,8180.39,96678.2,140064.9,57.647,148.6612,287.994,442.228,0.976,0.329,24.7,16.953,210.338,333,865.8,56.81,31.944,136.658,2280.4,106.824,0.134,2.00,8.6944,23127.0,0.8639,0.5316,20.31,1.231,0.341,1.0000,0.0000
20000,2924,2.338,0.583,10.43,218988,178718,0,26177,13829,1345617,702549.1,1640033.1,0.048,0.657,0.152,0.143,144,27.39,33.73,0.47,2.81,3.81,9.74,0.01,0.36,14.22,10.17,0.05,0.43,0.049,0.121,1191,0.129,0.045,0.927,0.000,0.027,274894,213346,2,0.794,0.080,0.002,137827,0.196,2.046,0.042,18.52,99158,118,1.219,0.363,0.693,9960987,1.13,14.29,0.034,0.343,0.019,5.2,13.0,82.0,204.0,54112,0.206,0.00,0.0017,0.075,546,0.590,0.000,0.766,0.275,3.49,4.23,4.68,0.07,0.021,1.16,1.07,1.17,0.616,0.00705,1.86,161.5044,6679.57,103066.3,140064.9,24.898,64.9478,176.694,260.535,0.979,0.349,31.2,20.622,106.944,246,544.3,35.89,13.395,66.414,1939.0,54.292,0.135,2.00,6.4879,18970.7,0.7282,0.4426,18.51,1.220,0.389,1.0000,0.0000
30000,4836,1.835,0.705,14.54,469773,343473,5,64355,60028,2270066,1067891.2,2964625.8,0.067,0.689,0.108,0.136,82,16.78,16.13,0.11,1.38,1.86,4.93,0.00,0.10,9.78,7.53,0.01,0.15,0.069,0.139,1659,0.073,0.036,0.939,0.001,0.024,782819,608571,2,0.624,0.298,0.001,62086,0.238,2.701,0.047,15.57,311285,147,1.306,0.342,0.828,29652924,1.04,17.53,0.003,0.318,0.001,4.4,12.3,30.0,218.0,56859,0.217,0.00,0.0023,0.071,760,0.744,0.000,0.854,0.418,2.67,3.61,3.70,0.02,0.004,1.05,1.06,1.04,0.769,0.00423,2.70,308.1787,9084.15,82988.7,140064.9,64.842,125.9653,295.304,339.365,0.970,0.280,15.5,20.475,210.232,167,353.8,81.37,9.231,132.877,1774.4,103.486,0.135,2.00,7.2410,35017.5,1.1716,0.5809,11.76,1.399,0.457,1.0000,0.0000
40000,4820,1.760,0.575,16.76,334332,279892,1,18157,36298,1017323,674548.4,1931994.6,0.067,0.655,0.117,0.161,114,17.02,14.55,0.15,1.60,2.26,4.42,0.01,0.22,9.60,7.43,0.00,0.07,0.093,0.143,1436,0.110,0.037,0.933,0.002,0.028,397166,286109,2,0.611,0.027,0.001,45113,0.239,1.947,0.039,15.50,168595,152,1.899,0.303,0.793,16795918,1.05,17.14,0.001,0.293,0.001,5.3,14.0,29.0,202.0,57913,0.221,0.00,0.0015,0.088,741,0.640,0.000,0.788,0.214,2.85,3.91,3.64,0.01,0.002,1.06,1.05,1.06,0.661,0.00294,1.93,205.4748,7108.23,86440.5,140064.9,28.208,67.6987,215.848,233.642,0.970,0.295,15.8,14.192,107.557,179,402.2,62.27,10.016,66.047,1575.9,56.632,0.134,2.00,7.0669,34062.7,0.9675,0.5486,12.02,1.395,0.470,1.0000,0.0000
50000,4601,1.820,0.649,17.65,415238,332821,590,17820,64226,953095,1010520.1,2443458.0,0.081,0.667,0.131,0.122,76,15.31,11.44,0.03,0.51,1.23,3.48,0.00,0.25,9.71,6.37,0.00,0.00,0.046,0.108,998,0.081,0.034,0.944,0.001,0.021,639873,478428,8,0.579,0.169,0.001,62253,0.265,2.717,0.044,13.68,284336,174,2.564,0.308,0.830,30412191,1.01,17.91,0.000,0.140,0.000,6.0,12.3,28.0,128.0,50494,0.193,0.00,0.0023,0.058,529,0.771,0.000,0.848,0.374,2.71,3.55,3.55,0.00,0.001,1.01,1.01,1.01,0.785,0.00271,2.83,312.2073,8754.05,56123.8,140064.9,82.523,115.1295,291.374,276.423,0.955,0.185,11.1,12.478,209.588,144,295.5,85.60,7.056,116.958,1283.3,96.880,0.134,2.00,13.8053,63518.0,2.0345,0.6487,10.97,1.439,0.474,1.0000,0.0000
60000,4444,1.926,0.561,15.35,313781,265870,175,12644,35249,713762,670276.5,1871212.2,0.072,0.644,0.127,0.158,114,19.59,15.43,0.09,1.17,2.23,4.64,0.00,0.03,11.64,7.27,0.00,0.00,0.066,0.124,1281,0.070,0.044,0.929,0.001,0.026,385617,279152,6,0.680,0.056,0.000,43637,0.246,1.843,0.040,14.22,162970,148,2.622,0.319,0.799,17000192,1.03,16.06,0.002,0.226,0.000,6.2,14.0,40.0,132.0,62028,0.237,0.00,0.0013,0.073,694,0.669,0.000,0.799,0.239,3.06,3.89,4.14,0.00,0.000,1.03,1.04,1.03,0.682,0.00276,1.76,216.6511,7256.28,84654.1,140064.9,30.302,70.2257,212.517,208.814,0.968,0.288,13.4,12.259,107.607,185,381.2,42.75,9.001,65.413,1217.9,57.222,0.134,2.00,8.0805,35909.8,0.8746,0.5606,13.96,1.338,0.453,1.0000,0.0000
70000,4676,1.794,0.651,17.95,439309,353075,562,17933,67507,917565,1012143.9,2563716.5,0.105,0.644,0.125,0.127,73,14.96,10.71,0.04,0.64,1.15,3.03,0.01,0.16,9.64,6.61,0.00,0.06,0.049,0.105,964,0.109,0.033,0.949,0.000,0.018,692799,521402,6,0.584,0.031,0.001,44491,0.248,2.809,0.043,12.85,308915,181,2.794,0.303,0.828,30855721,1.02,18.00,0.001,0.154,0.000,6.1,12.0,23.4,128.0,50682,0.193,0.00,0.0022,0.059,594,0.772,0.000,0.856,0.386,2.67,3.58,3.46,0.01,0.001,1.01,1.02,1.02,0.785,0.00266,2.78,332.9084,8707.35,56343.1,140064.9,81.584,116.3857,307.106,282.420,0.950,0.189,11.1,12.416,210.293,155,284.7,98.71,6.453,118.777,1357.2,99.022,0.135,2.00,13.5284,63259.0,2.0129,0.6944,10.84,1.438,0.468,1.0000,0.0000
80000,4851,1.769,0.584,17.55,334376,286076,209,9921,37995,705280,663646.6,1899486.2,0.092,0.632,0.121,0.155,109,17.00,13.61,0.10,1.12,1.98,3.89,0.00,0.07,9.96,7.89,0.01,0.14,0.086,0.136,1535,0.124,0.033,0.940,0.002,0.026,403375,285561,3,0.619,0.003,0.001,38477,0.242,1.911,0.040,13.69,174255,152,2.693,0.305,0.804,17989902,1.03,16.88,0.002,0.300,0.002,5.5,14.3,28.3,150.0,58386,0.223,0.00,0.0014,0.079,845,0.668,0.000,0.800,0.221,2.92,3.98,3.73,0.01,0.002,1.04,1.05,1.03,0.684,0.00250,1.85,221.8139,7260.20,86151.0,140064.9,30.540,70.1491,220.614,217.435,0.979,0.294,14.5,12.134,107.672,217,525.7,51.50,8.364,65.608,1457.8,57.698,0.134,2.00,7.0306,34105.6,0.9676,0.5621,12.04,1.408,0.466,1.0000,0.0000
90000,4712,1.817,0.636,19.76,420972,341943,570,13743,64855,848668,1003339.2,2450631.0,0.107,0.614,0.157,0.121,72,15.63,10.15,0.05,0.75,1.42,2.99,0.01,0.18,9.28,6.46,0.00,0.06,0.063,0.111,1111,0.140,0.030,0.947,0.000,0.023,652489,489886,4,0.506,0.065,0.002,50769,0.253,3.091,0.040,13.08,305176,177,2.888,0.318,0.833,29136681,1.02,17.69,0.001,0.164,0.000,6.2,13.2,24.0,154.0,50702,0.193,0.00,0.0023,0.062,578,0.775,0.000,0.859,0.376,2.79,3.91,3.32,0.00,0.000,1.02,1.02,1.02,0.788,0.00251,2.94,324.8822,8597.71,55602.5,140064.9,84.590,113.5905,301.283,271.083,0.915,0.192,10.1,11.816,209.865,161,312.2,136.45,6.617,115.384,1159.0,97.542,0.135,2.00,13.5830,64003.0,1.9529,0.6590,10.76,1.505,0.475,1.0000,0.0000
100000,4595,1.857,0.592,17.46,314531,270276,157,8815,35400,652018,651776.8,1850485.4,0.124,0.563,0.163,0.150,106,17.69,14.34,0.07,0.99,2.02,4.18,0.01,0.42,10.45,8.09,0.00,0.12,0.079,0.123,1321,0.127,0.034,0.940,0.001,0.025,386200,278651,3,0.608,0.025,0.002,39243,0.236,2.120,0.041,13.13,168037,159,2.838,0.307,0.798,15567545,1.03,15.92,0.005,0.253,0.002,6.0,14.3,31.3,150.0,57709,0.220,0.00,0.0014,0.083,643,0.675,0.000,0.808,0.235,3.08,4.69,3.47,0.01,0.002,1.03,1.03,1.03,0.691,0.00233,1.93,217.3914,7691.72,83868.5,140064.9,31.694,70.2008,213.850,204.161,0.965,0.289,12.3,10.685,107.097,176,346.7,133.98,7.686,64.933,1352.6,56.776,0.135,2.00,7.9055,36325.8,1.0227,0.5773,12.56,1.401,0.473,1.0000,0.0000
