step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std
10000,2868,2.323,0.667,7.63,263215,220297,0,28942,12528,1894745,1111846.9,2522960.2,0.128,0.572,0.160,0.141,92,25.26,22.35,2.87,6.32,2.86,7.30,0.22,1.66,15.62,9.33,0.60,1.57,0.046,0.118,1522,0.045,0.028,0.954,0.000,0.018,532296,426788,6,0.583,0.163,0.052,2093276,0.162,2.224,0.047,19.67,163771,132,1.332,0.344,0.760,14938996,1.75,11.37,0.069,0.387,0.147,6.3,17.7,67.5,123.2,61874,0.236,0.00,0.0025,0.078,490,0.742,0.000,0.822,0.522,4.04,5.08,5.31,0.62,0.151,1.91,1.28,2.00,0.770,0.00622,2.06,283.6922,7791.29,96024.8,140064.9,34.592,118.9473,253.875,454.165,0.945,0.318,21.7,17.846,159.112,284,669.9,39.85,32.264,107.516,2042.7,85.365,0.134,2.00,8.7083,24975.4,0.7880,0.4282,21.57,1.053,0.124,1.0000,0.5091
20000,3229,2.039,0.630,7.23,280390,223729,3,40428,15869,2195051,957555.1,2481664.5,0.060,0.635,0.125,0.181,114,21.00,19.69,2.06,5.34,2.00,6.23,0.13,1.36,13.82,8.76,0.37,1.15,0.033,0.103,1312,0.035,0.035,0.942,0.000,0.023,501412,384114,4,0.758,0.099,0.019,1265427,0.099,2.259,0.043,16.78,154921,132,1.131,0.340,0.744,16088108,1.56,13.17,0.048,0.312,0.106,5.3,14.3,52.4,121.3,58134,0.222,0.00,0.0021,0.078,503,0.695,0.001,0.862,0.463,3.56,4.67,4.85,0.38,0.107,1.64,1.23,1.76,0.723,0.00646,2.68,246.0580,7527.94,97240.3,140064.9,41.202,99.2298,240.726,308.616,0.912,0.316,18.4,20.849,156.852,224,501.9,69.95,10.074,103.173,1847.5,84.106,0.135,2.00,7.6013,24544.7,0.8079,0.4438,18.00,1.070,0.081,1.0000,0.4621
30000,3424,2.132,0.629,6.84,293005,230624,2,47704,14480,2499652,956666.6,2636270.2,0.047,0.636,0.124,0.193,116,22.15,21.50,2.17,5.05,2.93,7.80,0.12,1.35,13.31,8.63,0.64,1.72,0.048,0.122,1338,0.042,0.035,0.940,0.000,0.025,525454,407935,3,0.771,0.039,0.020,726397,0.132,2.166,0.043,15.77,151597,129,1.055,0.337,0.757,16999336,1.59,13.17,0.060,0.364,0.144,5.6,14.1,63.0,174.2,63425,0.242,0.00,0.0021,0.068,554,0.702,0.001,0.887,0.462,3.60,4.54,4.94,0.65,0.145,1.64,1.26,1.83,0.732,0.00622,2.74,251.9418,7697.77,95934.6,140064.9,42.210,97.4675,247.841,314.253,0.948,0.326,20.4,21.290,156.436,239,508.2,46.32,8.926,103.115,1638.2,85.518,0.134,2.00,7.2996,24994.0,0.8237,0.4355,18.52,1.097,0.082,1.0000,0.4356
40000,3133,2.077,0.676,6.75,288360,228951,1,46673,13026,2542030,951442.8,2612762.0,0.062,0.622,0.118,0.198,115,21.26,20.12,2.43,5.53,2.87,7.81,0.17,1.43,13.01,8.91,0.57,1.55,0.049,0.133,1298,0.049,0.033,0.945,0.000,0.022,526454,406775,3,0.809,0.049,0.025,819816,0.146,2.367,0.047,15.31,149072,131,1.028,0.338,0.744,16797549,1.67,13.34,0.059,0.386,0.139,5.4,13.0,56.7,125.0,57912,0.221,0.00,0.0023,0.076,449,0.709,0.001,0.891,0.471,3.58,4.51,4.89,0.58,0.139,1.77,1.26,1.94,0.741,0.00653,2.74,250.0379,8217.25,97401.4,140064.9,41.429,99.3441,245.848,297.918,0.920,0.335,18.8,20.469,156.389,182,409.6,66.01,8.546,104.359,2020.2,85.380,0.135,2.00,7.5754,23733.8,0.8557,0.4309,18.48,1.075,0.113,1.0000,0.4741
50000,3335,2.053,0.679,6.48,297135,233145,1,49263,14524,2536487,939623.9,2568640.2,0.052,0.617,0.134,0.196,114,20.70,19.25,2.67,5.80,2.93,8.08,0.19,1.41,12.47,8.25,0.59,1.56,0.051,0.137,1322,0.035,0.031,0.946,0.000,0.023,542598,419616,2,0.815,0.088,0.040,751981,0.156,2.260,0.048,15.09,151117,133,1.013,0.333,0.757,16831022,1.74,13.30,0.057,0.374,0.139,5.6,13.5,56.6,123.5,60894,0.232,0.00,0.0023,0.069,497,0.694,0.001,0.890,0.471,3.62,4.71,4.74,0.59,0.140,1.84,1.30,2.04,0.726,0.00588,2.79,246.2023,8192.66,96764.1,140064.9,42.423,98.9438,242.365,290.496,0.940,0.333,20.0,19.620,156.122,219,494.7,61.88,7.955,103.542,2011.3,84.682,0.134,2.00,7.1759,23931.7,0.8330,0.4334,18.26,1.054,0.112,1.0000,0.6243
60000,3077,2.137,0.683,6.66,291390,229351,2,48622,13673,2380232,931746.9,2531922.0,0.047,0.626,0.133,0.194,116,23.09,23.31,2.84,6.38,3.14,8.37,0.26,2.13,12.65,8.20,0.59,1.54,0.045,0.117,1169,0.043,0.035,0.949,0.000,0.016,521769,399595,3,0.793,0.026,0.032,879688,0.129,2.372,0.047,14.97,146476,133,1.064,0.337,0.759,16519480,1.73,13.02,0.076,0.374,0.147,5.3,14.1,69.0,129.4,58150,0.222,0.00,0.0024,0.075,531,0.688,0.001,0.888,0.461,3.69,4.84,4.72,0.60,0.147,1.91,1.24,1.97,0.718,0.00661,2.83,242.1937,8238.75,99538.2,140064.9,43.450,97.5001,240.193,292.278,0.961,0.343,23.2,20.339,155.792,179,341.7,55.70,7.966,102.594,2193.3,83.570,0.134,2.00,6.9284,21318.8,0.7949,0.4469,18.90,1.103,0.094,1.0000,0.5378
70000,3034,2.309,0.623,6.66,284960,224276,2,46975,13750,2103055,946149.9,2463235.8,0.056,0.627,0.134,0.183,118,25.05,24.09,2.81,5.69,3.09,7.66,0.29,1.80,14.09,9.03,0.59,1.45,0.045,0.112,1202,0.039,0.030,0.952,0.000,0.018,489054,380685,3,0.697,0.083,0.074,1292988,0.103,2.256,0.044,15.25,133504,132,1.171,0.336,0.772,16112890,1.75,12.10,0.079,0.349,0.157,6.6,15.1,74.1,108.4,61527,0.235,0.00,0.0022,0.076,515,0.686,0.001,0.881,0.440,3.85,4.76,5.27,0.59,0.157,1.90,1.25,2.04,0.712,0.00686,2.85,239.9175,7181.85,95455.7,140064.9,42.048,97.7308,239.680,312.791,0.964,0.321,20.7,20.804,156.185,242,593.6,62.09,8.206,103.698,2029.1,84.673,0.134,2.00,8.5239,25861.4,0.8230,0.4775,20.28,1.106,0.086,1.0000,0.5769
80000,3047,2.221,0.673,6.46,282791,223701,4,45604,13469,2172213,963269.8,2509731.2,0.044,0.649,0.127,0.180,117,24.14,23.82,2.59,5.77,2.91,7.64,0.40,2.09,13.71,8.74,0.56,1.46,0.041,0.107,1080,0.055,0.034,0.947,0.000,0.018,496810,389992,2,0.734,0.076,0.123,2631759,0.054,2.540,0.046,15.03,129095,134,1.155,0.334,0.772,16621316,1.68,12.65,0.087,0.347,0.146,6.0,14.6,74.1,116.7,59778,0.228,0.00,0.0023,0.072,494,0.687,0.001,0.889,0.452,3.77,4.93,4.79,0.57,0.147,1.81,1.21,1.93,0.713,0.00690,2.84,245.3573,8130.19,96484.9,140064.9,41.080,99.0014,240.894,331.657,0.954,0.330,22.7,21.022,155.932,204,424.9,65.97,7.877,104.889,2055.8,86.478,0.134,2.00,7.9745,24298.3,0.8086,0.4703,19.62,1.118,0.089,1.0000,0.4231
90000,2861,2.254,0.633,6.65,277337,222040,1,42831,12651,1985387,943546.4,2452790.8,0.043,0.645,0.127,0.185,119,23.48,22.74,2.39,5.58,2.37,6.72,0.43,2.97,13.84,8.62,0.47,1.31,0.035,0.101,1024,0.087,0.036,0.943,0.000,0.021,492572,389988,2,0.754,0.078,0.101,2761621,0.057,2.444,0.041,14.38,128018,134,1.235,0.334,0.739,16195530,1.63,12.57,0.076,0.315,0.126,6.0,15.8,69.2,118.1,54464,0.208,0.00,0.0024,0.081,455,0.686,0.001,0.896,0.458,3.73,5.07,4.69,0.47,0.127,1.74,1.22,1.85,0.710,0.00704,2.84,244.1139,7717.24,95808.2,140064.9,43.252,97.5539,237.045,281.215,0.911,0.325,20.4,20.128,155.472,155,358.6,62.10,7.252,103.366,1911.6,85.145,0.135,2.00,9.1126,26071.1,0.8997,0.4825,19.04,1.124,0.080,1.0000,0.4189
100000,3052,2.231,0.672,6.78,272471,217447,5,41586,13242,1870662,942806.0,2401655.5,0.039,0.645,0.134,0.181,119,24.08,23.56,2.48,5.65,2.66,7.05,0.35,1.89,13.76,8.65,0.54,1.41,0.037,0.099,1086,0.046,0.028,0.951,0.000,0.022,484462,386012,2,0.726,0.097,0.111,3084375,0.053,2.413,0.047,14.44,129769,139,1.284,0.326,0.736,16343220,1.63,12.72,0.079,0.346,0.140,6.0,15.2,73.0,133.4,58733,0.224,0.00,0.0022,0.083,481,0.696,0.000,0.895,0.458,3.75,4.80,4.88,0.54,0.140,1.75,1.18,1.89,0.719,0.00636,2.85,242.1197,8128.04,96443.4,140064.9,43.361,98.2698,233.077,285.778,0.926,0.323,22.4,19.418,155.248,226,480.2,45.23,7.258,103.186,1891.7,84.993,0.134,2.00,7.9666,24314.1,0.8393,0.4961,19.24,1.150,0.074,1.0000,0.6417
