step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std
10000,4736,1.671,0.729,8.60,414251,370311,0,29602,11085,2076050,1028447.1,2596870.5,0.130,0.612,0.100,0.158,70,15.12,9.69,1.07,2.32,1.86,2.51,0.13,1.35,7.56,7.01,0.43,0.94,0.120,0.147,2422,0.031,0.018,0.954,0.001,0.026,641663,499216,4,0.794,0.103,0.026,2064562,0.185,1.771,0.050,22.96,205770,127,1.251,0.361,0.785,25785299,1.31,15.67,0.002,0.663,0.198,5.3,14.0,24.5,127.9,50288,0.192,0.00,0.0029,0.067,558,0.744,0.000,0.826,0.370,2.93,5.73,2.93,0.52,0.279,1.50,1.26,1.29,0.784,0.00324,2.66,290.6981,7435.79,96840.8,140332.6,36.310,119.2319,298.302,526.456,0.947,0.302,16.2,15.325,158.496,625,1831.0,44.03,36.334,101.912,2098.4,78.780,0.135,2.00,4.6834,22180.5,0.9012,0.5213,10.62,1.355,0.348,1.0000,0.6232
20000,4335,1.662,0.781,9.82,407056,371958,0,24532,10967,2156320,839706.9,2317750.2,0.031,0.750,0.054,0.165,80,15.09,10.41,1.11,2.47,1.98,2.81,0.08,1.14,6.85,5.96,0.35,0.78,0.112,0.135,2204,0.062,0.017,0.958,0.000,0.025,564072,438515,3,0.487,0.427,0.012,745757,0.162,2.083,0.055,22.55,161424,161,1.075,0.297,0.775,31124449,1.33,16.32,0.001,0.675,0.185,4.2,14.1,26.0,164.3,43414,0.166,0.00,0.0028,0.061,526,0.730,0.000,0.812,0.303,2.82,5.35,2.99,0.46,0.273,1.53,1.31,1.30,0.767,0.00409,2.67,220.0798,7432.52,95636.9,140332.6,45.828,97.4767,264.747,344.392,0.965,0.298,16.8,17.744,158.079,767,2305.9,35.14,17.366,92.796,2513.6,69.584,0.135,2.00,5.3903,23367.1,1.1227,0.5596,10.01,1.374,0.341,1.0000,0.8404
30000,4486,1.659,0.755,9.22,382087,346882,1,23670,11383,1985128,826768.1,2237359.2,0.034,0.781,0.042,0.142,78,15.08,9.58,1.09,2.23,1.85,2.56,0.05,0.94,7.26,6.63,0.39,0.86,0.109,0.138,2184,0.049,0.019,0.959,0.002,0.021,533877,419093,4,0.823,0.165,0.008,626082,0.140,2.032,0.052,21.64,158083,166,1.127,0.299,0.803,31866954,1.32,16.01,0.002,0.650,0.187,5.1,15.0,24.5,128.0,45970,0.175,0.00,0.0025,0.063,435,0.747,0.000,0.794,0.308,2.95,5.18,3.50,0.50,0.280,1.49,1.30,1.30,0.780,0.00379,2.44,212.1194,7641.26,94564.5,140332.6,47.145,97.1692,253.971,322.267,0.925,0.301,15.5,16.983,158.149,629,1772.7,40.28,16.685,92.615,2436.0,68.469,0.135,2.00,5.4823,24593.6,1.0675,0.5766,10.25,1.366,0.331,1.0000,0.7148
40000,4931,1.623,0.743,6.79,393400,360407,2,18749,13797,1818737,826710.4,2326889.8,0.023,0.796,0.044,0.138,84,13.73,8.47,0.99,2.18,1.76,2.81,0.09,1.23,6.84,5.87,0.34,0.80,0.106,0.145,1969,0.054,0.016,0.966,0.000,0.018,570084,487537,1,0.733,0.267,0.014,548041,0.158,2.002,0.052,21.45,138062,176,1.279,0.294,0.803,36522701,1.30,16.05,0.001,0.627,0.172,4.8,13.2,23.4,131.6,47728,0.182,0.00,0.0025,0.064,608,0.778,0.000,0.801,0.329,2.92,5.44,3.43,0.42,0.241,1.43,1.27,1.28,0.807,0.00311,2.84,235.1756,7837.58,91467.3,140332.6,48.794,96.5460,270.278,299.241,0.891,0.290,16.4,15.352,157.128,509,1532.4,59.87,15.726,90.760,2321.5,69.924,0.134,2.00,5.5408,27321.5,1.1665,0.5976,9.68,1.323,0.199,1.0000,1.1554
50000,6184,1.584,0.648,7.45,440522,402900,10,21177,15182,2036648,827445.1,2489015.5,0.020,0.826,0.063,0.091,80,13.68,7.11,1.07,1.72,1.10,1.92,0.08,1.03,6.42,5.41,0.61,0.96,0.069,0.104,2299,0.090,0.019,0.952,0.001,0.028,615275,496715,3,0.492,0.002,0.011,673915,0.167,1.672,0.041,20.90,148314,169,1.222,0.289,0.826,42465718,1.41,16.49,0.000,0.646,0.339,5.3,13.3,19.9,119.5,53589,0.204,0.00,0.0021,0.061,798,0.764,0.000,0.796,0.300,2.85,5.78,3.03,0.65,0.371,1.90,1.73,1.34,0.796,0.00296,3.81,245.2894,7564.36,88295.3,140332.6,45.723,95.6937,293.128,332.883,0.924,0.290,20.2,18.299,155.060,295,740.2,29.97,14.460,93.412,1833.9,72.531,0.134,2.00,4.8373,29913.7,1.0773,0.6138,8.67,1.452,0.317,1.0000,0.7361
60000,5435,1.569,0.621,7.33,441252,408684,2,17174,16141,1785323,817418.8,2453532.5,0.016,0.804,0.081,0.100,81,13.26,7.61,1.04,1.65,0.93,1.57,0.11,1.31,6.29,5.12,0.59,0.94,0.058,0.089,1806,0.098,0.021,0.944,0.001,0.034,608697,486311,3,0.454,0.000,0.014,763982,0.201,1.803,0.041,19.23,151134,199,1.374,0.247,0.789,41654418,1.40,16.65,0.001,0.596,0.331,5.2,13.0,18.2,112.7,45470,0.173,0.00,0.0024,0.074,681,0.749,0.000,0.787,0.292,2.80,5.84,2.88,0.62,0.359,1.89,1.76,1.33,0.779,0.00337,3.99,247.5750,6897.51,90601.3,140332.6,46.987,94.7597,293.949,346.140,0.857,0.296,16.6,18.339,155.095,286,722.8,43.62,11.823,93.642,2086.6,72.967,0.134,2.00,5.4409,29571.0,1.2251,0.6632,8.37,1.439,0.331,1.0000,1.1020
70000,5490,1.578,0.620,7.60,444123,412688,2,15715,15663,1642823,806381.7,2410871.0,0.014,0.805,0.091,0.090,85,12.95,7.49,0.94,1.58,0.91,1.82,0.11,1.16,6.03,5.04,0.61,0.94,0.058,0.091,1951,0.054,0.019,0.949,0.001,0.031,608200,509495,3,0.519,0.001,0.019,1057966,0.165,1.737,0.040,17.87,149584,207,1.468,0.236,0.782,41822837,1.37,16.98,0.001,0.610,0.346,5.3,12.6,18.5,109.0,43836,0.167,0.00,0.0024,0.072,638,0.743,0.000,0.782,0.287,2.75,5.92,2.61,0.63,0.364,1.99,1.55,1.30,0.772,0.00333,3.80,243.7046,6876.94,92145.6,140332.6,47.237,94.6892,290.487,319.401,0.889,0.293,17.9,18.267,155.319,331,814.9,39.89,10.650,94.934,1983.4,73.353,0.134,2.00,5.0875,27930.2,1.2127,0.7136,7.98,1.486,0.341,1.0000,0.6895
80000,5926,1.605,0.676,7.98,445018,414397,1,15014,15170,1640341,802137.8,2412747.0,0.014,0.799,0.098,0.090,88,13.63,8.22,1.02,1.53,1.10,1.83,0.14,1.53,5.88,4.67,0.70,1.04,0.066,0.094,2179,0.066,0.015,0.956,0.001,0.027,609876,523563,3,0.508,0.000,0.023,1217138,0.143,1.781,0.043,17.90,148283,212,1.471,0.224,0.813,41233370,1.39,16.70,0.001,0.645,0.381,5.3,13.0,20.5,109.5,48300,0.184,0.00,0.0023,0.066,1014,0.736,0.000,0.787,0.287,2.79,6.06,2.66,0.73,0.404,1.95,1.58,1.32,0.766,0.00317,3.98,240.8806,7637.83,89609.1,140332.6,47.405,93.4378,289.951,318.028,0.955,0.293,18.9,18.763,155.232,343,843.5,37.09,10.628,94.557,2105.2,73.187,0.135,2.00,4.8109,28509.1,1.1200,0.7333,8.15,1.502,0.355,1.0000,1.2698
90000,5024,1.477,0.670,9.30,486661,445393,0,25711,16459,2246367,819624.1,2539103.2,0.015,0.813,0.075,0.098,83,12.40,8.39,0.76,1.35,1.33,2.17,0.13,1.26,5.48,5.04,0.81,1.34,0.088,0.118,2105,0.042,0.025,0.941,0.001,0.032,653065,528269,3,0.442,0.000,0.024,1366580,0.110,2.111,0.039,19.24,177554,183,1.130,0.230,0.761,38174961,1.32,17.71,0.000,0.669,0.322,3.9,11.6,19.6,104.6,38683,0.148,0.00,0.0030,0.074,773,0.678,0.000,0.778,0.271,2.63,5.42,2.63,0.84,0.350,1.93,1.18,1.27,0.717,0.00464,4.27,225.6717,6754.28,101119.8,140332.6,42.829,94.5887,289.065,397.617,0.914,0.333,22.8,23.306,155.470,344,870.4,45.40,11.786,97.505,2829.8,72.916,0.135,2.00,3.8904,19545.3,1.0665,0.6433,7.70,1.495,0.403,1.0000,0.5485
100000,5036,1.501,0.691,9.67,451954,410741,0,25869,15332,2114400,801930.3,2341552.2,0.019,0.809,0.073,0.098,80,12.66,8.90,0.84,1.59,1.38,2.21,0.16,2.03,5.74,5.61,0.75,1.28,0.089,0.122,2226,0.025,0.019,0.950,0.001,0.030,615053,477753,3,0.409,0.001,0.024,1357670,0.105,2.164,0.041,18.13,191443,186,1.107,0.232,0.770,33642113,1.32,17.42,0.001,0.664,0.316,4.0,11.9,19.9,125.8,40908,0.156,0.00,0.0028,0.075,743,0.667,0.000,0.773,0.284,2.72,5.44,2.81,0.80,0.357,1.87,1.18,1.28,0.706,0.00430,3.71,204.6873,6874.91,99707.4,140332.6,43.887,94.4448,262.305,372.514,0.939,0.324,21.3,21.657,155.475,294,780.4,38.31,10.974,98.117,3185.7,70.544,0.134,2.00,4.0609,20450.9,1.0801,0.6344,8.12,1.456,0.400,1.0000,0.9833
