step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density
5000,1,1973,23.3,1.9,2.0,0.1,15.7,0.3,1.45,11.5,862,129,7.34,14.03,1005,662,306,0.3,1.58,1.19,1.55,4.01,5.48,5.06,26.7,1.022
5000,40,81,16.4,0.0,0.0,0.2,14.8,0.0,1.04,12.5,34,127,5.95,10.34,0,45,36,0.0,1.02,1.02,1.06,3.23,4.30,5.56,37.9,1.124
5000,20,48,12.8,0.0,0.0,0.0,10.4,0.0,1.00,12.6,13,160,3.96,9.34,8,37,3,0.0,1.00,1.00,1.00,3.35,3.62,6.10,31.0,1.225
5000,8,45,21.6,0.6,0.0,0.2,13.2,0.0,1.24,15.7,27,176,6.69,11.50,38,7,0,0.0,1.34,1.32,1.18,3.00,4.96,3.18,20.7,1.495
5000,5,35,12.9,0.0,0.0,0.0,10.3,0.0,1.00,17.5,23,176,6.24,11.37,0,35,0,0.0,1.00,1.00,1.00,2.86,3.40,3.86,31.5,1.236
5000,9,31,8.0,0.0,0.0,0.0,8.2,0.0,1.00,19.2,14,201,9.90,14.52,0,31,0,0.0,1.00,1.00,1.00,2.13,2.65,3.74,32.5,0.977
5000,4,20,22.3,0.0,2.0,0.1,15.3,0.0,1.00,13.9,15,131,5.70,11.86,6,12,2,0.0,1.00,1.00,1.00,3.45,5.65,3.40,29.3,1.300
5000,45,17,11.9,0.1,0.0,0.0,10.2,0.0,1.02,18.1,9,304,7.70,16.99,0,17,0,0.0,1.02,1.02,1.02,2.94,2.82,4.12,30.7,1.141
5000,3,12,22.6,0.0,0.0,0.0,17.6,0.0,1.00,9.3,8,148,6.69,9.05,12,0,0,0.0,1.00,1.00,1.00,3.92,5.42,5.92,15.7,1.274
5000,24,10,13.3,1.5,0.0,0.0,8.4,0.0,1.64,18.2,6,293,12.45,13.35,0,8,2,0.0,1.58,1.65,1.65,3.00,2.70,4.40,35.9,1.178
5000,7,6,4.2,0.0,0.0,0.0,6.0,0.0,1.00,20.0,3,110,6.15,3.11,0,6,0,0.0,1.00,1.00,1.00,2.50,3.00,3.00,33.3,0.702
6000,1,1562,25.2,1.1,3.1,0.1,16.5,0.2,1.27,11.1,861,116,6.74,14.69,793,518,251,0.2,1.30,1.19,1.30,4.02,5.78,4.86,26.6,1.086
6000,40,88,13.1,0.2,0.0,0.0,11.6,0.0,1.11,15.1,60,117,5.67,8.34,5,47,36,0.0,1.06,1.09,1.18,2.78,4.30,4.26,35.5,1.094
6000,8,86,17.8,0.3,0.0,0.0,11.8,0.0,1.14,16.9,53,104,3.55,7.98,47,35,4,0.0,1.13,1.17,1.13,2.78,4.44,3.13,23.0,1.408
6000,99,35,8.1,0.0,0.0,0.3,7.6,0.0,1.00,19.2,27,193,4.99,11.17,24,11,0,0.0,1.00,1.00,1.00,2.89,5.71,2.26,22.3,1.041
6000,45,11,11.0,0.0,0.0,0.0,9.8,0.0,1.00,18.5,4,152,3.13,7.32,2,9,0,0.0,1.00,1.00,1.00,3.00,2.91,3.82,26.8,1.125
6000,20,8,8.8,0.0,0.0,0.0,7.1,0.0,1.00,16.8,8,266,12.22,9.59,0,7,1,0.0,1.00,1.00,1.00,2.88,2.50,5.38,32.9,1.240
6000,7,8,3.3,0.0,0.0,0.0,4.6,0.0,1.00,21.8,7,345,10.42,10.91,0,8,0,0.0,1.00,1.00,1.00,2.38,2.25,2.88,31.3,0.717
6000,3,7,19.1,0.4,0.0,0.3,13.9,0.0,1.18,12.3,7,158,5.64,10.96,3,3,1,0.0,1.25,1.25,1.13,3.14,4.71,6.57,28.0,1.288
7000,1,1321,21.9,0.5,2.3,0.1,15.9,0.1,1.14,12.0,651,118,6.55,12.67,558,512,251,0.1,1.15,1.14,1.14,3.78,5.66,4.49,28.5,1.064
7000,40,70,15.7,0.1,0.2,0.1,13.8,0.0,1.04,12.8,48,118,5.55,8.77,8,30,32,0.0,1.00,1.05,1.06,3.11,4.89,5.50,37.2,1.101
7000,8,39,19.8,0.3,0.0,0.5,11.9,0.0,1.20,15.8,23,109,3.04,7.94,38,1,0,0.0,1.17,1.22,1.21,3.00,4.90,3.18,14.7,1.542
7000,112,23,12.5,0.0,0.0,0.0,9.6,0.0,1.00,17.0,9,133,3.91,6.85,4,19,0,0.0,1.00,1.00,1.00,2.52,4.96,2.57,28.4,1.333
7000,110,16,10.6,0.1,0.0,0.0,12.6,0.0,1.01,15.4,12,262,19.75,10.74,11,5,0,0.0,1.00,1.02,1.01,3.12,4.94,3.38,23.6,0.831
8000,1,684,14.1,0.2,0.1,0.0,13.3,0.0,1.06,14.2,250,125,6.28,9.30,318,302,64,0.0,1.06,1.09,1.06,3.24,4.81,4.19,26.5,1.022
8000,135,111,18.3,0.0,0.6,0.2,24.1,0.0,1.01,6.3,71,81,6.14,8.23,22,41,48,0.0,1.01,1.00,1.01,4.85,5.91,7.25,35.5,0.738
8000,40,40,27.2,0.4,0.2,0.6,23.5,0.0,1.11,5.8,21,102,5.76,10.18,0,38,2,0.0,1.12,1.15,1.09,5.07,5.57,7.78,34.2,1.096
8000,8,16,14.5,0.0,0.0,1.6,8.1,0.0,1.00,17.9,11,173,11.43,10.68,16,0,0,0.0,1.00,1.00,1.00,2.94,4.94,2.12,16.0,1.629
8000,143,5,6.9,0.0,0.0,0.0,7.0,0.0,1.00,20.0,1,117,2.99,3.47,0,5,0,0.0,1.00,1.00,1.00,2.80,3.00,3.00,31.6,0.981
9000,1,1132,15.6,0.5,0.0,0.1,14.0,0.0,1.16,14.1,527,123,5.91,8.86,501,435,196,0.0,1.13,1.25,1.15,3.28,4.80,4.23,28.1,1.043
9000,151,595,59.6,13.0,14.7,1.6,18.0,3.2,4.33,2.8,471,137,12.25,34.46,302,215,78,3.2,5.17,1.81,5.62,6.42,7.01,7.75,26.7,1.002
9000,40,123,16.8,0.2,0.2,0.2,15.5,0.0,1.08,13.3,81,107,5.06,7.76,30,86,7,0.0,1.04,1.09,1.09,3.58,3.67,5.71,30.1,1.037
9000,135,40,14.9,0.2,0.1,0.0,18.8,0.0,1.03,11.4,32,126,7.41,13.72,20,15,5,0.1,1.00,1.05,1.03,3.85,4.47,5.80,28.2,0.809
10000,1,1672,16.2,0.3,0.0,0.1,14.5,0.0,1.11,13.9,729,131,6.10,9.45,733,635,304,0.0,1.09,1.17,1.11,3.41,4.71,4.38,28.7,1.070
10000,151,548,61.2,13.5,14.0,0.7,19.2,3.1,4.44,2.7,446,153,14.06,37.99,267,189,92,3.2,5.36,1.75,5.68,6.48,7.05,7.72,26.4,1.009
10000,40,91,17.4,0.2,0.6,0.0,14.4,0.0,1.07,13.6,57,118,6.08,8.58,31,56,4,0.1,1.11,1.13,1.04,3.37,3.84,5.41,27.7,1.119
10000,135,38,19.6,0.2,1.5,0.0,21.6,0.0,1.03,8.5,28,102,6.95,15.36,2,25,11,0.1,1.00,1.05,1.04,4.29,5.82,6.26,33.4,0.809
10000,160,26,21.1,1.5,0.6,0.0,17.1,0.0,1.34,9.3,14,83,3.68,8.74,26,0,0,0.0,1.25,1.50,1.34,4.27,3.77,7.58,9.5,1.019
10000,162,15,10.7,0.0,0.0,0.3,13.3,0.0,1.00,12.8,10,68,4.10,3.38,0,15,0,0.0,1.00,1.00,1.00,3.33,4.93,4.80,33.4,0.807
11000,1,2078,15.8,0.4,0.1,0.1,13.9,0.0,1.13,14.3,801,125,5.83,9.08,944,777,357,0.0,1.10,1.16,1.15,3.28,4.69,4.23,27.5,1.069
11000,151,459,65.6,15.2,15.6,0.7,18.5,3.6,4.77,2.1,382,153,16.46,43.31,231,157,71,3.7,5.94,1.74,6.05,6.54,7.29,7.77,26.5,1.008
