step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std
10000,2011,2.941,0.777,10.74,205895,178044,2,20823,6520,1310223,1053057.5,2085276.8,0.136,0.562,0.179,0.123,75,37.34,33.57,0.44,2.09,5.25,10.55,0.26,1.74,18.42,11.38,0.00,0.04,0.069,0.126,1221,0.019,0.019,0.954,0.001,0.025,411260,340106,6,0.483,0.428,0.054,4788591,0.185,2.304,0.061,19.80,142444,135,1.592,0.337,0.699,13241137,1.12,8.43,0.031,0.401,0.000,8.2,24.6,95.7,127.9,49022,0.187,0.00,0.0028,0.056,343,0.782,0.000,0.790,0.516,4.60,6.04,5.92,0.01,0.002,1.12,1.15,1.12,0.806,0.00747,1.77,248.1051,7107.27,101749.8,140456.7,38.035,119.1845,219.803,521.848,0.940,0.298,19.7,15.022,159.056,791,2544.7,49.88,33.835,104.230,2589.9,77.027,0.135,2.00,9.2189,18539.2,0.7193,0.4608,24.38,1.392,0.436,1.0000,1.0043
20000,3416,2.058,0.664,21.35,297811,227832,1,43746,24827,2447828,846677.6,2033057.5,0.030,0.811,0.112,0.047,64,21.79,13.19,0.26,2.44,3.22,4.82,0.12,1.74,10.54,9.01,0.00,0.00,0.129,0.159,1648,0.066,0.021,0.949,0.001,0.029,430349,320199,2,0.609,0.022,0.010,564064,0.192,2.017,0.046,22.01,196319,110,0.831,0.422,0.739,20054205,1.08,14.57,0.003,0.372,0.000,6.2,22.0,32.0,125.0,48290,0.184,0.00,0.0024,0.061,449,0.721,0.000,0.723,0.333,3.32,4.26,4.67,0.00,0.001,1.05,1.10,1.08,0.762,0.00633,2.29,176.6616,6937.14,88470.2,140456.7,43.975,94.6297,201.627,352.921,0.935,0.266,14.9,21.614,158.096,523,1418.8,73.06,18.737,95.559,1975.4,67.030,0.134,2.00,9.5375,32580.0,1.1741,0.4226,14.14,1.642,0.469,1.0000,1.2389
30000,3278,2.196,0.643,19.32,298750,250425,160,20286,28017,1380377,841031.1,2020491.0,0.040,0.785,0.096,0.079,55,23.41,15.19,0.13,1.51,2.35,3.72,0.10,1.38,13.34,9.69,0.00,0.00,0.092,0.128,1392,0.129,0.024,0.947,0.000,0.029,431251,319882,2,0.512,0.022,0.016,407457,0.226,2.283,0.044,18.41,217617,126,1.464,0.475,0.778,25183474,1.03,13.22,0.001,0.289,0.000,8.0,22.2,30.7,124.0,52202,0.199,0.00,0.0019,0.058,496,0.788,0.000,0.695,0.336,3.84,4.97,5.11,0.00,0.000,1.01,1.05,1.04,0.811,0.00460,3.31,222.1149,7676.45,81981.4,140456.7,51.884,92.9040,226.235,287.559,0.892,0.254,13.3,15.091,156.150,312,719.5,72.66,11.745,90.239,1678.0,70.922,0.134,2.00,11.9576,39197.1,1.1959,0.4755,15.92,1.551,0.481,1.0000,1.2348
40000,3301,2.229,0.650,21.07,273569,234488,187,15241,23630,1254310,842555.9,1997408.6,0.045,0.761,0.096,0.098,55,24.79,17.02,0.12,1.11,2.80,4.20,0.08,0.97,12.96,9.75,0.00,0.00,0.105,0.134,1482,0.117,0.026,0.937,0.001,0.036,412572,301133,3,0.583,0.002,0.018,538185,0.210,2.381,0.042,17.83,204317,106,1.592,0.519,0.783,22699710,1.04,13.69,0.001,0.311,0.000,8.2,24.0,34.0,128.0,52674,0.201,0.00,0.0020,0.067,637,0.773,0.000,0.721,0.364,3.87,5.21,4.78,0.00,0.000,1.02,1.05,1.04,0.795,0.00477,3.55,227.7686,7793.49,83785.1,140456.7,53.208,91.5085,225.280,298.589,0.932,0.256,17.8,15.755,155.631,285,646.9,82.77,11.167,89.250,1770.5,71.637,0.135,2.00,11.2099,37003.8,1.1191,0.4530,15.96,1.605,0.474,1.0000,0.8071
50000,3387,2.200,0.632,19.59,286641,244733,140,16876,24806,1316029,856948.2,2072325.4,0.045,0.756,0.092,0.106,53,24.05,15.68,0.08,0.96,2.58,3.89,0.13,1.63,13.44,9.75,0.00,0.00,0.095,0.128,1461,0.061,0.031,0.938,0.000,0.031,425759,295964,2,0.521,0.014,0.015,512590,0.217,2.403,0.041,17.46,211988,103,1.575,0.504,0.790,22766521,1.02,13.76,0.003,0.287,0.000,8.0,23.7,32.0,128.0,54981,0.210,0.00,0.0019,0.068,570,0.764,0.000,0.708,0.355,3.79,5.17,4.58,0.00,0.000,1.01,1.03,1.02,0.787,0.00488,3.25,234.2189,7538.38,82372.8,140456.7,52.003,91.9229,232.559,311.464,0.954,0.251,16.3,16.521,156.655,257,600.1,80.35,10.980,91.125,1832.4,73.757,0.134,2.00,11.4048,38628.0,1.0975,0.4470,16.23,1.549,0.485,1.0000,0.8163
60000,3567,2.154,0.667,20.90,298366,254842,122,17739,25483,1354992,873414.9,2126472.8,0.046,0.750,0.093,0.110,55,23.94,16.62,0.06,0.74,2.84,4.03,0.04,0.92,12.17,9.21,0.00,0.07,0.103,0.131,1534,0.086,0.025,0.933,0.000,0.042,439059,295042,4,0.537,0.008,0.004,389733,0.231,2.207,0.048,17.53,216328,105,1.569,0.496,0.781,23162276,1.02,14.34,0.001,0.305,0.001,7.3,21.7,36.0,124.0,53882,0.206,0.00,0.0020,0.070,627,0.758,0.000,0.711,0.349,3.64,5.17,4.27,0.00,0.001,1.02,1.03,1.03,0.781,0.00481,3.11,240.7025,7866.35,81828.6,140456.7,49.774,93.7472,239.394,323.401,0.961,0.245,17.8,17.156,157.407,353,845.7,71.65,10.989,93.432,1809.7,75.672,0.134,2.00,10.7365,38297.0,1.0568,0.4480,15.11,1.598,0.478,1.0000,1.3905
70000,3624,2.161,0.654,19.72,307298,259569,120,19944,27608,1374053,868987.2,2107444.5,0.044,0.746,0.095,0.114,56,23.52,16.19,0.06,0.72,2.72,4.08,0.07,1.01,12.49,9.09,0.00,0.00,0.097,0.127,1453,0.084,0.025,0.940,0.001,0.034,441036,294886,8,0.459,0.177,0.012,280435,0.222,2.213,0.043,17.38,213202,108,1.534,0.467,0.793,22964626,1.02,13.87,0.003,0.296,0.000,8.0,21.7,34.0,128.0,55580,0.212,0.00,0.0019,0.067,745,0.750,0.000,0.714,0.334,3.70,5.35,4.40,0.00,0.001,1.02,1.03,1.02,0.773,0.00471,2.86,236.3435,7886.84,80403.1,140456.7,50.085,93.6803,237.210,362.680,0.935,0.251,17.3,17.069,157.961,255,603.2,83.03,11.375,93.514,1827.8,75.510,0.135,2.00,10.9771,39780.9,1.0650,0.4551,15.34,1.556,0.482,1.0000,1.1033
80000,3495,2.156,0.618,19.65,308843,261888,112,18916,28056,1364092,871919.7,2126835.0,0.044,0.756,0.090,0.110,55,23.78,17.55,0.10,1.03,2.66,4.05,0.09,1.31,12.51,9.25,0.00,0.07,0.095,0.126,1409,0.097,0.025,0.937,0.000,0.038,445542,299535,7,0.461,0.030,0.008,300712,0.218,2.294,0.041,17.09,216714,109,1.559,0.475,0.779,23613380,1.03,13.99,0.002,0.291,0.000,7.2,21.7,34.0,128.0,53676,0.205,0.00,0.0020,0.070,700,0.754,0.000,0.721,0.335,3.67,5.34,4.29,0.00,0.000,1.03,1.04,1.03,0.777,0.00492,2.92,239.3271,7413.45,81535.9,140456.7,49.527,94.3019,239.826,342.977,0.962,0.251,17.6,17.203,157.945,276,630.8,70.99,10.972,94.302,1735.3,76.099,0.135,2.00,11.3259,39584.0,1.0991,0.4596,15.36,1.556,0.481,1.0000,0.7835
90000,3794,2.077,0.632,19.23,306393,259057,113,19090,27834,1298844,870533.6,2090180.4,0.043,0.751,0.091,0.114,57,22.26,16.40,0.09,0.87,2.53,4.04,0.09,1.35,11.71,8.27,0.00,0.00,0.091,0.128,1509,0.056,0.026,0.934,0.001,0.040,441206,297644,5,0.478,0.103,0.010,391079,0.201,2.560,0.042,16.84,215129,110,1.609,0.468,0.777,23012111,1.03,14.26,0.003,0.308,0.000,7.2,18.0,34.0,128.0,54709,0.209,0.00,0.0020,0.063,816,0.751,0.000,0.718,0.336,3.55,5.29,4.15,0.00,0.002,1.03,1.04,1.03,0.773,0.00445,2.76,236.8910,7512.41,80303.1,140456.7,49.823,94.2364,236.067,333.351,0.941,0.248,17.9,16.894,158.086,254,597.1,83.09,10.860,94.419,1864.9,76.221,0.136,2.00,10.5978,40208.1,1.0642,0.4656,14.42,1.538,0.484,1.0000,1.0114
100000,3588,2.167,0.631,20.00,310395,261940,155,20247,28259,1352679,870797.6,2094820.9,0.043,0.755,0.091,0.111,57,23.60,16.77,0.06,0.79,2.70,3.83,0.06,0.95,12.21,8.69,0.00,0.00,0.095,0.123,1380,0.068,0.028,0.943,0.000,0.029,440635,301266,4,0.514,0.004,0.011,403219,0.181,2.204,0.044,16.95,216752,109,1.549,0.453,0.753,23278679,1.02,13.61,0.003,0.292,0.000,7.5,20.7,34.0,128.0,53936,0.206,0.00,0.0020,0.057,730,0.747,0.000,0.731,0.325,3.67,5.47,4.29,0.00,0.001,1.01,1.02,1.02,0.770,0.00484,2.82,234.6680,7435.78,82567.3,140456.7,49.209,94.6862,236.667,343.319,0.961,0.255,16.1,17.350,157.864,288,725.1,89.69,11.055,94.864,1801.4,76.173,0.135,2.00,10.6071,38058.3,1.0325,0.4665,15.03,1.562,0.479,1.0000,1.5711
