step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density
100000,26.48,64,11,0,0,4,0,4.55,10,0.000,2195,4.25,122.60,128.23,461,1,1,0,4.50,4.25,5.00,5,3,8,29.5,115.413,15,1.018
100000,10.53,8,0,0,0,8,0,1.00,18,0.000,1628,2.36,75.25,102.68,1,0,0,0,1.00,1.00,1.00,2,4,3,6.9,78.144,8,1.317
100000,68.67,64,26,10,2,10,2,8.61,4,0.146,1577,5.26,187.69,196.85,461,1,0,2,9.75,1.00,12.92,6,6,8,26.4,194.657,48,0.941
100000,27.04,64,10,0,0,5,0,4.14,10,0.000,1346,1.83,122.29,39.37,461,1,2,0,4.00,3.38,5.33,2,3,8,31.0,77.481,15,1.082
100000,6.51,20,0,0,0,6,0,1.00,18,0.000,1292,1.76,33.95,82.15,1,0,0,0,1.00,1.00,1.00,2,6,1,5.3,45.538,6,1.084
100000,4.31,18,0,0,0,4,0,1.00,22,0.000,1287,1.36,39.14,55.87,1,1,1,0,1.00,1.00,1.00,2,2,3,35.3,48.263,4,1.078
100000,26.46,21,7,0,0,7,0,3.50,12,0.000,1272,3.77,114.87,78.14,1,0,0,0,1.50,5.25,3.58,5,7,4,19.6,68.830,14,1.260
100000,52.77,64,16,6,1,11,2,5.91,0,0.114,1248,5.02,130.15,149.43,461,0,0,2,6.00,4.12,6.75,5,8,8,19.1,118.819,34,1.066
100000,9.03,13,0,0,0,8,0,1.00,18,0.000,1066,2.28,64.08,41.39,1,1,1,0,1.00,1.00,1.00,2,4,3,31.7,49.094,8,1.128
100000,2.08,9,0,0,0,2,0,1.00,26,0.000,1042,2.07,39.82,7.47,1,1,1,0,1.00,1.00,1.00,1,2,1,32.0,33.139,2,1.040
100000,55.06,64,24,0,0,7,0,9.58,8,0.000,1016,1.28,81.81,52.37,461,0,0,0,9.00,4.75,15.00,6,4,8,20.6,92.203,31,1.001
100000,9.42,18,0,0,0,9,0,1.00,20,0.000,1005,1.08,67.16,92.72,1,0,0,0,1.00,1.00,1.00,4,3,3,24.1,41.272,9,1.047
100000,13.23,12,0,0,0,12,0,1.00,16,0.000,992,1.07,41.60,76.38,1,0,0,0,1.00,1.00,1.00,2,5,3,18.3,55.552,12,1.103
100000,6.03,12,0,0,0,5,0,1.00,20,0.000,976,2.30,37.97,74.21,1,0,0,0,1.00,1.00,1.00,2,2,4,11.0,28.553,5,1.207
100000,8.13,8,0,0,0,7,0,1.00,18,0.000,963,2.19,51.12,41.71,1,1,1,0,1.00,1.00,1.00,2,4,3,30.5,42.966,7,1.161
100000,3.71,8,0,0,0,3,0,1.00,24,0.000,960,0.80,39.68,31.56,1,0,0,0,1.00,1.00,1.00,2,3,1,11.8,29.553,3,1.236
100000,11.28,17,0,0,0,10,0,1.00,18,0.000,953,2.18,89.36,56.86,1,0,0,0,1.00,1.00,1.00,4,2,5,19.0,46.441,10,1.128
100000,35.73,64,12,1,0,7,1,4.54,4,0.028,946,3.48,143.96,173.84,461,1,0,1,4.50,2.88,5.67,4,6,8,28.8,61.716,20,1.117
100000,8.10,9,0,0,0,7,0,1.00,20,0.000,930,1.78,46.52,49.50,1,0,0,0,1.00,1.00,1.00,4,4,2,21.8,38.364,7,1.157
