step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
10000,0,1584,20.65,1.90,2.58,0.22,13.19,0.27,1.49,0.091,0.326,684622.4,1511770.5,12,112,3.59,1.62,1.21,176.9356,4640.12,78118.0,0.6239,3.4132,5462,5.1998,60,90.8770,677292.8
10000,1,1177,22.05,2.12,2.51,0.28,14.54,0.29,1.55,0.097,0.260,449336.3,1088655.8,9,109,3.82,1.67,1.20,118.1040,3329.36,11623.6,22.3078,6.3235,5461,5.1988,87,47.2709,371713.7
10000,2,562,23.15,1.04,1.96,1.22,18.41,0.18,1.24,0.059,0.146,240924.4,577620.4,3,80,4.29,1.33,1.08,65.9598,1264.94,332.2,44.9025,8.9658,5461,5.1988,81,14.4963,119579.8
20000,0,2328,15.55,0.15,0.34,0.19,14.83,0.00,1.06,0.000,0.413,246729.2,637131.2,2,79,3.76,1.04,1.06,71.8178,3829.77,71922.2,0.0000,4.5348,5462,3.4545,36,24.5859,212770.0
20000,1,1565,16.40,0.18,0.24,0.28,15.41,0.00,1.07,0.000,0.288,208779.9,509012.4,2,110,3.91,1.04,1.07,58.5386,2782.25,7327.2,4.7048,5.0685,5461,3.4539,29,19.4646,166919.7
20000,2,547,16.68,0.15,0.17,0.44,16.06,0.00,1.05,0.000,0.106,92748.8,209331.2,2,73,3.93,1.04,1.06,27.1795,1018.38,123.4,15.0576,5.5714,5461,3.4539,76,4.5069,38574.4
30000,0,1440,27.42,0.63,3.20,0.02,13.92,0.02,1.15,0.004,0.293,645971.2,1404964.8,9,84,3.56,1.10,1.18,151.5706,4827.45,75365.2,0.1570,2.3630,5462,6.3771,70,92.2804,664270.6
30000,1,904,28.91,0.38,3.24,0.01,15.75,0.00,1.10,0.001,0.202,405170.6,921519.8,10,87,3.81,1.08,1.13,94.3988,2937.86,11360.2,25.0902,4.9710,5461,6.3759,123,48.6833,372222.0
30000,2,512,27.88,0.65,3.00,0.04,16.64,0.01,1.18,0.006,0.117,147514.9,352407.4,7,54,4.08,1.18,1.23,37.5288,1472.25,418.6,48.4009,7.8784,5461,6.3759,159,8.7192,72741.3
40000,0,1334,21.58,1.14,4.41,0.25,10.57,0.03,1.33,0.012,0.248,237532.0,634961.9,2,99,3.91,1.22,1.36,67.6879,3407.94,85924.1,0.0000,4.1387,5462,3.5941,85,25.3905,207087.7
