step,nodes (8 by 8, row by row)
1000,-1.214,1.779,0.569,-1.765,1.100,0.830,0.941,0.058,0.142,0.252,0.389,0.475,-0.897,0.166,-0.058,-0.966,-0.680,-1.287,1.010,-0.744,-1.250,-2.684,0.657,-0.402,0.389,-0.265,1.019,-0.653,0.316,-1.078,0.330,-1.448,-0.899,2.106,-0.444,-0.529,-0.626,-0.609,-1.056,0.301,1.843,-0.277,1.380,-0.379,0.619,-0.404,0.313,0.817,0.800,0.212,0.587,0.088,-1.057,1.677,-0.591,1.447,0.665,0.937,-0.742,-1.117,-0.460,1.136,-0.234,1.355
2000,-0.448,2.663,0.231,-2.064,1.229,0.042,1.170,-1.090,-0.040,0.629,0.631,0.330,-1.813,-0.061,-0.420,0.634,-1.312,0.734,0.801,-0.551,-2.420,-2.112,0.415,-0.224,0.086,-0.239,0.705,-1.348,0.240,-0.506,1.426,-0.855,-1.484,1.590,-1.325,-0.166,-0.636,-0.199,-0.737,-0.594,1.337,-0.367,0.482,0.242,0.489,-0.701,-0.615,0.017,-0.014,-0.423,0.575,-1.107,-0.590,1.032,-0.589,0.507,0.620,0.622,-0.453,-0.006,0.873,0.559,0.861,1.125
3000,-0.542,3.400,-0.110,-1.927,1.042,-0.062,0.858,-0.888,-0.538,2.432,0.588,0.694,-0.576,-0.355,0.114,0.052,-0.382,0.092,1.017,-0.560,-1.970,-1.496,1.475,-0.687,0.384,-0.055,1.071,-1.198,-0.281,-0.155,0.630,-0.390,-1.030,0.648,-0.003,0.974,1.295,-0.983,-1.651,-0.969,1.535,-0.295,-0.102,0.114,-0.617,-1.348,-1.328,-0.293,-0.128,-0.274,-0.640,-0.092,-0.183,1.587,0.353,0.616,0.281,0.110,-0.294,-0.436,-0.453,1.259,-0.714,2.256
4000,-0.478,2.598,0.216,-1.193,0.838,1.125,1.385,-1.006,-0.590,2.556,1.123,-0.602,-0.298,-0.202,0.214,1.384,-0.501,-0.104,0.331,-0.429,-1.552,1.263,0.637,-1.964,0.906,0.360,0.088,-0.465,-1.425,0.003,1.010,0.926,-1.364,1.437,0.863,0.086,-0.162,-1.676,-0.870,-1.765,2.099,-1.119,-0.221,-0.582,-0.283,-1.320,-1.692,-0.490,-0.459,0.548,-0.807,1.641,0.536,-0.208,0.241,0.616,1.379,-1.194,0.571,-0.289,0.482,0.934,-0.178,1.595
5000,-0.089,0.121,-0.455,-0.212,1.044,1.035,1.282,-0.526,-1.274,3.364,0.320,1.691,-0.566,-0.432,0.530,1.544,0.489,1.241,0.209,0.563,-0.802,1.088,0.200,-0.681,0.898,-0.956,0.190,-0.756,-0.017,-0.047,0.190,0.549,-0.660,0.592,0.442,0.231,-0.187,-2.108,0.187,-1.301,1.727,-1.420,0.325,0.339,-0.383,-2.371,-1.264,-1.413,0.099,-0.222,0.050,1.155,0.356,-0.779,-0.034,1.177,-0.197,-0.618,-0.332,1.230,-0.335,0.513,-0.287,0.990
6000,-0.533,0.678,-0.041,-0.719,0.310,0.843,1.743,-0.298,-1.344,2.565,-0.153,-0.683,-0.254,-1.495,-0.389,1.745,-0.342,-0.355,-0.495,1.211,-1.402,-0.430,1.396,-1.052,1.586,-0.990,0.160,-1.800,-0.207,-0.248,-0.494,0.255,-0.252,1.005,0.134,-0.107,-0.622,-1.632,-0.317,-1.511,1.602,0.186,0.410,-0.253,0.449,-2.714,-0.961,-0.494,-0.129,-1.305,0.157,0.371,-0.488,0.060,-1.002,0.214,-0.400,-0.804,0.508,1.167,-0.183,-0.903,0.188,0.938
7000,0.802,0.215,-0.787,-1.133,0.273,-0.372,1.646,0.183,-1.624,1.224,0.087,-1.864,0.530,-1.149,-0.010,-0.429,0.043,-0.097,-0.716,0.104,-1.077,-0.357,0.693,-0.748,1.229,-1.127,0.564,-2.111,-1.005,-0.697,0.495,-0.173,-0.414,-0.473,1.027,-0.013,0.078,-0.207,-0.584,-0.387,2.444,1.634,0.357,0.651,-0.262,-1.978,0.007,-0.098,1.043,-0.075,0.197,0.061,0.810,0.481,-0.201,-0.923,-0.086,-0.460,0.555,1.715,0.231,-0.130,0.974,-0.508
8000,0.426,-0.049,-2.062,-0.305,0.011,1.141,2.465,0.119,-2.392,1.023,0.583,-0.834,1.501,-1.096,-0.918,0.375,0.393,0.417,-0.122,-1.333,-0.514,-1.111,0.473,-0.566,0.831,-0.995,0.307,-2.066,-0.707,0.047,1.034,-0.160,-0.576,1.338,0.980,-0.641,0.047,-0.689,-1.067,0.194,2.312,0.801,0.963,-0.484,0.254,-0.739,0.398,-0.462,1.117,0.309,0.331,-1.064,1.837,1.198,0.016,-0.532,0.085,-0.915,1.446,2.396,-0.544,-0.114,-0.145,0.217
9000,0.456,-0.169,-2.228,-0.149,1.490,0.454,1.654,-0.401,-3.118,2.117,0.500,-0.761,-0.504,-1.435,-1.646,-0.844,0.146,0.904,-0.791,-0.982,0.887,-1.431,-0.211,-0.526,0.147,-1.671,0.226,-1.721,0.072,0.905,1.063,-0.580,-1.116,1.119,-0.152,-0.887,1.361,0.287,-1.145,-0.073,2.226,0.561,-0.151,-0.262,-0.464,-0.811,0.984,-1.237,0.351,-0.379,0.534,-1.605,1.403,2.362,-0.869,-1.018,-0.288,-0.950,1.843,1.126,-0.861,-0.535,0.268,0.591
10000,-0.245,-0.596,-2.441,1.026,0.036,0.151,0.618,-0.002,-1.448,0.379,-0.061,-1.652,-1.067,-0.620,-0.532,-0.513,-0.858,0.919,-1.057,-0.246,0.058,-0.326,1.311,1.080,0.199,-0.525,0.390,-1.121,0.712,0.354,0.767,0.475,1.052,0.151,-0.065,-2.044,1.285,1.346,-0.561,-0.866,1.165,0.197,-0.102,1.182,-0.886,-0.492,-0.236,-0.757,-0.003,-1.140,1.204,0.062,1.778,1.731,-2.316,-0.520,-0.957,-0.135,0.900,1.919,0.861,-1.567,0.534,1.457
11000,0.180,-0.224,-1.046,1.873,0.030,-0.701,0.004,0.520,-0.365,-0.766,-0.256,-1.109,-1.435,-1.063,0.053,-0.538,-0.644,-0.248,-0.563,-0.616,-0.226,-1.191,1.322,1.266,0.270,0.693,1.494,-0.739,0.264,-0.839,0.923,0.222,0.240,-0.054,0.141,-1.562,0.627,0.885,-1.219,0.347,0.475,1.771,0.241,0.855,0.052,0.645,-0.539,-0.215,0.664,-0.753,0.940,-0.901,2.018,1.947,-1.897,-0.702,-0.748,-1.030,1.230,1.458,0.990,-0.414,0.651,0.122
12000,0.102,0.893,-0.562,1.413,-0.787,-0.872,-0.428,0.256,-0.567,-0.335,-0.307,0.372,-0.433,0.444,-0.423,0.335,0.257,-1.098,0.437,0.182,0.359,-1.188,0.577,1.626,-0.276,0.042,0.096,-0.263,0.243,-1.406,0.872,-0.235,-1.040,-0.267,0.717,-0.225,0.621,0.849,-1.254,1.603,1.471,0.779,-0.181,-0.293,-0.041,0.866,1.225,-0.313,-0.812,0.164,1.910,0.302,0.561,1.221,-0.734,-0.109,0.399,-1.662,0.763,1.031,1.177,-0.750,0.405,0.830
13000,0.023,0.945,-1.303,0.138,-0.547,-1.368,0.081,0.331,-2.502,0.257,-0.543,1.176,0.248,-0.098,0.118,-0.953,0.982,-1.633,0.383,-0.261,1.146,-0.822,1.421,1.479,1.011,1.136,1.104,0.841,0.443,-0.314,-0.907,-0.811,-0.790,0.335,0.179,0.705,-0.327,0.713,0.182,1.736,1.210,0.783,-0.651,1.194,-1.062,1.267,0.656,1.376,1.257,0.788,0.903,0.543,0.569,1.158,-0.028,0.313,0.655,-1.177,1.542,0.153,1.560,-1.139,1.312,0.424
