step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std
10000,3271,2.130,0.690,10.21,294827,253394,4,25070,14508,1620541,1066814.6,2385875.8,0.137,0.586,0.187,0.090,89,22.79,21.00,0.88,3.83,2.79,6.25,0.26,1.95,13.05,7.57,0.15,0.78,0.067,0.123,1613,0.055,0.029,0.943,0.001,0.027,540674,436527,3,0.575,0.362,0.037,2210250,0.168,2.186,0.049,19.95,175545,135,1.472,0.352,0.729,16981919,1.21,12.35,0.011,0.436,0.042,5.7,17.4,44.0,146.0,55514,0.212,0.00,0.0025,0.073,555,0.746,0.000,0.831,0.472,3.58,4.52,5.57,0.25,0.050,1.25,1.10,1.26,0.775,0.00473,2.15,271.4715,7283.74,96869.6,140064.9,35.461,120.4526,248.493,467.460,0.959,0.317,22.8,15.460,158.635,440,1206.6,64.53,32.983,106.273,2377.7,79.991,0.134,2.00,7.1564,23408.5,0.8256,0.4741,16.97,1.294,0.463,1.0000,1.0649
20000,2885,2.111,0.743,10.41,296953,242625,9,36075,18630,2027533,898961.4,2220258.2,0.093,0.713,0.169,0.025,108,22.92,22.19,1.05,4.05,3.78,6.97,0.27,2.04,11.26,8.38,0.24,0.97,0.107,0.154,1611,0.021,0.024,0.939,0.001,0.036,473465,364445,4,0.353,0.210,0.042,1230503,0.183,2.270,0.053,19.45,161957,134,1.095,0.351,0.698,18520960,1.27,12.98,0.011,0.479,0.061,5.1,15.9,49.6,150.4,47216,0.180,0.00,0.0028,0.096,479,0.701,0.000,0.839,0.399,3.54,4.26,5.47,0.28,0.063,1.29,1.14,1.35,0.734,0.00718,2.67,212.3900,7353.80,104075.5,140064.9,39.569,101.6114,223.581,351.173,0.928,0.315,22.2,20.712,157.153,513,1376.9,44.33,14.086,102.157,2932.3,74.999,0.134,2.00,5.6780,16381.0,0.7432,0.4730,16.37,1.362,0.523,1.0000,0.9718
30000,2827,2.282,0.663,11.27,278495,224640,1,35513,18399,2033621,881511.2,2080165.8,0.078,0.723,0.168,0.031,111,26.45,24.34,1.38,4.59,3.63,6.78,0.23,1.81,12.85,9.17,0.34,1.11,0.093,0.132,1636,0.031,0.028,0.947,0.000,0.025,416380,313227,5,0.357,0.265,0.036,1179053,0.174,2.123,0.045,19.46,146299,133,1.023,0.346,0.725,16291212,1.33,12.60,0.006,0.467,0.088,6.0,19.9,57.9,143.7,51154,0.195,0.00,0.0024,0.079,471,0.664,0.000,0.801,0.363,3.63,4.44,5.40,0.36,0.089,1.40,1.09,1.44,0.700,0.00792,2.70,190.5872,6925.61,102043.0,140064.9,39.392,99.1424,211.377,373.282,0.917,0.331,24.0,22.401,156.947,358,903.4,50.86,14.206,102.283,2530.7,72.628,0.135,2.00,6.7844,19179.6,0.8126,0.4685,18.09,1.434,0.497,1.0000,0.8863
40000,2632,2.253,0.679,11.21,268562,219369,1,32975,16412,1874487,892285.8,2164897.8,0.069,0.690,0.177,0.065,112,26.05,25.29,1.64,4.72,3.45,7.53,0.14,1.31,13.80,9.14,0.43,1.23,0.078,0.132,1449,0.025,0.039,0.934,0.000,0.027,419726,324312,14,0.235,0.274,0.021,804274,0.183,2.262,0.049,18.04,155966,136,1.155,0.348,0.725,15669085,1.40,12.12,0.005,0.419,0.112,6.0,18.0,70.0,145.7,50102,0.191,0.00,0.0025,0.087,478,0.673,0.000,0.766,0.391,3.76,4.53,5.60,0.52,0.116,1.48,1.16,1.51,0.703,0.00829,3.10,208.3115,7007.83,101967.5,140064.9,39.537,99.3773,219.004,346.649,0.871,0.334,17.8,21.819,156.216,235,574.8,55.22,11.962,103.166,3107.2,75.330,0.135,2.00,7.4672,19653.6,0.8515,0.4755,19.04,1.331,0.442,1.0000,0.8853
50000,2894,2.234,0.649,11.22,256157,209711,2,29734,16448,1629858,890693.4,2104528.2,0.073,0.682,0.175,0.070,114,25.31,23.54,1.35,4.21,3.14,7.01,0.25,1.64,13.47,9.19,0.33,1.09,0.077,0.132,1558,0.018,0.030,0.946,0.000,0.024,415852,326632,9,0.293,0.307,0.057,950191,0.219,2.218,0.046,16.89,153000,147,1.291,0.341,0.736,15309064,1.34,12.21,0.010,0.431,0.086,6.5,18.0,58.9,165.6,52689,0.201,0.00,0.0023,0.074,524,0.677,0.000,0.768,0.413,3.72,4.24,5.82,0.41,0.086,1.36,1.14,1.46,0.704,0.00707,3.15,209.9535,6660.43,100804.5,140064.9,40.262,99.8507,213.267,339.310,0.885,0.342,19.2,20.466,155.506,339,842.3,52.92,10.681,103.538,2675.4,76.328,0.134,2.00,7.1426,20670.6,0.8553,0.5001,18.21,1.362,0.436,1.0000,1.7287
60000,2589,2.382,0.633,10.17,249199,205690,0,28066,15748,1580177,884923.0,2106852.0,0.082,0.660,0.183,0.075,116,27.00,27.36,1.62,4.32,2.81,6.60,0.12,1.30,15.24,10.07,0.34,1.02,0.051,0.107,1363,0.023,0.029,0.949,0.000,0.022,412819,331947,14,0.236,0.182,0.024,799946,0.207,2.357,0.044,16.11,150482,143,1.333,0.346,0.718,14798806,1.41,11.43,0.036,0.369,0.110,6.6,17.8,75.5,159.1,51245,0.195,0.00,0.0022,0.072,434,0.685,0.000,0.757,0.425,3.90,4.52,5.88,0.59,0.112,1.45,1.18,1.55,0.711,0.00748,3.03,212.8070,7016.91,99025.7,140064.9,42.956,98.3210,211.829,325.650,0.878,0.339,18.3,19.360,155.478,231,570.1,49.12,10.400,101.750,2413.1,76.474,0.134,2.00,8.9186,23090.2,0.8619,0.5008,19.79,1.228,0.361,1.0000,1.1052
70000,2700,2.366,0.665,8.87,240950,199536,7,28042,13254,1568684,904237.8,2077990.4,0.064,0.668,0.179,0.089,121,26.35,28.92,1.75,4.32,2.34,5.97,0.14,1.26,15.55,9.73,0.37,0.99,0.030,0.077,1108,0.039,0.033,0.947,0.000,0.020,388137,308397,6,0.549,0.129,0.027,696381,0.223,2.349,0.048,16.03,138819,135,1.325,0.349,0.732,13262046,1.43,11.82,0.057,0.304,0.130,6.3,14.3,81.2,147.5,53404,0.204,0.00,0.0022,0.074,563,0.643,0.000,0.749,0.412,3.81,4.83,5.35,0.70,0.132,1.47,1.19,1.58,0.667,0.00765,2.76,210.1980,7583.51,98023.3,140064.9,42.793,97.5318,210.082,346.878,0.935,0.321,20.2,20.659,156.577,276,678.0,48.25,10.109,102.257,2294.6,78.364,0.133,2.00,8.6319,23306.3,0.7554,0.4968,19.78,1.119,0.219,1.0000,1.3561
80000,2575,2.438,0.651,8.48,242646,201404,4,29092,12271,1560664,923066.8,2122278.8,0.056,0.665,0.181,0.098,123,28.88,30.53,2.01,4.69,2.83,6.71,0.19,1.59,16.52,10.03,0.39,1.00,0.036,0.087,1183,0.041,0.033,0.953,0.000,0.014,393346,312788,2,0.312,0.429,0.042,1116891,0.205,2.460,0.046,15.10,133497,134,1.360,0.355,0.739,13168834,1.50,10.95,0.073,0.325,0.140,6.9,16.1,91.3,145.0,55494,0.212,0.00,0.0022,0.070,497,0.638,0.000,0.753,0.416,3.98,4.85,5.74,0.80,0.142,1.54,1.23,1.66,0.660,0.00819,2.50,216.6305,7317.32,98067.8,140064.9,40.299,99.9702,214.292,403.439,0.935,0.330,20.2,21.079,157.554,221,499.4,63.25,9.413,105.943,2516.6,81.113,0.135,2.00,9.1454,23549.5,0.7618,0.4985,21.55,1.122,0.186,1.0000,0.8962
90000,2663,2.439,0.661,8.71,247190,202184,1,31889,13028,1541135,910114.8,2087170.8,0.047,0.676,0.174,0.103,124,28.31,31.47,2.10,4.95,3.44,7.15,0.16,1.13,14.90,9.81,0.49,1.13,0.048,0.107,1200,0.065,0.041,0.940,0.000,0.020,391564,307724,5,0.540,0.107,0.046,949216,0.212,2.326,0.047,14.95,132053,130,1.354,0.356,0.738,13552738,1.51,12.03,0.056,0.362,0.167,6.0,13.1,86.2,153.1,54872,0.209,0.00,0.0023,0.087,434,0.640,0.000,0.762,0.402,3.82,4.79,5.28,0.91,0.169,1.60,1.20,1.66,0.661,0.00784,2.42,212.4422,7613.35,98174.9,140064.9,42.153,98.4047,212.237,320.610,0.899,0.328,21.5,20.870,157.365,232,509.3,86.48,9.390,104.313,2295.7,80.177,0.135,2.00,8.6524,23041.2,0.7831,0.5059,20.61,1.113,0.190,1.0000,0.8028
100000,2641,2.247,0.697,8.42,263466,208469,4,40554,14461,1698231,870962.6,1967699.4,0.060,0.723,0.139,0.078,120,25.24,27.17,1.59,4.35,3.39,6.53,0.15,1.21,13.36,9.99,0.29,0.90,0.085,0.163,1235,0.027,0.036,0.939,0.000,0.024,399162,312138,4,0.372,0.129,0.034,841873,0.198,2.480,0.049,16.73,132898,118,1.159,0.391,0.710,14942990,1.41,12.61,0.046,0.379,0.102,5.4,15.9,65.9,153.9,48856,0.186,0.00,0.0025,0.089,430,0.654,0.001,0.738,0.374,3.66,4.48,5.31,0.57,0.104,1.45,1.21,1.53,0.679,0.00747,2.53,191.6201,7318.68,102112.6,140064.9,43.221,98.7491,200.856,330.341,0.880,0.347,21.9,19.736,156.485,318,793.8,72.53,11.046,101.357,2864.3,74.104,0.134,2.00,7.2853,19240.4,0.7569,0.4936,18.50,1.190,0.243,1.0000,1.9814
