step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density
100000,1.17,18,0,0,0,1,0,1.00,28,0.000,643,0.07,13.00,16.07,118,0,0,0,1.00,1.00,1.00,1,1,1,21.1,9.308,1,1.174
100000,4.96,23,0,0,1,2,0,1.00,22,0.000,641,0.38,26.36,23.61,566,1,1,0,1.00,1.00,1.00,2,7,2,29.4,17.345,3,1.984
100000,3.24,11,0,0,0,3,0,1.00,24,0.000,640,2.15,15.25,30.12,118,0,0,0,1.00,1.00,1.00,2,3,3,11.5,16.648,3,1.081
100000,3.99,11,0,1,0,2,0,1.00,24,0.250,638,1.57,14.82,30.29,599,1,1,0,1.00,1.00,1.00,2,3,1,31.3,13.403,3,1.332
100000,23.65,44,4,0,0,4,0,2.33,14,0.000,637,3.08,52.55,47.22,566,0,0,0,2.25,2.25,2.40,5,8,7,16.1,24.401,8,1.971
100000,3.27,10,0,0,0,3,0,1.00,24,0.000,636,2.29,31.39,25.72,118,0,0,0,1.00,1.00,1.00,2,1,3,23.8,14.364,3,1.090
100000,6.50,11,2,0,0,1,0,2.50,24,0.000,633,0.45,18.52,15.59,599,0,0,0,2.00,3.00,2.50,3,2,2,7.8,15.509,3,1.300
100000,2.11,15,0,0,0,2,0,1.00,26,0.000,630,0.05,18.91,26.05,118,1,1,0,1.00,1.00,1.00,1,1,2,33.5,8.251,2,1.053
100000,3.24,10,0,0,0,3,0,1.00,24,0.000,630,1.76,13.03,21.14,118,1,1,0,1.00,1.00,1.00,2,1,4,30.0,15.380,3,1.081
100000,7.84,8,1,1,0,1,1,1.75,24,0.128,626,0.38,11.28,35.20,566,0,1,1,3.00,1.00,1.67,2,6,1,24.5,12.999,3,1.961
100000,2.10,24,0,0,0,2,0,1.00,26,0.000,621,1.18,23.61,8.32,118,0,0,0,1.00,1.00,1.00,1,1,2,19.5,13.890,2,1.049
100000,7.91,19,1,0,0,2,0,1.80,22,0.000,613,0.84,21.29,13.35,566,0,0,0,2.00,2.00,1.67,3,6,5,8.7,21.289,3,1.978
100000,2.11,8,0,0,0,2,0,1.00,26,0.000,606,0.37,20.71,12.01,118,0,0,0,1.00,1.00,1.00,2,1,7,23.4,14.065,2,1.053
100000,2.79,11,0,0,0,2,0,1.00,26,0.000,605,1.92,14.13,17.61,599,0,0,0,1.00,1.00,1.00,2,2,1,23.7,13.917,2,1.394
100000,3.92,8,0,0,0,2,0,1.00,26,0.000,601,0.22,23.54,18.61,566,1,0,0,1.00,1.00,1.00,1,2,1,29.8,12.903,2,1.958
100000,1.08,8,0,0,0,1,0,1.00,28,0.000,599,0.02,26.62,22.16,118,1,1,0,1.00,1.00,1.00,1,1,1,31.7,6.993,1,1.081
100000,2.16,5,0,0,0,2,0,1.00,26,0.000,594,0.80,17.48,10.38,118,0,0,0,1.00,1.00,1.00,1,1,4,25.0,18.209,2,1.081
100000,5.95,11,0,0,0,3,0,1.00,24,0.000,593,2.16,30.11,22.31,566,0,0,0,1.00,1.00,1.00,2,5,1,17.6,12.950,3,1.983
100000,9.88,6,2,0,0,1,0,2.62,24,0.000,587,1.60,14.18,19.72,566,1,1,0,6.00,1.00,2.33,2,8,1,31.7,13.191,3,1.975
100000,1.16,37,0,0,0,1,0,1.00,28,0.000,586,0.05,12.91,35.67,118,0,0,0,1.00,1.00,1.00,1,1,1,23.5,4.352,1,1.162
100000,7.56,18,2,0,0,2,0,2.00,22,0.000,582,1.94,15.33,14.38,599,1,1,0,2.00,2.00,2.00,2,5,2,32.2,17.184,4,1.259
100000,1.99,14,0,0,0,2,0,1.00,26,0.000,577,1.01,35.78,43.42,118,0,0,0,1.00,1.00,1.00,1,1,2,17.2,9.789,2,0.993
100000,24.23,22,5,0,0,3,0,3.62,16,0.000,575,3.08,22.30,53.80,566,1,1,0,7.50,3.50,3.00,2,8,2,32.4,18.136,8,1.864
100000,3.27,10,0,0,0,3,0,1.00,24,0.000,575,2.08,19.61,24.47,118,0,0,0,1.00,1.00,1.00,2,3,1,25.0,11.965,3,1.090
100000,3.24,12,0,0,0,3,0,1.00,24,0.000,566,0.33,6.81,20.09,118,2,2,0,1.00,1.00,1.00,2,1,3,46.0,14.913,3,1.081
100000,9.54,10,2,0,0,3,0,1.67,20,0.000,566,1.66,14.47,18.20,599,1,1,0,1.00,2.00,1.75,3,6,2,32.1,20.501,5,1.363
100000,3.91,10,0,0,0,2,0,1.00,26,0.000,564,1.16,27.60,14.00,610,0,0,0,1.00,1.00,1.00,1,3,1,21.0,13.878,2,1.954
100000,1.98,6,0,0,0,1,0,1.00,28,0.000,561,0.17,10.91,20.06,566,0,0,0,1.00,1.00,1.00,1,1,1,12.6,5.871,1,1.975
100000,2.16,12,0,0,0,2,0,1.00,26,0.000,557,1.71,17.30,12.70,118,1,1,0,1.00,1.00,1.00,1,2,1,30.8,12.865,2,1.081
100000,9.90,34,0,0,0,5,0,1.00,22,0.000,551,2.08,76.02,45.55,566,1,1,0,1.00,1.00,1.00,3,3,6,30.8,14.554,5,1.979
100000,1.09,22,0,0,0,1,0,1.00,28,0.000,548,0.59,79.48,27.58,118,0,0,0,1.00,1.00,1.00,1,1,1,15.5,3.928,1,1.091
100000,3.27,10,0,0,0,3,0,1.00,24,0.000,548,1.67,34.83,11.17,118,0,0,0,1.00,1.00,1.00,1,2,2,23.8,13.860,3,1.090
100000,5.96,8,1,0,0,1,0,2.00,26,0.000,542,0.13,14.74,16.67,566,0,0,0,3.00,1.00,2.00,2,7,1,21.1,11.335,2,1.986
100000,7.80,8,1,0,0,2,0,1.75,24,0.000,540,1.12,17.45,25.68,566,0,0,0,3.00,1.00,1.67,2,7,1,25.2,16.071,3,1.949
100000,5.85,8,1,0,0,1,0,2.00,26,0.000,539,0.51,24.05,8.79,566,0,0,0,3.00,1.00,2.00,1,2,1,11.0,10.879,2,1.950
100000,2.16,9,0,0,0,2,0,1.00,26,0.000,538,1.15,27.90,32.49,118,0,0,0,1.00,1.00,1.00,1,3,1,22.3,9.416,2,1.081
100000,3.99,8,0,0,0,2,0,1.00,26,0.000,537,1.22,27.06,13.02,566,0,0,0,1.00,1.00,1.00,2,2,1,11.2,13.684,2,1.994
100000,5.05,4,1,0,0,2,0,1.75,24,0.000,536,1.47,12.94,11.28,599,1,1,0,1.00,2.00,2.00,3,3,2,33.8,18.808,3,1.263
100000,4.32,9,0,0,0,4,0,1.00,24,0.000,535,1.36,40.72,18.26,118,1,1,0,1.00,1.00,1.00,1,2,2,30.0,16.447,4,1.081
