step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool
10000,1749,1.088,0.765,10.78,49720,29000,1225,2087,3381,260460,1067882.9,520674.3,0.230,0.472,0.124,0.175,78,34.80,22.94,1.29,4.40,7.03,9.77,1.69,5.00,17.16,12.06,0.01,0.18,0.158,0.199,1129,0.039,0.068,0.923,0.000,0.009,247710,235158,10,0.275,0.646,0.184,4092866,0.250,2.870,0.062,6.11,80111,373,1.999,0.265,0.273,9827531,1.34,6.06,0.252,0.439,0.006,8.1,31.1,67.1,149.9,47532,0.181,0.00,0.0036,0.079,396,0.927,0.000,0.697,0.801,4.50,5.37,5.89,0.13,0.046,1.29,1.38,1.36,0.933,0.00115,1.42,89.2805,3845.19,100021.2,140185.7,5.044,138.9206,148.075,0.000,1.000,0.100,45.3,59.071,247.729,652,2728.6,60.36,26.476,7.06,181.875,5606.9,89.733,0.134,2.00,13.9864,24462.1,0.7402,0.4056,27.18,1.227,0.185,1.5345,0.0000,0.504,0.128,0.436,0.0000,7.09,1.08,7,25,49,100,55.9042,1.1679,0.6186,0.0000,0.0000,56.9515,100.00,74.0468,417.8264,0.0,0.0000,0.0000,0.6972,0.5129,13708,0.3289
20000,2291,0.963,0.486,9.24,36936,25024,727,1777,3021,113280,427855.9,171458.5,0.106,0.632,0.161,0.101,166,23.83,21.66,0.96,3.86,2.79,7.27,1.51,4.44,13.17,9.09,0.00,0.03,0.050,0.118,952,0.046,0.100,0.884,0.000,0.017,77640,71564,5,0.796,0.002,0.188,2261454,0.197,3.126,0.032,11.11,27318,484,1.514,0.186,0.252,6913856,1.23,9.74,0.080,0.275,0.001,6.2,16.7,54.3,155.0,42221,0.161,0.00,0.0014,0.090,438,0.730,0.000,0.797,0.547,3.69,3.82,6.27,0.05,0.023,1.17,1.30,1.25,0.734,0.00106,2.21,21.9921,3238.90,102969.8,140185.7,0.287,28.7363,73.098,0.000,1.000,0.140,52.0,32.107,63.548,226,741.5,133.62,5.519,4.19,49.442,3639.3,31.716,0.135,2.00,11.3048,25899.3,0.9138,0.5227,18.43,1.219,0.172,0.4655,0.0000,0.624,0.089,0.873,0.0000,7.43,0.72,6,15,36,81,29.1945,0.4862,0.5089,0.0000,0.0000,13.2280,100.00,105.6255,247.0855,0.0,0.0000,0.0000,0.6811,0.6145,5845,0.3289
30000,2786,0.991,0.622,11.62,128183,69867,729,10483,15250,453885,1156196.9,824888.6,0.092,0.586,0.202,0.120,93,21.30,16.79,0.71,2.78,3.91,5.88,0.22,1.36,8.70,7.06,0.00,0.15,0.124,0.170,1726,0.041,0.075,0.903,0.000,0.021,377074,349160,3,0.514,0.099,0.052,3775802,0.173,2.812,0.047,8.66,130053,398,1.817,0.217,0.354,17649912,1.22,9.30,0.044,0.524,0.001,4.2,17.2,44.6,117.3,37734,0.144,0.00,0.0048,0.087,623,0.822,0.000,0.887,0.663,3.03,3.87,4.86,0.14,0.064,1.16,1.30,1.23,0.829,0.00152,3.49,110.5163,4138.61,100073.1,140185.7,10.569,119.6145,174.635,0.000,1.000,0.118,53.8,64.135,241.828,307,1035.4,64.61,7.908,4.08,175.378,4650.8,111.061,0.135,2.00,9.3031,25918.3,1.0907,0.6284,13.54,1.430,0.365,1.5345,0.0000,0.517,0.143,0.603,0.0000,6.60,1.38,3,12,25,64,57.3922,2.5213,0.4953,0.0000,0.0000,53.3114,100.00,78.7490,473.9333,0.0,0.0000,0.0000,0.6958,0.4492,31359,0.3289
40000,2485,1.033,0.521,13.00,48689,34336,401,5003,2784,244608,433292.1,254782.0,0.090,0.677,0.103,0.129,175,20.02,14.39,0.79,3.01,3.37,5.86,0.20,1.25,9.05,7.59,0.00,0.02,0.113,0.163,1509,0.029,0.087,0.890,0.001,0.021,96389,82129,7,0.245,0.410,0.050,887427,0.188,2.354,0.040,11.50,36641,470,1.042,0.174,0.342,8426841,1.26,9.02,0.091,0.525,0.000,4.6,17.3,38.7,138.2,33315,0.127,0.00,0.0019,0.088,603,0.711,0.000,0.847,0.512,3.01,3.68,5.18,0.08,0.035,1.14,1.35,1.28,0.720,0.00148,2.17,22.2440,2664.75,110828.7,140185.7,0.057,28.2005,79.569,0.000,1.000,0.179,48.3,34.042,63.403,343,1143.9,48.96,5.654,3.92,49.667,4352.3,32.041,0.136,1.99,6.9277,17215.4,0.9146,0.5594,13.41,1.416,0.427,0.4655,0.0000,0.507,0.138,0.583,0.0000,6.57,1.71,4,12,24,75,29.7326,0.6234,0.4515,0.0000,0.0000,12.8765,100.00,107.6354,243.1963,0.0,0.0000,0.0000,0.7238,0.5815,6466,0.3289
50000,2352,1.191,0.757,20.36,125499,68370,300,22460,7455,677362,1052265.0,961950.5,0.178,0.622,0.116,0.084,79,20.69,12.64,0.34,2.26,3.93,4.21,0.20,1.89,7.08,5.23,0.00,0.07,0.155,0.147,1070,0.030,0.079,0.903,0.000,0.018,379616,332924,4,0.309,0.554,0.020,849351,0.243,2.967,0.059,7.33,175222,353,1.420,0.222,0.419,18398225,1.14,7.36,0.255,0.543,0.002,5.3,22.0,32.0,111.8,27181,0.104,0.00,0.0063,0.080,410,0.824,0.000,0.854,0.672,2.08,3.51,3.75,0.02,0.008,1.13,1.18,1.15,0.837,0.00220,1.75,102.6180,3554.21,104160.3,140185.7,3.316,139.2175,162.679,0.000,1.000,0.178,43.8,53.781,247.035,702,2719.1,105.49,9.655,4.02,186.340,5771.2,101.233,0.135,2.00,8.4177,19798.4,1.1297,0.7331,11.56,1.720,0.412,1.5345,0.0000,0.607,0.155,0.794,0.0000,5.45,2.07,4,12,16,64,46.6178,1.9916,0.4596,0.0000,0.0000,52.6725,100.00,78.4993,420.7789,0.0,0.0000,0.0000,0.7455,0.4314,27047,0.3289
60000,2494,1.066,0.526,17.23,55478,40161,95,7312,2991,304850,422825.7,271598.8,0.113,0.674,0.126,0.087,150,19.91,11.75,0.26,1.74,3.07,5.05,0.35,2.18,9.84,7.27,0.00,0.06,0.106,0.159,1185,0.042,0.111,0.866,0.002,0.021,99544,81362,4,0.534,0.259,0.051,824393,0.225,2.570,0.040,10.30,47102,391,0.891,0.198,0.331,7125342,1.08,9.50,0.235,0.409,0.000,5.0,19.2,32.0,162.0,33722,0.129,0.00,0.0017,0.092,590,0.648,0.000,0.743,0.460,2.76,3.41,5.28,0.01,0.002,1.07,1.13,1.09,0.661,0.00159,1.33,20.3396,3355.87,108219.4,140185.7,0.061,29.2111,79.033,0.000,1.000,0.186,51.5,33.140,67.297,337,1127.6,65.52,7.557,3.95,51.649,3806.7,31.958,0.134,2.01,7.8776,19646.8,0.9385,0.5307,13.52,1.455,0.436,0.4655,0.0000,0.702,0.124,0.955,0.0000,6.63,2.11,4,15,21,81,28.8293,0.3368,0.4459,0.0000,0.0000,12.9397,100.00,109.0788,253.3505,0.0,0.0000,0.0000,0.6502,0.5452,4777,0.3289
70000,2732,1.098,0.588,21.78,139342,72791,762,21908,10522,624932,1109926.8,911099.6,0.113,0.602,0.182,0.103,66,21.84,12.27,0.19,1.72,4.51,5.15,0.20,1.27,8.31,6.02,0.00,0.06,0.153,0.169,988,0.083,0.090,0.891,0.000,0.018,387703,339018,13,0.251,0.318,0.055,1452779,0.245,2.391,0.048,7.74,188194,291,1.458,0.225,0.330,17933480,1.07,7.51,0.414,0.313,0.000,4.9,26.0,32.0,113.1,36107,0.138,0.00,0.0049,0.090,645,0.805,0.000,0.650,0.643,2.31,3.88,4.22,0.00,0.001,1.04,1.11,1.07,0.818,0.00187,1.67,108.9795,3186.77,95631.8,140185.7,6.016,131.3450,173.836,0.000,1.000,0.091,59.9,58.344,247.338,451,1674.1,51.58,10.060,4.14,183.211,4491.3,107.210,0.135,2.00,11.2250,30666.7,1.0964,0.6273,13.22,1.584,0.466,1.5345,0.0000,0.757,0.154,0.984,0.0000,5.86,2.09,4,16,17,69,51.5279,1.6966,0.4894,0.0000,0.0000,52.7779,100.00,74.6834,443.6121,0.0,0.0000,0.0000,0.6586,0.4134,33121,0.3289
80000,2744,1.064,0.500,20.91,57413,41669,402,7335,2368,289027,430832.3,250734.4,0.075,0.712,0.096,0.117,150,20.52,12.16,0.24,1.93,4.04,4.95,0.17,1.49,8.45,6.54,0.00,0.07,0.138,0.165,1055,0.090,0.097,0.882,0.000,0.020,98222,79855,7,0.453,0.069,0.046,1073218,0.186,2.195,0.040,10.75,44888,315,0.868,0.215,0.360,8330961,1.08,9.68,0.356,0.386,0.001,4.2,22.0,32.0,72.3,35401,0.135,0.00,0.0019,0.099,553,0.679,0.000,0.699,0.434,2.50,3.82,4.51,0.00,0.002,1.06,1.11,1.08,0.690,0.00141,1.43,19.9524,2503.25,108107.2,140185.7,0.032,27.5292,82.267,0.000,1.000,0.233,53.5,35.372,66.831,392,1270.8,54.38,7.237,4.56,50.899,4035.9,32.475,0.138,2.00,7.2095,19782.9,0.8534,0.4898,12.90,1.517,0.487,0.4655,0.0000,0.739,0.152,0.978,0.0000,6.49,2.52,4,15,17,78,31.1395,0.3676,0.4628,0.0000,0.0000,13.1567,100.00,108.3716,258.8270,0.0,0.0000,0.0000,0.7240,0.5363,5627,0.3289
90000,2722,1.171,0.625,23.00,156523,86990,997,26282,9480,669715,1136546.6,915007.9,0.093,0.664,0.126,0.117,63,22.05,11.82,0.16,1.59,3.99,4.63,0.23,2.25,8.57,5.73,0.00,0.00,0.134,0.151,841,0.066,0.101,0.881,0.000,0.018,398827,338297,12,0.368,0.281,0.029,1089110,0.237,3.240,0.048,8.24,192035,249,1.366,0.243,0.312,20591609,1.05,8.23,0.431,0.289,0.000,5.8,26.9,32.0,105.5,35252,0.134,0.00,0.0049,0.098,561,0.790,0.000,0.692,0.611,2.27,3.83,4.30,0.00,0.001,1.05,1.08,1.06,0.802,0.00219,1.93,106.7773,4168.91,94122.5,140185.7,7.397,124.3157,182.931,0.000,1.000,0.015,54.9,63.580,246.470,413,1512.4,152.37,9.816,4.29,181.059,4249.5,109.636,0.135,2.00,11.5266,31375.3,1.1327,0.5863,12.95,1.638,0.428,1.5345,0.0000,0.717,0.164,0.958,0.0000,6.08,2.43,4,16,16,68,55.9977,1.6245,0.4614,0.0000,0.0000,52.7814,100.00,74.2042,462.0405,0.0,0.0000,0.0000,0.6833,0.4138,32796,0.3289
100000,2527,1.095,0.533,19.94,56688,40240,437,6925,2565,237940,443945.3,254781.5,0.070,0.690,0.098,0.142,148,20.70,12.42,0.36,2.77,3.51,4.58,0.09,1.45,8.71,6.26,0.00,0.00,0.120,0.152,890,0.061,0.104,0.882,0.000,0.014,100396,81918,7,0.505,0.041,0.006,528411,0.201,2.320,0.043,10.37,46944,342,1.071,0.219,0.346,8214779,1.10,10.03,0.328,0.385,0.000,4.7,20.0,32.0,100.0,32033,0.122,0.00,0.0020,0.107,514,0.676,0.000,0.703,0.453,2.44,3.89,4.49,0.01,0.004,1.08,1.14,1.10,0.685,0.00147,1.45,22.5506,3626.66,103059.0,140185.7,0.054,27.1303,82.713,0.000,1.000,0.129,47.1,35.051,66.802,302,1001.0,61.40,6.360,4.29,50.917,3762.5,34.161,0.134,2.00,9.7066,24528.6,1.0665,0.5568,12.68,1.555,0.428,0.4655,0.0000,0.671,0.149,0.930,0.0000,6.61,2.52,4,13,16,64,30.8308,0.5163,0.4452,0.0000,0.0000,13.4819,100.00,106.2547,256.8612,0.0,0.0000,0.0000,0.7054,0.5402,6716,0.3289
