step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2
1000,965,0.7762,15199.8,755,623,325,17,7,2,1,21350,34467,44806,0,0,0,0.974,0.655,0.722,609,194,12
2000,885,0.8249,20937.2,1589,596,234,55,7,0,1,18108,29691,38957,0,0,0,0.992,0.872,0.570,590,191,28
3000,1048,0.7080,24413.1,1910,609,297,142,6,4,13,16113,26994,36064,0,0,0,0.962,0.703,0.414,574,185,19
4000,1024,0.4502,15148.1,409,500,407,117,25,24,10,23622,31021,38503,0,0,0,0.870,0.550,0.251,414,174,12
5000,812,0.5825,17376.5,839,496,249,67,24,8,5,21539,29654,37907,0,0,0,0.948,0.666,0.394,466,137,12
6000,990,0.6020,20397.2,975,625,319,46,34,22,6,19574,30341,39237,0,0,0,0.915,0.641,0.590,558,159,12
7000,934,0.5396,16844.6,677,589,232,113,15,13,13,21152,30736,39816,0,0,0,0.941,0.754,0.411,539,149,27
8000,1157,0.4840,19169.0,649,686,346,125,32,16,8,21098,32287,41582,0,0,0,0.862,0.608,0.425,570,162,19
9000,1109,0.4932,15537.7,612,673,313,123,25,17,16,23634,33492,43501,0,0,0,0.908,0.584,0.384,577,146,12
10000,1049,0.4986,13014.8,622,665,316,68,23,23,13,26295,35723,44886,0,0,0,0.897,0.644,0.494,579,120,10
11000,725,0.5779,11005.2,758,516,181,28,13,21,9,28210,37839,46151,0,0,0,0.938,0.775,0.490,464,105,4
12000,620,0.6597,7677.7,811,485,122,13,14,27,6,31015,39852,47346,0,0,0,0.925,0.620,0.650,440,63,7
13000,411,0.7397,4737.7,926,359,49,3,5,19,3,34041,42210,47945,0,0,0,0.970,0.784,0.422,346,31,0
14000,306,0.8105,3157.5,1201,258,28,20,2,12,4,36665,42744,47191,0,0,0,0.987,0.796,0.184,251,16,0
15000,259,0.6950,2191.1,911,248,10,1,0,8,1,38535,43207,46678,0,0,0,0.927,0.532,0.633,222,3,0
16000,382,0.5812,2617.5,486,347,27,8,7,10,4,38893,43869,46362,0,0,0,0.922,0.442,0.495,313,4,1
17000,357,0.6527,2802.6,554,321,34,2,9,13,2,38001,43715,46330,0,0,0,0.890,0.711,0.133,283,22,0
18000,472,0.5720,3998.0,499,360,79,33,15,21,6,36904,42370,45187,0,0,0,0.952,0.652,0.076,333,22,0
19000,558,0.6219,6416.3,574,441,91,26,20,10,14,34825,40563,45371,0,0,0,0.949,0.728,0.578,407,51,4
20000,752,0.5093,10984.2,616,525,135,92,30,11,11,31687,38088,43696,0,0,0,0.937,0.686,0.413,471,62,20
21000,869,0.4914,14387.2,643,615,188,66,20,11,7,29300,35107,41979,0,0,0,0.916,0.596,0.346,533,78,7
22000,979,0.5087,18959.7,610,630,295,54,31,28,14,25549,32516,40948,0,0,0,0.923,0.547,0.390,569,113,8
23000,1276,0.4428,21322.3,597,754,410,112,28,19,16,23317,31124,40436,0,0,0,0.890,0.689,0.398,677,207,14
24000,1361,0.4445,25129.0,588,804,421,136,31,29,17,21205,28985,40367,0,0,0,0.896,0.558,0.404,716,176,4
25000,1484,0.4690,25230.9,618,932,481,71,30,29,16,20287,28442,39737,0,0,0,0.912,0.673,0.485,840,223,6
26000,1568,0.4758,23762.9,610,920,537,111,41,35,20,21225,29333,39846,0,0,0,0.875,0.634,0.344,810,259,13
27000,1586,0.4414,20608.1,561,936,546,104,27,35,15,21583,29705,41023,0,0,0,0.891,0.658,0.375,842,322,12
28000,1237,0.5133,17476.4,647,794,390,53,37,41,15,24027,31618,41811,0,0,0,0.912,0.607,0.252,711,203,4
29000,1448,0.4392,15379.4,511,823,479,146,38,37,30,26120,33652,43169,0,0,0,0.895,0.564,0.321,700,211,10
30000,1443,0.4997,16507.6,537,791,508,144,60,48,35,26533,35704,45139,0,0,0,0.927,0.500,0.201,721,199,15
31000,1015,0.5094,12508.8,568,634,267,114,23,48,30,29233,37632,45994,0,0,0,0.885,0.683,0.446,531,127,22
32000,758,0.5396,9618.1,563,521,156,81,17,25,17,31993,40026,46322,0,0,0,0.906,0.582,0.491,475,69,16
33000,528,0.6212,4031.8,646,437,67,24,10,22,6,36024,42511,47158,0,0,0,0.952,0.716,0.360,401,36,5
34000,328,0.7378,2163.6,818,283,40,5,8,18,2,38455,43758,46868,0,0,0,0.968,0.885,0.843,271,27,3
35000,232,0.8664,1349.1,1254,211,21,0,4,9,0,40186,43727,45469,0,0,0,0.989,0.988,0.000,207,21,0
36000,268,0.7799,1821.5,1046,237,29,2,5,13,1,41055,43402,44183,0,0,0,0.931,0.795,0.104,224,22,0
37000,274,0.6569,3054.6,699,259,14,1,3,7,1,39809,42952,43630,0,0,0,0.969,0.882,0.495,245,10,0
38000,516,0.6337,4062.2,539,394,77,45,16,21,8,37837,42548,43860,0,0,0,0.922,0.348,0.059,360,20,0
