step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2
1000,2642,0.9050,36240.9,924,878,878,886,18,23,33,24669,27657,32119,0,0,0,0.781,0.248,0.033,670,182,18
2000,1323,0.7589,33608.3,1245,726,367,230,10,16,19,19465,28065,33962,0,0,0,0.931,0.587,0.119,660,191,20
3000,1193,0.7762,35993.3,1815,720,333,140,14,13,8,16398,25721,33582,0,0,0,0.942,0.711,0.243,656,180,12
4000,1734,0.6125,28517.6,524,739,572,423,26,26,11,24379,29559,32930,0,0,0,0.898,0.543,0.235,599,185,21
5000,2404,0.5483,39197.6,537,877,780,747,46,33,47,21704,25639,31607,0,0,0,0.875,0.479,0.155,698,203,26
6000,1971,0.5505,37743.6,737,989,617,365,50,32,44,20959,25181,31989,0,0,0,0.908,0.602,0.370,839,241,17
7000,2157,0.5369,33309.8,543,962,804,391,94,49,58,23082,26124,35059,0,0,0,0.897,0.597,0.392,803,295,26
8000,2063,0.5720,31567.8,642,999,715,349,87,42,45,24694,28844,36295,0,0,0,0.886,0.569,0.382,838,240,28
9000,2081,0.6098,30445.6,691,1002,549,530,93,43,47,25234,31361,36591,0,0,0,0.929,0.660,0.299,862,240,23
10000,1749,0.6186,24462.1,698,883,470,396,106,33,54,29167,33262,37592,0,0,0,0.917,0.615,0.305,768,196,13
11000,1605,0.6206,20284.8,681,847,468,290,93,56,56,32788,36903,39192,0,0,0,0.892,0.589,0.362,700,202,20
12000,1410,0.6667,14818.1,748,727,415,268,94,46,60,34848,40303,41861,0,0,0,0.906,0.551,0.362,627,152,7
13000,1166,0.6501,11558.2,720,710,293,163,82,59,74,36683,42661,44121,0,0,0,0.935,0.710,0.461,605,110,11
14000,895,0.7128,10182.3,831,674,158,63,58,58,46,36045,44144,46080,0,0,0,0.945,0.730,0.649,584,58,5
15000,743,0.6756,7102.9,778,642,76,25,35,45,24,36765,45512,47966,0,0,0,0.964,0.828,0.822,565,22,0
