step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land,inv1,inv1_land,inv1_grown,inv2,inv2_land,inv2_grown,deaths_wound,kill_intake,flesh_intake,blocks_kept,water_drunk,water_air,water_sweat,water_dead,water_born,water_spill,born_dry,water_bodies,water_err
1000,12070,9208,137130,683916,648789,538101,8685,54470,174,0,225602,3574118,168004.397,71779.357,0.9801,57959.873,0.227,0.248,0.297,0.228,0.593,0.355,235,0.0316,0.6637,0.100,18.3,48.0,88.8,47.00,4.57,5.75,3.10,33.59,7.73,1.064,0.127,0.085,0.086,23.146,0.692,0.0025,90,395,1763,6372,44,0,0.000,6179,3198,3221,5651,981,4371,6718,0.00,0.71,14730,23.1596,65137,9354,567994,1806.5,-0.0,436532,53.152,2631075.518,1.31e-14,0.00094,30.00,203779,91.340,2.237,88.152,0.951,91.344,9277,1020,1773,0.3988,0.837,1.042,1.305,1.065,0.890,1.160,37891.840,11632.488,154501.830,38423.553,33038.888,7367.157,3667.959,2784.367,0.643,0.545,0.518,0.847,0.707,0.619,7029,65841,0.5835,0.6034,0.4918,0.9995,0.0520,0.0533,0.5375,0.7022,0.7570,0.1090,0.0478,0.0456,0.0000,0.7204,0.9615,0.3578,0.8027,0.9607,0.00231,16924,0.9999,0.6886,0.7071,0.9990,0.0521,0.0533,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1538,5.3733,5.1499,0.0996,0.2302,0.1919,0.444,0.454,0.488,0.393,6987,0.1604,0.0099,0.0125,0.00241,0.00164,0.00150,23.92,26.80,28.13,66.8883,0.0246,70.6944,32.0486,21.1032,1080415,1531583,0.9675,0.0274,1806.8,66.8883,21.62,0,0,0,0,0,0,4928,13819.484,12661.965,0.9798,18209.2364,7400.1280,13966.7482,20019.3118,18085.2771,989.0379,26260,3020661.1,1.71e-14
2000,11702,2239,64909,119670,106176,54026,735,24816,79,1,246087,1813470,30480.647,26048.901,1.0192,10372.637,0.150,0.519,0.191,0.140,0.464,0.369,301,0.0694,0.6481,0.081,13.1,31.2,73.4,32.55,2.30,7.50,1.12,21.63,6.85,1.210,0.240,0.095,0.097,7.309,0.298,0.0037,73,943,989,9624,35,0,0.000,5830,1228,2945,7529,747,1328,9627,0.00,6.75,14532,12.6840,64445,12069,537088,3124.9,-0.0,489129,20.845,2631075.518,1.79e-14,0.00007,25.34,42821,28.595,2.237,25.593,0.765,28.598,3251,2430,6021,0.2649,0.902,1.146,1.639,1.255,0.918,1.303,13088.063,11326.609,9341.548,12998.566,18513.171,7803.807,2934.278,4938.179,0.437,0.476,0.479,0.427,0.453,0.470,13845,23366,0.4830,0.3786,0.3384,0.9995,0.0485,0.0700,0.5837,0.7863,0.8815,0.1476,0.0280,0.0313,0.0000,0.4117,0.9345,0.1654,0.7556,0.9779,0.00285,6530,0.9979,0.6905,0.8180,0.9995,0.0486,0.0701,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1034,5.2918,5.1831,0.0396,0.1001,0.0865,0.214,0.135,0.157,0.167,2028,0.0754,0.0055,0.0023,0.00285,0.00095,0.00091,25.52,26.55,26.90,291.7853,0.0560,31.8248,14.7209,6.1236,1095253,1528349,3.7972,0.0594,3035.5,291.7853,26.00,0,0,0,0,0,0,8457,15676.264,13983.667,0.9508,5337.0878,1746.6526,4274.4485,5878.4067,5767.5136,812.5297,8234,1413225.0,1.58e-14
3000,10194,1926,94189,163829,140452,68848,792,32849,134,0,412490,2989735,37647.376,35603.344,0.8883,12701.748,0.074,0.746,0.108,0.071,0.445,0.359,397,0.1570,0.7164,0.073,16.0,32.6,67.3,29.12,2.66,9.34,0.58,16.54,6.13,1.333,0.277,0.238,0.247,6.188,0.269,0.0041,62,271,666,16800,43,0,0.000,5714,36,1946,8212,1042,2607,6545,4.25,15.42,15422,15.4546,63947,13492,505596,2406.7,-0.0,524645,13.831,2631075.518,3.54e-16,0.00181,14.43,61984,30.575,2.251,27.589,0.735,30.577,4327,1889,3978,0.2570,0.960,1.256,1.871,1.409,0.951,1.432,13777.867,15608.941,11590.126,13668.288,25090.710,8064.318,3831.844,11005.434,0.437,0.483,0.431,0.359,0.444,0.436,15779,39005,0.5678,0.2618,0.2536,0.9991,0.0400,0.0446,0.6411,0.8522,0.8882,0.1541,0.0436,0.0371,0.0000,0.0000,0.9019,0.0680,0.7147,0.9896,0.00292,3620,0.9989,0.7143,0.8513,0.9988,0.0402,0.0447,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4098,5.0261,5.3848,0.0355,0.0753,0.0651,0.135,0.081,0.118,0.090,2038,0.0933,0.0060,0.0041,0.00281,0.00083,0.00091,22.75,26.89,26.72,1349.7518,0.0913,39.1783,5.6040,8.2268,1097775,1527460,3.5909,0.1013,3028.2,1349.7518,22.38,0,0,0,0,0,0,18051,22901.595,19804.416,0.9372,3701.3761,985.4007,3220.2299,3816.2741,5033.7392,1057.0037,12638,1069431.8,8.92e-15
4000,11906,2235,94444,164527,140869,69504,579,32139,137,0,396512,3530825,37969.116,36398.453,0.9851,11986.373,0.050,0.801,0.091,0.059,0.480,0.353,459,0.1250,0.7133,0.061,14.9,31.6,59.3,26.75,2.78,8.21,0.50,15.27,5.84,1.349,0.252,0.228,0.240,5.465,0.288,0.0039,65,283,520,16590,24,0,0.000,6734,71,2534,9301,1341,2420,8145,4.75,14.11,15624,15.2322,63359,14653,480488,2586.8,-0.0,557846,13.465,2631075.518,1.24e-14,0.00308,37.93,64669,32.005,2.235,28.595,1.175,32.008,4371,2546,4989,0.2877,0.896,1.254,1.933,1.412,0.871,1.539,13679.775,14741.499,13259.738,13604.760,23090.990,11423.154,4155.063,8833.863,0.473,0.491,0.481,0.346,0.438,0.460,20340,37701,0.5537,0.2094,0.2835,0.9989,0.0385,0.0476,0.6381,0.7679,0.9211,0.1804,0.0551,0.0560,0.0000,0.8276,0.9650,0.1206,0.7514,0.9929,0.00302,4674,0.9980,0.5821,0.7801,0.9979,0.0386,0.0478,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4751,5.6072,5.5977,0.0335,0.0721,0.0618,0.108,0.099,0.093,0.123,2802,0.1173,0.0044,0.0029,0.00269,0.00090,0.00104,26.36,26.60,27.10,2253.5965,0.1070,37.1249,6.4978,6.9671,1100042,1524953,4.1217,0.1231,2258.2,2253.5965,25.42,0,0,0,0,0,0,15279,24412.080,21239.411,0.9308,4286.8411,1078.9731,3258.8659,3873.8293,5090.7146,1183.8102,15662,1051509.1,1.13e-14
5000,11913,2313,99165,173959,150785,73910,884,32593,268,0,391093,3378588,40920.514,38113.893,1.0002,13666.431,0.053,0.801,0.090,0.056,0.448,0.385,420,0.1267,0.7068,0.066,14.8,32.2,65.0,26.37,3.20,8.35,0.51,14.32,5.79,1.420,0.248,0.282,0.293,5.264,0.272,0.0038,65,283,538,17271,31,10,0.226,6673,87,2244,9582,2881,2171,6861,6.75,14.62,13541,15.2667,62783,14267,455723,3413.0,-0.0,590411,12.806,2631075.518,1.77e-16,0.00024,12.68,70228,34.128,2.249,30.690,1.189,34.130,5511,2025,4377,0.2609,0.944,1.316,1.970,1.446,0.924,1.616,14013.778,15106.609,16591.585,13911.746,24083.615,12542.030,3048.128,8857.304,0.441,0.443,0.457,0.362,0.482,0.438,23907,39193,0.4209,0.1916,0.2690,0.9990,0.0445,0.0495,0.5946,0.8256,0.9017,0.1841,0.0462,0.0581,0.0000,0.0000,0.7464,0.1904,0.7253,0.9674,0.00302,7926,0.9990,0.6881,0.8295,0.9986,0.0446,0.0496,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5948,5.0583,5.9480,0.0307,0.0802,0.0696,0.106,0.085,0.087,0.104,1907,0.0604,0.0044,0.0033,0.00297,0.00082,0.00094,26.20,26.30,27.25,2008.6475,0.1323,38.5203,5.8430,6.9633,1101524,1523453,3.6333,0.1042,1849.8,2008.6475,23.03,0,0,0,0,0,0,17271,24447.461,21043.399,0.9313,4462.0735,1203.8556,3784.5058,3583.4067,4965.7109,986.4764,15986,921049.0,8.03e-15
6000,13815,2754,99705,180854,154073,80633,516,33160,145,0,442315,3689783,40985.193,41570.653,1.0169,13458.875,0.054,0.812,0.088,0.046,0.459,0.387,314,0.1059,0.6954,0.054,15.6,35.3,71.6,26.94,3.29,8.36,0.65,14.64,5.82,1.515,0.234,0.276,0.284,5.126,0.245,0.0037,67,297,508,14454,17,14,0.212,7934,532,2325,10958,2561,2687,8567,7.00,13.86,10190,13.8325,62249,16208,426022,2394.3,-0.0,627601,13.170,2631075.518,1.65e-14,0.00016,23.20,77543,38.758,2.244,34.731,1.783,38.761,6432,1910,5473,0.1758,0.972,1.549,1.988,1.554,0.930,1.674,12217.493,15608.483,18084.859,12048.525,24310.684,15524.830,3114.044,9472.904,0.445,0.467,0.472,0.359,0.468,0.495,25778,38293,0.4777,0.3190,0.3570,0.9994,0.0419,0.0498,0.6051,0.7454,0.8726,0.1981,0.0467,0.0463,0.0000,0.5384,0.9422,0.1566,0.7175,0.9527,0.00294,6305,0.9995,0.6673,0.8335,0.9992,0.0420,0.0499,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,6.0077,5.3929,6.5276,0.0256,0.0692,0.0607,0.130,0.079,0.079,0.143,1652,0.0512,0.0030,0.0029,0.00259,0.00094,0.00099,24.95,28.07,27.82,1830.4005,0.1549,36.9234,7.3393,5.8307,1102758,1521149,3.0650,0.0740,1638.4,1830.4005,19.40,0,0,0,0,0,0,18248,28111.778,24272.227,0.9251,5365.1633,1553.4647,3619.7970,3612.7560,5033.0236,1107.0686,17955,1426149.7,1.78e-15
7000,14806,2603,103054,189149,159910,85287,808,36633,269,0,471818,3997470,42627.492,43761.794,1.0323,13321.851,0.041,0.834,0.085,0.040,0.449,0.399,326,0.1069,0.6941,0.056,14.0,31.7,62.0,23.66,2.61,7.82,0.27,12.96,5.68,1.510,0.235,0.247,0.255,4.843,0.247,0.0038,73,314,552,16616,24,18,0.197,7873,1360,1951,11495,2042,2175,10589,8.75,16.35,8547,12.0756,61761,15425,393335,3030.7,-0.0,664437,14.223,2631075.518,7.61e-15,0.00076,24.47,80073,41.584,2.232,37.255,2.096,41.587,5667,2449,6690,0.1942,0.972,1.505,1.997,1.577,0.933,1.664,12575.185,19187.880,15089.928,12430.648,28428.766,14389.799,3220.363,12829.782,0.419,0.433,0.482,0.315,0.480,0.503,25131,37644,0.4795,0.2580,0.4248,0.9992,0.0381,0.0468,0.6209,0.8697,0.9673,0.1891,0.0232,0.0567,0.0000,0.4875,0.9197,0.3352,0.7566,0.9478,0.00277,6252,0.9992,0.5496,0.7964,0.9990,0.0382,0.0469,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,6.0225,5.5233,6.6396,0.0268,0.0430,0.0340,0.049,0.037,0.049,0.046,1765,0.0522,0.0032,0.0034,0.00255,0.00106,0.00088,26.21,28.31,27.46,1792.9570,0.1602,41.4898,7.6208,6.6020,1105287,1518722,3.3335,0.0652,1478.3,1792.9570,21.78,0,0,0,0,0,0,19500,30439.943,26225.731,0.9262,5363.6901,1496.0844,3805.6310,4520.2941,5691.6034,1414.2787,17593,1245155.0,1.61e-14
8000,11013,1978,96313,167799,141581,70251,1235,33453,649,0,408595,3543805,35077.283,37291.797,1.0109,11476.023,0.046,0.820,0.095,0.040,0.435,0.408,323,0.1369,0.7248,0.049,13.6,31.9,64.4,26.71,3.05,7.50,0.62,15.54,6.08,1.404,0.230,0.252,0.258,5.102,0.226,0.0037,69,307,455,16072,30,22,0.363,6078,575,1404,9034,1235,1445,8333,11.25,18.34,10037,11.4668,61163,16007,367611,3063.3,-0.0,693985,12.916,2631075.518,5.66e-15,0.00087,7.77,75939,40.215,2.233,36.821,1.161,40.217,3543,2280,5190,0.2493,0.930,1.145,1.999,1.379,0.921,1.632,10815.795,17067.945,10117.791,10683.628,25751.887,10585.063,2532.945,12697.766,0.378,0.447,0.468,0.260,0.468,0.452,26449,36967,0.5243,0.3294,0.3816,0.9990,0.0356,0.0393,0.5324,0.7477,0.9092,0.2159,0.0351,0.0541,0.0000,0.0000,0.8897,0.2063,0.6780,0.9413,0.00275,5012,0.9985,0.7415,0.8318,0.9986,0.0357,0.0395,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.7126,5.2358,6.2652,0.0299,0.0693,0.0528,0.117,0.068,0.076,0.126,1549,0.0545,0.0028,0.0035,0.00286,0.00097,0.00097,24.78,28.15,28.01,1756.9430,0.1449,37.0082,6.1973,6.7185,1108377,1517105,3.3883,0.1084,1359.5,1756.9430,16.84,0,0,0,0,0,0,22476,25815.774,21666.203,0.9339,4274.8278,1043.3274,3208.8758,4331.4965,5599.4086,1460.4746,13297,1075217.2,1.19e-15
9000,7992,1748,98568,176409,147493,76725,1116,31649,742,0,401329,3555343,34087.633,34976.086,0.9517,11104.814,0.049,0.823,0.087,0.041,0.451,0.389,584,0.1886,0.7546,0.055,8.0,31.9,63.5,23.23,3.55,7.98,0.37,11.33,5.79,1.507,0.239,0.322,0.330,5.350,0.315,0.0037,63,260,453,15614,16,22,0.190,4761,27,1502,6463,773,1923,5296,9.50,17.12,13061,14.1503,60623,13978,346431,1479.0,-0.0,714731,11.868,2631075.518,1.36e-14,0.00069,30.68,78903,38.237,2.230,35.187,0.820,38.240,3312,938,3742,0.1612,0.976,1.473,2.000,1.356,0.936,1.784,12267.871,14779.607,9538.206,12150.013,23504.228,8235.473,4688.005,10947.793,0.363,0.480,0.485,0.264,0.493,0.451,26342,38236,0.5306,0.2272,0.4565,0.9983,0.0374,0.0385,0.5337,0.8908,1.0512,0.2171,0.0360,0.0757,0.0000,0.7528,0.9488,0.1812,0.7614,0.9533,0.00287,4601,0.9987,0.7786,0.8846,0.9978,0.0377,0.0387,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.6872,5.7421,7.4269,0.0323,0.0711,0.0658,0.086,0.084,0.075,0.099,1400,0.0798,0.0020,0.0024,0.00289,0.00106,0.00095,25.85,26.93,27.33,1685.7716,0.1266,36.0979,5.1610,6.7068,1110565,1516592,4.0471,0.1832,1311.3,1685.7716,18.95,0,0,0,0,0,0,24961,23871.272,19810.511,0.9121,3527.9724,813.7909,3001.1555,4291.5603,5683.3163,1400.4390,12585,779560.2,8.55e-14
10000,11634,2004,83252,142354,118850,58384,718,27048,159,0,341295,2843794,33432.764,28957.948,0.9630,8416.835,0.037,0.845,0.080,0.038,0.434,0.401,512,0.1125,0.7161,0.052,12.4,31.9,66.3,25.81,3.00,8.21,0.42,14.17,5.79,1.371,0.249,0.273,0.279,4.991,0.242,0.0039,60,277,375,12982,12,22,0.209,6426,66,1694,9874,1035,2572,8027,7.25,14.69,15153,16.1902,60124,14268,331149,2493.9,-0.0,731682,10.569,2631075.518,1.61e-14,0.00078,11.37,63437,33.303,2.237,29.644,1.423,33.306,4158,2551,4925,0.2622,0.911,1.152,1.999,1.376,0.916,1.602,11382.771,13461.677,11505.242,11244.812,19099.545,9443.599,4039.326,7058.187,0.397,0.443,0.457,0.292,0.423,0.461,28434,33981,0.4570,0.2423,0.3582,0.9992,0.0352,0.0459,0.5502,0.8286,0.9212,0.1991,0.0268,0.0566,0.0000,0.0000,0.7486,0.2362,0.7339,0.9419,0.00284,3578,0.9984,0.6611,0.8033,0.9986,0.0353,0.0460,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.7826,5.8247,6.5906,0.0281,0.0567,0.0488,0.086,0.064,0.069,0.070,1375,0.0759,0.0016,0.0024,0.00304,0.00090,0.00096,25.80,28.46,27.90,1675.6032,0.1203,30.8329,5.0730,5.4964,1111868,1513446,4.5741,0.2349,1269.3,1675.6032,19.36,0,0,0,0,0,0,13469,20541.113,17885.990,0.9310,3939.9686,854.9958,2915.4802,3337.0551,4299.9018,921.2645,12319,990634.9,9.24e-14
