step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land,inv1,inv1_land,inv1_grown,inv2,inv2_land,inv2_grown,deaths_wound,kill_intake,flesh_intake,blocks_kept,water_drunk,water_air,water_sweat,water_dead,water_born,water_spill,born_dry,water_bodies,water_err
1000,13136,7990,161736,749371,706750,577984,9651,63979,517,0,315604,5199408,169738.907,81152.700,1.0306,60824.640,0.200,0.319,0.190,0.291,0.608,0.338,811,0.0427,0.6950,0.105,11.8,42.2,80.2,40.63,3.49,6.58,3.12,27.44,7.40,1.089,0.178,0.059,0.059,17.049,0.586,0.0027,80,383,1736,12320,81,0,0.000,6722,3577,3570,5989,1210,4560,7366,0.00,1.17,13355,22.9184,65160,9382,566636,2349.8,-0.0,441961,55.736,2630837.750,9.56e-15,0.00138,30.00,226147,96.676,2.187,93.473,1.015,96.679,9721,1136,2279,0.3555,0.873,1.054,1.370,1.090,0.945,1.154,37580.391,11912.238,159394.333,38251.736,32917.479,13803.603,3294.532,3229.925,0.654,0.553,0.557,0.829,0.683,0.620,7136,76221,0.5317,0.4564,0.4904,0.9994,0.0492,0.0498,0.5754,0.7979,0.8661,0.1009,0.0463,0.0166,0.0000,0.7174,0.9601,0.3005,0.7981,0.9615,0.00240,14962,0.9997,0.8001,0.8033,0.9989,0.0493,0.0498,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1774,4.4448,5.1383,0.0878,0.2176,0.1923,0.419,0.546,0.498,0.459,7672,0.1697,0.0104,0.0120,0.00250,0.00156,0.00143,24.45,26.38,27.24,71.5927,0.0434,70.2834,33.5315,22.2049,1083622,1531412,1.1623,0.0248,1798.7,71.5927,21.62,0,0,0,0,0,0,9380,20328.060,18430.067,0.9685,18814.0399,7762.5767,14031.5298,19643.0693,17733.4887,1188.6342,31012,2646487.2,1.92e-14
2000,11203,2015,84179,145031,126411,59474,1378,37027,386,0,378645,3065068,32281.310,34981.035,0.9863,11639.735,0.123,0.668,0.087,0.122,0.498,0.339,845,0.1114,0.6897,0.086,13.7,35.8,68.6,32.02,1.89,8.47,1.34,20.33,6.81,1.226,0.248,0.073,0.076,6.021,0.283,0.0044,77,474,808,12553,31,0,0.000,5415,1113,2528,7562,755,1266,9182,0.25,9.91,12017,11.3060,64589,12383,531499,3184.5,-0.0,496892,19.825,2630837.750,1.95e-15,0.00102,25.34,45905,30.390,2.190,27.626,0.574,30.392,3329,2359,5515,0.2423,0.953,1.203,1.528,1.315,0.953,1.289,12529.334,12744.487,11174.078,12460.784,20286.183,13044.331,2662.450,7634.520,0.486,0.501,0.509,0.357,0.417,0.452,12708,27460,0.4812,0.3442,0.4127,0.9988,0.0348,0.0526,0.6343,0.7276,0.8504,0.1367,0.0256,0.0179,0.0000,0.4041,0.9342,0.1600,0.7511,0.9783,0.00283,6398,0.9984,0.6404,0.7238,0.9973,0.0348,0.0527,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.3627,4.6860,5.3038,0.0381,0.1211,0.1079,0.186,0.256,0.251,0.170,2706,0.0868,0.0029,0.0044,0.00310,0.00085,0.00085,26.84,27.75,27.31,491.7558,0.1016,33.0802,12.1235,7.7020,1095924,1528558,4.0984,0.0566,2825.0,491.7558,26.00,0,0,0,0,0,0,12135,23341.300,20832.852,0.9486,5507.7090,1680.4765,4161.5199,6894.9581,7335.0110,1379.0950,13141,1373157.7,1.96e-14
3000,12669,1911,98808,166532,143047,66447,1277,35323,394,1,461770,3564958,38150.400,37315.976,0.8624,12426.280,0.064,0.803,0.045,0.088,0.471,0.359,555,0.1219,0.7098,0.075,14.2,35.6,71.3,29.51,2.10,9.00,0.79,17.62,6.65,1.300,0.248,0.133,0.138,5.366,0.276,0.0042,67,270,557,13684,8,0,0.000,6146,53,2613,10003,1138,2186,9345,4.75,14.40,12285,12.7773,64052,13907,499324,2574.5,-0.0,533768,13.625,2630837.750,9.91e-15,0.00077,14.43,56076,29.569,2.174,26.682,0.713,29.572,3764,3328,5577,0.2853,0.949,1.347,1.687,1.443,0.944,1.417,13115.187,17221.620,10990.075,13012.408,26574.197,9064.570,2493.394,13331.731,0.422,0.522,0.473,0.308,0.422,0.427,14910,37828,0.5245,0.2881,0.2679,0.9991,0.0330,0.0458,0.6295,0.8483,0.8825,0.1499,0.0356,0.0274,0.0000,0.0000,0.9034,0.0654,0.7119,0.9903,0.00296,5917,0.9981,0.7132,0.7731,0.9982,0.0332,0.0459,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4903,4.8581,5.5782,0.0342,0.0834,0.0757,0.128,0.164,0.164,0.108,1741,0.0736,0.0032,0.0043,0.00276,0.00083,0.00112,23.62,26.60,27.07,1421.5201,0.1234,40.0652,5.0587,8.5659,1098203,1525993,3.7463,0.1018,2813.5,1421.5201,22.38,0,0,0,0,0,0,16138,24889.696,21783.215,0.9464,3643.0528,969.9358,3163.8476,4870.0559,6546.9416,1307.1958,13073,1252117.1,1.65e-14
4000,9833,1805,87325,152502,131708,64305,872,28878,268,0,358478,3112392,37515.435,31896.084,0.9259,11151.560,0.060,0.823,0.046,0.072,0.465,0.371,261,0.1335,0.6943,0.067,15.7,35.5,67.4,27.22,2.29,8.47,0.37,16.10,6.14,1.336,0.239,0.177,0.182,5.690,0.265,0.0039,65,278,442,8493,20,0,0.000,4901,67,1658,8108,1197,1928,6708,7.25,16.26,13274,13.4719,63538,14873,472025,2315.6,-0.0,565677,11.914,2630837.750,2.30e-15,0.00052,37.93,53453,26.874,2.172,24.158,0.544,26.876,3592,2351,3890,0.2719,0.973,1.267,1.825,1.450,0.969,1.453,13015.622,16843.752,10880.407,12904.231,24882.357,8671.279,2486.613,9586.632,0.424,0.504,0.472,0.293,0.419,0.478,17380,42172,0.5084,0.2474,0.2793,0.9993,0.0319,0.0540,0.6110,0.8988,0.8486,0.1564,0.0301,0.0291,0.0000,0.8318,0.9632,0.1254,0.7464,0.9929,0.00301,4841,0.9974,0.6515,0.7146,0.9985,0.0321,0.0541,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4635,4.5183,5.6791,0.0348,0.0606,0.0527,0.060,0.106,0.094,0.067,1625,0.0762,0.0042,0.0038,0.00274,0.00086,0.00118,27.35,27.54,27.88,1529.8004,0.1115,38.3383,5.0180,6.8957,1100625,1524888,3.8909,0.1203,2735.6,1529.8004,25.42,0,0,0,0,0,0,12377,20744.524,18161.977,0.9466,3499.0420,927.9026,3011.3150,3423.8831,4489.4403,920.7868,13145,956711.9,5.43e-15
5000,11678,2301,94862,171077,148778,75467,748,29252,129,0,385166,3236654,42282.804,35354.129,0.9481,12529.669,0.055,0.836,0.043,0.066,0.455,0.386,150,0.1148,0.6761,0.061,16.1,37.4,72.9,28.23,3.12,9.10,0.44,15.58,5.96,1.419,0.242,0.237,0.245,5.563,0.269,0.0038,60,273,486,5711,31,10,0.233,6064,184,2383,9111,2400,2370,6908,7.25,15.33,10543,13.3013,62911,16079,448148,3834.6,-0.0,599681,12.278,2630837.750,1.45e-14,0.00134,12.68,61278,30.279,2.175,27.195,0.909,30.282,5303,1816,4559,0.2083,0.976,1.394,1.954,1.496,0.962,1.512,12393.121,17976.417,16848.653,12314.446,25649.375,11135.693,1928.524,9760.242,0.418,0.498,0.463,0.368,0.440,0.490,22663,43403,0.4514,0.1821,0.2799,0.9995,0.0354,0.0611,0.5837,0.8499,0.8334,0.1736,0.0406,0.0391,0.0000,0.0000,0.7582,0.2266,0.7271,0.9669,0.00298,5486,0.9978,0.7297,0.6981,0.9994,0.0356,0.0613,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5728,4.3494,5.5639,0.0308,0.0672,0.0558,0.083,0.096,0.080,0.089,1174,0.0494,0.0047,0.0035,0.00286,0.00073,0.00103,25.37,26.28,27.44,2009.6141,0.1302,38.5651,5.6872,6.5911,1101891,1522616,3.2650,0.1153,2235.1,2009.6141,23.03,0,0,0,0,0,0,13573,22824.460,19950.428,0.9404,4488.1090,1223.0712,3465.3456,3425.2002,4714.1761,900.9939,15547,1144386.1,4.68e-15
6000,11592,2405,90934,159733,136489,68253,546,33926,132,0,407949,3190517,38786.646,36569.016,0.9827,11513.068,0.059,0.802,0.063,0.076,0.437,0.399,160,0.1205,0.6644,0.065,18.2,33.0,69.0,26.96,3.24,8.99,0.28,14.46,5.81,1.429,0.242,0.258,0.264,5.587,0.275,0.0042,73,306,566,8439,33,14,0.216,5957,309,1665,9618,2029,2087,7476,9.25,17.42,9245,12.1054,62271,16780,419908,2227.7,-0.0,636365,14.192,2630837.750,6.02e-15,0.00013,23.20,66053,35.077,2.154,31.867,1.056,35.080,5029,1895,4668,0.2239,0.935,1.363,1.984,1.449,0.945,1.604,11832.941,16363.836,14428.675,11688.410,24182.630,13369.247,1529.494,10157.206,0.398,0.504,0.450,0.317,0.450,0.479,26427,35193,0.4970,0.2483,0.3278,0.9996,0.0413,0.0511,0.5663,0.8719,0.8818,0.1991,0.0580,0.0343,0.0000,0.5361,0.9434,0.1555,0.7095,0.9522,0.00296,5085,0.9989,0.8382,0.7726,0.9994,0.0413,0.0512,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5559,4.4917,5.8690,0.0320,0.0513,0.0412,0.044,0.072,0.069,0.047,1356,0.0438,0.0029,0.0034,0.00258,0.00090,0.00105,24.74,28.20,27.62,2026.6800,0.1518,36.4519,7.1221,7.0698,1103954,1520722,3.0427,0.0821,1788.2,2026.6800,19.40,0,0,0,0,0,0,15328,25055.947,21834.708,0.9439,5131.6000,1372.9182,3797.5156,4222.1693,5349.7297,1063.2916,16541,1169821.2,2.41e-15
7000,12113,2518,97290,175703,150920,77954,459,35293,133,0,458812,3612076,40501.703,40253.093,0.9792,12172.737,0.067,0.846,0.028,0.060,0.447,0.394,209,0.1234,0.6788,0.055,20.0,36.4,64.3,28.12,3.48,8.81,0.33,15.50,5.93,1.390,0.230,0.319,0.328,5.479,0.250,0.0041,69,296,500,9113,13,18,0.168,7067,1302,1571,9240,1782,2077,8254,8.75,16.66,8534,12.5531,61731,16201,389670,3463.8,-0.0,671164,13.813,2630837.750,2.50e-14,0.00055,24.47,69941,34.337,2.178,30.926,1.234,34.340,5220,1741,5152,0.1979,0.962,1.269,1.988,1.365,0.951,1.564,11781.704,18122.731,14416.031,11659.264,26599.146,13953.510,2362.474,11764.372,0.405,0.504,0.462,0.343,0.420,0.507,27758,37972,0.4777,0.2981,0.3337,0.9994,0.0435,0.0474,0.5452,0.8945,0.8927,0.2106,0.0369,0.0437,0.0000,0.4880,0.9227,0.3322,0.7622,0.9473,0.00279,6196,0.9986,0.6907,0.7307,0.9992,0.0436,0.0475,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5262,4.8886,5.8884,0.0287,0.0582,0.0497,0.061,0.073,0.074,0.057,1588,0.0469,0.0027,0.0031,0.00262,0.00091,0.00103,26.55,27.44,27.78,1867.8542,0.1551,38.8060,6.9060,6.9072,1105798,1518554,3.1228,0.0549,1520.1,1867.8542,21.78,0,0,0,0,0,0,15587,28080.356,24606.004,0.9352,5183.5109,1305.4947,3658.0571,4460.9166,5616.7721,1329.4389,17489,1216196.9,4.53e-15
8000,13268,2216,100832,194993,170889,93401,760,32240,130,0,422027,3615695,44939.378,39450.449,0.9576,14192.537,0.068,0.820,0.033,0.079,0.464,0.386,240,0.1023,0.6865,0.060,15.9,32.0,68.5,29.77,2.69,6.42,0.45,20.22,6.30,1.296,0.187,0.199,0.204,5.762,0.274,0.0038,67,279,541,11979,16,18,0.152,6760,600,1496,11172,1151,1306,10811,7.50,15.14,9077,11.0218,61077,13577,357610,3147.5,-0.0,701097,12.796,2630837.750,2.16e-14,0.00167,7.77,75988,34.875,2.166,31.417,1.292,34.877,3331,3393,6544,0.2934,0.900,1.187,1.992,1.315,0.912,1.485,14459.143,22529.793,11416.564,14328.383,33386.970,11079.431,2752.955,11425.526,0.407,0.535,0.477,0.305,0.478,0.534,22081,42956,0.5343,0.2589,0.3462,0.9993,0.0333,0.0464,0.5432,0.7513,0.8290,0.2155,0.0428,0.0447,0.0000,0.0000,0.8880,0.1861,0.6855,0.9406,0.00282,6728,0.9984,0.6066,0.6841,0.9989,0.0334,0.0466,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5662,4.6155,5.7405,0.0349,0.0720,0.0662,0.107,0.109,0.078,0.105,1277,0.0491,0.0019,0.0025,0.00287,0.00116,0.00128,25.01,28.27,28.41,1757.4377,0.1311,48.3330,6.1065,6.6894,1108863,1514640,3.6468,0.1117,1391.6,1757.4377,16.84,0,0,0,0,0,0,16346,25257.912,21997.494,0.9512,4418.8912,1032.6200,4002.5342,4584.0783,6620.3690,1291.6063,14163,1344618.4,8.15e-15
9000,10856,1565,81237,152615,134378,70789,589,25875,79,0,288045,2745709,34854.192,30824.685,0.9925,12957.103,0.062,0.807,0.044,0.087,0.449,0.401,136,0.1004,0.6906,0.054,17.0,31.8,59.6,26.51,2.62,7.71,0.47,15.71,5.95,1.287,0.236,0.234,0.242,4.839,0.258,0.0037,66,289,497,8924,22,15,0.172,5666,32,1847,8977,684,1930,8242,11.75,19.45,12270,13.1714,60537,12757,335800,2530.2,-0.0,721754,11.027,2630837.750,1.42e-14,0.00165,30.68,60879,27.828,2.157,24.790,0.880,27.830,3292,3045,4519,0.3351,0.912,1.116,1.995,1.293,0.942,1.514,11958.595,16564.001,9003.575,11872.694,26935.027,7760.530,2475.561,7631.490,0.378,0.513,0.464,0.255,0.461,0.526,21473,41280,0.5521,0.2727,0.3322,0.9989,0.0334,0.0513,0.5353,0.9454,0.8775,0.2145,0.0280,0.0322,0.0000,0.7562,0.9503,0.1735,0.7621,0.9552,0.00271,5662,0.9987,0.8174,0.8314,0.9980,0.0335,0.0514,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.6861,4.7169,6.1109,0.0296,0.0794,0.0700,0.078,0.125,0.084,0.123,1190,0.0717,0.0020,0.0021,0.00295,0.00100,0.00132,25.77,27.55,27.91,1679.8061,0.1101,39.3545,4.6110,6.4162,1110958,1514715,3.7910,0.1919,1334.0,1679.8061,18.95,0,0,0,0,0,0,9563,17867.581,15679.042,0.9483,3341.2478,708.9840,3172.9104,3452.0003,4560.5826,877.5670,11656,1034987.0,9.52e-14
10000,9285,1610,71607,124252,106879,52176,469,28104,120,0,295995,2587530,29440.189,25621.889,0.9329,8363.059,0.063,0.830,0.042,0.065,0.438,0.401,169,0.1220,0.7057,0.046,18.0,32.0,58.5,25.90,2.85,8.31,0.33,14.41,5.81,1.354,0.243,0.276,0.280,5.280,0.251,0.0044,70,282,435,8789,29,16,0.215,5129,50,1710,7525,829,2296,6160,12.00,19.80,15085,15.7723,60018,14633,318742,1946.0,-0.0,739996,11.052,2630837.750,2.05e-14,0.00782,11.37,48238,24.797,2.172,21.845,0.780,24.799,3877,1490,3918,0.2075,0.962,1.198,1.998,1.273,0.943,1.590,9454.375,12461.571,9874.730,9350.722,18577.796,7661.509,2379.707,7217.615,0.390,0.506,0.437,0.290,0.403,0.490,24076,30615,0.4885,0.1771,0.2962,0.9997,0.0323,0.0539,0.5713,1.0875,0.9151,0.1943,0.0287,0.0303,0.0000,0.0000,0.7547,0.2237,0.7336,0.9430,0.00277,3304,0.9996,0.8871,0.7856,0.9989,0.0325,0.0541,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.6990,4.7990,6.4460,0.0297,0.0668,0.0597,0.058,0.068,0.053,0.088,1462,0.0876,0.0025,0.0028,0.00287,0.00091,0.00126,25.97,25.89,27.88,1617.2762,0.1089,28.3657,4.9841,6.0681,1111962,1514134,4.5564,0.2512,1333.5,1617.2762,19.36,0,0,0,0,0,0,9573,17258.831,15099.781,0.9437,3431.9438,743.1251,2742.8143,3631.3660,4452.7456,961.2303,12077,841140.7,1.34e-13
