step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain
1000,-60,0,5258,613.1125,439.00,88.43,1.83,229,2.52,0.215,14.847,0.2586,96.468
1000,-60,1,2474,529.4171,359.23,629.35,0.92,215,0.34,0.100,16.347,0.4086,140.214
1000,-60,2,2,0.3687,0.00,2.44,22.54,0,9.05,0.490,9.940,0.2406,157.241
1000,-50,0,7124,912.8226,544.30,96.61,15.00,322,11.85,2.198,10.188,0.2122,120.776
1000,-50,1,1570,411.9675,230.62,481.41,14.38,229,10.59,1.971,10.962,0.2939,182.834
1000,-50,2,4,1.2019,0.00,6.65,30.22,0,13.44,1.574,7.922,0.4585,148.755
1000,-40,0,6363,851.1553,386.70,62.81,26.31,384,21.31,6.381,6.824,0.2080,176.951
1000,-40,1,1716,440.7585,207.18,610.66,23.59,240,19.31,5.718,7.772,0.2570,251.423
1000,-40,2,2,0.4890,1.07,2.35,13.17,0,21.68,5.175,5.171,0.1995,133.678
1000,-30,0,4337,812.1955,325.91,88.16,33.47,391,27.92,10.259,5.139,0.2309,297.153
1000,-30,1,3275,884.3319,388.81,1516.09,29.57,474,27.22,10.114,5.554,0.2662,390.699
1000,-30,2,565,152.6052,61.86,790.10,35.03,98,28.96,11.015,4.991,0.3071,477.634
1000,-20,0,1829,567.6737,381.44,41.77,55.76,168,33.35,13.796,4.023,0.2416,398.544
1000,-20,1,2541,790.5529,383.81,1078.46,30.01,421,32.55,13.425,4.307,0.2845,561.008
1000,-20,2,3849,1240.8292,597.65,10777.66,33.10,718,31.74,13.095,4.632,0.4144,723.060
1000,-10,0,1812,664.0582,852.89,24.71,65.16,62,36.98,16.284,3.358,0.2585,485.313
1000,-10,1,2079,728.0388,271.47,918.43,35.08,408,36.82,16.188,3.392,0.2954,743.846
1000,-10,2,4333,1286.4900,529.95,15484.87,34.84,811,34.16,14.825,4.252,0.4400,919.205
1000,0,0,1826,711.6920,1142.76,31.37,72.12,41,38.85,17.517,2.984,0.2090,453.291
1000,0,1,1760,745.9380,374.08,853.58,40.65,201,38.59,17.323,3.013,0.2943,803.947
1000,0,2,4781,1577.3720,678.84,14917.36,38.04,903,35.19,15.584,4.118,0.4109,932.876
1000,10,0,3019,947.1539,931.64,51.76,74.59,92,37.73,16.755,3.208,0.2104,457.583
1000,10,1,2764,1158.8429,662.89,1371.54,44.51,315,37.14,16.384,3.349,0.2953,740.792
1000,10,2,3662,1139.8687,440.45,9437.93,22.68,691,32.10,13.906,5.072,0.3710,753.487
1000,20,0,4009,655.2711,496.91,61.18,62.15,124,32.27,13.495,4.656,0.1503,241.241
1000,20,1,3295,1230.2012,570.70,1557.63,36.18,518,32.29,13.453,4.574,0.2924,562.534
1000,20,2,1141,348.1797,115.32,1964.07,8.13,239,29.27,12.113,5.737,0.3380,596.164
1000,30,0,6775,913.7782,518.32,86.30,37.41,319,26.44,9.895,6.052,0.1680,205.356
1000,30,1,2337,824.7792,457.56,1008.28,43.26,442,29.27,11.091,4.852,0.2898,411.305
1000,30,2,162,49.8098,17.67,176.33,70.97,31,26.49,9.480,5.602,0.3158,377.297
1000,40,0,6713,701.5455,344.27,63.97,28.39,293,19.88,6.118,7.793,0.1697,116.552
