year,habitats,change,agree_prev,land_temp,sea_temp,pole_gap,day_swing,season_swing,rain_land,evap_land,runoff_land,lakes,dry,moist,wet,water_err,land_cold_dry,land_cold_moist,land_cold_wet,land_mild_dry,land_mild_moist,land_mild_wet,land_hot_dry,land_hot_moist,land_hot_wet,shallow_cold,shallow_mild,shallow_hot,deep_cold,deep_mild,deep_hot
1,11,0.6155,NaN,10.38,10.65,24.85,14.24,22.53,216.8,207.7,18.6,0.0003,0.5178,0.2988,0.1826,1.18e-16,0.0320,0.0366,0.0326,0.0459,0.0483,0.0249,0.1033,0.0198,0.0065,0.0127,0.0298,0.0043,0.1454,0.4212,0.0368
2,13,0.5713,0.6384,10.55,14.65,27.26,14.24,22.51,312.4,240.2,42.0,0.0010,0.4754,0.1972,0.3244,1.11e-15,0.0369,0.0217,0.0416,0.0447,0.0236,0.0487,0.0848,0.0237,0.0233,0.0075,0.0243,0.0159,0.0816,0.3239,0.1980
3,11,0.5264,0.8744,10.58,16.10,28.19,14.24,22.51,361.1,274.8,59.5,0.0019,0.4149,0.1809,0.3989,9.97e-16,0.0313,0.0196,0.0490,0.0384,0.0190,0.0589,0.0755,0.0247,0.0317,0.0059,0.0238,0.0188,0.0602,0.2938,0.2495
4,11,0.5309,0.9553,10.59,16.63,28.52,14.24,22.49,380.2,288.3,66.4,0.0023,0.3925,0.1724,0.4284,5.47e-18,0.0290,0.0185,0.0522,0.0364,0.0171,0.0627,0.0720,0.0247,0.0350,0.0053,0.0239,0.0198,0.0517,0.2868,0.2649
5,12,0.5364,0.9835,10.59,16.83,28.65,14.24,22.50,387.3,293.4,68.9,0.0027,0.3839,0.1692,0.4393,1.66e-16,0.0282,0.0180,0.0535,0.0355,0.0164,0.0642,0.0707,0.0248,0.0361,0.0052,0.0237,0.0203,0.0489,0.2844,0.2701
6,12,0.5304,0.9937,10.60,16.90,28.70,14.24,22.50,389.6,295.7,69.9,0.0030,0.3803,0.1680,0.4432,1.01e-16,0.0277,0.0179,0.0540,0.0351,0.0162,0.0647,0.0704,0.0247,0.0365,0.0052,0.0238,0.0205,0.0489,0.2821,0.2724
7,12,0.5305,0.9947,10.60,16.92,28.71,14.24,22.49,391.1,296.9,70.4,0.0032,0.3781,0.1676,0.4451,2.62e-16,0.0274,0.0179,0.0543,0.0350,0.0161,0.0648,0.0699,0.0247,0.0367,0.0053,0.0239,0.0207,0.0477,0.2818,0.2739
8,12,0.5302,0.9981,10.60,16.93,28.72,14.24,22.50,392.0,297.6,71.0,0.0035,0.3766,0.1678,0.4457,6.32e-16,0.0272,0.0178,0.0545,0.0348,0.0162,0.0649,0.0698,0.0248,0.0367,0.0053,0.0240,0.0208,0.0476,0.2818,0.2739
9,12,0.5301,0.9987,10.60,16.93,28.72,14.24,22.50,392.0,298.4,71.5,0.0037,0.3761,0.1676,0.4457,1.26e-16,0.0272,0.0178,0.0545,0.0347,0.0161,0.0648,0.0697,0.0248,0.0367,0.0053,0.0240,0.0209,0.0476,0.2818,0.2739
10,12,0.5302,0.9985,10.60,16.94,28.72,14.24,22.49,392.8,298.8,72.4,0.0039,0.3753,0.1668,0.4466,2.57e-16,0.0271,0.0177,0.0546,0.0348,0.0160,0.0649,0.0695,0.0247,0.0368,0.0054,0.0241,0.0210,0.0476,0.2818,0.2739
11,12,0.5301,0.9988,10.60,16.94,28.72,14.24,22.50,393.2,299.0,72.6,0.0041,0.3748,0.1667,0.4467,4.00e-16,0.0270,0.0176,0.0546,0.0346,0.0161,0.0650,0.0695,0.0247,0.0367,0.0055,0.0241,0.0211,0.0476,0.2818,0.2739
12,12,0.5300,0.9990,10.60,16.94,28.73,14.24,22.50,393.1,299.6,72.8,0.0043,0.3746,0.1664,0.4467,6.51e-16,0.0270,0.0176,0.0547,0.0345,0.0160,0.0650,0.0696,0.0247,0.0367,0.0055,0.0242,0.0212,0.0476,0.2818,0.2739
13,12,0.5302,0.9990,10.60,16.94,28.72,14.24,22.49,393.4,299.6,72.9,0.0045,0.3744,0.1663,0.4465,4.70e-16,0.0270,0.0176,0.0547,0.0347,0.0160,0.0650,0.0694,0.0247,0.0366,0.0055,0.0242,0.0213,0.0476,0.2818,0.2739
14,12,0.5300,0.9990,10.60,16.94,28.72,14.24,22.50,393.7,299.7,73.0,0.0047,0.3742,0.1661,0.4463,4.81e-16,0.0270,0.0175,0.0547,0.0345,0.0160,0.0650,0.0694,0.0247,0.0365,0.0056,0.0243,0.0214,0.0476,0.2818,0.2739
15,12,0.5300,0.9991,10.60,16.94,28.73,14.24,22.50,393.5,300.1,73.1,0.0048,0.3741,0.1660,0.4462,5.32e-16,0.0270,0.0175,0.0547,0.0345,0.0159,0.0650,0.0694,0.0247,0.0365,0.0056,0.0243,0.0215,0.0476,0.2818,0.2739
16,12,0.5301,0.9992,10.60,16.94,28.72,14.24,22.49,393.7,300.1,73.2,0.0050,0.3740,0.1658,0.4460,4.23e-16,0.0270,0.0175,0.0547,0.0346,0.0159,0.0649,0.0693,0.0246,0.0365,0.0056,0.0243,0.0216,0.0476,0.2818,0.2739
17,12,0.5300,0.9989,10.60,16.94,28.72,14.24,22.50,394.0,300.1,73.3,0.0051,0.3736,0.1656,0.4461,1.76e-16,0.0269,0.0174,0.0548,0.0345,0.0159,0.0650,0.0694,0.0246,0.0364,0.0057,0.0244,0.0217,0.0476,0.2818,0.2739
18,12,0.5299,0.9987,10.60,16.94,28.73,14.24,22.50,393.9,300.7,73.8,0.0053,0.3730,0.1652,0.4467,3.58e-16,0.0268,0.0173,0.0550,0.0344,0.0159,0.0650,0.0693,0.0246,0.0364,0.0057,0.0244,0.0217,0.0476,0.2818,0.2739
19,12,0.5301,0.9991,10.60,16.94,28.72,14.24,22.49,394.2,300.7,73.9,0.0054,0.3727,0.1652,0.4467,3.96e-16,0.0268,0.0173,0.0549,0.0345,0.0159,0.0650,0.0691,0.0247,0.0364,0.0057,0.0244,0.0218,0.0476,0.2818,0.2739
20,12,0.5300,0.9991,10.60,16.94,28.72,14.24,22.50,394.4,300.7,74.0,0.0055,0.3726,0.1652,0.4466,3.17e-16,0.0268,0.0172,0.0549,0.0344,0.0159,0.0650,0.0692,0.0247,0.0363,0.0058,0.0244,0.0218,0.0476,0.2818,0.2739
