step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,cold_land,cold_surface,cold_bottom,fat_land,fat_surface,fat_bottom
1000,14801,12082,119213,780165,748466,646895,14057,67993,2064,0,227626,5765674,183399.265,66360.844,0.2736,62469.078,0.240,0.279,0.257,0.225,0.637,0.331,1769,0.0223,0.7123,0.195,11.8,45.2,82.4,42.97,4.33,4.92,2.73,30.99,7.72,1.040,0.113,0.053,0.055,22.888,0.749,0.0024,171,493,2079,14359,92,0,0.000,7550,3708,3220,7873,1285,4290,9226,0.00,1.41,12256,33.6377,66725,8286,538391,1513.3,-0.0,466097,73.210,2631002.543,2.65e-15,0.00093,30.00,228923,106.801,1.517,103.843,1.441,106.802,9897,1724,3180,0.4245,0.844,1.027,1.248,1.031,0.926,1.129,37903.727,12877.875,174339.687,38421.785,33106.870,2376.350,1026.042,489.374,0.707,0.546,0.562,0.890,0.713,0.690,6297,32733,0.5515,0.9997,1.0000,0.0440,0.9999,1.0000,0.5320,0.8347,0.8726,0.1203,0.0542,0.0319,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,18045,0.9999,0.7883,0.7544,0.9989,0.0545,0.0530,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.1135,0.2117,0.1852,0.388,0.445,0.392,0.407,7553,0.2127,0.0206,0.0200,0.1208,0.1012,0.0972
2000,14957,5468,51136,92635,78657,40412,1087,35499,2980,0,310921,3364242,34487.034,13123.583,0.2832,7620.076,0.126,0.569,0.161,0.144,0.482,0.376,4595,0.0847,0.7267,0.180,8.6,25.0,63.8,28.49,2.17,5.89,1.04,19.39,7.49,1.049,0.223,0.041,0.043,10.973,0.489,0.0032,184,1123,1524,28236,141,0,0.000,7448,951,2163,11843,659,1082,13216,0.00,13.76,13657,13.7045,66827,5832,490669,1059.9,-0.0,527344,34.385,2631002.543,1.77e-15,0.00068,25.34,27006,36.101,1.480,33.816,0.805,36.102,2788,4800,7369,0.3975,0.933,1.019,1.202,1.049,0.962,1.107,15268.470,13099.189,8067.074,15222.908,18817.128,1327.236,2621.533,1554.739,0.510,0.430,0.526,0.522,0.410,0.457,5121,3652,0.6291,1.0000,0.9999,0.1144,1.0000,1.0000,0.5420,1.0698,0.9926,0.2028,0.0293,0.0219,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,6508,0.9993,0.8460,0.8169,0.9988,0.0423,0.0537,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0824,0.0991,0.0921,0.165,0.212,0.130,0.197,2341,0.1752,0.0191,0.0171,0.0794,0.0767,0.0872
3000,14139,4507,57129,104137,88014,45868,1140,39600,4984,0,417708,4466655,35193.257,15539.242,0.2990,7733.754,0.073,0.756,0.089,0.082,0.474,0.380,5249,0.1221,0.7874,0.164,7.7,26.3,61.9,28.10,1.77,7.43,0.50,18.40,7.34,1.070,0.249,0.050,0.055,9.354,0.470,0.0035,153,530,1720,35834,291,0,0.000,7623,75,1925,12139,1263,2658,10218,1.75,16.86,11007,16.4403,66750,4964,454548,1226.1,-0.0,565961,27.544,2631002.543,1.27e-14,0.00103,14.43,31934,33.965,1.503,31.750,0.711,33.965,5236,4331,4572,0.4410,0.936,1.027,1.255,1.085,0.975,1.144,13176.651,9783.321,15588.455,13040.535,14298.022,2470.493,2762.358,2572.637,0.510,0.422,0.513,0.516,0.341,0.505,3839,6491,0.4766,0.9999,0.9999,0.1348,1.0000,1.0000,0.6582,1.2049,1.0293,0.0946,0.0342,0.0260,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,4314,0.9995,0.9218,0.8531,0.9976,0.0377,0.0688,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0783,0.0555,0.0495,0.086,0.116,0.078,0.115,2558,0.1890,0.0244,0.0265,0.0513,0.0886,0.0996
4000,12473,4108,53349,89445,71809,35259,837,37682,4942,17,424915,4216593,30901.479,14524.764,0.3093,6311.562,0.052,0.812,0.062,0.075,0.451,0.390,7552,0.1502,0.7971,0.182,7.0,24.0,57.5,24.52,1.45,7.79,0.57,14.71,7.34,1.092,0.277,0.043,0.050,8.586,0.470,0.0035,149,505,2074,36358,477,0,0.000,6362,58,1963,10452,629,1361,10483,8.25,20.40,7549,11.0552,66793,5399,422897,639.0,-0.0,606011,24.553,2631002.543,1.42e-14,0.00039,37.93,26478,29.713,1.477,27.782,0.454,29.713,2875,4905,4693,0.4542,0.963,1.021,1.305,1.156,0.979,1.172,12368.493,8237.014,14063.991,12217.421,10931.629,2889.723,2772.408,2551.071,0.479,0.407,0.494,0.554,0.266,0.407,4196,7639,0.5990,1.0000,0.9999,0.1191,1.0000,1.0000,0.7276,1.1383,1.0113,0.1146,0.0364,0.0321,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,1937,0.9992,0.9326,0.8579,0.9979,0.0349,0.0793,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0817,0.0631,0.0554,0.104,0.131,0.065,0.159,2798,0.2112,0.0193,0.0221,0.0596,0.0873,0.0894
5000,11793,4103,45864,72423,57546,25891,668,34179,3775,24,331678,3876382,28519.665,11212.712,0.3185,4609.367,0.046,0.826,0.059,0.069,0.452,0.396,5094,0.1375,0.7952,0.171,10.0,25.0,62.4,26.99,1.09,8.46,0.59,16.85,7.43,1.129,0.266,0.044,0.048,8.659,0.457,0.0035,158,543,1959,25121,496,14,0.583,5926,80,1953,9760,685,1718,9390,11.50,21.48,9042,12.4236,66772,4808,391804,656.6,0.0,637748,22.246,2631002.543,9.56e-15,0.00099,12.68,21564,26.908,1.464,25.000,0.443,26.908,3273,4387,4133,0.4305,0.970,1.031,1.400,1.207,0.981,1.223,13165.747,8601.216,8680.052,12958.208,11490.772,1832.149,1989.929,2781.266,0.410,0.441,0.490,0.404,0.286,0.446,3994,3776,0.6078,0.9999,0.9998,0.1664,1.0000,1.0000,0.7225,1.0982,1.0057,0.0567,0.0272,0.0336,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,2624,0.9989,0.9295,0.8543,0.9965,0.0400,0.0722,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0731,0.0642,0.0533,0.103,0.124,0.067,0.155,2166,0.1980,0.0195,0.0225,0.0478,0.0781,0.0879
6000,10787,4021,43909,67911,54233,23374,628,32271,2751,34,326552,3771053,29768.901,10048.385,0.2929,4071.213,0.049,0.835,0.055,0.062,0.458,0.393,2251,0.1406,0.7654,0.169,11.0,25.0,62.4,27.19,1.27,8.76,0.54,16.61,7.44,1.141,0.267,0.054,0.059,8.933,0.479,0.0035,159,569,1646,18014,326,15,0.551,5456,218,1210,9359,749,1174,8864,11.75,22.46,7470,13.2730,66782,5377,359741,683.6,-0.0,673822,23.626,2631002.543,2.05e-14,0.00002,23.20,20563,26.507,1.442,24.701,0.363,26.507,3159,3877,3751,0.4249,0.982,1.031,1.439,1.246,0.985,1.214,11478.156,7558.027,13366.409,11297.014,9176.692,2951.682,1274.003,1751.487,0.439,0.466,0.463,0.439,0.252,0.367,4163,5731,0.5261,0.9999,1.0000,0.1144,1.0000,1.0000,0.7124,1.1197,1.0044,0.0648,0.0311,0.0393,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,1570,0.9992,0.9436,0.8531,0.9972,0.0526,0.0744,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0680,0.0613,0.0525,0.091,0.131,0.039,0.176,2558,0.2118,0.0177,0.0230,0.0504,0.0706,0.0801
7000,11211,3867,41288,67067,54486,25062,717,28305,2485,7,253546,3538361,28510.729,8847.884,0.3040,4030.778,0.043,0.831,0.071,0.056,0.464,0.391,1471,0.1219,0.7699,0.184,11.0,25.0,57.6,26.21,0.98,8.11,0.54,16.58,7.42,1.144,0.256,0.050,0.058,9.027,0.443,0.0033,159,577,1351,15446,264,16,0.512,5626,343,1399,9469,707,1097,9407,10.50,22.39,8302,13.2737,66852,4928,328526,802.4,-0.0,707208,21.228,2631002.543,9.91e-15,0.00036,24.47,20675,24.616,1.439,22.723,0.454,24.617,2871,4186,4154,0.4358,0.965,1.021,1.501,1.243,0.975,1.247,11614.563,8302.201,10784.243,11447.225,10310.040,2025.041,1022.270,1769.794,0.399,0.486,0.487,0.358,0.341,0.457,4337,6025,0.5475,1.0000,0.9999,0.1188,1.0000,1.0000,0.7922,1.0753,1.0237,0.0495,0.0303,0.0335,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,1669,0.9987,0.9038,0.8584,0.9977,0.0503,0.0738,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0733,0.0594,0.0530,0.086,0.134,0.044,0.179,2373,0.2227,0.0155,0.0252,0.0471,0.0720,0.0928
8000,9756,3600,39089,61803,50261,22060,654,28548,2470,13,259797,3513488,26869.251,9004.952,0.3112,3952.218,0.051,0.830,0.062,0.056,0.469,0.388,1432,0.1341,0.7635,0.178,12.7,25.0,63.8,27.17,1.10,8.92,0.49,16.67,7.47,1.188,0.263,0.055,0.061,8.960,0.466,0.0034,164,586,1635,16183,485,17,0.519,5113,803,1305,7648,699,1194,7863,11.00,21.88,8038,13.3299,66753,4657,303479,631.3,-0.0,734411,21.445,2631002.543,1.31e-14,0.00035,7.77,19278,24.232,1.457,22.406,0.369,24.233,3228,3344,3184,0.4120,0.984,1.045,1.607,1.315,0.984,1.273,10662.509,6796.593,11733.044,10470.089,8618.337,2210.030,1078.339,1764.365,0.399,0.489,0.500,0.399,0.294,0.418,4259,5677,0.4430,1.0000,0.9998,0.1172,0.9999,1.0000,0.7620,1.1702,1.0442,0.0528,0.0275,0.0351,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,1531,0.9990,0.9604,0.8846,0.9986,0.0518,0.0748,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0684,0.0521,0.0472,0.064,0.120,0.025,0.181,2305,0.2244,0.0151,0.0207,0.0427,0.0761,0.0865
9000,9341,2984,36934,54695,43342,17178,583,25703,2176,12,232853,3064805,24030.786,7511.729,0.3093,3011.106,0.049,0.848,0.058,0.045,0.448,0.405,1043,0.1319,0.7697,0.171,11.3,24.0,58.5,24.94,1.12,7.92,0.57,15.34,7.50,1.154,0.263,0.053,0.062,7.927,0.448,0.0034,158,586,1220,16585,393,16,0.613,4514,25,890,8426,454,1094,7793,15.00,24.43,8967,12.5868,66704,4607,279992,598.2,0.0,760123,18.764,2631002.543,1.13e-14,0.01049,30.68,17123,21.420,1.459,19.646,0.314,21.420,2179,3994,3168,0.4951,0.979,1.002,1.631,1.306,0.984,1.265,10397.219,6134.299,9457.781,10223.979,7360.133,2034.718,1149.740,1316.164,0.366,0.487,0.457,0.380,0.260,0.349,4562,6519,0.5314,1.0000,0.9993,0.1210,0.9999,1.0000,0.7963,1.2267,1.0311,0.0552,0.0363,0.0450,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,996,0.9996,0.9611,0.8753,0.9980,0.0528,0.0704,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0669,0.0573,0.0533,0.061,0.137,0.025,0.216,1943,0.2106,0.0142,0.0201,0.0480,0.0709,0.0749
10000,9545,3196,39486,58985,46920,18894,605,27381,2372,9,228647,3166923,24612.818,7358.011,0.3020,3043.008,0.059,0.846,0.057,0.037,0.445,0.411,1162,0.1310,0.7922,0.166,12.0,24.3,59.4,24.77,1.17,7.15,0.63,15.83,7.39,1.180,0.237,0.055,0.063,7.820,0.454,0.0035,146,531,1057,17551,316,18,0.563,4648,25,1090,8430,478,1204,7863,13.25,23.01,11236,15.1071,66721,4569,263568,619.6,-0.0,775942,18.459,2631002.543,1.93e-14,0.00042,11.37,18552,21.641,1.453,19.811,0.377,21.667,2795,3572,3178,0.4366,0.976,1.022,1.673,1.351,0.981,1.253,10375.850,6466.983,9711.493,10179.824,7764.509,1736.452,1215.499,1363.052,0.364,0.481,0.451,0.366,0.270,0.367,4399,6611,0.5755,0.9997,0.9998,0.1244,0.9998,0.9999,0.8445,1.2928,1.0555,0.0521,0.0392,0.0487,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,1063,0.9996,0.9578,0.8955,0.9972,0.0498,0.0680,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0663,0.0694,0.0659,0.054,0.153,0.037,0.228,1846,0.2163,0.0135,0.0169,0.0442,0.0799,0.0706
