x,y,land,air,ground
0,0,0.000,-0.0000,-0.0000
1,0,0.000,-0.0000,-0.0000
2,0,0.000,-0.0000,-0.0000
3,0,0.000,-0.0000,-0.0000
4,0,0.000,-0.0000,-0.0000
5,0,0.000,-0.0000,-0.0000
6,0,0.000,-0.0000,-0.0000
7,0,0.000,-0.0000,-0.0000
8,0,0.000,-0.0000,-0.0000
9,0,0.000,-0.0000,-0.0000
10,0,0.000,-0.0000,-0.0000
11,0,0.000,-0.0000,-0.0000
12,0,0.000,-0.0000,-0.0000
13,0,0.000,-0.0000,-0.0000
14,0,0.000,-0.0000,-0.0000
15,0,0.000,-0.0000,-0.0000
16,0,0.000,-0.0000,-0.0000
17,0,0.000,-0.0000,-0.0000
18,0,0.000,-0.0000,-0.0000
19,0,0.000,-0.0000,-0.0000
20,0,0.000,-0.0000,-0.0000
21,0,0.000,-0.0000,-0.0000
22,0,0.000,-0.0000,-0.0000
23,0,0.000,-0.0000,-0.0000
24,0,0.000,-0.0000,-0.0000
25,0,0.000,-0.0000,-0.0000
26,0,0.000,-0.0000,-0.0000
27,0,0.000,-0.0000,-0.0000
28,0,0.000,-0.0000,-0.0000
29,0,0.000,-0.0000,-0.0000
30,0,0.188,0.2897,0.3755
31,0,1.000,0.4017,0.7221
32,0,1.000,0.4698,0.8554
33,0,1.000,0.4465,0.7666
34,0,1.000,0.4170,0.6741
35,0,1.000,0.4157,0.6771
36,0,1.000,0.4209,0.6943
37,0,1.000,0.4166,0.6764
38,0,1.000,0.4013,0.6183
39,0,1.000,0.3866,0.5518
40,0,1.000,0.3783,0.5019
41,0,1.000,0.3696,0.4517
42,0,1.000,0.3598,0.3930
43,0,1.000,0.3510,0.3335
44,0,1.000,0.3343,0.2129
45,0,1.000,0.3189,0.0836
46,0,1.000,0.3170,0.0683
47,0,1.000,0.2379,0.0498
48,0,1.000,0.2565,0.0507
49,0,1.000,0.3150,0.0609
50,0,1.000,0.3164,0.0661
51,0,1.000,0.2580,0.0563
52,0,1.000,0.3184,0.0728
53,0,1.000,0.2597,0.0647
54,0,1.000,0.2955,0.0553
55,0,1.000,0.2056,0.0409
56,0,1.000,0.3146,0.0547
57,0,1.000,0.3169,0.0674
58,0,1.000,0.3192,0.0763
59,0,1.000,0.3213,0.0836
60,0,0.312,0.3324,0.0779
61,0,0.000,-0.0000,-0.0000
62,0,0.000,-0.0000,-0.0000
63,0,0.000,-0.0000,-0.0000
64,0,0.000,-0.0000,-0.0000
65,0,0.000,-0.0000,-0.0000
66,0,0.000,-0.0000,-0.0000
67,0,0.000,-0.0000,-0.0000
68,0,0.000,-0.0000,-0.0000
69,0,0.000,-0.0000,-0.0000
70,0,0.188,0.2891,0.3749
71,0,1.000,0.3861,0.6935
72,0,1.000,0.4188,0.6889
73,0,1.000,0.3835,0.5176
74,0,1.000,0.3687,0.4523
75,0,1.000,0.3591,0.3980
76,0,1.000,0.3557,0.3747
77,0,1.000,0.3588,0.3927
78,0,1.000,0.3590,0.3966
79,0,1.000,0.3628,0.4172
80,0,1.000,0.3674,0.4448
81,0,1.000,0.3646,0.4324
82,0,1.000,0.3680,0.4458
83,0,1.000,0.3657,0.4360
84,0,1.000,0.3614,0.4095
85,0,1.000,0.3564,0.3756
86,0,1.000,0.3048,0.2791
87,0,1.000,0.3332,0.2093
88,0,1.000,0.3247,0.1424
89,0,1.000,0.3197,0.0899
90,0,1.000,0.3163,0.0679
91,0,1.000,0.3153,0.0620
