run,seed,arm,step,kinds,land_open,land_fill,share_land,share_surface,share_bottom,land_cold,land_mild,land_hot
control10,10,control,40000,,0.9357138467211603,0.07386670301213029,0.2623502994011976,0.34468562874251496,0.3929640718562874,0.029957203994293864,0.08416547788873038,0.8858773181169758
control10,10,control,50000,3,0.9087853423844988,0.07341671878257246,0.2600557546794106,0.34767025089605735,0.39227399442453204,0.07963246554364471,0.09341500765696784,0.8269525267993875
control10,10,control,60000,3,0.802667377967458,0.06670301728350367,0.2982905982905983,0.31196581196581197,0.38974358974358975,0.055873925501432664,0.11031518624641834,0.833810888252149
control10,10,control,70000,3,0.8573451513085436,0.06404761904761903,0.2980956082394092,0.34045860862806065,0.3614457831325301,0.01564537157757497,0.12255541069100391,0.8617992177314211
control10,10,control,80000,3,0.8111784271798527,0.07924455170396372,0.2680320569902048,0.3365983971504898,0.39536954585930545,0.10132890365448505,0.08471760797342193,0.813953488372093
control10,10,control,90000,4,0.8544090630740968,0.06550445638478138,0.341010101010101,0.28444444444444444,0.37454545454545457,0.061611374407582936,0.0509478672985782,0.8874407582938388
control10,10,control,100000,3,0.7800395040052672,0.077715188207423,0.2928416485900217,0.32841648590021694,0.3787418655097614,0.028148148148148148,0.08888888888888889,0.882962962962963
cold10,10,cold,10000,,0.7322647570606344,0.06168283582089552,0.25252525252525254,0.3362193362193362,0.41125541125541126,0.022857142857142857,0.088,0.8891428571428571
cold10,10,cold,20000,,0.7758415636796111,0.062204644044177235,0.23298143429195486,0.3807790316709137,0.3862395340371314,0.0703125,0.10625,0.8234375
cold10,10,cold,30000,,0.7224754050925926,0.06476544426123015,0.295355587808418,0.3737300435413643,0.3309143686502177,0.06388206388206388,0.11179361179361179,0.8243243243243243
cold10,10,cold,40000,,0.7578504370346391,0.05858260137167609,0.27957413249211355,0.40496845425867506,0.31545741324921134,0.012693935119887164,0.10155148095909731,0.8857545839210155
cold10,10,cold,50000,2,0.7952346730056941,0.06073196239717979,0.2757488715633976,0.3972096840377513,0.327041444398851,0.0625,0.18154761904761904,0.7559523809523809
cold10,10,cold,60000,3,0.830767687910545,0.07835491774588729,0.31644482610562474,0.3499355946758265,0.33361957921854873,0.051560379918588875,0.18317503392130258,0.7652645861601085
cold10,10,cold,70000,3,0.8024850936079723,0.07137073637233025,0.3489208633093525,0.35891286970423664,0.29216626698641085,0.026345933562428408,0.12714776632302405,0.8465063001145475
cold10,10,cold,80000,3,0.8490642329020333,0.07479061735501512,0.27883340698188247,0.34865223155103847,0.3725143614670791,0.09350237717908082,0.11251980982567353,0.7939778129952456
cold10,10,cold,90000,3,0.8502383906994971,0.08247801147227533,0.28383287920072664,0.3442325158946412,0.37193460490463215,0.136,0.144,0.72
cold10,10,cold,100000,3,0.686431260082452,0.06371428571428571,0.35528523489932884,0.348993288590604,0.29572147651006714,0.023612750885478158,0.08028335301062574,0.8961038961038961
control11,11,control,10000,,0.9604429406336512,0.06623468729851709,0.2864114114114114,0.32244744744744747,0.3911411411411411,0.0327653997378768,0.12975098296199214,0.8374836173001311
control11,11,control,20000,,0.8909559954358287,0.07006864988558353,0.28390137781000724,0.30239303843364757,0.4137055837563452,0.10344827586206896,0.09067688378033206,0.8058748403575989
control11,11,control,30000,,1.0030820598433285,0.07010813165537269,0.2333965844402277,0.2915876027830487,0.4750158127767236,0.037940379403794036,0.14634146341463414,0.8157181571815718
control11,11,control,40000,,0.83295994754385,0.06280588235294117,0.23895434462444773,0.3089101620029455,0.4521354933726068,0.032357473035439135,0.07704160246533127,0.8906009244992296
control11,11,control,50000,4,0.833936056546396,0.06518181818181819,0.2640562248995984,0.2674029451137885,0.4685408299866131,0.08998732572877059,0.16603295310519645,0.743979721166033
control11,11,control,60000,4,0.9912677538137822,0.06866102222334206,0.2990720913633119,0.2651677373304782,0.43576017130620986,0.0513126491646778,0.10978520286396182,0.8389021479713604
control11,11,control,70000,5,0.9343660355708548,0.06744689425221366,0.26122785331685205,0.25793160280181293,0.48084054388133496,0.033123028391167195,0.14826498422712933,0.8186119873817035
control11,11,control,80000,4,0.8531863841555167,0.06589687100893997,0.3634907926341073,0.2389911929543635,0.39751801441152923,0.24118942731277532,0.09691629955947137,0.6618942731277533
control11,11,control,90000,3,0.8763808275603819,0.067912,0.30095475300954755,0.25280199252801994,0.44624325446243257,0.0910344827586207,0.14482758620689656,0.7641379310344828
control11,11,control,100000,4,1.0120403935784568,0.07686875,0.28418549346016647,0.2500990883868411,0.46571541815299244,0.03347280334728033,0.100418410041841,0.8661087866108786
cold11,11,cold,10000,,0.8454804560260586,0.06284939901013434,0.29580896686159847,0.29922027290448344,0.40497076023391815,0.026359143327841845,0.1400329489291598,0.8336079077429983
cold11,11,cold,20000,,0.8831234682667117,0.07283628309619965,0.2927374301675978,0.2988826815642458,0.4083798882681564,0.09541984732824428,0.13931297709923665,0.7652671755725191
cold11,11,cold,30000,,0.8092726263187118,0.06589698368092278,0.28614008941877794,0.3224043715846995,0.3914555389965226,0.05381944444444445,0.08680555555555555,0.859375
cold11,11,cold,40000,,0.8137711345258515,0.0644962257958648,0.2617713004484305,0.359304932735426,0.3789237668161435,0.006423982869379015,0.059957173447537475,0.9336188436830836
cold11,11,cold,50000,3,0.7967935247879212,0.05912178386658574,0.3058252427184466,0.3422330097087379,0.35194174757281554,0.11507936507936507,0.251984126984127,0.6329365079365079
cold11,11,cold,60000,3,0.7382097639188367,0.06474325039703546,0.34536983110075714,0.3220733838089691,0.33255678509027375,0.03204047217537943,0.16694772344013492,0.8010118043844857
cold11,11,cold,70000,4,0.7749013943669796,0.056094821262045375,0.3992248062015504,0.2571059431524548,0.34366925064599485,0.01779935275080906,0.1423948220064725,0.8398058252427184
cold11,11,cold,80000,3,0.7732843899707584,0.07606337599024986,0.37921906022501656,0.26935804103242883,0.3514228987425546,0.2774869109947644,0.1256544502617801,0.5968586387434555
cold11,11,cold,90000,3,0.8130099988507068,0.06868613988055058,0.41249263406010606,0.29994107248084856,0.2875662934590454,0.09714285714285714,0.12428571428571429,0.7785714285714286
cold11,11,cold,100000,3,0.7634743875278397,0.0744773519163763,0.325044404973357,0.3481349911190053,0.3268206039076377,0.023679417122040074,0.08925318761384335,0.8870673952641166
