run,seed,arm,step,kinds,land_open,land_fill,share_land,share_surface,share_bottom,land_cold,land_mild,land_hot
control9,9,control,10000,,0.8743066561014263,0.06438555725953282,0.27459016393442626,0.3145491803278688,0.4108606557377049,0.033582089552238806,0.13059701492537312,0.835820895522388
control9,9,control,20000,,0.8809742446106082,0.07012252314283848,0.3567208271787297,0.3068685376661743,0.336410635155096,0.07246376811594203,0.08695652173913043,0.8405797101449275
control9,9,control,30000,,0.9419645652037814,0.07301428571428573,0.2943650126156434,0.315811606391926,0.38982338099243063,0.03428571428571429,0.12714285714285714,0.8385714285714285
control9,9,control,40000,,0.9809502955988614,0.07167998702003195,0.2757417102966841,0.3621291448516579,0.3621291448516579,0.03955696202531646,0.12025316455696203,0.8401898734177216
control9,9,control,50000,3,0.9304556354916067,0.0648623432905123,0.3283318623124448,0.3115622241835834,0.36010591350397175,0.07258064516129033,0.125,0.8024193548387096
control9,9,control,60000,4,0.776659125188537,0.06622543950361945,0.3257292445774121,0.31264023934181,0.36163051608077784,0.02870264064293915,0.12284730195177956,0.8484500574052812
control9,9,control,70000,3,0.8962246861541281,0.08747240009928021,0.3500206868018204,0.302027306578403,0.3479520066197766,0.031914893617021274,0.11229314420803782,0.8557919621749409
control9,9,control,80000,3,0.8859738533126523,0.06869578470053153,0.34443541835905767,0.276604386677498,0.37896019496344435,0.12264150943396226,0.07193396226415094,0.8054245283018868
control9,9,control,90000,3,0.8332946456205509,0.06575454545454545,0.3814860938148609,0.24906600249066002,0.36944790369447905,0.062023939064200215,0.11643090315560392,0.8215451577801959
control9,9,control,100000,3,0.9242915723116469,0.07301250000000001,0.28806036395916557,0.32268086995117623,0.38925876608965826,0.04314329738058552,0.11093990755007704,0.8459167950693375
cold9,9,cold,10000,,0.8004768232627218,0.06257093168722497,0.25782227784730916,0.3288485607008761,0.41332916145181475,0.021844660194174758,0.125,0.8531553398058253
cold9,9,cold,20000,,0.8854081242140943,0.06281130983922584,0.23051519154557465,0.297556142668428,0.47192866578599735,0.15329512893982808,0.10601719197707736,0.7406876790830945
cold9,9,cold,30000,,0.7925527547417687,0.06289563437926331,0.2588582677165354,0.30971128608923887,0.4314304461942257,0.05449936628643853,0.11533586818757921,0.8301647655259823
cold9,9,cold,40000,,0.765212635033502,0.05751052315093205,0.21989708404802744,0.348885077186964,0.4312178387650086,0.015600624024960999,0.0748829953198128,0.9095163806552262
cold9,9,cold,50000,5,0.6804472307236648,0.05111981205951449,0.3482961992136304,0.2817824377457405,0.3699213630406291,0.03198494825964252,0.07525870178739416,0.8927563499529633
cold9,9,cold,60000,4,0.7922084199332979,0.05398293630050034,0.30776092774308655,0.29750223015165034,0.39473684210526316,0.0463768115942029,0.15942028985507245,0.7942028985507247
cold9,9,cold,70000,5,0.8251612612206234,0.061633756953328664,0.29164969450101835,0.29898167006109977,0.4093686354378819,0.008379888268156424,0.11033519553072625,0.8812849162011173
cold9,9,cold,80000,3,0.8233139681737812,0.06126969648816145,0.2532005689900427,0.3058321479374111,0.44096728307254623,0.1891385767790262,0.10486891385767791,0.7059925093632958
cold9,9,cold,90000,5,0.7740353556116756,0.05615511230375703,0.3665844201621431,0.2608389143461403,0.3725766654917166,0.1701923076923077,0.12980769230769232,0.7
cold9,9,cold,100000,4,0.6951428234183191,0.05554848484848485,0.3639494833524684,0.29850746268656714,0.3375430539609644,0.015772870662460567,0.06519453207150368,0.9190325972660357
control10,10,control,10000,,0.7656197539907823,0.0678021619247007,0.38645980253878703,0.2524682651622003,0.3610719322990127,0.01916058394160584,0.09215328467153285,0.8886861313868614
control10,10,control,20000,,0.9234826932195354,0.07257459756576365,0.28253968253968254,0.3376984126984127,0.37976190476190474,0.19241573033707865,0.09269662921348315,0.7148876404494382
control10,10,control,30000,,0.9514635050018525,0.06350679123970263,0.28872282608695654,0.33186141304347827,0.37941576086956524,0.09058823529411765,0.12588235294117647,0.7835294117647059
