step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,cold_land,cold_surface,cold_bottom,fat_land,fat_surface,fat_bottom
1000,14677,11506,111997,723912,689828,599801,12114,63584,1851,0,219381,4433864,181095.062,60121.523,0.2632,56512.409,0.235,0.233,0.307,0.224,0.625,0.335,666,0.0225,0.7035,0.191,12.8,45.2,85.5,44.64,4.36,5.41,3.21,31.65,7.95,1.030,0.128,0.051,0.053,24.153,0.712,0.0024,167,490,2044,19282,85,0,0.000,7795,3593,3114,7970,1298,4383,8996,0.00,1.21,14446,34.9013,66725,7946,539204,1564.5,-0.0,461837,70.248,2631075.518,3.72e-15,0.00093,30.00,213589,105.753,1.453,102.827,1.472,105.753,9771,1968,2938,0.4495,0.830,1.018,1.234,1.024,0.908,1.128,38448.152,11922.443,168059.417,38970.012,30578.043,2220.841,850.637,537.637,0.683,0.553,0.531,0.887,0.730,0.667,6195,30435,0.5560,0.9999,0.9998,0.0445,1.0000,0.9999,0.5191,0.8740,0.8836,0.1170,0.0425,0.0319,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,18013,0.9998,0.7901,0.7341,0.9989,0.0603,0.0481,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.1140,0.2238,0.1904,0.439,0.470,0.501,0.414,7701,0.2141,0.0217,0.0205,0.1242,0.0915,0.0951
2000,13532,5258,56773,103083,85873,45082,1228,38558,6937,0,472452,3990889,35268.091,16441.924,0.2879,7939.403,0.129,0.595,0.159,0.117,0.521,0.333,5578,0.1042,0.7276,0.188,8.0,26.4,69.8,30.21,2.51,7.45,1.15,19.10,7.71,1.073,0.246,0.042,0.044,11.690,0.539,0.0033,161,1071,1503,31389,98,0,0.000,7966,1218,2604,9710,849,1641,11042,0.00,12.71,14444,14.8254,66826,4724,491858,975.7,-0.0,524107,35.736,2631075.518,2.41e-14,0.00068,25.34,34720,39.265,1.458,36.808,0.999,39.266,3683,3660,6189,0.3821,0.909,1.035,1.313,1.073,0.942,1.150,15730.896,11674.688,10129.285,15692.218,17385.992,1972.737,3514.944,3014.840,0.547,0.487,0.553,0.511,0.393,0.480,4784,4195,0.5880,0.9997,0.9998,0.1086,1.0000,1.0000,0.5624,1.0800,0.9632,0.1730,0.0199,0.0264,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,5564,0.9990,0.8816,0.7902,0.9990,0.0429,0.0499,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0795,0.1063,0.0975,0.202,0.192,0.232,0.176,2664,0.1693,0.0231,0.0203,0.0726,0.0825,0.0819
3000,12638,3923,54813,91613,73446,35835,965,38127,6270,1,498967,4093695,31474.655,14642.973,0.2854,5742.112,0.069,0.752,0.102,0.077,0.480,0.352,4420,0.1429,0.7797,0.177,6.2,25.3,59.1,27.97,1.84,8.45,0.70,16.98,7.69,1.075,0.291,0.043,0.050,9.240,0.448,0.0037,146,514,1388,39150,134,0,0.000,7425,66,1240,11332,693,1944,10001,3.00,19.00,12614,16.7400,66749,5504,456588,1036.6,-0.0,563406,25.444,2631075.518,1.22e-14,0.00102,14.43,31310,31.852,1.440,29.694,0.718,31.853,4483,3864,4291,0.4596,0.900,1.015,1.351,1.063,0.967,1.186,11660.586,8377.305,14457.738,11549.862,11209.167,3031.382,3006.548,2862.931,0.509,0.456,0.491,0.505,0.299,0.396,4268,6483,0.5525,0.9998,0.9998,0.1183,1.0000,1.0000,0.6687,1.0456,1.0041,0.1054,0.0282,0.0286,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,2205,0.9995,0.8880,0.8493,0.9983,0.0421,0.0627,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0755,0.0816,0.0734,0.120,0.119,0.147,0.101,2621,0.1981,0.0209,0.0233,0.0540,0.0881,0.0867
4000,13046,3858,64746,108786,87581,42953,1087,44292,7305,4,578177,5063261,34348.499,17675.355,0.2952,7006.899,0.047,0.824,0.083,0.046,0.479,0.362,5702,0.1608,0.8081,0.169,6.3,20.0,53.1,22.67,1.20,7.39,0.42,13.65,7.70,1.125,0.294,0.031,0.035,7.492,0.476,0.0038,139,457,1533,40718,277,0,0.000,7245,90,2245,10711,699,2024,10323,8.75,22.71,7919,12.3976,66792,5143,424549,645.3,-0.0,603755,26.515,2631075.518,1.27e-14,0.00039,37.93,36637,34.522,1.439,32.376,0.707,34.523,3447,4522,5077,0.4356,0.944,1.024,1.454,1.152,0.971,1.244,13118.266,8939.300,16581.497,12925.613,11848.288,3900.733,3093.994,3673.729,0.490,0.485,0.464,0.572,0.259,0.361,3892,7023,0.5453,1.0000,0.9994,0.1082,1.0000,1.0000,0.7132,1.1092,1.0540,0.1055,0.0154,0.0238,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,2379,0.9992,0.9050,0.8812,0.9974,0.0351,0.0556,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0763,0.0595,0.0555,0.074,0.105,0.107,0.071,3335,0.2135,0.0195,0.0241,0.0557,0.0924,0.0759
5000,12666,3440,58290,83868,64541,24777,801,43081,6856,13,485610,4563115,27869.084,12882.063,0.2933,3981.093,0.035,0.864,0.063,0.037,0.447,0.385,5048,0.1695,0.8362,0.153,7.0,18.5,53.8,21.78,0.88,7.15,0.35,13.39,7.78,1.139,0.282,0.020,0.026,6.645,0.453,0.0040,141,462,1158,28106,168,9,0.445,7189,95,2020,10551,563,1550,10553,11.00,23.33,8646,12.1058,66752,5189,393420,603.0,0.0,637205,22.947,2631075.518,4.07e-15,0.00108,12.68,29283,30.060,1.429,27.862,0.769,30.061,3304,4467,4895,0.4234,0.950,1.027,1.534,1.187,0.972,1.258,12476.858,8123.622,9312.795,12286.742,10250.640,2851.033,3083.280,2966.658,0.417,0.458,0.450,0.399,0.237,0.318,3941,4425,0.6325,1.0000,0.9999,0.1307,1.0000,0.9999,0.7653,1.1876,1.0141,0.0729,0.0159,0.0247,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,1564,0.9992,0.9136,0.8597,0.9970,0.0326,0.0534,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0707,0.0636,0.0608,0.065,0.117,0.130,0.063,2731,0.1995,0.0156,0.0218,0.0530,0.0797,0.0742
6000,12320,3097,59464,86612,65997,26488,660,42731,6885,5,499979,4288047,28890.729,13059.196,0.2823,4236.139,0.036,0.856,0.067,0.041,0.428,0.402,4932,0.1704,0.8328,0.161,7.1,18.0,53.8,21.68,0.71,7.16,0.45,13.35,7.71,1.145,0.287,0.016,0.019,6.556,0.449,0.0040,135,441,1132,29408,209,8,0.451,6553,236,1296,10788,1157,1450,9713,13.25,25.66,8602,13.7275,66762,5457,361429,659.2,-0.0,671950,22.931,2631075.518,1.42e-15,0.00051,23.20,30081,29.971,1.402,27.893,0.676,29.971,3408,4511,4401,0.4332,0.955,1.025,1.572,1.210,0.976,1.266,11770.725,7779.075,11723.960,11573.038,9829.870,3266.377,2814.386,2742.295,0.390,0.436,0.446,0.401,0.235,0.333,4318,5728,0.5143,1.0000,0.9996,0.1182,1.0000,1.0000,0.7461,1.2358,1.0454,0.0520,0.0196,0.0190,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,1484,0.9994,0.9362,0.8789,0.9975,0.0355,0.0570,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0703,0.0674,0.0627,0.095,0.126,0.136,0.071,2977,0.2284,0.0150,0.0225,0.0505,0.0807,0.0751
7000,13473,3153,59306,89331,69261,29410,615,40211,6399,4,445613,4204259,29578.765,12671.238,0.2891,4620.291,0.042,0.853,0.070,0.035,0.431,0.400,5486,0.1517,0.8341,0.162,7.7,18.6,54.4,22.34,0.60,7.08,0.50,14.16,7.72,1.144,0.283,0.016,0.019,6.109,0.415,0.0038,135,435,1141,25021,300,10,0.376,7271,702,1488,11283,772,1499,11202,15.50,27.52,9426,14.9452,66821,4943,330441,780.8,-0.0,704509,22.118,2631075.518,7.61e-15,0.00024,24.47,32127,30.133,1.414,27.830,0.889,30.133,3979,4811,4683,0.4460,0.934,1.021,1.605,1.200,0.968,1.277,11781.897,8215.608,12210.261,11602.550,10386.245,2792.525,2635.889,2622.533,0.394,0.426,0.461,0.414,0.261,0.355,4299,7098,0.5192,0.9997,1.0000,0.1119,1.0000,1.0000,0.7893,1.1467,0.9983,0.0416,0.0143,0.0190,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,1574,0.9995,0.9139,0.8612,0.9973,0.0355,0.0545,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0654,0.0791,0.0753,0.089,0.151,0.155,0.077,2867,0.2198,0.0148,0.0214,0.0457,0.0784,0.0687
8000,11953,2944,54849,82385,64013,27025,511,38686,5775,2,449630,3987178,27810.704,12656.794,0.2831,4702.204,0.041,0.869,0.064,0.026,0.420,0.411,3147,0.1640,0.8272,0.161,7.9,17.9,56.6,22.60,0.58,6.88,0.41,14.73,7.83,1.142,0.273,0.015,0.018,6.366,0.444,0.0038,137,448,1064,24710,337,8,0.368,6254,564,1067,10322,1085,1218,9650,18.25,30.22,8588,13.4544,66720,5056,305583,624.4,-0.0,733293,21.607,2631075.518,1.65e-14,0.00059,7.77,29625,28.526,1.405,26.437,0.685,28.527,3248,4522,4183,0.4423,0.946,1.020,1.628,1.219,0.973,1.264,10731.823,7246.591,12746.267,10561.794,9204.847,3202.629,2243.445,2508.516,0.381,0.433,0.432,0.446,0.237,0.327,4555,7450,0.4937,1.0000,0.9997,0.1024,1.0000,1.0000,0.7034,1.2758,1.0434,0.0340,0.0216,0.0172,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,1693,0.9996,0.9377,0.8783,0.9984,0.0339,0.0597,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0682,0.0643,0.0623,0.080,0.113,0.123,0.079,2763,0.2176,0.0131,0.0203,0.0431,0.0835,0.0710
9000,10359,3116,52948,76108,59160,22687,473,38307,5555,7,358284,3830900,26848.464,10293.265,0.2898,3803.849,0.043,0.860,0.074,0.022,0.412,0.423,2278,0.1795,0.8398,0.169,7.8,15.2,57.6,21.74,0.61,7.07,0.41,13.65,7.34,1.136,0.268,0.012,0.015,6.657,0.450,0.0038,140,443,937,20191,267,12,0.504,4968,29,855,9475,608,1389,8362,18.00,28.03,7682,11.9736,66709,4744,284113,510.4,-0.0,758259,21.241,2631075.518,4.78e-15,0.00286,30.68,25727,26.474,1.421,24.612,0.441,26.474,2688,4185,3486,0.4593,0.955,1.015,1.610,1.246,0.978,1.240,10792.158,7144.657,11361.651,10641.795,8648.867,2656.688,2004.173,1828.555,0.351,0.432,0.424,0.426,0.212,0.303,4342,6847,0.4800,1.0000,0.9992,0.1051,1.0000,1.0000,0.7265,1.3933,1.0236,0.0437,0.0195,0.0159,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,1204,1.0000,0.9671,0.8977,0.9985,0.0298,0.0592,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0759,0.0688,0.0665,0.070,0.134,0.139,0.074,2622,0.2061,0.0124,0.0184,0.0470,0.0929,0.0778
10000,12868,3465,51056,71381,56112,19997,328,35015,5676,2,316746,3970891,25966.886,9329.387,0.3077,3237.286,0.043,0.855,0.085,0.017,0.436,0.413,2091,0.1294,0.8505,0.181,7.4,15.2,62.0,20.97,0.56,6.52,0.45,13.44,7.09,1.173,0.252,0.013,0.014,6.540,0.442,0.0036,142,468,852,21012,287,13,0.570,5575,37,1253,11578,458,1606,10804,13.75,24.46,8535,12.4193,66726,4733,266727,581.6,-0.0,776826,19.445,2631075.518,3.01e-15,0.00042,11.37,22156,25.031,1.464,22.982,0.585,25.066,3566,5058,4244,0.4449,0.969,1.027,1.687,1.309,0.982,1.285,11244.518,7241.683,9437.990,11105.679,8660.503,2212.931,1760.862,2118.309,0.354,0.462,0.445,0.396,0.212,0.298,4512,4791,0.5525,1.0000,0.9994,0.1276,1.0000,1.0000,0.7438,1.4906,1.0491,0.0344,0.0230,0.0194,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,989,0.9998,0.9633,0.8798,0.9984,0.0295,0.0625,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0756,0.0687,0.0661,0.083,0.135,0.098,0.081,2074,0.1971,0.0113,0.0147,0.0454,0.0950,0.0780
11000,12718,3568,54234,76135,59998,21550,351,38424,5898,1,330847,4269966,28227.151,10104.637,0.3142,3608.292,0.045,0.856,0.083,0.015,0.431,0.425,1808,0.1333,0.8401,0.174,8.0,14.0,62.6,21.47,0.53,6.51,0.45,13.98,7.09,1.161,0.248,0.017,0.019,6.418,0.440,0.0036,147,482,882,24508,309,13,0.606,5204,76,1419,11223,753,1773,10192,17.25,26.41,8088,13.4776,66773,5175,249238,841.5,0.0,796938,22.239,2631075.518,1.42e-14,0.00174,16.93,23461,27.276,1.430,25.298,0.549,27.278,3369,5347,4002,0.4790,0.955,1.010,1.693,1.318,0.980,1.269,11255.391,7294.835,12138.845,11114.313,8582.286,2971.142,1290.369,2234.834,0.374,0.466,0.419,0.418,0.190,0.274,4610,6507,0.4806,1.0000,0.9998,0.1117,1.0000,1.0000,0.7053,1.5483,1.0932,0.0339,0.0191,0.0158,0.0000,0.2188,0.9371,0.0473,0.6605,0.9412,0.00249,910,0.9999,0.9820,0.8989,0.9981,0.0293,0.0677,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0753,0.0623,0.0612,0.078,0.137,0.106,0.095,2644,0.2197,0.0118,0.0167,0.0410,0.0960,0.0764
12000,13159,3460,55017,74890,59200,19528,345,38517,6137,1,346416,4196664,28640.224,10022.907,0.3104,3301.795,0.040,0.868,0.079,0.013,0.414,0.439,1596,0.1344,0.8429,0.181,8.0,14.6,62.8,21.45,0.43,7.19,0.39,13.44,7.11,1.174,0.255,0.013,0.015,6.270,0.427,0.0036,146,485,990,27599,444,14,0.655,5383,125,1401,11633,1012,1376,10771,18.75,29.66,9627,15.4458,66998,4924,231987,762.5,-0.0,814791,22.304,2631075.518,4.25e-15,0.00077,31.67,22232,26.473,1.413,24.524,0.537,26.474,3675,5426,4058,0.4673,0.965,1.012,1.752,1.348,0.982,1.273,11839.670,7399.770,11639.721,11675.050,8627.249,3043.794,1384.745,2292.573,0.348,0.448,0.404,0.370,0.181,0.279,4545,6525,0.4635,1.0000,0.9994,0.1195,1.0000,1.0000,0.7531,1.5325,1.1186,0.0261,0.0132,0.0171,0.0000,0.7468,0.9383,0.2621,0.6599,0.9485,0.00244,857,0.9998,0.9829,0.9128,0.9983,0.0301,0.0639,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0744,0.0550,0.0518,0.073,0.124,0.092,0.084,2539,0.2306,0.0126,0.0219,0.0417,0.0971,0.0735
13000,12306,3362,54145,77212,61258,22717,350,38497,5508,5,345844,4265085,28911.425,10505.768,0.3089,3828.179,0.038,0.867,0.082,0.013,0.420,0.439,1767,0.1377,0.8396,0.184,8.0,12.5,56.2,19.40,0.51,6.16,0.39,12.34,7.01,1.171,0.238,0.013,0.015,6.262,0.443,0.0035,149,487,886,26079,289,17,0.692,4766,148,1584,10574,564,1217,10525,17.50,28.09,9262,14.2396,67044,5036,217338,594.9,-0.0,832816,22.671,2631075.518,2.04e-14,0.00093,10.33,23168,26.606,1.392,24.740,0.474,26.607,2930,5649,3727,0.5092,0.955,1.000,1.802,1.384,0.981,1.292,11741.357,7130.303,12951.826,11568.540,8219.238,3401.553,1103.776,2172.260,0.364,0.461,0.396,0.448,0.187,0.267,4540,7505,0.4693,1.0000,0.9999,0.1135,1.0000,1.0000,0.8213,1.5444,1.0928,0.0370,0.0198,0.0204,0.0000,0.0000,0.8274,0.1762,0.6233,0.9563,0.00248,662,0.9993,0.9778,0.8964,0.9961,0.0267,0.0626,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0776,0.0544,0.0517,0.086,0.121,0.075,0.100,2821,0.2373,0.0140,0.0244,0.0450,0.0969,0.0741
14000,12898,3670,54725,76694,61900,21628,341,38423,5154,2,294069,4389603,28786.944,9209.033,0.3060,3584.966,0.034,0.879,0.072,0.016,0.429,0.438,1570,0.1240,0.8480,0.180,7.9,13.9,55.8,19.87,0.44,6.26,0.35,12.83,7.02,1.155,0.246,0.013,0.015,6.276,0.452,0.0036,147,474,873,24011,292,18,0.688,5013,278,1745,10875,782,1193,10923,16.50,26.12,8854,13.6467,67079,4773,206279,715.2,-0.0,845916,22.266,2631075.518,3.89e-15,0.00123,33.24,23095,26.074,1.388,24.158,0.528,26.074,3201,5756,3941,0.5062,0.968,1.000,1.800,1.306,0.987,1.277,12189.597,7266.031,11776.109,12028.801,8567.000,2492.324,1321.537,1810.206,0.380,0.463,0.405,0.419,0.189,0.282,4364,7023,0.4970,0.9999,0.9997,0.1178,1.0000,1.0000,0.8154,1.5702,1.0815,0.0288,0.0188,0.0172,0.0000,0.7572,0.9652,0.0775,0.6548,0.9787,0.00250,969,0.9997,0.9908,0.9019,0.9974,0.0284,0.0582,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0770,0.0393,0.0375,0.056,0.089,0.061,0.074,2562,0.2349,0.0173,0.0265,0.0471,0.0964,0.0730
15000,13085,3598,52907,71770,57194,18604,259,37929,5222,5,279234,4257185,27606.832,8529.478,0.3127,3071.510,0.033,0.884,0.068,0.015,0.423,0.439,1513,0.1265,0.8574,0.180,8.0,14.4,57.8,21.13,0.52,6.66,0.34,13.61,6.93,1.153,0.246,0.018,0.020,6.440,0.451,0.0036,146,486,862,22177,228,17,0.675,5273,57,2021,11007,915,1666,10504,16.25,26.09,9197,12.9220,67094,4785,198226,695.3,-0.0,855672,21.501,2631075.518,1.01e-14,0.00005,23.67,20749,24.753,1.375,22.838,0.540,24.753,3474,5453,4158,0.4835,0.965,1.004,1.812,1.248,0.983,1.297,12279.259,7375.139,10122.113,12078.520,8477.708,2089.317,1303.985,2064.667,0.353,0.458,0.403,0.412,0.172,0.257,4162,6332,0.4721,0.9998,0.9998,0.1349,1.0000,1.0000,0.7715,1.4809,1.0728,0.0331,0.0225,0.0155,0.0000,0.2819,0.9314,0.1919,0.6827,0.9948,0.00250,825,0.9989,0.9809,0.8905,0.9975,0.0269,0.0584,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0753,0.0458,0.0413,0.058,0.090,0.064,0.077,2407,0.2245,0.0192,0.0251,0.0446,0.0954,0.0746
16000,11611,3358,54630,74905,59553,20044,231,39305,5443,3,325755,4358313,28653.518,9912.523,0.3067,3669.199,0.037,0.880,0.068,0.015,0.424,0.433,1779,0.1501,0.8436,0.174,8.2,14.0,57.0,20.09,0.55,6.41,0.39,12.74,6.93,1.165,0.246,0.018,0.022,6.333,0.466,0.0036,149,487,900,22665,341,19,0.681,4895,60,1750,9801,540,1415,9656,17.75,26.34,7111,11.3596,67003,4950,191108,522.9,-0.0,868090,23.144,2631075.518,3.36e-15,0.00028,15.34,22367,26.364,1.386,24.495,0.483,26.365,2780,5163,3668,0.5067,0.955,1.000,1.847,1.291,0.983,1.325,12222.100,6993.971,12058.405,12055.747,8208.565,2752.656,1367.594,2123.074,0.384,0.452,0.405,0.410,0.176,0.258,4263,7409,0.5353,0.9999,0.9994,0.1166,1.0000,0.9999,0.8052,1.4465,1.0582,0.0340,0.0248,0.0218,0.0000,0.0229,0.9110,0.0494,0.6444,0.9855,0.00253,1181,0.9990,0.9806,0.8865,0.9983,0.0285,0.0628,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0746,0.0542,0.0509,0.064,0.104,0.067,0.095,2763,0.2343,0.0191,0.0274,0.0454,0.0930,0.0709
17000,11392,3180,51836,68370,53688,16284,250,38028,5350,6,273342,3874009,25645.169,8083.695,0.3151,2700.189,0.036,0.881,0.074,0.009,0.397,0.455,1979,0.1515,0.8645,0.196,8.0,13.5,55.7,19.61,0.50,5.92,0.39,12.79,6.86,1.153,0.237,0.014,0.015,6.184,0.448,0.0037,144,481,782,19712,277,23,0.743,4479,67,1484,9841,463,1428,9501,19.75,27.86,8948,12.1894,67089,4733,182732,501.5,-0.0,877131,20.977,2631075.518,4.96e-15,0.00052,36.12,19970,23.865,1.389,22.014,0.461,23.865,2718,5111,3563,0.5092,0.956,1.000,1.839,1.293,0.982,1.291,12212.681,6975.333,8104.274,12076.303,8164.782,1959.055,1448.346,1976.105,0.321,0.424,0.396,0.343,0.170,0.291,4190,5319,0.5503,1.0000,0.9996,0.1367,1.0000,0.9999,0.8001,1.4627,1.0713,0.0344,0.0220,0.0188,0.0000,0.8136,0.9543,0.2285,0.6720,0.9671,0.00249,869,0.9999,0.9827,0.8916,0.9983,0.0279,0.0647,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0759,0.0504,0.0484,0.074,0.113,0.069,0.092,2483,0.2208,0.0178,0.0242,0.0453,0.0927,0.0751
18000,12268,3388,54481,75858,60332,21095,282,37766,4799,2,277109,3937086,28591.771,8940.403,0.3095,3580.610,0.042,0.869,0.079,0.010,0.405,0.451,1911,0.1365,0.8550,0.192,8.7,14.0,61.1,21.56,0.53,5.85,0.46,14.72,6.93,1.162,0.232,0.015,0.016,6.282,0.434,0.0036,144,464,828,18140,276,18,0.685,4974,333,1629,10306,920,1638,9710,18.25,26.47,9331,15.1248,67069,4746,174296,1067.6,-0.0,886473,21.359,2631075.518,6.73e-15,0.00017,9.52,23778,25.272,1.377,23.348,0.546,25.272,3572,5035,3661,0.4769,0.955,1.007,1.845,1.290,0.981,1.284,11636.615,7029.134,12423.941,11507.380,8241.059,2397.574,1165.187,1797.032,0.363,0.430,0.392,0.424,0.168,0.271,4219,7604,0.4378,1.0000,0.9994,0.1108,1.0000,0.9999,0.7543,1.4228,1.0524,0.0346,0.0164,0.0169,0.0000,0.0000,0.7510,0.2293,0.6411,0.9510,0.00249,953,0.9994,0.9735,0.8882,0.9988,0.0269,0.0599,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0722,0.0692,0.0675,0.087,0.138,0.094,0.117,2481,0.2251,0.0146,0.0225,0.0435,0.0927,0.0720
19000,11432,3156,53412,74565,59102,20936,217,37215,4458,1,270811,3805072,28632.019,9242.753,0.3021,4129.455,0.042,0.875,0.072,0.010,0.396,0.457,2004,0.1476,0.8429,0.184,9.0,14.0,62.0,22.14,0.81,6.44,0.39,14.50,6.97,1.136,0.243,0.018,0.019,6.428,0.448,0.0036,143,472,763,18532,182,16,0.717,4699,885,1252,9295,695,1413,9324,19.78,27.31,8480,14.7077,67031,4390,165972,842.5,-0.0,898243,22.038,2631075.518,2.81e-14,0.00050,24.64,22890,25.367,1.379,23.538,0.451,25.368,3414,4766,3252,0.5028,0.958,1.000,1.749,1.234,0.984,1.257,11126.271,6525.416,14100.964,11004.110,7656.399,2293.114,1147.556,1672.628,0.356,0.415,0.396,0.426,0.162,0.269,4198,9013,0.4832,0.9999,0.9989,0.0987,1.0000,0.9999,0.7029,1.4798,1.0935,0.0570,0.0127,0.0202,0.0000,0.5700,0.9495,0.1120,0.6545,0.9455,0.00251,883,0.9996,0.9822,0.9013,0.9989,0.0283,0.0643,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0711,0.0502,0.0471,0.070,0.105,0.062,0.103,2678,0.2216,0.0146,0.0244,0.0446,0.0908,0.0700
