run,seed,arm,band,bodies,open,hard,fat_fill,blocks,born_blocks,temp,cold_share
control9,9,control,cold,295,0.881285766467795,0.06124436868379399,0.07026666666666667,27.840677966101694,32.96271186440678,13.4,0.0
control9,9,control,mild,535,0.9452520145362616,0.05735503239058303,0.07225068119891008,23.659813084112148,26.80373831775701,13.7,0.0
control9,9,control,hot,4047,0.8563500072077267,0.05269749171111431,0.07011428571428573,27.425747467259697,32.75166790214974,18.0,0.0
cold9,9,cold,cold,365,0.7920058139534883,0.04229651162790698,0.06207185364778488,37.6986301369863,44.654794520547945,15.8,0.23293803857605314
cold9,9,cold,mild,522,0.8465014200877873,0.0694552026852569,0.06419579144256471,29.67816091954023,34.980842911877396,11.6,0.15800417320787172
cold9,9,cold,hot,4106,0.7339120848835607,0.07087893358862224,0.05439806651724603,33.5808572820263,39.754018509498295,28.55,0.16167315119838258
control10,10,control,cold,235,0.8718685176320409,0.024732726982607308,0.07790601023017903,26.66808510638298,31.74468085106383,15.2,0.0
control10,10,control,mild,386,0.9190357061632931,0.017966795542415284,0.07635456968463886,22.78238341968912,25.95336787564767,11.8,0.0
control10,10,control,hot,3618,0.8236266228856581,0.042254433907238986,0.06906472222222224,25.589275843007186,30.01354339414041,18.0,0.0
cold10,10,cold,cold,267,0.8161044613710555,0.051686615886833515,0.08424242424242423,27.53558052434457,31.153558052434455,15.6,0.17224145997764223
cold10,10,cold,mild,597,0.7832390807363735,0.05240043316087113,0.06312298209568536,27.842546063651593,31.122278056951423,14.7,0.14386353276512656
cold10,10,cold,hot,3521,0.7918607128724926,0.05217179557422458,0.0716,27.991763703493326,32.438511786424314,23.3,0.14978136704314837
control11,11,control,cold,444,0.749060856498873,0.025106436263461058,0.06282901668950056,35.972972972972975,43.37837837837838,19.95,0.0
control11,11,control,mild,582,0.8719406379031776,0.02567171324277422,0.06892329109062979,28.713058419243985,33.264604810996566,18.25,0.0
control11,11,control,hot,3585,0.9411344030751352,0.0156773789835963,0.0684,24.962900976290097,30.205299860529987,19.3,0.0
cold11,11,cold,cold,328,0.702720267384644,0.06898152446383808,0.07036395854021847,32.83841463414634,37.86585365853659,15.25,0.15126037416542007
cold11,11,cold,mild,522,0.7478849407783418,0.02896004165039698,0.06653748231340643,29.436781609195403,33.22222222222222,7.5,0.15508628205467823
cold11,11,cold,hot,2687,0.7925128490068065,0.04799277677455202,0.06668350668647846,26.791961295124676,30.958689988835133,21.4,0.1530875290901741
