step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,cold_land,cold_surface,cold_bottom,fat_land,fat_surface,fat_bottom
1000,15575,10506,127059,802028,761381,662085,12884,69942,4209,1,365963,6369800,182591.227,68780.202,0.3237,61376.665,0.215,0.301,0.196,0.289,0.639,0.322,1236,0.0277,0.7287,0.192,10.0,37.4,75.1,38.53,3.65,5.38,3.17,26.34,7.59,1.052,0.159,0.048,0.050,19.436,0.648,0.0025,159,484,2037,20762,121,0,0.000,8908,3618,2901,9056,1359,4524,9692,0.00,1.71,12365,33.5913,66726,8529,538573,1807.6,-0.0,467936,72.981,2630837.750,7.08e-15,0.00093,30.00,242037,113.011,1.518,109.890,1.604,113.012,10085,2015,3475,0.4172,0.847,1.027,1.292,1.047,0.897,1.155,37827.330,12050.236,175172.201,38626.555,30169.136,5147.204,713.889,1542.443,0.701,0.556,0.545,0.882,0.722,0.663,6712,35752,0.5344,1.0000,0.9998,0.0422,1.0000,1.0000,0.5671,0.8697,0.9430,0.1163,0.0486,0.0239,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,17075,0.9998,0.7721,0.7693,0.9987,0.0616,0.0537,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.1072,0.2178,0.1939,0.468,0.515,0.498,0.474,8636,0.2192,0.0220,0.0200,0.1150,0.0860,0.0966
2000,15479,4696,68649,125610,103349,55714,1247,42983,9167,2,670570,4639767,36485.145,23028.055,0.3127,9920.934,0.097,0.664,0.104,0.135,0.493,0.350,4078,0.1157,0.7529,0.176,7.1,24.5,52.6,24.66,1.75,7.31,0.86,14.75,6.85,1.183,0.279,0.031,0.034,7.967,0.463,0.0034,153,960,1263,44654,123,0,0.000,9216,1392,2538,11549,909,1740,12830,1.50,15.36,13245,13.9911,66828,5121,489699,1100.2,-0.0,528806,34.172,2630837.750,7.97e-15,0.00068,25.34,41829,41.811,1.488,39.149,1.174,41.812,4035,3773,7671,0.3246,0.891,1.113,1.538,1.191,0.927,1.304,15946.117,13582.147,9659.341,15867.053,20879.684,3781.328,2947.687,6378.105,0.501,0.485,0.495,0.501,0.430,0.442,4427,5038,0.6259,0.9995,0.9993,0.1029,1.0000,1.0000,0.6617,0.9579,1.0084,0.1726,0.0259,0.0162,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,8567,0.9975,0.7933,0.7518,0.9989,0.0439,0.0420,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0687,0.0832,0.0736,0.126,0.171,0.166,0.122,2988,0.1834,0.0189,0.0196,0.0649,0.0655,0.0723
3000,11913,3244,61930,108019,85690,45014,1075,41002,9305,3,653049,4755148,31439.800,18953.110,0.2872,7230.676,0.044,0.832,0.052,0.072,0.471,0.360,4833,0.1729,0.7961,0.164,8.0,26.9,53.1,25.96,1.31,7.81,0.48,16.36,6.78,1.154,0.281,0.023,0.026,6.770,0.425,0.0037,141,463,893,38930,82,0,0.000,6876,87,1853,9973,662,1694,9557,9.00,22.37,11118,15.3822,66752,4843,453882,988.2,-0.0,569848,24.502,2630837.750,2.48e-15,0.00208,14.43,36037,32.345,1.481,30.168,0.696,32.345,3852,3951,4110,0.4074,0.924,1.035,1.561,1.205,0.954,1.297,12284.184,7947.871,14808.142,12153.557,11708.777,4071.315,3018.504,4632.615,0.461,0.486,0.466,0.492,0.353,0.419,4307,8214,0.5461,1.0000,0.9994,0.1034,1.0000,1.0000,0.6919,1.0143,0.9646,0.1011,0.0149,0.0170,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,3840,0.9990,0.8437,0.7812,0.9985,0.0426,0.0556,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0614,0.0671,0.0456,0.078,0.091,0.070,0.070,3132,0.1953,0.0257,0.0267,0.0475,0.0656,0.0705
4000,11897,2930,54877,91400,72458,35736,787,35026,6260,2,513398,4221147,29483.147,14312.799,0.2686,5694.726,0.038,0.862,0.041,0.059,0.465,0.369,4111,0.1523,0.7952,0.161,8.3,23.6,50.0,23.59,0.90,7.08,0.29,15.33,6.67,1.159,0.275,0.023,0.025,6.306,0.436,0.0037,137,450,795,24502,76,0,0.000,6006,55,1876,9966,841,1494,9562,11.50,24.26,8434,12.4351,66719,5091,418675,986.3,0.0,610504,21.389,2630837.750,2.97e-14,0.00851,37.93,30374,28.064,1.484,25.954,0.626,28.065,3112,4373,4412,0.4427,0.966,1.023,1.586,1.220,0.979,1.293,11655.651,7566.294,13696.148,11473.732,10007.993,3394.049,2645.730,2578.292,0.432,0.499,0.452,0.501,0.295,0.391,4419,7989,0.5568,0.9999,1.0000,0.1075,1.0000,1.0000,0.7210,1.0615,0.9609,0.0753,0.0145,0.0221,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,2840,0.9990,0.9144,0.7788,0.9969,0.0396,0.0574,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0618,0.0429,0.0352,0.055,0.063,0.055,0.053,2776,0.2028,0.0202,0.0250,0.0473,0.0676,0.0664
5000,11449,3042,55349,87344,68995,31230,765,37693,6645,3,500269,4682939,28943.879,13454.678,0.2678,5082.645,0.022,0.899,0.038,0.040,0.469,0.373,3212,0.1637,0.8144,0.166,9.0,21.4,50.3,22.47,0.78,7.30,0.18,14.21,6.52,1.177,0.286,0.022,0.025,6.312,0.459,0.0037,141,445,900,24431,92,11,0.188,5806,81,1518,9850,766,1779,8904,14.25,25.09,6819,11.4352,66712,4860,387777,660.8,-0.0,645390,22.328,2630837.750,8.85e-15,0.00035,12.68,28286,27.762,1.435,25.764,0.564,27.763,3557,4004,3888,0.4444,0.967,1.023,1.658,1.224,0.980,1.336,12022.827,7788.045,11961.228,11835.118,10230.178,2994.745,2352.953,3024.336,0.400,0.523,0.456,0.419,0.301,0.383,4080,6515,0.5097,0.9999,0.9994,0.1099,1.0000,1.0000,0.7804,1.0902,1.0084,0.0525,0.0185,0.0247,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,2203,0.9993,0.9377,0.8495,0.9975,0.0356,0.0644,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0626,0.0303,0.0270,0.041,0.043,0.041,0.039,2738,0.2114,0.0186,0.0229,0.0470,0.0711,0.0680
6000,10163,2711,45827,70087,55275,23394,866,34083,4227,5,342561,4040023,24675.208,9599.109,0.2728,3759.357,0.018,0.885,0.034,0.063,0.467,0.379,2343,0.1571,0.8232,0.161,9.6,21.0,47.7,22.61,0.74,6.68,0.29,14.90,6.73,1.130,0.263,0.020,0.022,6.444,0.450,0.0038,149,477,835,17798,114,12,0.503,4719,126,1367,8670,683,1023,8457,18.25,27.58,9132,11.9766,66723,4801,355785,520.4,0.0,678641,19.935,2630837.750,4.96e-15,0.00010,23.20,21180,23.009,1.423,21.211,0.375,23.009,2475,4091,3597,0.4826,0.954,1.005,1.580,1.205,0.977,1.252,11581.157,7179.965,7832.416,11363.199,9238.950,2050.609,1668.946,2120.197,0.364,0.534,0.446,0.366,0.284,0.403,4294,4675,0.6072,0.9998,0.9997,0.1227,1.0000,1.0000,0.8346,1.0609,0.9464,0.0605,0.0145,0.0285,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,1795,0.9991,0.9228,0.8112,0.9969,0.0384,0.0648,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0655,0.0467,0.0453,0.065,0.069,0.060,0.067,2328,0.2068,0.0150,0.0188,0.0468,0.0694,0.0739
7000,9971,2699,51116,81103,65374,29024,963,34127,4430,1,387807,3876693,27751.034,11110.811,0.2630,4737.325,0.022,0.862,0.037,0.079,0.454,0.389,2268,0.1605,0.8100,0.169,11.0,26.4,50.1,24.69,0.71,7.54,0.39,16.04,6.65,1.168,0.270,0.029,0.031,6.360,0.448,0.0038,139,441,827,17184,76,15,0.382,4951,711,1186,8074,844,1399,7728,16.25,26.74,9310,15.2234,66794,4519,325277,817.7,-0.0,710136,21.043,2630837.750,6.55e-15,0.00075,24.47,25905,24.996,1.431,23.118,0.447,24.997,3723,3073,3175,0.4046,0.961,1.033,1.638,1.240,0.977,1.269,10564.028,6904.424,13215.410,10349.115,8923.834,3096.071,1507.075,1770.340,0.369,0.513,0.455,0.411,0.278,0.409,4121,7800,0.4850,1.0000,0.9994,0.0981,1.0000,1.0000,0.8180,1.0080,0.9680,0.0389,0.0211,0.0222,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,2119,0.9996,0.9050,0.8331,0.9980,0.0422,0.0645,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0570,0.0578,0.0544,0.068,0.105,0.085,0.079,2831,0.2251,0.0161,0.0222,0.0423,0.0646,0.0668
8000,8982,2187,46191,71124,56078,23827,1106,31959,3850,1,322813,3097090,24488.949,9378.182,0.2685,3961.833,0.021,0.851,0.043,0.085,0.412,0.409,1942,0.1822,0.8182,0.162,10.8,22.6,49.8,24.37,0.32,6.92,0.29,16.84,6.81,1.147,0.273,0.013,0.014,6.005,0.421,0.0039,137,442,797,18380,141,18,0.466,4180,410,1084,7488,932,1175,6875,22.50,33.38,10167,14.0715,66693,3979,301275,684.8,-0.0,735876,18.832,2630837.750,5.49e-15,0.00003,7.77,22670,22.023,1.432,20.245,0.346,22.023,3087,3054,2841,0.4656,0.950,1.008,1.685,1.217,0.981,1.250,10051.540,6092.696,10740.397,9854.880,7855.505,2131.174,1543.403,1741.772,0.345,0.454,0.415,0.407,0.255,0.385,3970,7644,0.4806,1.0000,0.9995,0.0976,1.0000,1.0000,0.8121,1.0705,0.9658,0.0198,0.0075,0.0098,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,1218,0.9998,0.9482,0.8518,0.9983,0.0446,0.0584,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0566,0.0409,0.0370,0.054,0.052,0.045,0.067,2508,0.2316,0.0135,0.0178,0.0429,0.0623,0.0654
9000,9464,2077,47184,76730,62483,28314,1232,30087,3273,4,302765,2910269,25472.053,9795.901,0.2611,4855.878,0.023,0.831,0.044,0.102,0.407,0.415,1472,0.1628,0.8203,0.148,10.0,17.1,45.0,21.03,0.25,6.27,0.15,14.36,6.89,1.140,0.272,0.009,0.010,5.635,0.439,0.0038,131,423,639,13967,60,19,0.633,3983,49,1064,8351,577,1074,7813,23.00,33.26,7572,12.3717,66685,3882,281933,472.1,-0.0,760544,18.146,2630837.750,1.12e-14,0.00046,30.68,24671,21.507,1.407,19.796,0.305,21.508,2577,3808,3079,0.4816,0.975,1.005,1.679,1.283,0.982,1.215,9387.334,5325.162,14542.189,9212.152,6573.590,2665.401,1211.528,1063.094,0.373,0.437,0.399,0.497,0.225,0.356,4206,10084,0.5606,1.0000,0.9993,0.0838,1.0000,1.0000,0.8583,1.1103,0.9652,0.0224,0.0072,0.0059,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,791,0.9998,0.9796,0.8756,0.9979,0.0420,0.0638,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0589,0.0213,0.0192,0.021,0.049,0.033,0.030,2463,0.2049,0.0136,0.0186,0.0467,0.0637,0.0631
10000,8251,2052,42716,64713,51572,20709,1288,32068,3152,1,244838,2759349,21692.229,7313.365,0.2643,3269.353,0.012,0.820,0.053,0.115,0.398,0.427,1220,0.1796,0.8526,0.162,11.0,17.6,46.3,22.13,0.25,5.85,0.45,15.58,6.78,1.123,0.253,0.008,0.010,5.641,0.456,0.0041,138,421,627,9817,92,21,0.728,3357,34,868,7349,684,1331,6236,20.50,32.37,8373,12.0381,66701,3801,264243,541.6,0.0,779211,17.766,2630837.750,2.21e-14,0.00084,11.37,20230,19.025,1.415,17.371,0.239,19.047,2674,3085,2492,0.4786,0.975,1.007,1.644,1.221,0.984,1.189,9233.022,5156.336,9313.735,9072.714,6575.134,1878.077,1029.953,1135.983,0.335,0.435,0.401,0.400,0.243,0.372,4150,5742,0.4387,1.0000,0.9991,0.0954,1.0000,1.0000,0.7899,1.1062,0.9429,0.0202,0.0049,0.0051,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,639,0.9996,0.9799,0.8646,0.9980,0.0450,0.0563,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0588,0.0457,0.0417,0.043,0.138,0.122,0.062,2327,0.2277,0.0125,0.0164,0.0443,0.0673,0.0639
