run,kind,share,censuses,held,forms,lineages,top_lineages,born_size,density,open_born,grass,algae,detritus,meat,kills,travel,land,surface,bottom,side,cells,seed,arm,open_now,hard_now,fat_fill,cold_share,band_cold,band_mild,band_hot
cold9,plant / no tooth / stays / bottom,0.024302606650552033,1,False,35,35,2264:0.41 1548:0.11 2995:0.08,25.0,1.164,1.1333333333333333,0.01075136528826857,0.0,0.7965415455676431,0.19270708914408832,0.027342644121542005,0.25,0.043010752688172046,0.0,0.956989247311828,7,4444444444444444400444400004400000040000004000000,9,cold,1.2250061409972979,0.008351756325227217,0.10234532355435691,0.017752434693714833,0.0,0.12096774193548387,0.8790322580645161
control10,plant / no tooth / roams / shore,0.639515570934256,6,True,91,56,933:0.87 2285:0.02 2153:0.01,17,1.0,1.0588235294117647,0.07396612050796468,0.5393314073224098,0.28208401693166235,0.10461845523796313,0.07463614058439819,33.0,0.22681527973163076,0.48014284168380045,0.29304187858456876,8,4440000044420000442200004422000044000000000000000000000000000000,10,control,1.0917267697920292,0.0036601903298971545,0.10194117647058823,0.0,0.027269775998268585,0.14706200627637703,0.8256682177253544
control10,mixed / no tooth / roams / shore,0.12657439446366783,6,True,66,65,1564:0.17 1810:0.14 2221:0.12,25,1.992,1.0,0.2108812495952235,0.0,0.3697037798807595,0.419414970524017,0.3510429931477776,33.75,0.4669218151995626,0.0,0.5330781848004374,5,2222222222444424444444444,10,control,1.0147845076432642,0.0009538392027912347,0.07166666666666667,0.0,0.02569710224166211,0.11153635866593767,0.8627665390924002
control10,plant / no tooth / stays / shore,0.09024221453287197,6,True,6,5,933:0.97 2515:0.01 1906:0.01,30.0,1.113,0.8571428571428571,0.2656133500054229,0.0,0.5701560522810956,0.16423059771348159,0.043342473301646214,0.0,0.2684049079754601,0.0,0.7315950920245399,8,4444000044440000444200004442000044400000440000000000000000000000,10,control,0.7583027063147344,0.015970598062145003,0.05896978120618458,0.0,0.03067484662576687,0.16257668711656442,0.8067484662576687
control10,mixed / no tooth / stays / shore,0.017716262975778548,1,False,4,4,2221:0.51 2535:0.45 2667:0.03,23.0,1.997,1.0,0.3089073690442651,0.0,0.28177712345709477,0.4093155074986401,0.24642360783265302,3.375,0.6171875,0.0,0.3828125,4,4444444444444444,10,control,1.0075665120820112,0.04735172077129607,0.06875726798196923,0.0,0.0,0.09375,0.90625
cold10,plant / no tooth / roams / shore,0.7209747113409365,6,True,57,21,1:0.84 1317:0.04 1759:0.04,14.0,1.0,1.3846153846153846,0.15511371873991373,0.46028874244154355,0.2578398097491525,0.12675772906939026,0.08745543610189462,31.25,0.25761446256631954,0.46394183533110633,0.2784437021025742,6,444000440000440000420000420000420000,10,cold,1.1393688347503754,0.024088785177162828,0.11692950302031849,0.045620645182497706,0.02279426213401454,0.15199449793672629,0.8252112399292592
cold10,mixed / no tooth / roams / shore,0.11737621307643267,6,True,33,33,1:0.25 1485:0.17 854:0.10,26,1.714,0.9230769230769231,0.26272246394822457,0.0,0.3306206901941357,0.4066568458576398,0.3415117646689062,33.75,0.4996982498491249,0.0,0.5003017501508751,7,4442222442222244222224422222442222244422224444422,10,cold,0.8640334134237532,0.011744099880987133,0.06634943181818181,0.10188783124060112,0.03741701870850935,0.12311406155703078,0.8394689197344599
cold10,plant / no tooth / stays / shore,0.07012821420981795,5,False,15,13,1:0.49 1803:0.17 1619:0.09,25.0,1.093,0.9523809523809523,0.3316447560608878,0.17753374103177866,0.31249965867960533,0.17832184422772826,0.07657472696382774,3.0,0.3797979797979798,0.21818181818181817,0.402020202020202,6,444322443222442000420000420000422000,10,cold,0.836857152942007,0.03737954890402739,0.07298479529050604,0.07950313101034596,0.020202020202020204,0.10808080808080808,0.8717171717171717
control11,plant / no tooth / roams / shore,0.5542276474723589,6,True,82,55,6:0.80 2319:0.03 2892:0.03,28.0,1.0,1.2142857142857142,0.11162986427404889,0.44055532245100454,0.266840996510061,0.1809738167648856,0.12933058930537397,27.5,0.2588791512915129,0.4219326568265683,0.3191881918819188,7,0000000000000002222242200024220004422444444444444,11,control,1.121563528752539,0.00610247250823002,0.07697066442073741,0.0,0.04001383763837638,0.13952952029520296,0.8204566420664207
control11,mixed / no tooth / roams / shore,0.2074519077139388,6,True,93,89,2665:0.13 3033:0.09 1780:0.09,16.0,2.0,1.0,0.1369537611928918,0.0,0.4111612861891468,0.45188495261796136,0.35654916347897225,28.875,0.39125077017868143,0.0,0.6087492298213185,4,2222222244444444,11,control,1.0957586357673808,0.005574989068648885,0.07828423645320198,0.0,0.021873074553296366,0.12692544670363523,0.8512014787430684
control11,plant / no tooth / stays / shore,0.07777848788905221,6,True,16,14,6:0.72 2665:0.09 1780:0.05,32,1.04,1.0,0.1923435681025574,0.223686596135744,0.3915068864652323,0.1924629492964662,0.03809859652096741,0.5,0.2818405916187346,0.2629416598192276,0.4552177485620378,7,4444444444444444444444444444444444444444444444444,11,control,0.9280157408808839,0.005509308309368851,0.05935528436564586,0.0,0.051766639276910435,0.1257189811010682,0.8225143796220213
control11,plant / no tooth / stays / bottom,0.050552821627148976,4,False,36,36,6:0.78 3033:0.04 2765:0.03,19,1.076,1.25,0.03189367865524256,0.0,0.7587885218349639,0.20931779950979346,0.026191963377876794,0.0,0.04804045512010114,0.0,0.9519595448798989,6,444444444444444444444444444444444444,11,control,1.243471184434416,0.0022934083006584303,0.07418009478672985,0.0,0.0025284450063211127,0.14791403286978508,0.8495575221238938
control11,plant / no tooth / roams / bottom,0.03246628746724612,1,False,51,51,6:0.45 2046:0.09 2945:0.06,17.0,1.151,1.1111111111111112,0.010368502732875397,0.0,0.7994905754086479,0.19014092185847678,0.09269123879056987,18.0,0.05905511811023622,0.0,0.9409448818897638,7,0000000000000000000000000000200000422004444444444,11,control,1.2868861929520508,0.013056036972848064,0.09167674750177435,0.0,0.013779527559055118,0.1889763779527559,0.797244094488189
control11,mixed / no tooth / stays / shore,0.01904518438039241,1,False,5,5,2839:0.74 2975:0.13 3372:0.06,32.0,1.4285,0.9696969696969697,0.3316719444297925,0.009057684344293255,0.2743966949865191,0.3848736762393952,0.1985537837711664,4.0,0.5738255033557047,0.003355704697986577,0.4228187919463087,6,222222222222422224442244444444444444,11,control,0.8871545181154231,0.03207790347987971,0.07155549317152404,0.0,0.15100671140939598,0.17785234899328858,0.6711409395973155
cold11,plant / no tooth / roams / shore,0.6567787971457696,6,True,35,13,1:0.96 1266:0.02 1328:0.01,17,1.0,1.0666666666666667,0.1534004092069598,0.4650707035320188,0.2371682661692179,0.14436062109180356,0.10435252947499646,37.25,0.2987738631072482,0.44140928139065655,0.2598168555020953,7,0000222000042200004440000444000044400000000000000,11,cold,1.0215360686419457,0.02523651218240708,0.10492,0.04757894672300024,0.028713332298618655,0.15613844482383982,0.8151482228775415
cold11,plant / no tooth / stays / shore,0.18063200815494393,6,True,6,3,1:0.98 1474:0.01 1458:0.01,32.0,1.058,0.8,0.29208052932616263,0.06442519002842617,0.47771645748928204,0.16577782315612907,0.027127152589646767,0.25,0.3030474040632054,0.09480812641083522,0.6021444695259593,7,0444222004444400444440004444000000000000000000000,11,cold,0.7818362758468173,0.0238288304891084,0.056885581396532756,0.06519207075654773,0.05925507900677201,0.14277652370203162,0.7979683972911964
cold11,mixed / no tooth / roams / shore,0.10040774719673802,6,True,16,15,1:0.46 1440:0.31 1384:0.06,25,1.375,0.8,0.39743363575245116,0.0,0.19299250502986612,0.4095738592176827,0.33449453383513805,29.5,0.617258883248731,0.0,0.38274111675126904,5,2222222222444224444444444,11,cold,0.8275849523393728,0.0236847849814451,0.06085287846481876,0.13237192094451206,0.0649746192893401,0.12385786802030457,0.8111675126903554
cold11,plant / no tooth / roams / land,0.023649337410805302,1,False,19,19,1340:0.29 1160:0.13 1324:0.09,48.5,1.787,0.6666666666666666,0.7314326792770288,0.0,0.03623235168702385,0.23233496903594725,0.17109532816859876,13.625,0.9741379310344828,0.0,0.02586206896551724,7,2222222224444224444442444444244444424444442244442,11,cold,0.7119123365146695,0.0009426181218333922,0.04699139375345929,0.2430870220309315,0.034482758620689655,0.16810344827586207,0.7974137931034483
