run,kind,share,censuses,held,forms,lineages,top_lineages,born_size,density,open_born,grass,algae,detritus,meat,kills,travel,land,surface,bottom,side,cells,seed,arm,open_now,hard_now,fat_fill,cold_share,band_cold,band_mild,band_hot
control9,plant / no tooth / roams / shore,0.6520958497341344,6,True,52,29,1:0.80 1777:0.06 1172:0.06,17,1.0,1.2941176470588236,0.10664284491115578,0.4435003850538412,0.3117810669366921,0.13807570309831094,0.09872786929558267,34.0,0.26061632955628505,0.449539341311024,0.28984432913269087,7,2220000220000044400004440000440000044000004400000,9,control,1.1954174290630035,0.01808995821612912,0.10246249999999998,0.0,0.027321825690988035,0.15778883829291537,0.8148893360160966
control9,mixed / no tooth / roams / shore,0.1515779297009875,6,True,36,28,1:0.22 1172:0.21 1606:0.16,27,1.686,1.0,0.21863129205095577,0.0,0.3687726086042143,0.41259609934482994,0.33728751301624776,30.25,0.4924829157175399,0.0,0.5075170842824601,6,222220222220224400244400004400000000,9,control,1.0334911286715371,0.01668033397942448,0.06987163706699491,0.0,0.015945330296127564,0.12027334851936218,0.8637813211845102
control9,plant / no tooth / stays / shore,0.11387335128789448,6,True,8,7,1:0.81 1172:0.07 1606:0.04,30,1.096,0.9166666666666666,0.21532091586905674,0.0,0.5859007533303701,0.1987783308005732,0.0754616765589133,0.5,0.33596118859915103,0.0,0.664038811400849,7,4444444444444444444444444444444444444444444444444,9,control,0.9106720436163742,0.03205893617500619,0.06762800796091911,0.0,0.053972104305639784,0.16616130988477865,0.7798665858095816
control9,plant / no tooth / stays / land,0.02354809750707824,1,False,30,27,1566:0.34 1972:0.25 1819:0.06,64,1.251,0.5,0.7544372411149928,0.0,0.008472294697740237,0.2370904641872669,0.0649914650864547,0.0,0.9882697947214076,0.0,0.011730205278592375,9,333311111333311111333441111344444111444444411444444411444444441444444441444444441,9,control,0.4802846289658124,0.12005778182012733,0.03914583333333333,0.0,0.002932551319648094,0.04985337243401759,0.9472140762463344
cold9,plant / no tooth / roams / shore,0.34160841445090484,6,True,91,73,143:0.52 1:0.12 2302:0.10,21,1.0,1.375,0.11223157504861826,0.5454633627163122,0.17329543138497003,0.16900963085009943,0.13701243176997624,26.25,0.22298718684260854,0.616370242876267,0.1606425702811245,8,1112200022220000004000004440000044400000440000004400000040000000,9,cold,1.2505585459893098,0.042006429170712394,0.09363067944977074,0.04442931628291174,0.012239433926180914,0.13367756741250716,0.8540829986613119
cold9,plant / no tooth / stays / shore,0.29934017116351996,6,True,35,32,143:0.78 1:0.06 2692:0.05,26.0,1.069,1.1851851851851851,0.15074597327078315,0.06687291325689836,0.5914637397083086,0.19091737376400994,0.06949619574238375,2.75,0.1948930597992143,0.07682234831951112,0.7282845918812746,7,4444444444444444400004400000440000044000004400000,9,cold,1.1158919092810038,0.03939020249137669,0.07140064612680239,0.04727799853984953,0.029899607158446095,0.1436054124836316,0.8264949803579223
cold9,mixed / no tooth / roams / shore,0.11106029920951199,5,False,51,51,2379:0.19 1945:0.15 1996:0.08,32.0,1.734,0.875,0.2615544118009896,0.0004045805278040318,0.3342457500590763,0.40379525761213003,0.30894556108877247,21.125,0.49529411764705883,0.000588235294117647,0.5041176470588236,5,2222222222244424444244444,9,cold,0.9729600797970379,0.02346206388099833,0.06089421052631579,0.08510085339152679,0.04176470588235294,0.11411764705882353,0.8441176470588235
cold9,plant / no tooth / stays / land,0.06271640425948913,3,False,49,46,1714:0.19 3015:0.16 2890:0.11,60.0,1.499,0.5,0.7467694025298813,0.0,0.010622109580641914,0.2426084878894767,0.07974633208389137,0.0,0.9802083333333333,0.0,0.019791666666666666,8,4444444444444444444444444444444444444444444444444444444444444444,9,cold,0.546242774566474,0.06069364161849711,0.044444285714285714,0.16054064880799207,0.04583333333333333,0.028125,0.9260416666666667
cold9,plant / no tooth / roams / surface,0.057228718886783825,3,False,14,9,143:0.71 2264:0.17 2265:0.09,16.0,1.0,1.411764705882353,0.014702504677370797,0.8974574733818655,0.001582147408128118,0.08625787453263538,0.08441186703525431,26.25,0.06963470319634703,0.9269406392694064,0.003424657534246575,6,422220222000440000440000440000440000,9,cold,1.5257472625036994,0.006658774785439479,0.12440833333333334,0.01584841229633457,0.00684931506849315,0.1495433789954338,0.843607305936073
cold9,mixed / no tooth / roams / land,0.044293460508264194,2,False,22,22,1620:0.48 1969:0.26 1999:0.06,36.0,1.998,0.6666666666666666,0.6055772306783249,0.0,0.017952994487874362,0.3764697748338009,0.3139754193497914,12.75,0.9424778761061947,0.0,0.05752212389380531,6,222222222222224442224444224444224444,9,cold,0.6688070905308854,0.08614452383105725,0.046110207585304055,0.20770842333660386,0.045722713864306784,0.084070796460177,0.8702064896755162
