run,seed,arm,censuses,grown,lineage_e060,forms,form,form_low,form_high,form_held,null_medium,null_medium_held,held_one_medium,one_medium,land_open,land_fill,land_hard,land_blocks,land_cold,land_mild,land_hot,bodies,feeling,sighted,sensors,born_sensors,sight_front,reach_front,sight_back,reach_back,sight_left,reach_left,sight_right,reach_right,steps,pop,pop_min,pop_end,lineages,top_lineage,births_per_body,blocked,no_room,kills,size_mean,ms_step,pop_land,pop_surface,pop_bottom,logcold_land,logcold_surface,logcold_bottom,logfat_land,logfat_surface,logfat_bottom,logopen_land,logopen_surface,logopen_bottom,deaths_hunger,deaths_broken,deaths_wear,deaths_thirst,deaths_suffocation,deaths_cold
control9,9,control,6,2413.5,1.6666666666666667,235,3.1666666666666665,3,4,3,3.1666666666666665,3,0,,0.866437135511857,0.07017000000000001,0.05367692226022463,27.03772811154398,0.060488004921058026,0.1096985851958171,0.8298134098831249,14481,0.04378150680201644,0.04274566673572267,0.36572059940611834,0.45942959740349426,0.10144327049236931,0.13175885643256682,0.07706650093225606,0.10607002278848146,0.049789379186520266,0.07064429252123472,0.11014432704923693,0.13963124093639942,100000,8101.7,6395.0,6729.0,9.56,0.73176,4.38356394336991,0.32706,0.2917462881530009,0.10313443748402122,23.2104,17.14596,2882.26,2949.3,2270.14,0.0,0.0,0.0,0.0,0.0,0.0,0.843176,1.230636,1.0608360000000001,0.6884934375110753,0.036148116311684894,0.00013951371594219856,0.26307055062350815,0.012148381837789428,0.0
cold9,9,cold,6,2551.1666666666665,2.1666666666666665,468,4.333333333333333,3,5,2,4,2,0,,0.7491309420528316,0.055835023664638266,0.06839381338438986,33.47386340877228,0.07310234328059283,0.10454636491087523,0.822351291808532,15307,0.025021232116025346,0.018030966224603123,0.1614294113804142,0.18756124648853464,0.018226954987914025,0.024955902528255046,0.02671980139805318,0.03854445678447769,0.019272228392238844,0.026066505520350166,0.03116221336643366,0.04115764029528974,100000,8472.28,7008.0,8564.0,20.2,0.5537,4.310294277337387,0.41164,0.3292364084943994,0.12210405513510424,25.3146,19.1271,2641.34,3010.72,2820.22,0.242136,0.018072,0.024048,0.042378,0.065818,0.06012,0.790594,1.312772,1.133602,0.6755809657263748,0.0581570571154104,0.00012151632670376016,0.19806230722283194,0.0159197335398746,0.052158420068804515
control10,10,control,6,2408.3333333333335,2,366,3.1666666666666665,3,4,3,3.1666666666666665,3,0,,0.8342298152225411,0.06982083333333335,0.03925011380210511,25.393489030431706,0.05543760320830385,0.09105921207832036,0.8535031847133758,14450,0.028581314878892733,0.021730103806228373,0.17577854671280277,0.20062283737024222,0.02782006920415225,0.039792387543252594,0.036539792387543256,0.0514878892733564,0.009550173010380622,0.013633217993079585,0.04982698961937716,0.06678200692041522,100000,8672.76,7241.0,8664.0,13.94,0.75764,4.568893870002168,0.35304,0.24446047790998185,0.09965441816900154,21.398600000000002,17.91772,2805.8,3235.44,2631.52,0.0,0.0,0.0,0.0,0.0,0.0,0.834392,1.082482,0.990544,0.7172981153174047,0.034699272800854615,6.76182676300756e-05,0.23164908339401316,0.016285910220097462,0.0
cold10,10,cold,6,2352.8333333333335,1.6666666666666667,255,2.8333333333333335,2,3,2,3,3,0,,0.792145789297577,0.07084637964774951,0.052173700146083093,27.943671607753707,0.06088939566704675,0.1361459521094641,0.8029646522234891,14117,0.044202025926188285,0.040376850605652756,0.20925125734929517,0.24474038393426364,0.0413685627257916,0.06644471204930226,0.049373096266912234,0.06963235814974852,0.03095558546433378,0.04321031380604944,0.04391867960614861,0.06176949776864773,100000,8703.04,7023.0,7874.0,8.08,0.7898000000000001,4.524177758576314,0.3342,0.24042069019799092,0.10084432698013739,20.749,17.30504,2838.86,3358.18,2506.0,0.22975,0.016524,0.025666,0.049514,0.087796,0.074806,0.789708,1.340282,1.063604,0.6632995282791402,0.04564012261798225,0.00015075981423548276,0.22366817409560608,0.014173960582146079,0.053067454610889936
control11,11,control,6,2607.8333333333335,2.6666666666666665,418,4,3,5,3,3.1666666666666665,3,0,,0.906560261919378,0.067912,0.01827706159197872,26.496421600520495,0.09629147690305791,0.1262199089134678,0.7774886141834743,15647,0.030932447114462837,0.021857225027161756,0.14245542276474724,0.16961717901195117,0.03419185786412731,0.04710168083338659,0.02115421486546942,0.03042116699686841,0.02530836582092414,0.038282098804882723,0.0245414456445325,0.037451268613791784,100000,8099.84,6609.0,8003.0,18.62,0.6731,3.952860797250316,0.45194,0.32599023052820997,0.12878435406720454,26.0332,17.6795,2532.74,2689.04,2878.06,0.0,0.0,0.0,0.0,0.0,0.0,0.86399,1.09786,1.062116,0.7046887423500879,0.05049347627731532,0.00021531467772073498,0.20956234327275813,0.035040123422117875,0.0
cold11,11,cold,6,1635.0,1.3333333333333333,128,3.1666666666666665,3,4,3,3.1666666666666665,3,0,,0.7756682666340559,0.06716772151898734,0.04731623304493157,27.74300254452926,0.09273395532937517,0.1475826972010178,0.759683347469607,9810,0.022324159021406727,0.02110091743119266,0.18307849133537207,0.19775739041794088,0.012334352701325178,0.019877675840978593,0.06228338430173293,0.0798165137614679,0.06432212028542304,0.08307849133537207,0.016411824668705402,0.02599388379204893,100000,7404.04,6117.0,6829.0,3.76,0.90708,5.128886391753691,0.33212,0.27258085525358017,0.1022186780757609,22.9214,15.95776,2506.54,2769.06,2128.44,0.222782,0.015874,0.02109,0.047274,0.064376,0.058952,0.775516,1.030874,0.904896,0.6741509730019472,0.04917558896657178,3.2645771266877075e-05,0.1981566723217567,0.025585333413368126,0.05289878652508933
