step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded
10000,712,1.694,0.246,7.16,44869,44670,0,4,979,1798,632493.3,132.9,0.038,0.534,0.093,0.335,567,14.98,7.01,0.23,1.57,0.01,0.09,0.18,2.61,14.57,6.64,0.00,0.00,0.000,0.004,147,0.173,0.992,0.000,0.000,0.008,52459,46108,3,0.301,0.243,0.013,368940,0.146,1.063,0.025,50.47,21945,64,0.074,0.500,0.000,1352946,1.08,13.34,0.000,0.000,0.000,8,13,23,62,10668,0.041,0.86,0.0061,0.021,5,0.383,0.000,0.448,0.309,3.27,3.29,6.05,0.00,0.000,1.05,1.11,1.10,0.383,0.00735,111.87
20000,907,1.452,0.197,9.94,42139,40889,2,0,1053,23,496422.9,2.8,0.009,0.393,0.137,0.461,631,10.24,3.07,0.13,1.04,0.03,0.57,0.10,1.12,9.98,2.83,0.00,0.00,0.002,0.036,107,0.154,0.980,0.000,0.000,0.020,29846,24284,4,0.793,0.000,0.014,125399,0.149,0.952,0.019,49.46,15565,0,0.120,0.000,0.000,881094,1.06,17.49,0.000,0.000,0.000,8,10,13,38,9291,0.035,0.12,0.0055,0.009,6,0.272,0.000,0.369,0.052,2.44,3.43,3.83,0.00,0.001,1.05,1.07,1.06,0.272,0.00329,113.62
30000,925,1.397,0.161,10.90,40353,39156,99,1,1079,41,498753.4,2.1,0.005,0.217,0.287,0.491,586,9.67,3.47,0.15,1.35,0.01,0.15,0.16,1.69,9.35,2.79,0.00,0.00,0.000,0.007,119,0.345,0.986,0.000,0.000,0.014,26386,20367,3,0.825,0.000,0.030,206540,0.115,0.818,0.014,49.80,16486,30,0.052,1.000,0.000,307463,1.06,18.18,0.000,0.000,0.000,7,9,13,52,8941,0.034,0.02,0.0058,0.001,6,0.149,0.000,0.286,0.028,2.44,3.41,3.50,0.00,0.000,1.05,1.06,1.06,0.149,0.00181,113.38
40000,933,1.355,0.101,10.84,40510,39429,109,0,964,13,499071.3,0.3,0.005,0.207,0.301,0.487,583,9.32,2.46,0.13,1.41,0.03,0.72,0.07,0.73,9.09,1.87,0.00,0.00,0.001,0.031,88,0.349,0.989,0.000,0.000,0.011,25741,19294,2,0.449,0.365,0.017,218832,0.119,0.607,0.007,49.78,16868,0,0.023,0.000,0.000,269753,1.04,18.37,0.000,0.000,0.000,8,9,12,37,8697,0.033,0.02,0.0059,0.000,0,0.135,0.000,0.287,0.019,2.37,3.47,3.34,0.00,0.000,1.03,1.06,1.04,0.135,0.00168,113.40
50000,959,1.410,0.091,10.81,40439,39374,100,0,939,4,499885.4,0.6,0.007,0.186,0.324,0.483,574,9.37,2.37,0.10,1.05,0.02,0.43,0.07,0.96,9.18,2.22,0.00,0.00,0.001,0.033,99,0.262,0.986,0.000,0.000,0.014,26179,19719,5,0.422,0.082,0.017,166417,0.129,0.520,0.005,49.88,17231,0,0.159,0.000,0.000,245133,1.05,18.09,0.000,0.000,0.000,8,9,11,28,8986,0.034,0.01,0.0057,0.000,6,0.136,0.000,0.292,0.021,2.33,3.55,3.42,0.00,0.000,1.04,1.05,1.05,0.136,0.00148,113.31
60000,932,1.443,0.062,10.93,40346,39350,86,0,937,18,498963.9,2.7,0.023,0.188,0.328,0.461,585,9.74,2.14,0.08,0.54,0.01,0.24,0.03,0.51,9.63,2.02,0.00,0.00,0.001,0.016,92,0.224,0.988,0.000,0.000,0.012,26269,20762,4,0.304,0.208,0.006,113879,0.166,0.313,0.002,49.76,16697,0,0.149,0.000,0.000,261808,1.03,17.90,0.000,0.001,0.000,8,9,12,25,9078,0.035,0.01,0.0056,0.000,6,0.145,0.000,0.298,0.030,2.40,3.51,3.55,0.00,0.000,1.02,1.04,1.03,0.145,0.00155,113.42
70000,934,1.420,0.058,11.11,40903,39774,108,0,1019,34,499281.7,3.1,0.027,0.163,0.342,0.468,581,9.47,2.13,0.10,0.87,0.00,0.06,0.07,0.54,9.30,2.07,0.00,0.00,0.001,0.033,110,0.227,0.987,0.000,0.000,0.013,26871,22820,5,0.334,0.033,0.020,102635,0.172,0.277,0.001,49.84,17160,0,0.091,0.000,0.000,186871,1.05,17.73,0.000,0.000,0.000,8,9,12,23,8849,0.034,0.01,0.0057,0.000,5,0.119,0.000,0.303,0.025,2.36,3.53,3.63,0.00,0.000,1.03,1.05,1.05,0.119,0.00138,113.35
80000,909,1.372,0.054,11.12,40460,39351,137,1,996,73,502315.0,11.3,0.026,0.171,0.336,0.467,578,9.75,2.73,0.14,1.02,0.04,0.62,0.03,0.40,9.54,2.33,0.00,0.00,0.002,0.029,102,0.219,0.983,0.000,0.000,0.017,27375,23306,4,0.303,0.162,0.011,129425,0.157,0.273,0.001,50.14,17426,2020,0.155,0.000,0.000,197320,1.06,17.68,0.000,0.000,0.000,8,9,12,40,8864,0.034,0.01,0.0058,0.000,7,0.119,0.000,0.305,0.028,2.38,3.60,3.60,0.00,0.000,1.06,1.08,1.06,0.119,0.00151,113.06
90000,907,1.447,0.054,11.30,41079,39935,130,0,1016,35,503225.5,4.8,0.032,0.170,0.334,0.464,577,9.60,2.34,0.06,0.44,0.04,0.75,0.07,0.72,9.43,2.10,0.00,0.00,0.002,0.027,95,0.245,0.985,0.000,0.000,0.015,27507,22950,3,0.338,0.276,0.011,117585,0.171,0.231,0.001,50.28,17520,0,0.137,0.000,0.000,194402,1.02,17.70,0.000,0.003,0.000,8,9,12,31,8703,0.033,0.02,0.0059,0.000,1,0.118,0.000,0.305,0.031,2.35,3.59,3.56,0.00,0.000,1.02,1.02,1.02,0.118,0.00152,112.91
100000,945,1.458,0.055,12.03,40780,39677,133,0,932,39,502621.1,6.6,0.035,0.169,0.351,0.445,561,9.46,2.66,0.06,0.96,0.02,0.31,0.09,1.06,9.29,2.40,0.00,0.00,0.002,0.034,108,0.232,0.992,0.000,0.000,0.008,27344,21463,7,0.269,0.039,0.014,134306,0.160,0.232,0.001,50.17,18342,0,0.169,0.000,0.000,198414,1.02,17.70,0.000,0.000,0.000,7,10,11,36,8935,0.034,0.01,0.0057,0.001,4,0.120,0.000,0.303,0.030,2.25,3.60,3.55,0.01,0.002,1.01,1.03,1.02,0.120,0.00141,113.02
