step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded
10000,769,1.791,0.495,7.66,45563,41999,491,3,3806,1213,670686.9,79.7,0.111,0.174,0.383,0.333,554,11.54,6.99,0.03,0.24,0.05,0.56,0.17,0.96,11.30,7.06,0.00,0.00,0.006,0.063,205,0.070,0.925,0.000,0.000,0.075,119492,114075,6,0.371,0.012,0.062,679140,0.139,1.645,0.058,54.71,36443,10,0.066,1.000,0.000,1137552,1.01,13.39,0.000,0.000,0.000,5,10,23,48,8873,0.034,15.34,0.0077,0.000,16,0.830,0.000,0.858,0.628,3.65,5.43,4.38,0.00,0.000,1.01,1.01,1.01,0.831,0.00088,93.38
20000,903,1.768,0.453,7.34,59391,53700,864,0,4693,1,608595.2,0.2,0.097,0.099,0.447,0.357,516,11.41,6.22,0.04,0.41,0.07,1.09,0.08,0.65,11.22,6.13,0.00,0.00,0.004,0.052,214,0.059,0.916,0.000,0.000,0.084,127648,120740,6,0.348,0.230,0.032,355519,0.077,1.577,0.052,60.68,39044,0,0.219,0.000,0.000,763408,1.01,11.91,0.000,0.000,0.000,4,11,21,46,10306,0.039,9.70,0.0060,0.019,12,0.736,0.000,0.898,0.544,3.99,6.39,4.87,0.00,0.000,1.02,1.01,1.02,0.736,0.00050,93.06
30000,949,1.622,0.433,7.21,68428,63479,969,0,3934,0,631079.5,0.0,0.131,0.097,0.375,0.397,481,9.89,4.81,0.02,0.22,0.03,0.34,0.05,0.46,9.79,4.85,0.00,0.00,0.005,0.058,226,0.045,0.926,0.000,0.000,0.074,137700,131472,6,0.632,0.078,0.020,245465,0.081,1.545,0.050,62.97,41961,0,0.000,0.000,0.000,894716,1.01,13.66,0.000,0.000,0.000,5,9,18,28,9384,0.036,9.63,0.0068,0.002,29,0.759,0.000,0.884,0.512,4.00,6.59,5.11,0.00,0.000,1.01,1.01,1.01,0.759,0.00040,90.84
40000,1150,1.517,0.356,6.34,84823,80343,1033,0,3246,3,659720.1,0.0,0.082,0.147,0.224,0.547,398,8.53,3.19,0.02,0.19,0.00,0.04,0.05,0.45,8.46,3.19,0.00,0.00,0.000,0.005,162,0.270,0.942,0.000,0.000,0.058,145684,142288,3,0.876,0.015,0.020,216843,0.099,1.399,0.041,65.91,42248,0,0.000,0.000,0.000,1623675,1.01,15.21,0.000,0.000,0.000,6,9,11,42,9806,0.037,9.14,0.0068,0.002,25,0.785,0.000,0.810,0.428,4.47,7.14,7.36,0.00,0.000,1.00,1.01,1.01,0.785,0.00031,88.38
50000,1094,1.498,0.323,6.46,88091,84371,1063,0,2713,26,676092.8,0.1,0.063,0.163,0.121,0.652,357,9.14,3.17,0.03,0.71,0.01,0.10,0.03,0.33,9.07,3.12,0.00,0.00,0.002,0.034,152,0.398,0.946,0.000,0.000,0.054,148276,146920,3,0.882,0.021,0.014,155764,0.096,1.340,0.037,67.64,40938,0,0.004,0.000,0.000,1745665,1.01,15.29,0.000,0.000,0.000,6,9,13,42,10003,0.038,9.66,0.0068,0.008,16,0.748,0.000,0.709,0.417,4.83,7.31,7.29,0.00,0.000,1.01,1.02,1.01,0.748,0.00040,86.15
60000,1152,1.454,0.297,6.16,96212,92383,1074,0,2697,1,674924.4,0.2,0.078,0.147,0.097,0.678,349,8.45,3.01,0.01,0.24,0.01,0.13,0.02,0.25,8.41,3.01,0.00,0.00,0.001,0.031,129,0.562,0.951,0.000,0.000,0.049,149082,147633,2,0.843,0.075,0.007,125012,0.098,1.289,0.034,67.64,37950,0,0.156,0.000,0.000,1566529,1.00,16.42,0.000,0.000,0.000,4,9,11,42,9734,0.037,9.92,0.0070,0.000,27,0.725,0.000,0.641,0.365,4.75,7.08,7.07,0.00,0.000,1.00,1.00,1.00,0.725,0.00038,85.87
70000,1170,1.440,0.281,6.31,98911,95422,1091,0,2380,0,675114.1,0.0,0.091,0.135,0.079,0.695,358,8.51,3.11,0.07,0.65,0.00,0.03,0.02,0.27,8.41,2.99,0.00,0.00,0.000,0.006,107,0.638,0.947,0.000,0.000,0.053,150605,148995,3,0.879,0.029,0.009,105062,0.102,1.253,0.032,67.65,32167,0,0.000,0.000,0.000,1352947,1.02,16.42,0.000,0.000,0.000,5,9,9,44,9953,0.038,10.38,0.0069,0.009,12,0.693,0.000,0.589,0.353,4.85,7.36,7.22,0.00,0.000,1.03,1.03,1.02,0.693,0.00038,85.41
80000,1178,1.394,0.250,6.18,100461,96252,1149,0,3052,1,674290.4,0.0,0.048,0.138,0.121,0.694,350,8.43,2.69,0.01,0.19,0.02,0.38,0.01,0.18,8.39,2.68,0.00,0.03,0.001,0.021,123,0.559,0.939,0.000,0.000,0.061,151511,150331,3,0.865,0.024,0.004,94050,0.101,1.176,0.028,67.57,35841,0,0.000,0.000,0.000,1411027,1.00,16.19,0.000,0.000,0.001,5,9,10,35,9931,0.038,9.84,0.0068,0.000,25,0.703,0.000,0.580,0.347,4.75,7.36,7.14,0.00,0.001,1.00,1.01,1.00,0.703,0.00037,86.03
90000,1201,1.382,0.247,6.07,101727,97280,1156,0,3268,8,678333.1,1.3,0.042,0.153,0.086,0.719,355,8.19,2.88,0.06,0.72,0.00,0.09,0.03,0.31,8.09,2.87,0.00,0.00,0.000,0.014,134,0.515,0.929,0.000,0.000,0.071,151577,150750,3,0.868,0.000,0.010,77613,0.095,1.164,0.028,67.97,37882,0,0.163,0.000,0.000,1718451,1.03,16.56,0.000,0.000,0.000,4,9,9,45,9834,0.038,8.52,0.0070,0.000,30,0.759,0.000,0.605,0.340,4.74,7.23,7.10,0.00,0.001,1.02,1.03,1.03,0.759,0.00033,86.95
100000,1189,1.408,0.154,6.08,101156,96869,1127,2,3170,23,674035.1,5.9,0.030,0.154,0.120,0.696,361,8.20,2.69,0.02,0.35,0.00,0.09,0.03,0.54,8.13,2.62,0.00,0.00,0.001,0.017,122,0.638,0.940,0.000,0.000,0.060,150311,149937,3,0.855,0.002,0.007,126888,0.103,0.894,0.016,67.51,35401,8,0.255,1.000,0.000,1633254,1.01,16.82,0.000,0.000,0.000,4,9,9,35,9744,0.037,9.38,0.0070,0.000,27,0.737,0.000,0.576,0.338,4.83,7.16,6.99,0.00,0.000,1.01,1.01,1.01,0.737,0.00037,86.54
