step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back
10000,8,831,11.49,0.33,0.05,0.12,10.98,0.01,1.08,0.002,0.125,554532.9,45.4,7,6,4.69,1.10,1.11
10000,1,126,6.24,0.36,0.07,0.02,5.79,0.00,1.11,0.000,0.531,76160.9,0.6,2,9,2.25,1.11,1.10
10000,0,10,6.20,0.00,0.00,0.20,6.00,0.00,1.00,0.000,0.000,89615.5,69.1,2,9,2.50,1.00,1.00
20000,8,871,10.96,0.23,0.04,0.19,10.49,0.00,1.07,0.001,0.140,554364.2,12.6,6,0,4.92,1.08,1.09
20000,1,184,4.74,0.02,0.04,0.12,4.56,0.00,1.01,0.000,0.537,104779.3,0.1,3,0,2.03,1.01,1.01
20000,0,29,7.17,0.00,0.00,0.00,7.17,0.00,1.00,0.000,0.001,1731.8,0.8,4,13,2.66,1.00,1.00
30000,8,865,9.89,0.11,0.02,0.16,9.59,0.00,1.04,0.000,0.147,558038.3,1.3,7,0,4.86,1.05,1.07
30000,1,153,5.43,0.07,0.00,0.04,5.33,0.00,1.02,0.000,0.512,102359.2,0.0,2,0,2.08,1.02,1.01
30000,0,26,7.12,0.00,0.62,0.00,6.50,0.00,1.00,0.000,0.001,1567.3,0.7,3,14,2.31,1.00,1.00
40000,8,912,9.55,0.23,0.04,0.09,9.19,0.00,1.08,0.003,0.143,541452.8,0.5,10,0,4.61,1.08,1.08
40000,1,152,5.17,0.04,0.05,0.11,4.97,0.00,1.02,0.000,0.501,104323.0,0.5,1,0,1.89,1.03,1.02
40000,0,46,5.89,0.00,0.09,0.37,5.43,0.00,1.00,0.000,0.001,623.7,0.7,3,27,2.26,1.00,1.00
50000,8,929,9.17,0.13,0.11,0.04,8.89,0.00,1.06,0.003,0.132,552635.4,2.6,8,0,4.86,1.06,1.06
50000,1,161,5.02,0.00,0.02,0.03,4.98,0.00,1.00,0.000,0.505,103935.0,0.0,1,0,2.01,1.00,1.00
