step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back
10000,8,648,12.25,0.10,0.01,0.04,12.10,0.00,1.02,0.000,0.153,539734.6,23.1,5,0,3.68,1.01,1.04
10000,1,70,7.99,0.63,0.94,0.00,6.41,0.00,1.05,0.000,0.334,50625.9,2.3,1,0,1.86,1.00,1.00
10000,0,5,11.80,0.20,0.00,0.00,11.60,0.00,1.05,0.000,0.000,88434.2,73.8,2,3,2.80,1.00,1.05
20000,8,845,11.33,0.06,0.00,0.00,11.27,0.00,1.01,0.000,0.134,527290.1,0.7,1,0,3.71,1.00,1.02
20000,1,57,6.82,0.02,0.00,0.02,6.79,0.00,1.04,0.000,0.243,50557.3,0.0,1,0,2.53,1.04,1.04
20000,0,19,8.63,0.00,0.00,0.95,7.68,0.00,1.00,0.000,0.001,520.3,0.0,2,11,2.68,1.00,1.00
30000,8,914,10.29,0.08,0.01,0.02,10.18,0.00,1.03,0.000,0.122,550376.9,0.0,1,0,3.77,1.03,1.03
30000,1,141,6.01,0.00,0.00,0.00,6.01,0.00,1.00,0.000,0.526,54318.3,0.0,2,0,2.06,1.00,1.00
30000,0,32,7.97,0.00,0.00,0.00,7.97,0.00,1.00,0.000,0.002,3796.9,0.0,2,20,2.78,1.00,1.00
40000,8,937,9.90,0.04,0.01,0.02,9.82,0.00,1.02,0.000,0.144,552286.6,0.2,1,0,3.62,1.02,1.03
40000,1,144,5.61,0.00,0.00,0.06,5.55,0.00,1.00,0.000,0.508,101164.1,0.0,2,0,2.27,1.00,1.00
40000,0,29,7.41,0.03,0.00,0.00,7.38,0.00,1.00,0.000,0.001,1118.3,0.0,2,16,2.62,1.00,1.01
50000,8,958,8.67,0.03,0.00,0.02,8.63,0.00,1.01,0.000,0.146,550187.2,1.2,2,0,3.58,1.00,1.01
50000,1,95,7.74,0.00,0.08,0.13,7.53,0.00,1.00,0.000,0.471,103086.2,0.0,2,0,2.37,1.00,1.00
50000,0,36,10.42,0.00,0.00,0.25,10.17,0.00,1.00,0.000,0.002,766.2,0.0,2,27,2.67,1.00,1.00
60000,8,1004,8.96,0.04,0.00,0.04,8.88,0.00,1.01,0.000,0.134,553701.8,0.0,2,0,3.56,1.01,1.02
60000,1,123,6.28,0.00,0.00,0.00,6.28,0.00,1.00,0.000,0.475,101243.1,0.0,2,0,2.36,1.00,1.00
60000,0,23,6.78,0.00,0.00,0.00,6.78,0.00,1.00,0.000,0.001,602.4,0.0,3,18,2.65,1.00,1.00
70000,8,1029,8.19,0.01,0.00,0.00,8.18,0.00,1.00,0.000,0.131,563652.6,0.0,2,0,3.48,1.00,1.00
70000,1,108,7.48,0.00,0.00,0.00,7.48,0.00,1.00,0.000,0.502,100820.5,0.0,2,0,2.62,1.00,1.00
70000,0,34,7.29,0.38,0.00,0.00,6.91,0.00,1.15,0.000,0.001,819.0,0.0,3,20,2.62,1.21,1.21
80000,8,1042,8.46,0.02,0.00,0.02,8.42,0.00,1.01,0.000,0.120,562153.0,0.4,3,3,3.50,1.00,1.01
80000,1,122,6.80,0.08,0.00,0.39,6.33,0.00,1.03,0.000,0.543,93579.2,0.0,2,1,2.04,1.02,1.03
80000,0,21,5.24,0.29,0.00,0.00,4.95,0.00,1.06,0.000,0.001,792.1,0.0,2,11,2.00,1.00,1.11
90000,8,1050,8.60,0.07,0.00,0.01,8.52,0.00,1.03,0.000,0.132,563334.9,0.5,2,0,3.53,1.02,1.03
90000,1,113,7.51,0.15,0.00,0.14,7.22,0.00,1.05,0.000,0.535,96532.9,0.0,2,0,2.27,1.07,1.06
90000,0,23,9.09,0.39,0.00,0.22,8.48,0.00,1.13,0.000,0.001,918.4,0.0,3,13,2.74,1.08,1.12
100000,8,1028,8.75,0.04,0.00,0.02,8.69,0.00,1.02,0.000,0.117,562721.2,0.0,2,0,3.53,1.02,1.02
100000,1,126,6.20,0.05,0.00,0.06,6.10,0.00,1.01,0.000,0.500,101397.6,0.0,2,0,2.25,1.01,1.01
100000,0,37,7.16,0.38,0.00,0.32,6.46,0.00,1.12,0.000,0.001,1090.7,0.0,3,22,2.38,1.10,1.11
