step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded
10000,719,1.418,0.369,7.84,44689,44096,0,3,1376,1532,527048.4,112.0,0.065,0.431,0.224,0.280,645,8.79,3.96,0.08,0.92,0.02,0.45,0.00,0.00,8.69,3.67,0.00,0.00,0.001,0.022,94,0.197,0.989,0.000,0.000,0.011,53235,43493,2,0.755,0.000,0.000,462271,0.121,1.388,0.041,39.78,21623,10,0.073,1.000,0.000,1520153,1.03,16.63,0.000,0.001,0.000,6,8,12,42,6319,0.024,0.95,0.0084,0.014,3,0.459,0.000,0.552,0.301,2.76,3.66,4.12,0.01,0.001,1.01,1.03,1.03,0.459,0.00279,122.47
20000,823,1.422,0.344,8.98,33652,32263,37,1,1247,47,399902.5,0.5,0.012,0.302,0.300,0.386,743,8.00,2.96,0.05,0.75,0.05,1.17,0.01,0.17,7.90,2.65,0.00,0.00,0.002,0.036,80,0.365,0.991,0.000,0.000,0.009,25641,18848,3,0.676,0.057,0.001,4603,0.153,1.343,0.038,39.75,13015,176,0.011,0.000,0.000,711102,1.02,17.28,0.000,0.000,0.000,6,7,10,33,6587,0.025,0.08,0.0062,0.021,3,0.286,0.000,0.401,0.050,2.54,3.40,4.00,0.00,0.000,1.01,1.02,1.02,0.286,0.00164,123.37
30000,830,1.424,0.334,9.03,35456,34036,83,0,1330,22,423030.4,1.2,0.011,0.273,0.315,0.400,699,7.88,3.25,0.07,0.72,0.03,0.52,0.02,0.27,7.77,2.88,0.00,0.00,0.001,0.020,85,0.372,0.992,0.000,0.000,0.008,26351,19289,3,0.770,0.029,0.004,19638,0.160,1.319,0.037,42.05,13872,0,0.053,0.000,0.000,647842,1.02,17.44,0.000,0.000,0.000,6,7,10,38,6541,0.025,0.05,0.0066,0.004,2,0.271,0.000,0.367,0.043,2.47,3.48,3.89,0.00,0.000,1.01,1.03,1.02,0.271,0.00163,121.10
40000,942,1.375,0.294,9.15,38245,36674,104,0,1355,16,458859.6,0.3,0.011,0.219,0.291,0.479,632,8.01,2.67,0.08,0.98,0.01,0.12,0.00,0.10,7.93,2.42,0.00,0.00,0.002,0.036,82,0.287,0.992,0.000,0.000,0.008,27108,21705,2,0.703,0.012,0.002,20362,0.174,1.233,0.031,45.61,15212,0,0.020,0.000,0.000,525449,1.02,17.12,0.000,0.000,0.000,6,8,10,37,7550,0.029,0.03,0.0061,0.004,5,0.252,0.000,0.324,0.040,2.45,3.68,3.83,0.00,0.000,1.02,1.03,1.02,0.252,0.00129,117.56
50000,976,1.380,0.209,9.10,39008,37398,165,0,1411,15,483258.8,0.6,0.008,0.213,0.269,0.510,593,8.05,3.52,0.12,1.86,0.01,0.24,0.01,0.21,7.90,2.76,0.00,0.00,0.001,0.020,83,0.205,0.989,0.000,0.000,0.011,27719,23296,2,0.744,0.137,0.002,21296,0.170,0.989,0.020,48.04,15354,0,0.042,0.000,0.000,542739,1.03,17.30,0.000,0.000,0.000,6,8,10,51,7852,0.030,0.04,0.0063,0.008,2,0.251,0.000,0.292,0.040,2.39,3.49,3.89,0.00,0.000,1.02,1.04,1.03,0.251,0.00127,115.12
60000,983,1.335,0.202,8.77,38600,37005,178,0,1410,1,480839.9,0.0,0.009,0.209,0.277,0.505,604,7.82,2.92,0.14,1.60,0.02,0.40,0.01,0.19,7.65,2.24,0.00,0.00,0.001,0.019,81,0.277,0.994,0.000,0.000,0.006,27253,23140,3,0.816,0.000,0.001,20535,0.155,0.961,0.019,47.93,15312,0,0.000,0.000,0.000,541040,1.05,17.60,0.000,0.000,0.000,6,7,10,45,7687,0.029,0.05,0.0064,0.004,5,0.255,0.000,0.277,0.038,2.34,3.35,3.89,0.00,0.001,1.03,1.06,1.05,0.255,0.00121,115.22
70000,935,1.343,0.174,8.74,38172,36775,193,0,1252,12,480457.8,0.2,0.009,0.200,0.271,0.520,608,7.86,2.88,0.09,1.23,0.00,0.03,0.01,0.16,7.76,2.28,0.00,0.00,0.001,0.033,71,0.287,0.987,0.000,0.000,0.013,27264,23200,3,0.729,0.065,0.002,18111,0.171,0.860,0.015,47.87,14526,0,0.018,0.000,0.000,506759,1.02,17.58,0.000,0.000,0.000,6,8,9,57,7346,0.028,0.04,0.0066,0.014,1,0.250,0.000,0.270,0.040,2.39,3.41,3.85,0.00,0.000,1.01,1.04,1.03,0.250,0.00123,115.28
80000,947,1.390,0.165,8.86,38645,37258,188,0,1187,32,486267.7,2.0,0.009,0.194,0.276,0.521,605,7.88,2.23,0.06,0.84,0.00,0.00,0.00,0.00,7.82,2.01,0.00,0.00,0.000,0.000,76,0.257,0.992,0.000,0.000,0.008,27181,24571,2,0.846,0.000,0.000,14063,0.160,0.825,0.014,48.48,14254,0,0.064,0.000,0.000,466028,1.02,17.55,0.000,0.000,0.000,6,8,10,31,7462,0.028,0.04,0.0066,0.003,1,0.236,0.000,0.262,0.039,2.40,3.38,3.88,0.00,0.000,1.01,1.02,1.02,0.236,0.00123,114.68
90000,984,1.346,0.162,9.05,38572,37130,184,0,1221,10,489730.7,0.2,0.010,0.199,0.279,0.512,597,7.73,2.21,0.08,0.96,0.03,0.65,0.00,0.00,7.62,2.02,0.00,0.00,0.002,0.045,60,0.260,0.990,0.000,0.000,0.010,27129,25645,4,0.631,0.000,0.000,11721,0.152,0.818,0.014,48.84,14909,0,0.016,0.000,0.000,458039,1.03,17.75,0.000,0.000,0.000,6,7,9,32,7604,0.029,0.04,0.0065,0.000,4,0.225,0.000,0.249,0.039,2.29,3.49,3.69,0.00,0.000,1.03,1.03,1.04,0.225,0.00125,114.32
100000,978,1.382,0.104,9.09,39029,37612,199,0,1224,11,495297.3,0.7,0.011,0.206,0.279,0.504,590,8.33,2.99,0.13,2.07,0.01,0.29,0.00,0.00,8.20,2.06,0.00,0.00,0.000,0.007,82,0.370,0.994,0.000,0.000,0.006,28129,26733,4,0.330,0.164,0.000,10556,0.152,0.575,0.007,49.25,14537,0,0.063,0.000,0.000,454346,1.04,17.29,0.000,0.000,0.000,6,8,10,62,8150,0.031,0.03,0.0062,0.000,2,0.215,0.000,0.246,0.041,2.29,3.71,3.71,0.01,0.001,1.04,1.05,1.04,0.215,0.00133,113.92
110000,938,1.387,0.085,9.29,38472,37113,158,0,1241,8,499606.4,0.1,0.010,0.190,0.302,0.498,597,9.34,2.75,0.10,1.23,0.01,0.23,0.00,0.00,9.23,2.40,0.00,0.00,0.001,0.029,84,0.193,0.981,0.000,0.000,0.019,28245,26766,5,0.319,0.000,0.000,7349,0.158,0.483,0.004,49.71,13760,0,0.016,0.000,0.000,352663,1.04,16.98,0.000,0.001,0.000,7,9,11,41,8759,0.033,0.02,0.0058,0.012,6,0.185,0.000,0.247,0.050,2.27,3.75,3.81,0.00,0.000,1.03,1.04,1.04,0.185,0.00139,113.47
