step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back
10000,8,518,12.08,0.10,0.00,0.25,11.73,0.00,1.03,0.000,0.081,370807.0,201.7,2,0,3.03,1.03,1.03
10000,1,17,19.71,0.00,0.06,0.00,19.65,0.00,1.00,0.000,0.204,13079.6,1.0,2,1,3.82,1.00,1.00
10000,0,5,14.80,0.00,0.20,0.00,14.60,0.00,1.00,0.000,0.001,87652.7,57.0,3,4,3.20,1.00,1.00
20000,8,554,10.79,0.04,0.03,0.10,10.63,0.00,1.01,0.000,0.078,332926.1,4.0,3,0,2.72,1.00,1.01
20000,1,14,16.43,0.00,0.00,3.79,12.64,0.00,1.00,0.000,0.146,14288.1,0.0,1,0,3.71,1.00,1.00
20000,0,5,12.20,0.40,0.00,0.00,11.80,0.00,1.12,0.000,0.000,2010.7,0.0,1,4,3.40,1.10,1.10
30000,8,573,10.45,0.01,0.03,0.06,10.34,0.00,1.01,0.000,0.078,338223.2,1.2,2,0,2.55,1.01,1.01
30000,1,18,7.67,0.00,0.00,0.17,7.50,0.00,1.00,0.000,0.104,14618.8,0.0,0,0,2.50,1.00,1.00
30000,0,18,9.06,0.00,0.00,0.33,8.72,0.00,1.00,0.000,0.001,1898.8,0.0,2,13,3.06,1.00,1.00
40000,8,600,10.06,0.00,0.04,0.14,9.87,0.00,1.00,0.000,0.078,339900.2,0.5,2,0,2.48,1.00,1.00
40000,1,11,13.82,0.00,0.00,0.00,13.82,0.00,1.00,0.000,0.097,13569.3,0.3,1,0,3.45,1.00,1.00
40000,0,4,13.50,0.00,0.00,0.00,13.50,0.00,1.00,0.000,0.000,1729.8,0.0,2,4,2.75,1.00,1.00
50000,8,600,10.06,0.01,0.08,0.25,9.72,0.00,1.01,0.000,0.078,338236.5,0.3,2,0,2.52,1.00,1.01
50000,1,10,12.60,0.00,0.00,0.00,12.60,0.00,1.00,0.000,0.080,13445.4,2.5,1,0,3.50,1.00,1.00
50000,0,1,8.00,0.00,0.00,0.00,8.00,0.00,1.00,0.000,0.000,1315.5,0.8,1,1,2.00,1.00,1.00
60000,8,601,9.76,0.00,0.10,0.10,9.56,0.00,1.00,0.000,0.076,337588.8,0.6,4,0,2.48,1.00,1.00
60000,1,13,18.69,0.08,0.00,0.00,18.62,0.00,1.15,0.000,0.138,12571.8,0.0,1,0,4.23,1.15,1.15
60000,0,3,12.00,0.00,0.00,0.00,12.00,0.00,1.00,0.000,0.000,1660.5,0.0,2,2,2.67,1.00,1.00
70000,8,626,9.81,0.03,0.06,0.19,9.53,0.00,1.01,0.000,0.080,337033.5,0.5,4,0,2.44,1.00,1.01
70000,1,31,26.65,0.00,0.00,3.19,23.45,0.00,1.00,0.000,0.468,13862.1,0.7,1,0,4.87,1.00,1.00
70000,0,136,44.32,1.19,0.57,2.76,39.79,0.05,1.24,0.022,0.033,9352.2,1.1,2,5,6.56,1.29,1.28
80000,8,591,9.75,0.00,0.00,0.13,9.62,0.00,1.00,0.000,0.075,336964.1,2.5,5,0,2.50,1.00,1.00
80000,1,19,26.00,0.00,2.37,0.00,23.63,0.00,1.00,0.000,0.348,27396.6,6.7,2,0,4.11,1.00,1.00
80000,0,16,25.38,0.00,1.88,0.00,23.50,0.00,1.00,0.000,0.002,2743.2,3.6,3,9,4.69,1.00,1.00
90000,8,600,9.63,0.00,0.05,0.01,9.57,0.00,1.00,0.000,0.075,334581.5,0.4,4,0,2.41,1.00,1.00
90000,1,33,8.30,0.00,0.00,0.00,8.30,0.00,1.00,0.000,0.165,19031.9,10.0,1,0,2.33,1.00,1.00
90000,0,11,7.82,0.00,0.00,0.00,7.82,0.00,1.00,0.000,0.001,2070.5,1.5,2,10,2.36,1.00,1.00
100000,8,613,10.04,0.01,0.10,0.14,9.80,0.00,1.00,0.000,0.080,339728.9,0.3,5,0,2.40,1.00,1.00
100000,1,9,20.33,0.22,0.00,1.89,18.22,0.00,1.04,0.000,0.107,14481.4,3.6,1,0,4.67,1.06,1.00
100000,0,3,17.33,0.00,1.67,0.00,15.67,0.00,1.00,0.000,0.000,1204.5,1.0,1,1,3.67,1.00,1.00
110000,8,607,9.84,0.01,0.01,0.08,9.75,0.00,1.01,0.000,0.078,340071.8,4.6,5,0,2.42,1.01,1.01
110000,1,17,19.53,0.00,0.00,0.59,18.94,0.00,1.00,0.000,0.198,13209.9,0.0,1,0,4.94,1.00,1.00
110000,0,8,13.88,1.00,0.00,0.12,12.75,0.00,1.20,0.000,0.001,1390.4,0.0,3,6,3.38,1.00,1.22
120000,8,626,9.74,0.00,0.05,0.09,9.59,0.00,1.00,0.000,0.079,342763.8,0.4,4,0,2.26,1.00,1.00
120000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,1747.9,0.9,0,0,-0.00,-0.00,-0.00
