step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded
10000,699,1.452,0.289,4.77,44578,43659,0,0,1703,1944,511265.7,132.9,0.060,0.427,0.351,0.162,1568,9.29,3.23,0.00,0.08,0.00,0.04,0.01,0.20,9.27,3.22,0.00,0.00,0.000,0.003,77,0.227,0.994,0.000,0.000,0.006,52694,49153,2,0.926,0.000,0.006,325250,0.131,1.206,0.032,38.24,18849,0,0.068,0.000,0.000,1373634,1.00,17.99,0.000,0.000,0.000,6,9,12,36,6492,0.025,2.64,0.0079,0.013,15,0.452,0.000,0.470,0.320,2.79,2.95,4.05,0.00,0.000,1.00,1.00,1.00,0.452,0.00297,122.44
20000,640,1.475,0.235,4.58,30034,28952,14,0,1127,0,375012.1,0.0,0.007,0.196,0.504,0.293,1881,11.02,3.00,0.00,0.00,0.00,0.00,0.05,0.51,10.96,2.90,0.00,0.00,0.000,0.000,73,0.266,0.986,0.000,0.000,0.014,17878,16903,2,0.923,0.000,0.019,35449,0.216,1.078,0.025,37.28,7393,0,0.000,0.000,0.000,264446,1.00,17.70,0.000,0.000,0.000,7,11,13,38,7050,0.027,0.53,0.0053,0.014,1,0.190,0.000,0.326,0.029,2.83,3.12,4.04,0.00,0.000,1.00,1.00,1.00,0.190,0.00170,125.50
30000,664,1.466,0.201,4.26,30703,29473,33,0,1173,1,379425.7,0.1,0.006,0.172,0.496,0.327,1870,10.66,2.57,0.03,0.74,0.05,0.70,0.04,0.76,10.53,2.39,0.00,0.00,0.003,0.032,48,0.366,0.991,0.000,0.000,0.009,17831,17308,1,1.000,0.000,0.005,59641,0.166,0.980,0.021,37.75,6849,0,0.061,0.000,0.000,246581,1.02,18.17,0.000,0.002,0.000,8,11,12,30,7077,0.027,0.33,0.0054,0.000,2,0.198,0.000,0.305,0.029,2.78,3.00,3.92,0.00,0.000,1.01,1.01,1.03,0.198,0.00147,125.23
40000,681,1.465,0.132,4.23,29876,28687,46,0,1126,9,381033.3,1.2,0.010,0.193,0.489,0.308,1930,10.46,3.16,0.07,0.79,0.05,0.56,0.05,0.91,10.29,2.60,0.00,0.05,0.003,0.034,58,0.348,0.991,0.000,0.000,0.009,17608,17433,1,1.000,0.000,0.003,25569,0.218,0.745,0.012,37.80,6526,0,0.132,0.000,0.000,288215,1.02,17.93,0.000,0.000,0.003,9,10,12,40,7120,0.027,0.34,0.0054,0.000,3,0.205,0.000,0.299,0.030,2.95,3.07,3.97,0.01,0.004,1.02,1.02,1.03,0.205,0.00161,125.17
50000,633,1.435,0.126,4.28,28292,27209,42,0,1089,8,368678.6,0.0,0.013,0.196,0.471,0.320,1985,10.17,2.37,0.01,0.21,0.04,0.77,0.02,0.52,10.10,2.35,0.00,0.00,0.002,0.036,50,0.363,0.987,0.000,0.000,0.013,17144,16522,1,1.000,0.000,0.003,24038,0.207,0.717,0.011,36.68,5513,0,0.003,0.000,0.000,274769,1.00,17.87,0.000,0.000,0.000,9,10,12,31,6439,0.025,0.36,0.0058,0.039,1,0.199,0.000,0.305,0.031,2.87,3.08,3.99,0.01,0.002,1.00,1.01,1.01,0.199,0.00171,126.27
60000,668,1.442,0.110,4.22,27617,26618,41,0,923,15,362035.6,1.8,0.012,0.195,0.478,0.315,2015,9.58,2.30,0.01,0.19,0.05,0.88,0.00,0.00,9.53,2.07,0.00,0.04,0.002,0.037,40,0.359,0.991,0.000,0.000,0.009,16658,15185,1,1.000,0.000,0.000,23491,0.186,0.651,0.009,36.06,5547,0,0.120,0.000,0.000,247725,1.00,18.40,0.000,0.000,0.001,8,9,12,36,6401,0.024,0.35,0.0057,0.054,2,0.182,0.000,0.310,0.032,2.75,3.15,3.65,0.01,0.001,1.00,1.00,1.00,0.182,0.00159,126.90
70000,696,1.376,0.104,4.03,28465,27127,99,0,1211,7,369718.5,0.3,0.009,0.164,0.513,0.314,1969,8.81,2.41,0.01,0.19,0.01,0.15,0.02,0.57,8.77,2.22,0.00,0.00,0.000,0.005,34,0.477,0.991,0.000,0.000,0.009,16573,16062,1,1.000,0.000,0.001,19680,0.196,0.621,0.008,36.88,4833,0,0.045,0.000,0.000,171297,1.00,18.77,0.000,0.000,0.000,8,8,9,38,6132,0.023,0.17,0.0061,0.053,3,0.141,0.000,0.317,0.021,2.64,3.09,3.53,0.00,0.000,1.00,1.00,1.00,0.141,0.00130,126.26
80000,700,1.351,0.092,4.20,28619,27368,105,0,1142,3,371526.4,0.0,0.009,0.172,0.520,0.299,1955,9.23,3.05,0.03,0.71,0.01,0.17,0.11,2.05,9.07,1.74,0.00,0.00,0.002,0.038,44,0.431,0.994,0.000,0.000,0.006,16562,16516,1,1.000,0.000,0.006,21029,0.218,0.573,0.007,37.06,4977,0,0.008,0.000,0.000,172227,1.01,18.53,0.001,0.000,0.000,8,9,12,64,6462,0.025,0.21,0.0058,0.031,3,0.135,0.000,0.319,0.023,2.73,3.23,3.52,0.00,0.001,1.01,1.01,1.01,0.135,0.00135,126.04
90000,709,1.373,0.084,4.26,28285,27171,100,0,1005,3,375726.1,0.7,0.008,0.181,0.519,0.292,1939,9.46,2.56,0.04,0.91,0.05,0.62,0.01,0.15,9.37,2.31,0.00,0.00,0.003,0.037,49,0.495,0.987,0.000,0.000,0.013,16352,16318,1,1.000,0.000,0.001,20033,0.202,0.527,0.006,37.49,4951,0,0.240,0.000,0.000,168828,1.01,18.39,0.000,0.000,0.000,8,8,12,34,6710,0.026,0.18,0.0057,0.010,1,0.126,0.000,0.310,0.023,2.63,3.32,3.49,0.01,0.003,1.01,1.01,1.01,0.126,0.00147,125.64
100000,668,1.430,0.086,4.40,27685,26668,84,0,974,7,376562.9,0.2,0.007,0.204,0.521,0.268,1950,10.09,3.10,0.01,0.15,0.04,0.70,0.07,0.91,9.97,3.02,0.00,0.00,0.002,0.038,56,0.448,0.994,0.000,0.000,0.006,16494,16446,1,1.000,0.000,0.010,23909,0.204,0.530,0.006,37.59,5266,0,0.028,0.000,0.000,191471,1.00,18.00,0.000,0.000,0.000,8,9,12,31,6741,0.026,0.25,0.0057,0.000,7,0.128,0.000,0.310,0.029,2.79,3.42,3.59,0.00,0.001,1.00,1.00,1.00,0.128,0.00183,125.47
