step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded
10000,638,1.586,0.351,7.69,51091,49884,0,6,2059,1495,536115.2,113.8,0.077,0.501,0.194,0.228,629,11.27,6.44,0.12,1.20,0.07,0.98,0.28,2.55,10.80,5.69,0.00,0.00,0.005,0.062,106,0.237,0.980,0.000,0.000,0.020,56194,45904,5,0.317,0.129,0.022,347887,0.146,1.301,0.036,40.94,26123,56,0.076,0.500,0.000,1649270,1.05,14.78,0.005,0.000,0.000,7,9,19,64,7192,0.027,3.77,0.0078,0.006,5,0.485,0.000,0.562,0.284,2.98,2.98,5.63,0.00,0.002,1.05,1.05,1.05,0.485,0.00402,118.61
20000,623,1.546,0.293,6.15,40581,39008,1,0,1587,75,398626.1,5.3,0.028,0.474,0.332,0.167,778,11.37,6.50,0.01,0.36,0.11,1.55,0.11,1.20,11.13,6.02,0.00,0.00,0.006,0.055,89,0.413,0.987,0.000,0.000,0.013,28993,22028,5,0.502,0.019,0.014,95768,0.171,1.205,0.031,39.78,14792,0,0.071,0.000,0.000,1234720,1.01,15.55,0.002,0.000,0.000,8,8,22,64,7082,0.027,0.90,0.0058,0.003,8,0.371,0.000,0.498,0.064,2.93,3.12,5.12,0.00,0.000,1.00,1.00,1.01,0.371,0.00362,122.63
30000,685,1.546,0.273,5.48,35148,34124,10,4,948,139,395182.3,12.5,0.018,0.444,0.460,0.077,811,10.90,6.10,0.08,0.75,0.15,1.57,0.09,1.19,10.59,5.74,0.00,0.00,0.009,0.080,78,0.353,0.978,0.000,0.000,0.022,24298,21237,4,0.559,0.000,0.010,95778,0.176,1.143,0.028,39.46,11231,92,0.090,0.500,0.000,899400,1.05,15.64,0.000,0.001,0.000,7,9,22,62,7469,0.028,0.88,0.0055,0.000,13,0.293,0.000,0.449,0.068,2.92,3.01,5.17,0.00,0.000,1.06,1.05,1.05,0.293,0.00352,122.98
40000,643,1.514,0.197,5.59,35965,34926,8,2,1071,151,395337.1,15.2,0.018,0.430,0.473,0.079,825,10.82,6.32,0.02,0.32,0.22,2.66,0.14,1.54,10.44,5.50,0.00,0.00,0.008,0.071,76,0.403,0.988,0.000,0.000,0.012,25158,22728,4,0.569,0.009,0.012,74619,0.185,0.925,0.018,39.24,10485,273,0.101,0.000,0.000,938161,1.01,15.70,0.002,0.000,0.000,6,9,21,64,6959,0.027,0.97,0.0059,0.000,11,0.313,0.000,0.458,0.072,2.92,2.91,5.25,0.00,0.000,1.01,1.01,1.01,0.313,0.00351,123.10
50000,697,1.550,0.168,5.74,34433,33380,6,5,988,106,391674.2,2.1,0.015,0.436,0.497,0.052,815,11.40,5.80,0.00,0.04,0.18,2.13,0.23,2.12,10.99,5.04,0.00,0.00,0.008,0.069,78,0.366,0.984,0.000,0.000,0.016,23715,21011,4,0.534,0.000,0.039,156181,0.152,0.841,0.015,39.00,10250,596,0.020,0.000,0.000,965346,1.00,14.95,0.001,0.000,0.000,8,9,21,64,7944,0.030,1.39,0.0051,0.000,9,0.317,0.000,0.444,0.073,3.00,3.17,5.36,0.00,0.000,1.00,1.00,1.00,0.317,0.00315,122.93
60000,629,1.551,0.153,6.47,34493,33526,6,5,1024,151,390665.6,7.4,0.017,0.443,0.458,0.082,836,11.58,5.83,0.07,1.14,0.16,1.49,0.13,1.43,11.22,5.02,0.00,0.00,0.006,0.056,82,0.308,0.992,0.000,0.000,0.008,23876,20713,5,0.529,0.002,0.019,135713,0.150,0.781,0.013,38.93,10549,187,0.049,0.200,0.000,889389,1.02,14.72,0.000,0.002,0.000,8,9,20,52,7282,0.028,1.12,0.0055,0.000,9,0.294,0.000,0.441,0.076,2.95,3.21,5.43,0.00,0.000,1.01,1.03,1.02,0.294,0.00361,123.27
70000,676,1.532,0.113,7.02,34533,33593,30,0,863,67,396017.5,2.4,0.017,0.369,0.450,0.164,794,11.12,5.41,0.02,0.35,0.15,1.78,0.19,1.79,10.76,4.70,0.00,0.00,0.006,0.068,80,0.189,0.987,0.000,0.000,0.013,24278,20921,6,0.488,0.074,0.021,131874,0.170,0.666,0.009,39.50,11595,0,0.035,0.000,0.000,752891,1.00,14.96,0.001,0.000,0.000,8,9,19,64,7518,0.029,0.74,0.0054,0.000,5,0.287,0.000,0.397,0.062,2.79,3.33,5.19,0.00,0.000,1.01,1.00,1.00,0.287,0.00302,123.07
80000,668,1.461,0.079,7.18,35039,33984,68,1,994,125,399575.8,1.6,0.018,0.362,0.419,0.201,777,11.06,5.47,0.01,0.11,0.08,1.05,0.13,1.42,10.84,5.44,0.00,0.00,0.006,0.070,89,0.159,0.984,0.000,0.000,0.016,25503,21525,6,0.440,0.031,0.013,138031,0.166,0.470,0.004,39.89,11906,33,0.013,1.000,0.000,791792,1.00,15.36,0.001,0.003,0.000,8,9,20,64,7390,0.028,0.76,0.0055,0.000,6,0.303,0.000,0.355,0.066,2.78,3.38,4.94,0.00,0.000,1.00,1.00,1.00,0.303,0.00294,122.67
90000,657,1.533,0.071,7.06,35422,34243,87,2,1101,176,401920.1,2.3,0.012,0.361,0.438,0.189,774,10.97,5.14,0.04,0.58,0.03,0.44,0.13,1.22,10.76,4.96,0.00,0.00,0.003,0.033,77,0.207,0.988,0.000,0.000,0.012,26496,22410,4,0.393,0.134,0.021,124674,0.174,0.437,0.004,40.16,12255,45,0.013,0.500,0.000,816220,1.01,15.33,0.000,0.002,0.000,7,9,20,38,7205,0.027,0.75,0.0057,0.000,9,0.312,0.000,0.351,0.076,2.59,3.44,4.91,0.00,0.000,1.01,1.01,1.01,0.312,0.00292,122.41
100000,644,1.564,0.075,7.09,33895,32937,75,2,894,86,402373.0,2.6,0.008,0.351,0.442,0.199,770,11.46,5.05,0.01,0.16,0.05,0.54,0.20,1.48,11.21,4.87,0.00,0.00,0.005,0.055,77,0.217,0.992,0.000,0.000,0.008,25158,22153,5,0.446,0.048,0.047,194766,0.156,0.455,0.004,40.21,11616,144,0.030,0.000,0.000,746304,1.00,14.67,0.000,0.000,0.000,8,10,20,39,7383,0.028,0.67,0.0056,0.000,7,0.294,0.000,0.344,0.073,2.78,3.51,5.16,0.00,0.000,1.00,1.00,1.00,0.294,0.00302,122.43
110000,714,1.417,0.066,7.49,33750,32720,69,1,890,121,402791.8,3.8,0.008,0.349,0.437,0.206,772,9.60,3.64,0.00,0.05,0.11,1.49,0.08,0.73,9.41,3.40,0.00,0.00,0.006,0.061,54,0.462,0.993,0.000,0.000,0.007,24915,20989,5,0.748,0.043,0.038,310015,0.114,0.438,0.004,40.21,12024,11,0.031,1.000,0.000,676101,1.00,17.06,0.001,0.000,0.000,8,9,11,64,6851,0.026,0.71,0.0060,0.000,4,0.270,0.000,0.351,0.077,2.48,3.23,4.25,0.00,0.000,1.00,1.00,1.00,0.270,0.00279,122.40
120000,798,1.398,0.061,7.48,32427,31657,114,0,572,122,422769.3,3.3,0.002,0.303,0.411,0.284,776,9.79,3.09,0.00,0.07,0.18,1.68,0.45,1.27,9.17,1.85,0.00,0.00,0.008,0.069,67,0.281,0.986,0.000,0.000,0.014,25004,22088,3,0.836,0.000,0.328,1584245,0.062,0.402,0.003,42.18,10928,0,0.027,0.000,0.000,543164,1.00,16.83,0.000,0.000,0.000,8,9,11,49,7816,0.030,0.62,0.0058,0.000,11,0.218,0.000,0.278,0.071,2.17,3.64,3.96,0.00,0.000,1.00,1.00,1.00,0.219,0.00216,120.52
