step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded
10000,967,1.715,0.480,11.00,62653,58412,493,3,4215,1745,732039.0,115.0,0.312,0.307,0.270,0.111,813,10.75,7.31,0.33,1.83,0.05,0.67,0.11,0.73,10.25,6.84,0.01,0.22,0.004,0.048,264,0.094,0.912,0.001,0.000,0.087,127085,121178,8,0.192,0.339,0.047,1294094,0.118,1.513,0.049,60.76,48820,33,0.066,1.000,0.001,2910045,1.08,13.98,0.001,0.002,0.002,4,9,18,64,10395,0.040,15.79,0.0074,0.016,10,0.897,0.000,0.824,0.520,4.35,6.58,5.55,0.02,0.006,1.10,1.10,1.09,0.897,0.00081,86.89
20000,1084,1.585,0.350,11.65,81833,75957,946,0,4813,134,674552.1,13.5,0.281,0.305,0.352,0.062,650,9.80,6.48,0.19,1.67,0.04,0.48,0.17,1.19,9.39,5.87,0.00,0.06,0.004,0.043,309,0.089,0.921,0.000,0.000,0.079,140484,135713,9,0.274,0.102,0.044,505910,0.095,1.345,0.039,67.16,60600,0,0.101,0.000,0.000,3867361,1.06,15.51,0.000,0.001,0.001,3,9,16,58,10624,0.041,11.32,0.0066,0.000,29,0.903,0.000,0.809,0.434,4.37,6.12,6.08,0.00,0.001,1.07,1.08,1.05,0.903,0.00051,84.96
30000,1044,1.537,0.280,12.73,83512,78187,891,0,4474,21,671916.6,2.1,0.203,0.350,0.340,0.107,616,9.16,3.85,0.10,0.67,0.03,0.62,0.14,0.86,8.89,3.80,0.00,0.00,0.002,0.027,266,0.142,0.904,0.000,0.000,0.096,140330,134171,9,0.244,0.266,0.048,399285,0.081,1.211,0.032,67.08,61792,0,0.099,0.000,0.000,4843638,1.04,15.64,0.000,0.000,0.000,5,9,13,32,9568,0.036,11.13,0.0072,0.000,26,0.876,0.000,0.740,0.426,4.39,5.50,6.61,0.00,0.000,1.05,1.06,1.03,0.876,0.00047,85.22
40000,1110,1.555,0.264,13.12,82665,77592,943,0,4064,15,645065.0,1.7,0.183,0.344,0.304,0.169,603,8.80,4.20,0.20,0.83,0.04,0.44,0.10,0.89,8.46,4.15,0.00,0.07,0.005,0.059,294,0.060,0.910,0.001,0.000,0.089,148643,140827,11,0.201,0.218,0.033,411984,0.100,1.172,0.029,64.38,66118,0,0.113,0.000,0.000,4678382,1.07,16.11,0.000,0.003,0.003,3,8,14,29,9764,0.037,10.52,0.0069,0.000,46,0.897,0.000,0.791,0.457,4.14,5.12,6.44,0.00,0.004,1.07,1.07,1.07,0.897,0.00030,88.54
50000,1117,1.534,0.220,13.94,87358,82538,996,0,3817,27,664850.5,2.6,0.128,0.277,0.325,0.270,531,8.50,3.81,0.11,0.62,0.09,0.56,0.04,0.47,8.26,3.83,0.00,0.07,0.010,0.066,324,0.047,0.917,0.000,0.000,0.083,149035,142591,9,0.409,0.210,0.014,243471,0.133,1.053,0.023,66.48,71161,0,0.097,0.000,0.000,3792138,1.05,16.67,0.000,0.002,0.003,4,8,12,31,9494,0.036,9.33,0.0072,0.000,27,0.868,0.000,0.716,0.428,4.39,6.07,6.64,0.00,0.003,1.05,1.05,1.05,0.868,0.00032,87.63
60000,1153,1.509,0.179,13.28,95995,90667,1062,0,4230,31,678690.2,3.9,0.141,0.198,0.407,0.253,497,8.42,3.89,0.14,1.33,0.07,0.53,0.05,0.61,8.16,3.70,0.00,0.03,0.010,0.070,265,0.083,0.918,0.000,0.000,0.082,152544,146034,11,0.307,0.075,0.017,173760,0.099,0.943,0.019,67.84,74957,0,0.127,0.000,0.000,2652088,1.04,17.14,0.000,0.002,0.001,3,8,12,51,9704,0.037,9.51,0.0072,0.000,27,0.828,0.000,0.668,0.386,4.65,6.33,6.63,0.00,0.001,1.04,1.03,1.05,0.828,0.00031,86.09
70000,1103,1.550,0.174,12.76,100672,94932,1173,0,4617,58,661431.8,6.3,0.164,0.221,0.382,0.233,511,8.74,3.84,0.11,0.88,0.08,0.57,0.15,0.99,8.40,3.63,0.00,0.00,0.009,0.063,253,0.110,0.929,0.000,0.000,0.071,160060,156006,12,0.227,0.044,0.049,325112,0.080,0.923,0.018,66.21,76020,0,0.109,0.000,0.000,3065933,1.04,16.67,0.000,0.001,0.000,4,8,12,33,9641,0.037,11.95,0.0071,0.000,22,0.859,0.000,0.584,0.383,4.72,6.22,6.82,0.00,0.000,1.03,1.05,1.04,0.859,0.00029,85.27
80000,1131,1.500,0.149,12.29,98480,92769,1086,1,4596,37,677293.2,3.7,0.195,0.220,0.311,0.274,541,8.72,3.50,0.10,0.93,0.04,0.34,0.09,0.57,8.49,3.51,0.00,0.06,0.006,0.049,250,0.095,0.912,0.000,0.000,0.088,154763,150627,11,0.395,0.010,0.041,299977,0.080,0.843,0.014,67.72,70666,2,0.100,1.000,0.000,3004536,1.03,16.69,0.000,0.001,0.001,4,9,12,28,9867,0.038,10.49,0.0071,0.000,22,0.838,0.000,0.580,0.378,4.75,6.55,7.10,0.00,0.002,1.05,1.04,1.03,0.838,0.00033,85.23
90000,1116,1.497,0.139,11.36,101813,95102,1101,0,5625,41,682026.4,5.0,0.244,0.208,0.298,0.250,558,8.55,3.47,0.06,0.84,0.03,0.30,0.04,0.37,8.42,3.34,0.00,0.00,0.003,0.036,201,0.112,0.916,0.000,0.000,0.084,152736,149749,9,0.348,0.090,0.017,222368,0.098,0.804,0.013,68.16,66464,0,0.122,0.000,0.000,2881060,1.02,17.08,0.000,0.000,0.000,4,8,12,36,9545,0.036,8.84,0.0073,0.001,19,0.817,0.000,0.521,0.350,5.00,6.88,7.11,0.00,0.000,1.02,1.02,1.02,0.817,0.00037,86.43
100000,1150,1.477,0.134,12.33,100408,94193,1098,0,5083,41,680401.8,6.3,0.190,0.259,0.336,0.215,545,8.53,3.60,0.09,0.87,0.08,0.46,0.03,0.45,8.33,3.42,0.00,0.07,0.012,0.079,253,0.084,0.927,0.001,0.000,0.072,153778,150678,7,0.356,0.032,0.011,177536,0.109,0.774,0.012,68.13,67922,0,0.153,0.000,0.000,3845646,1.03,16.73,0.000,0.001,0.002,4,8,12,31,9812,0.037,9.12,0.0071,0.000,17,0.851,0.000,0.532,0.362,4.87,6.98,7.13,0.01,0.004,1.02,1.02,1.03,0.852,0.00037,86.19
