step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded
10000,382,1.662,0.681,5.54,30964,30512,0,1,1489,1822,414273.0,101.9,0.092,0.503,0.117,0.287,2112,14.38,6.42,0.35,1.91,0.04,0.67,0.00,0.00,13.99,6.08,0.00,0.00,0.003,0.053,51,0.220,0.984,0.000,0.000,0.016,39059,34449,1,0.704,0.296,0.000,180419,0.154,2.041,0.079,29.40,15332,33,0.056,1.000,0.000,1017164,1.10,11.12,0.003,0.000,0.000,6,14,21,64,5492,0.021,79.35,0.0078,0.000,0,0.425,0.000,0.427,0.363,3.67,3.02,7.64,0.01,0.003,1.02,1.12,1.14,0.426,0.00574,54.69
20000,423,1.697,0.760,5.16,22920,21583,0,0,1296,32,276083.4,2.9,0.028,0.479,0.204,0.288,2854,14.56,5.82,0.13,1.28,0.03,0.54,0.00,0.00,14.40,5.59,0.00,0.00,0.001,0.012,39,0.404,0.998,0.000,0.000,0.002,16296,14351,2,0.551,0.000,0.000,1202,0.220,2.165,0.089,27.75,6011,0,0.089,0.000,0.000,694163,1.03,9.94,0.002,0.000,0.000,10,17,17,64,6159,0.023,81.72,0.0045,0.000,1,0.344,0.000,0.411,0.075,3.75,3.18,7.86,0.00,0.002,1.02,1.05,1.04,0.344,0.00414,53.96
30000,436,1.828,0.440,5.39,24926,23535,0,0,1378,39,315573.4,2.9,0.017,0.486,0.258,0.239,2499,16.43,6.90,0.11,1.10,0.07,0.67,0.00,0.00,16.25,6.87,0.00,0.00,0.004,0.034,51,0.317,0.993,0.000,0.000,0.007,16952,14372,2,0.516,0.000,0.000,4910,0.132,1.647,0.050,31.05,7071,0,0.074,0.000,0.000,656333,1.05,9.38,0.007,0.002,0.000,10,17,22,64,7164,0.027,74.98,0.0045,0.000,4,0.287,0.000,0.375,0.090,3.88,3.47,7.90,0.00,0.000,1.03,1.05,1.06,0.287,0.00506,57.41
40000,455,1.754,0.204,6.35,25889,24600,0,0,1270,47,327389.9,3.2,0.016,0.458,0.317,0.209,2322,16.27,5.17,0.10,1.06,0.13,1.33,0.00,0.00,16.04,4.93,0.00,0.00,0.007,0.061,67,0.209,0.985,0.000,0.000,0.015,19827,16586,2,0.382,0.279,0.000,6151,0.145,1.043,0.021,32.36,8011,0,0.068,0.000,0.000,663428,1.02,9.07,0.000,0.002,0.000,10,17,20,58,7402,0.028,15.75,0.0045,0.000,21,0.298,0.000,0.385,0.117,4.03,3.93,7.58,0.01,0.002,1.01,1.03,1.02,0.298,0.00487,115.33
50000,393,1.982,0.197,6.74,24534,23421,0,0,1175,46,305170.1,2.9,0.022,0.444,0.329,0.205,2463,17.20,6.27,0.28,1.76,0.06,0.56,0.06,0.60,16.79,5.89,0.00,0.00,0.004,0.053,59,0.257,0.969,0.000,0.000,0.031,21007,17144,4,0.511,0.000,0.015,26876,0.068,1.013,0.020,30.52,7951,0,0.064,0.000,0.000,702475,1.09,8.78,0.005,0.000,0.000,10,17,21,64,6758,0.026,5.93,0.0046,0.000,10,0.353,0.000,0.393,0.140,3.92,4.02,7.61,0.01,0.003,1.06,1.12,1.10,0.353,0.00477,126.99
60000,438,1.924,0.186,7.64,22587,21587,0,0,955,43,313675.2,2.7,0.024,0.434,0.418,0.125,2346,17.61,4.10,0.07,0.75,0.04,0.48,0.00,0.00,17.50,4.01,0.00,0.00,0.002,0.021,67,0.441,0.989,0.000,0.000,0.011,19428,16367,5,0.854,0.000,0.000,12182,0.142,0.996,0.019,31.38,8042,0,0.063,0.000,0.000,585592,1.02,8.80,0.000,0.000,0.000,12,20,20,33,7714,0.029,4.78,0.0041,0.000,5,0.309,0.000,0.342,0.140,4.03,3.89,7.72,0.00,0.000,1.00,1.02,1.02,0.310,0.00488,127.28
70000,425,1.865,0.169,8.68,22291,21423,1,0,880,51,329012.5,1.5,0.015,0.460,0.464,0.061,2211,18.09,5.17,0.06,0.48,0.10,1.43,0.00,0.00,17.93,4.82,0.00,0.00,0.003,0.031,72,0.327,0.993,0.000,0.000,0.007,18810,16499,3,0.915,0.000,0.000,13617,0.193,0.946,0.018,32.89,8992,0,0.029,0.000,0.000,538363,1.01,8.50,0.000,0.000,0.000,12,20,21,53,7687,0.029,4.04,0.0043,0.000,11,0.260,0.000,0.313,0.140,4.00,4.16,7.60,0.00,0.002,1.00,1.02,1.02,0.260,0.00597,126.51
80000,445,1.771,0.158,8.36,22948,22025,0,0,903,27,327607.3,1.8,0.005,0.496,0.422,0.077,2171,17.22,5.78,0.31,2.55,0.04,0.51,0.03,0.36,16.85,4.44,0.00,0.00,0.003,0.042,66,0.155,0.989,0.000,0.000,0.011,18895,16563,3,0.915,0.000,0.007,25067,0.159,0.909,0.016,32.76,9822,0,0.066,0.000,0.000,613451,1.06,8.83,0.004,0.000,0.000,12,18,20,64,7664,0.029,17.51,0.0044,0.011,15,0.268,0.000,0.327,0.126,3.98,4.02,7.60,0.00,0.000,1.00,1.10,1.07,0.268,0.00608,113.17
90000,414,1.743,0.252,7.68,21303,20726,0,0,608,28,321835.5,1.9,0.012,0.456,0.463,0.069,2264,16.21,4.32,0.30,1.46,0.17,2.18,0.01,0.14,15.73,4.03,0.00,0.00,0.006,0.063,64,0.198,0.981,0.000,0.000,0.019,17044,15192,2,0.964,0.000,0.005,22134,0.165,1.238,0.028,32.36,7849,0,0.067,0.000,0.000,435734,1.09,8.98,0.000,0.000,0.000,11,18,20,45,6712,0.026,33.11,0.0049,0.000,5,0.213,0.000,0.295,0.126,4.06,4.04,7.65,0.01,0.005,1.02,1.10,1.14,0.213,0.00630,97.97
100000,427,1.833,0.152,7.70,23612,22860,0,0,739,64,328300.0,3.6,0.010,0.449,0.482,0.059,2172,17.14,5.75,0.65,2.56,0.27,1.79,0.00,0.00,16.21,4.97,0.00,0.00,0.010,0.050,72,0.276,0.995,0.000,0.000,0.005,19690,18807,3,0.904,0.000,0.000,17817,0.158,0.884,0.015,32.68,8881,0,0.057,0.000,0.000,532727,1.17,8.71,0.000,0.000,0.000,11,18,20,54,7317,0.028,14.90,0.0047,0.000,7,0.251,0.000,0.318,0.138,4.23,4.00,7.78,0.06,0.037,1.07,1.17,1.29,0.251,0.00574,115.86
