step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded
10000,648,1.423,0.335,15.87,35001,34565,5,0,1220,1684,473572.6,96.8,0.046,0.421,0.236,0.296,1274,8.99,3.21,0.02,0.22,0.09,0.84,0.21,1.26,8.67,2.34,0.00,0.00,0.008,0.069,92,0.272,0.989,0.000,0.000,0.011,39528,29897,3,0.210,0.617,0.054,598485,0.141,1.309,0.037,34.59,23338,0,0.058,0.000,0.000,791724,1.01,18.01,0.000,0.002,0.000,6,9,11,54,5825,0.022,29.21,0.0084,0.029,7,0.271,0.000,0.383,0.329,2.65,3.12,3.88,0.00,0.002,1.01,1.01,1.01,0.272,0.00364,99.64
20000,606,1.486,0.231,14.74,28871,27765,24,0,1124,7,350339.0,0.3,0.004,0.319,0.281,0.396,1507,10.42,4.32,0.00,0.00,0.08,0.78,0.18,1.33,10.16,4.00,0.00,0.00,0.004,0.038,84,0.375,0.980,0.000,0.000,0.020,17596,11718,7,0.540,0.094,0.038,296215,0.114,1.078,0.025,34.77,14908,0,0.046,0.000,0.000,386255,1.00,16.77,0.000,0.000,0.000,8,9,14,49,6316,0.024,4.42,0.0057,0.000,14,0.179,0.000,0.333,0.039,2.79,3.53,4.10,0.00,0.000,1.00,1.00,1.00,0.179,0.00257,124.25
30000,591,1.480,0.165,15.17,26929,25653,64,0,1227,4,345988.2,0.6,0.005,0.273,0.249,0.474,1573,10.22,2.65,0.00,0.08,0.01,0.24,0.11,0.89,10.09,2.48,0.00,0.00,0.001,0.014,81,0.203,0.986,0.000,0.000,0.014,17067,11637,5,0.338,0.000,0.036,236236,0.104,0.894,0.017,34.41,13528,0,0.145,0.000,0.000,312023,1.00,17.19,0.000,0.000,0.000,8,10,13,28,6042,0.023,4.31,0.0058,0.000,7,0.172,0.000,0.279,0.043,2.60,3.60,3.83,0.00,0.000,1.00,1.00,1.00,0.172,0.00234,124.72
40000,611,1.419,0.145,14.75,23722,22741,96,0,865,0,311685.5,0.0,0.009,0.237,0.248,0.506,1749,10.18,2.79,0.00,0.00,0.09,1.00,0.04,0.39,10.05,2.76,0.00,0.00,0.005,0.062,71,0.170,0.982,0.000,0.000,0.018,17089,11865,6,0.666,0.038,0.016,149751,0.119,0.819,0.014,31.09,11911,0,0.000,0.000,0.000,224302,1.00,17.17,0.000,0.000,0.000,7,10,13,39,6217,0.024,4.49,0.0051,0.000,13,0.166,0.000,0.281,0.054,2.48,3.69,3.73,0.00,0.000,1.00,1.00,1.00,0.166,0.00191,127.87
50000,625,1.412,0.148,14.56,24907,23672,116,0,1105,1,339889.0,0.0,0.007,0.251,0.237,0.505,1679,9.86,2.48,0.00,0.00,0.06,0.68,0.04,0.60,9.76,2.44,0.00,0.00,0.005,0.055,60,0.186,0.992,0.000,0.000,0.008,16753,12758,3,0.925,0.002,0.008,84470,0.157,0.876,0.015,33.95,11950,0,0.000,0.000,0.000,217362,1.00,17.69,0.000,0.000,0.000,7,9,13,24,6164,0.024,7.74,0.0056,0.000,6,0.137,0.000,0.246,0.044,2.39,3.62,3.54,0.00,0.000,1.00,1.00,1.00,0.137,0.00218,121.75
60000,654,1.363,0.253,14.74,26505,24796,195,0,1485,0,344471.8,0.0,0.002,0.214,0.265,0.519,1572,8.86,2.10,0.00,0.00,0.01,0.17,0.00,0.07,8.84,2.10,0.00,0.00,0.001,0.026,54,0.396,0.995,0.000,0.000,0.005,15687,10640,3,0.887,0.015,0.005,49036,0.115,1.260,0.028,34.58,12870,0,0.000,0.000,0.000,159553,1.00,18.61,0.000,0.000,0.000,7,8,11,25,5793,0.022,41.58,0.0060,0.000,2,0.109,0.000,0.229,0.014,2.33,3.52,3.18,0.00,0.000,1.00,1.00,1.00,0.109,0.00173,87.27
70000,646,1.367,0.299,14.73,26168,24519,205,0,1452,23,330233.9,1.3,0.001,0.199,0.302,0.498,1657,9.06,2.32,0.01,0.12,0.01,0.19,0.02,0.37,9.02,2.26,0.00,0.00,0.001,0.021,56,0.350,0.994,0.000,0.000,0.006,16627,10809,4,0.619,0.187,0.006,64921,0.132,1.390,0.033,33.06,12209,0,0.055,0.000,0.000,147328,1.00,18.16,0.000,0.000,0.000,7,9,11,33,5854,0.022,41.96,0.0057,0.000,8,0.114,0.000,0.239,0.019,2.33,3.55,3.38,0.00,0.000,1.00,1.00,1.00,0.114,0.00154,88.42
80000,627,1.464,0.382,14.38,26297,24662,191,0,1463,0,343229.0,0.0,0.001,0.218,0.326,0.455,1617,9.29,2.34,0.00,0.00,0.01,0.24,0.04,0.71,9.24,2.12,0.00,0.00,0.001,0.011,41,0.300,0.998,0.000,0.000,0.002,15983,10937,3,0.815,0.035,0.003,66163,0.138,1.594,0.044,34.41,11868,0,0.000,0.000,0.000,133362,1.00,17.78,0.000,0.000,0.000,7,9,11,27,5823,0.022,41.34,0.0059,0.000,7,0.090,0.000,0.212,0.018,2.29,3.58,3.52,0.00,0.000,1.00,1.00,1.00,0.090,0.00186,87.68
90000,649,1.395,0.377,14.39,26493,24633,180,0,1658,0,350043.1,0.0,0.001,0.227,0.330,0.442,1620,9.15,2.19,0.00,0.00,0.04,0.83,0.03,0.48,9.08,2.11,0.00,0.00,0.003,0.056,53,0.188,0.992,0.000,0.000,0.008,15860,10896,4,0.917,0.000,0.008,52659,0.154,1.590,0.043,34.97,11631,0,0.000,0.000,0.000,118445,1.00,17.81,0.000,0.000,0.000,7,9,11,22,5938,0.023,41.98,0.0059,0.003,4,0.076,0.000,0.200,0.021,2.25,3.60,3.49,0.00,0.000,1.00,1.00,1.00,0.076,0.00191,86.50
100000,673,1.419,0.393,14.54,27568,25696,203,0,1645,0,354671.8,0.0,0.002,0.218,0.339,0.442,1538,9.06,2.29,0.00,0.00,0.00,0.00,0.07,0.75,8.99,2.25,0.00,0.00,0.000,0.000,48,0.245,0.993,0.000,0.000,0.007,17056,11769,2,0.933,0.013,0.019,66195,0.145,1.625,0.045,35.48,12504,0,0.000,0.000,0.000,135583,1.00,17.79,0.000,0.000,0.000,7,9,11,33,6100,0.023,41.43,0.0059,0.000,8,0.088,0.000,0.197,0.015,2.19,3.63,3.47,0.00,0.000,1.00,1.00,1.00,0.088,0.00174,86.53
