step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded
10000,517,1.712,0.336,5.53,29436,29315,0,0,1041,1641,545751.6,91.3,0.055,0.624,0.145,0.177,1728,16.28,5.34,0.07,1.25,0.07,0.90,0.17,1.38,15.98,4.64,0.00,0.00,0.005,0.056,46,0.799,0.988,0.000,0.000,0.012,42119,39067,2,0.911,0.000,0.017,346291,0.154,1.301,0.037,41.84,16780,0,0.056,0.000,0.000,781727,1.02,15.19,0.000,0.000,0.000,12,16,16,60,8418,0.032,5.67,0.0066,0.077,9,0.276,0.000,0.342,0.421,3.50,4.42,4.01,0.00,0.000,1.02,1.02,1.02,0.276,0.01169,115.80
20000,494,1.869,0.228,5.70,24448,23412,2,0,1057,65,404042.9,5.9,0.017,0.672,0.053,0.258,2345,18.01,9.48,0.04,0.81,0.06,0.72,0.04,0.37,17.87,9.56,0.00,0.00,0.003,0.036,26,0.818,0.998,0.000,0.000,0.002,16352,15903,2,0.962,0.000,0.010,114041,0.136,1.037,0.022,39.90,7930,0,0.091,0.000,0.000,471053,1.01,15.05,0.036,0.000,0.000,16,16,19,64,8897,0.034,3.87,0.0046,0.002,7,0.129,0.000,0.155,0.128,3.65,4.37,4.11,0.00,0.000,1.03,1.02,1.01,0.129,0.00990,119.55
30000,492,1.835,0.182,5.97,22761,21578,0,0,1185,0,398495.4,0.0,0.011,0.658,0.050,0.281,2272,16.02,5.43,0.07,1.03,0.05,0.59,0.09,0.93,15.81,5.39,0.00,0.00,0.004,0.049,41,0.701,0.994,0.000,0.000,0.006,14914,14314,1,0.862,0.138,0.014,41735,0.142,0.891,0.016,39.45,7733,0,0.000,0.000,0.000,509031,1.02,15.32,0.000,0.000,0.000,8,16,18,50,7882,0.030,2.06,0.0051,0.000,13,0.139,0.000,0.115,0.120,3.58,4.79,3.84,0.00,0.000,1.03,1.03,1.02,0.139,0.00942,121.81
40000,513,1.637,0.169,6.18,20625,19491,3,0,1110,1,354607.2,0.1,0.021,0.614,0.054,0.311,2484,13.93,6.63,0.01,0.19,0.00,0.00,0.25,2.37,13.66,6.04,0.00,0.00,0.000,0.000,44,0.624,0.994,0.000,0.000,0.006,15401,13695,2,0.916,0.000,0.025,48690,0.096,0.839,0.015,35.19,7226,0,0.129,0.000,0.000,554740,1.01,16.95,0.004,0.000,0.000,6,16,16,64,7144,0.027,3.09,0.0051,0.000,14,0.173,0.000,0.090,0.134,3.31,3.92,3.63,0.00,0.000,1.01,1.01,1.01,0.173,0.00717,125.04
50000,583,1.673,0.151,6.11,21147,19813,12,0,1252,151,373316.7,18.2,0.027,0.572,0.053,0.348,2282,13.37,6.68,0.32,1.40,0.13,1.95,0.31,2.22,12.62,6.00,0.00,0.00,0.003,0.043,40,0.497,0.997,0.000,0.000,0.003,15617,13439,1,0.823,0.177,0.053,110520,0.092,0.774,0.013,37.00,7563,0,0.120,0.000,0.000,430333,1.09,17.14,0.003,0.000,0.000,6,16,17,64,7794,0.030,3.78,0.0051,0.000,10,0.133,0.000,0.118,0.142,3.25,4.02,3.41,0.00,0.000,1.02,1.26,1.07,0.133,0.00590,122.54
60000,608,1.581,0.117,6.12,27220,25400,10,0,1785,13,384419.8,0.5,0.012,0.490,0.097,0.401,2114,11.79,5.46,0.02,0.37,0.10,1.49,0.01,0.28,11.67,4.99,0.00,0.00,0.005,0.067,78,0.312,0.988,0.000,0.000,0.012,19143,16148,3,0.829,0.049,0.002,46673,0.125,0.641,0.008,38.17,9019,0,0.041,0.000,0.000,410644,1.00,17.40,0.002,0.000,0.000,7,12,16,64,7171,0.027,2.78,0.0054,0.000,3,0.135,0.000,0.288,0.108,2.89,4.14,3.16,0.00,0.002,1.00,1.00,1.00,0.135,0.00479,122.37
70000,620,1.655,0.119,6.22,33509,31252,3,0,2242,23,377258.2,1.2,0.011,0.353,0.159,0.477,2044,12.48,5.99,0.02,0.40,0.07,0.54,0.06,0.33,12.33,5.87,0.00,0.00,0.006,0.043,82,0.266,0.987,0.000,0.000,0.013,23305,21652,2,0.863,0.061,0.031,40429,0.103,0.622,0.008,37.56,10965,0,0.050,0.000,0.000,380130,1.00,16.62,0.003,0.000,0.000,8,12,17,64,7738,0.030,2.05,0.0049,0.000,6,0.168,0.000,0.418,0.076,2.96,4.15,3.55,0.00,0.000,1.01,1.00,1.00,0.168,0.00333,123.71
80000,498,1.766,0.090,4.89,31671,30192,0,0,1601,70,367987.9,10.5,0.010,0.428,0.085,0.477,1978,15.14,5.76,0.05,0.73,0.16,0.87,0.00,0.00,14.94,5.76,0.00,0.04,0.011,0.068,89,0.149,0.990,0.000,0.000,0.010,24368,21488,1,1.000,0.000,0.000,18526,0.122,0.537,0.006,36.73,9570,0,0.150,0.000,0.000,689290,1.01,11.16,0.002,0.002,0.002,7,16,20,64,7540,0.029,1.08,0.0049,0.000,8,0.278,0.000,0.441,0.098,3.90,3.96,6.48,0.00,0.002,1.01,1.01,1.01,0.278,0.00475,125.51
90000,558,1.696,0.072,4.99,27918,26568,1,0,1289,88,373981.5,11.5,0.008,0.441,0.081,0.470,2024,14.23,6.17,0.00,0.00,0.12,0.97,0.00,0.00,14.11,5.99,0.00,0.00,0.006,0.038,97,0.159,0.991,0.000,0.000,0.009,21063,18723,1,0.921,0.079,0.000,10103,0.161,0.465,0.004,37.37,8199,0,0.131,0.000,0.000,706155,1.00,13.10,0.000,0.002,0.000,7,15,23,38,7942,0.030,1.01,0.0048,0.007,5,0.277,0.000,0.368,0.084,3.48,3.20,6.28,0.00,0.000,1.00,1.00,1.00,0.278,0.00457,124.94
100000,564,1.601,0.067,6.13,25017,23944,3,1,1063,205,374725.4,27.5,0.007,0.371,0.180,0.442,1978,13.41,4.38,0.02,0.24,0.07,0.74,0.00,0.00,13.32,4.35,0.00,0.00,0.004,0.035,63,0.246,0.993,0.000,0.000,0.007,18112,15426,4,0.406,0.016,0.000,16640,0.170,0.443,0.004,37.43,7462,443,0.134,0.000,0.000,474965,1.01,14.23,0.000,0.004,0.000,7,15,19,26,7563,0.029,0.49,0.0050,0.000,5,0.212,0.000,0.315,0.072,3.20,3.19,5.70,0.00,0.000,1.01,1.01,1.01,0.212,0.00400,125.40
