step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded
10000,1058,1.608,0.357,6.40,63292,59399,347,1,3970,1704,742081.9,104.4,0.173,0.236,0.398,0.193,1040,10.00,4.26,0.05,0.57,0.03,0.34,0.02,0.52,9.90,4.13,0.00,0.00,0.003,0.047,174,0.191,0.944,0.000,0.000,0.056,111719,105919,4,0.700,0.200,0.003,307924,0.144,1.382,0.041,61.80,37516,0,0.061,1.000,0.000,1900964,1.03,15.41,0.000,0.000,0.000,5,11,14,43,10581,0.040,10.89,0.0071,0.016,14,0.687,0.000,0.751,0.472,3.29,3.71,5.15,0.00,0.000,1.02,1.03,1.03,0.687,0.00090,90.75
20000,1126,1.557,0.307,6.73,71339,66086,652,0,4533,2,657557.4,0.5,0.123,0.173,0.517,0.187,1057,9.25,4.00,0.06,0.60,0.04,0.51,0.02,0.30,9.13,3.84,0.00,0.00,0.003,0.030,204,0.150,0.945,0.000,0.000,0.055,109629,104476,7,0.478,0.111,0.006,66011,0.110,1.274,0.035,65.86,34576,0,0.247,0.000,0.000,1543919,1.02,16.19,0.000,0.000,0.000,5,9,14,39,10421,0.040,9.33,0.0064,0.005,10,0.638,0.000,0.783,0.389,3.40,3.68,5.43,0.00,0.002,1.01,1.02,1.03,0.638,0.00058,88.24
30000,1050,1.580,0.277,6.49,72241,67001,727,0,4589,11,659270.7,1.0,0.061,0.205,0.531,0.203,1030,9.96,4.21,0.08,0.69,0.03,0.41,0.01,0.23,9.84,4.07,0.00,0.00,0.002,0.019,200,0.132,0.950,0.000,0.000,0.050,111593,107465,6,0.417,0.333,0.003,48373,0.110,1.207,0.031,65.96,36026,0,0.095,0.000,0.000,1953351,1.03,15.60,0.000,0.000,0.000,5,10,14,31,10455,0.040,8.67,0.0064,0.000,19,0.666,0.000,0.810,0.389,3.54,3.81,5.64,0.00,0.000,1.02,1.04,1.03,0.666,0.00066,88.81
40000,1044,1.613,0.210,6.81,65793,60447,677,0,4675,14,658167.6,1.1,0.061,0.182,0.533,0.225,1008,10.24,4.46,0.07,1.16,0.04,0.47,0.00,0.10,10.12,4.22,0.00,0.00,0.002,0.029,188,0.118,0.945,0.000,0.000,0.055,116569,114288,3,0.411,0.457,0.003,51434,0.113,1.040,0.023,65.75,35179,0,0.077,0.000,0.000,1558908,1.02,14.40,0.000,0.000,0.000,5,11,14,41,10690,0.041,8.99,0.0062,0.000,18,0.653,0.000,0.796,0.463,3.74,3.94,6.26,0.00,0.002,1.01,1.03,1.03,0.653,0.00065,88.70
50000,1103,1.528,0.173,7.96,71200,65208,743,0,5190,6,665616.9,0.5,0.052,0.240,0.514,0.194,925,8.83,4.33,0.07,0.81,0.03,0.36,0.03,0.60,8.69,4.01,0.00,0.00,0.003,0.034,191,0.307,0.945,0.000,0.000,0.055,125353,123222,3,0.799,0.000,0.008,66470,0.101,0.917,0.018,66.71,38254,0,0.076,0.000,0.000,2647613,1.02,15.79,0.000,0.000,0.000,5,7,13,52,9737,0.037,9.49,0.0069,0.038,0,0.756,0.000,0.786,0.453,4.04,4.40,7.22,0.00,0.001,1.01,1.03,1.03,0.756,0.00053,87.24
60000,1083,1.496,0.158,7.51,83320,76662,1025,0,5653,3,669953.0,0.2,0.077,0.248,0.530,0.144,802,8.94,3.31,0.02,0.30,0.02,0.24,0.01,0.33,8.89,3.29,0.00,0.00,0.002,0.019,185,0.094,0.927,0.000,0.000,0.073,139953,138306,2,0.901,0.054,0.003,63683,0.107,0.859,0.015,67.14,44592,0,0.065,0.000,0.000,3282916,1.01,15.65,0.000,0.000,0.000,5,9,13,30,9681,0.037,9.01,0.0070,0.043,9,0.807,0.000,0.759,0.420,4.92,6.58,7.37,0.00,0.000,1.00,1.01,1.02,0.807,0.00043,87.29
70000,1119,1.464,0.155,7.87,90916,84457,1058,0,5365,1,679912.1,0.0,0.104,0.214,0.582,0.100,696,8.63,3.40,0.02,0.31,0.01,0.25,0.02,0.40,8.59,3.37,0.00,0.00,0.002,0.032,142,0.251,0.933,0.000,0.000,0.067,154111,152876,2,0.989,0.000,0.003,33061,0.134,0.838,0.015,68.18,49438,0,0.041,0.000,0.000,2906522,1.01,16.19,0.000,0.000,0.000,5,8,13,28,9659,0.037,9.00,0.0071,0.033,1,0.832,0.000,0.689,0.419,5.35,7.62,7.84,0.00,0.001,1.01,1.01,1.01,0.832,0.00033,86.26
80000,1151,1.492,0.137,7.87,95399,89219,1117,0,5031,5,682720.4,0.7,0.134,0.204,0.577,0.085,693,8.39,3.82,0.03,0.25,0.01,0.26,0.03,0.51,8.32,3.79,0.00,0.00,0.001,0.015,179,0.254,0.932,0.000,0.000,0.068,155894,155025,2,0.992,0.000,0.006,39586,0.159,0.759,0.012,68.35,47861,0,0.138,0.000,0.000,3002942,1.01,16.56,0.000,0.000,0.000,4,8,13,53,9656,0.037,10.28,0.0071,0.030,3,0.847,0.000,0.649,0.397,5.12,7.50,7.46,0.00,0.001,1.01,1.02,1.02,0.847,0.00029,84.80
90000,1183,1.470,0.117,7.65,101339,94781,1145,0,5381,6,685879.6,1.0,0.152,0.190,0.556,0.102,701,8.09,2.94,0.00,0.04,0.00,0.04,0.02,0.25,8.07,2.94,0.00,0.00,0.001,0.029,140,0.389,0.942,0.000,0.000,0.058,158257,157542,1,0.953,0.047,0.006,68310,0.165,0.683,0.010,68.73,44777,0,0.160,0.000,0.000,2673638,1.00,16.59,0.000,0.001,0.000,5,8,11,29,9572,0.037,10.95,0.0072,0.014,9,0.832,0.000,0.630,0.368,5.06,7.53,7.29,0.00,0.000,1.00,1.00,1.00,0.832,0.00029,83.76
100000,1155,1.479,0.110,7.49,103072,96504,1126,0,5470,0,687413.3,0.0,0.150,0.193,0.569,0.088,703,8.21,3.45,0.02,0.33,0.01,0.23,0.01,0.18,8.16,3.35,0.00,0.00,0.002,0.036,143,0.316,0.942,0.000,0.000,0.058,160284,159922,2,0.925,0.000,0.003,53557,0.170,0.656,0.009,68.82,44118,0,0.000,0.000,0.000,2777308,1.01,16.91,0.000,0.000,0.000,5,8,11,40,9477,0.036,10.58,0.0073,0.000,17,0.835,0.000,0.595,0.366,5.07,7.35,7.40,0.00,0.000,1.01,1.01,1.01,0.835,0.00030,84.03
110000,1152,1.472,0.098,7.26,103828,96862,1113,0,5856,1,683730.9,0.0,0.160,0.224,0.544,0.073,730,8.63,3.28,0.01,0.20,0.02,0.40,0.06,0.97,8.55,3.09,0.00,0.00,0.001,0.025,154,0.301,0.931,0.000,0.000,0.069,158146,157975,2,0.931,0.000,0.005,61996,0.157,0.599,0.007,68.44,43105,0,0.000,0.000,0.000,3216095,1.00,16.61,0.000,0.000,0.000,5,8,11,35,9944,0.038,10.03,0.0069,0.014,15,0.850,0.000,0.575,0.353,5.26,6.97,7.44,0.00,0.000,1.00,1.00,1.00,0.850,0.00031,84.97
120000,1140,1.440,0.094,7.83,104419,97436,1098,0,5897,1,680636.9,0.3,0.169,0.175,0.589,0.067,731,8.74,3.32,0.03,0.56,0.00,0.00,0.01,0.21,8.70,3.29,0.00,0.00,0.000,0.000,160,0.210,0.932,0.000,0.000,0.068,160409,160030,2,0.833,0.088,0.001,50049,0.144,0.591,0.007,68.21,43753,0,0.333,0.000,0.000,2101261,1.01,16.37,0.000,0.000,0.000,4,8,12,32,9962,0.038,10.61,0.0069,0.000,25,0.804,0.000,0.579,0.358,5.22,7.18,7.26,0.00,0.000,1.01,1.01,1.01,0.804,0.00033,84.62
130000,1157,1.423,0.076,8.50,102668,95438,1075,0,6138,1,679798.0,0.0,0.159,0.166,0.615,0.060,731,8.83,3.29,0.04,0.58,0.02,0.41,0.02,0.28,8.76,3.30,0.00,0.00,0.002,0.035,167,0.239,0.915,0.000,0.000,0.085,160627,160142,3,0.863,0.000,0.006,60241,0.151,0.515,0.005,68.06,42472,0,0.000,0.000,0.000,1866919,1.02,16.52,0.000,0.000,0.000,5,10,11,42,10220,0.039,10.53,0.0067,0.002,23,0.785,0.000,0.607,0.371,5.23,7.15,7.11,0.00,0.001,1.01,1.02,1.03,0.785,0.00034,84.85
