step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded
10000,723,1.836,0.461,7.25,54405,49654,353,1,5094,1760,682528.4,99.2,0.382,0.338,0.157,0.124,1302,11.83,6.37,0.16,1.57,0.10,1.74,0.03,0.43,11.54,5.52,0.00,0.00,0.003,0.046,115,0.198,0.923,0.001,0.000,0.076,103774,95167,6,0.859,0.011,0.011,219064,0.140,1.602,0.055,55.90,33332,34,0.056,1.000,0.000,2599045,1.03,12.70,0.003,0.000,0.000,4,11,18,64,8553,0.033,14.22,0.0082,0.000,5,0.806,0.000,0.714,0.501,3.50,3.08,6.92,0.01,0.003,1.01,1.04,1.03,0.806,0.00115,93.32
20000,921,1.666,0.538,8.01,64160,55972,652,0,7338,5,580140.2,0.7,0.445,0.261,0.216,0.078,1386,11.00,4.64,0.06,0.74,0.00,0.00,0.02,0.59,10.92,4.41,0.00,0.00,0.000,0.000,109,0.181,0.929,0.000,0.000,0.071,108091,102055,2,0.919,0.000,0.003,58269,0.119,1.761,0.064,58.06,33458,0,0.130,0.000,0.000,2290868,1.02,13.10,0.000,0.001,0.000,6,10,16,48,10131,0.039,45.92,0.0058,0.000,19,0.795,0.000,0.746,0.433,3.62,2.47,7.47,0.00,0.000,1.00,1.02,1.02,0.795,0.00060,59.46
30000,1087,1.592,0.331,8.07,69870,61637,583,0,7484,4,616756.3,0.0,0.397,0.250,0.295,0.059,1229,9.67,4.32,0.07,0.92,0.01,0.19,0.02,0.38,9.57,4.21,0.00,0.00,0.001,0.032,118,0.163,0.919,0.000,0.000,0.081,105118,98378,2,0.920,0.000,0.002,36351,0.137,1.354,0.038,61.44,34300,0,0.000,0.000,0.000,2130862,1.02,14.69,0.000,0.000,0.000,5,8,14,42,10510,0.040,42.79,0.0059,0.000,32,0.719,0.000,0.703,0.373,3.52,2.68,6.98,0.00,0.001,1.02,1.03,1.03,0.719,0.00068,59.20
40000,1110,1.546,0.277,7.79,79019,70787,625,0,7584,5,660347.4,0.2,0.411,0.277,0.256,0.055,1174,9.28,4.15,0.04,0.57,0.01,0.33,0.03,0.34,9.20,4.14,0.00,0.00,0.000,0.012,139,0.231,0.938,0.000,0.000,0.062,120866,115251,2,0.937,0.000,0.009,69138,0.137,1.229,0.032,66.12,38285,0,0.048,0.000,0.000,2841298,1.01,15.05,0.000,0.001,0.000,4,8,14,38,10299,0.039,9.94,0.0065,0.000,29,0.765,0.000,0.708,0.375,3.42,2.76,7.06,0.00,0.001,1.02,1.03,1.01,0.765,0.00066,87.39
50000,1089,1.527,0.265,7.84,85183,75978,790,0,8436,15,653046.0,1.2,0.413,0.206,0.282,0.098,1163,8.65,4.00,0.02,0.26,0.01,0.17,0.03,0.36,8.59,3.95,0.00,0.00,0.001,0.019,112,0.359,0.908,0.000,0.000,0.092,135005,130074,3,0.860,0.024,0.014,75527,0.093,1.197,0.030,65.42,40607,0,0.079,0.000,0.000,2135649,1.01,15.83,0.000,0.000,0.000,6,7,13,38,9418,0.036,11.63,0.0070,0.000,36,0.758,0.000,0.782,0.387,3.44,2.49,7.32,0.00,0.000,1.00,1.01,1.01,0.758,0.00046,86.39
60000,1150,1.518,0.260,7.99,86848,77217,856,0,8714,0,661272.6,0.0,0.389,0.217,0.296,0.097,1153,8.63,3.48,0.03,0.62,0.00,0.00,0.04,0.59,8.56,3.35,0.00,0.00,0.000,0.000,99,0.336,0.947,0.000,0.000,0.053,135678,130961,4,0.865,0.018,0.006,74923,0.105,1.187,0.030,66.16,40958,0,0.000,0.000,0.000,2301829,1.01,15.82,0.000,0.000,0.000,5,8,13,38,9922,0.038,10.87,0.0067,0.000,23,0.753,0.000,0.761,0.378,3.41,2.38,7.38,0.00,0.000,1.01,1.01,1.01,0.753,0.00043,86.41
70000,1171,1.513,0.237,8.17,87589,77681,784,0,9103,1,674525.8,0.0,0.340,0.215,0.336,0.109,1115,8.10,2.98,0.02,0.39,0.00,0.00,0.00,0.06,8.08,2.97,0.00,0.00,0.000,0.000,99,0.360,0.914,0.000,0.000,0.086,131242,126848,4,0.863,0.001,0.001,38566,0.120,1.137,0.027,67.43,40304,0,0.000,0.000,0.000,2351454,1.01,16.43,0.000,0.000,0.000,6,7,12,29,9481,0.036,10.81,0.0071,0.000,34,0.743,0.000,0.758,0.355,3.37,2.27,7.44,0.00,0.000,1.01,1.01,1.01,0.743,0.00047,85.20
80000,1185,1.530,0.231,8.21,85112,76177,791,0,8130,1,667552.6,0.4,0.291,0.203,0.395,0.110,1111,8.23,3.98,0.03,0.25,0.00,0.00,0.06,1.00,8.14,3.60,0.00,0.00,0.000,0.000,102,0.290,0.938,0.000,0.000,0.062,127199,122727,4,0.819,0.000,0.008,101441,0.079,1.104,0.025,66.86,39810,0,0.360,0.000,0.000,2095943,1.01,16.34,0.000,0.000,0.000,4,8,12,54,9751,0.037,10.70,0.0069,0.003,21,0.728,0.000,0.760,0.354,3.33,2.30,7.18,0.00,0.000,1.01,1.01,1.01,0.728,0.00047,85.88
90000,1186,1.464,0.216,8.44,88581,79353,808,0,8419,2,673354.7,0.5,0.321,0.209,0.383,0.087,1078,8.51,3.88,0.09,1.26,0.00,0.03,0.03,0.34,8.39,3.68,0.00,0.00,0.000,0.002,106,0.365,0.919,0.000,0.000,0.081,129047,124064,4,0.856,0.000,0.008,99317,0.087,1.071,0.024,67.46,43189,0,0.238,0.000,0.000,2210990,1.03,16.11,0.000,0.000,0.000,6,8,12,36,10088,0.038,9.11,0.0068,0.000,23,0.724,0.000,0.740,0.340,3.40,2.36,7.22,0.00,0.000,1.02,1.03,1.03,0.724,0.00048,86.87
100000,1191,1.503,0.180,8.40,88163,78859,759,0,8540,1,676924.8,0.0,0.342,0.216,0.344,0.097,1054,8.43,3.37,0.05,0.77,0.00,0.10,0.03,0.35,8.34,3.32,0.00,0.00,0.001,0.015,125,0.449,0.924,0.000,0.000,0.076,130939,126372,4,0.829,0.055,0.011,44014,0.105,0.959,0.019,67.73,45273,0,0.000,0.000,0.000,2293121,1.02,15.83,0.000,0.000,0.000,6,8,12,40,10038,0.038,9.38,0.0068,0.000,37,0.733,0.000,0.735,0.352,3.36,2.54,7.10,0.00,0.001,1.02,1.02,1.02,0.733,0.00049,86.32
