step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back
10000,8,382,14.38,0.35,0.04,0.00,13.99,0.00,1.10,0.000,0.106,327389.7,29.4,1,0,3.67,1.02,1.12
10000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,1505.9,1.2,0,0,-0.00,-0.00,-0.00
10000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,88087.7,71.2,0,0,-0.00,-0.00,-0.00
20000,8,422,14.57,0.13,0.03,0.00,14.41,0.00,1.03,0.000,0.086,276210.2,2.9,2,0,3.75,1.02,1.05
20000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00
20000,0,1,10.00,0.00,0.00,0.00,10.00,0.00,1.00,0.000,0.000,637.3,0.0,1,1,5.00,1.00,1.00
30000,8,428,16.17,0.11,0.04,0.00,16.02,0.00,1.05,0.000,0.090,309253.9,2.9,2,0,3.85,1.03,1.05
30000,1,4,32.50,0.00,1.00,0.00,31.50,0.00,1.00,0.000,0.077,3107.6,0.0,1,0,5.25,1.00,1.00
30000,0,4,28.00,0.00,2.50,0.00,25.50,0.00,1.00,0.000,0.001,5758.5,0.0,1,3,6.25,1.00,1.00
40000,8,405,16.59,0.09,0.15,0.00,16.35,0.00,1.02,0.000,0.104,302633.0,1.7,2,0,4.05,1.00,1.03
40000,1,29,14.17,0.00,0.00,0.00,14.17,0.00,1.00,0.000,0.281,21820.2,1.4,0,0,3.66,1.00,1.00
40000,0,21,13.00,0.33,0.05,0.00,12.62,0.00,1.07,0.000,0.001,4734.3,0.0,0,11,4.10,1.08,1.15
50000,8,355,17.14,0.27,0.06,0.00,16.81,0.00,1.08,0.000,0.107,278805.8,2.8,3,0,3.84,1.05,1.10
50000,1,28,17.68,0.18,0.00,0.79,16.71,0.00,1.03,0.000,0.325,25037.1,0.2,2,0,4.71,1.00,1.06
50000,0,10,17.70,1.00,0.00,0.20,16.50,0.00,1.33,0.000,0.001,1909.9,0.0,2,4,4.60,1.67,1.67
60000,8,399,17.85,0.05,0.04,0.00,17.75,0.00,1.01,0.000,0.106,286966.6,0.6,3,0,4.06,1.00,1.02
60000,1,34,14.74,0.21,0.00,0.00,14.53,0.00,1.05,0.000,0.305,26286.7,1.9,2,0,3.79,1.01,1.07
60000,0,5,18.40,0.80,0.00,0.00,17.60,0.00,1.15,0.000,0.001,1515.8,0.3,2,2,3.20,1.00,1.26
70000,8,388,18.27,0.06,0.11,0.00,18.09,0.00,1.01,0.000,0.110,302116.4,1.5,1,0,4.01,1.00,1.02
70000,1,26,17.46,0.00,0.00,0.00,17.46,0.00,1.00,0.000,0.272,26708.5,0.0,2,0,4.15,1.00,1.00
70000,0,11,13.27,0.00,0.00,0.00,13.27,0.00,1.00,0.000,0.001,1923.7,0.0,3,6,3.45,1.00,1.00
80000,8,400,17.56,0.22,0.04,0.01,17.28,0.00,1.04,0.000,0.096,303771.7,0.8,2,3,4.08,1.00,1.07
80000,1,30,14.20,1.60,0.00,0.13,12.47,0.00,1.36,0.000,0.279,23058.0,1.0,3,2,2.93,1.00,1.53
80000,0,15,14.33,0.00,0.00,0.27,14.07,0.00,1.00,0.000,0.001,2610.0,0.0,3,11,3.33,1.00,1.00
90000,8,397,16.45,0.31,0.18,0.01,15.95,0.00,1.09,0.000,0.096,305480.1,1.7,1,0,4.10,1.02,1.11
90000,1,12,10.00,0.00,0.00,0.00,10.00,0.00,1.00,0.000,0.082,16841.2,0.2,1,0,3.17,1.00,1.00
90000,0,5,12.00,0.00,0.00,0.00,12.00,0.00,1.00,0.000,0.000,1618.9,0.0,2,4,3.40,1.00,1.00
100000,8,384,17.46,0.56,0.15,0.00,16.75,0.00,1.14,0.000,0.087,303127.7,3.6,1,0,4.30,1.02,1.18
100000,1,36,13.75,1.72,1.61,0.00,10.42,0.00,1.46,0.000,0.302,23578.1,0.0,2,0,3.44,1.55,1.16
100000,0,7,16.86,0.29,0.00,0.00,16.57,0.00,1.08,0.000,0.001,3439.4,0.0,2,6,4.43,1.00,1.07
