step,mass,born_size,born_hard,born_muscle,born_sensor,born_digestive,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange,turns,pace
100000,5.41,64,0,19,0,45,0,3,0,1,0,1.00,22,0.555,3846,0.00,150.88,112.53,593,0,0,0,1.00,1.00,1.00,1,2,3,7.3,2.715,4,1.351,0.603,8,1.000,0,17.10,-13.50,0,0.0000,0.406,0.0000,2018,1.0000
100000,28.81,36,6,7,0,23,6,7,0,7,3,3.08,0,0.243,3568,0.00,114.10,28.49,593,0,0,3,3.00,1.67,3.83,5,6,6,25.4,7.283,20,1.108,0.694,6,1.000,4,4.85,-1.00,0,0.0000,0.397,0.0000,2246,0.7452
100000,29.48,49,7,20,0,22,5,0,0,13,0,2.90,8,0.000,3287,0.00,94.68,122.50,593,2,0,0,2.67,1.00,4.50,2,4,6,59.7,1.460,18,1.282,0.665,7,1.000,1,27.59,-27.50,0,0.0000,0.342,0.0000,1710,0.7367
100000,33.79,64,0,19,0,45,0,10,0,15,0,1.00,2,0.296,3263,0.00,121.07,34.76,593,0,0,0,1.00,1.00,1.00,6,7,8,24.4,15.482,25,1.351,0.603,8,1.000,0,13.46,-11.50,0,0.0000,0.406,0.0000,1655,0.6882
100000,24.38,36,6,7,0,23,6,1,0,9,1,3.08,0,0.041,3059,0.00,107.71,17.46,593,1,0,1,3.00,1.67,3.83,3,6,6,28.9,11.408,16,1.108,0.694,6,1.000,2,13.20,-10.50,0,0.0000,0.397,0.0000,2112,0.8101
100000,18.54,25,0,4,0,21,0,1,0,12,0,1.00,4,0.054,2796,0.00,104.84,28.51,1341,2,0,0,1.00,1.00,1.00,2,3,5,37.8,24.577,13,1.426,0.770,5,1.000,1,16.10,16.00,0,0.0000,0.438,0.0000,2061,0.9290
100000,25.36,25,0,7,0,18,0,6,0,9,0,1.00,2,0.237,2652,3.11,136.82,13.50,1340,1,1,0,1.00,1.00,1.00,4,4,5,30.2,64.886,15,1.691,0.723,5,1.000,3,22.93,20.25,0,0.0000,0.569,0.0000,1855,0.7942
100000,31.97,49,7,16,0,26,4,12,0,7,2,1.92,4,0.375,2565,-0.00,79.98,36.76,593,1,0,2,2.14,1.57,2.00,4,5,7,37.0,23.418,23,1.184,0.640,7,1.000,0,20.19,-18.75,0,0.0000,0.428,0.0000,1421,0.7075
100000,3.05,49,0,7,0,42,0,0,0,2,0,1.00,22,0.000,2519,0.00,74.99,41.45,1296,2,1,0,1.00,1.00,1.00,1,2,1,40.2,3.527,2,1.527,0.722,7,1.000,0,12.07,-7.75,0,0.0184,0.561,0.0000,1672,1.0000
100000,48.02,36,12,18,0,6,11,9,0,5,3,4.88,0,0.187,2503,0.00,23.09,59.61,593,1,0,3,5.50,4.50,4.75,3,6,6,27.4,27.812,25,1.334,0.656,6,1.000,1,10.08,8.75,0,0.0000,0.528,0.0000,1323,0.5772
100000,11.88,36,0,5,9,22,0,3,3,5,0,1.00,8,0.253,2502,0.00,115.26,21.23,850,0,0,0,1.00,1.00,1.00,2,5,3,15.4,19.023,11,1.250,0.717,6,1.000,2,10.05,-1.00,3,0.0377,0.351,0.0000,1817,1.0000
