step,mass,born_size,born_hard,born_muscle,born_sensor,born_digestive,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange,turns,pace
100000,2.62,36,0,10,0,26,0,1,0,1,0,1.00,18,0.382,5428,0.00,202.15,32.73,79,0,0,0,1.00,1.00,1.00,2,2,1,0.4,4.565,2,1.309,0.484,6,1.000,29,16.16,13.25,0,0.0000,0.214,0.0000,3458,1.0000
100000,10.47,36,0,10,0,26,0,4,0,4,0,1.00,4,0.382,4705,0.61,215.52,37.47,79,0,0,0,1.00,1.00,1.00,3,5,5,19.3,33.085,8,1.309,0.484,6,1.000,21,49.23,-9.75,0,0.0000,0.214,0.0000,2976,1.0000
100000,2.44,49,0,22,0,27,0,3,0,0,0,1.00,20,1.232,4379,0.00,295.07,56.26,62,0,0,0,1.00,1.00,1.00,2,2,2,17.5,5.967,3,0.812,0.661,7,1.000,23,40.50,40.50,0,0.0000,0.160,0.0000,3128,1.0000
100000,11.37,49,0,22,0,27,0,10,0,4,0,1.00,4,0.880,4349,0.00,233.91,29.72,62,0,0,0,1.00,1.00,1.00,4,7,5,18.1,4.025,14,0.812,0.661,7,1.000,12,11.39,-1.75,0,0.0000,0.160,0.0000,2977,1.0000
100000,21.01,49,0,32,0,17,0,19,0,5,0,1.00,2,0.904,4157,0.00,231.93,99.34,62,1,0,0,1.00,1.00,1.00,4,7,6,26.6,28.009,24,0.875,0.643,7,1.000,8,41.78,-1.50,0,0.0118,0.141,0.0000,2875,0.8726
100000,36.65,36,0,10,0,26,0,7,0,21,0,1.00,0,0.191,4092,0.00,158.01,24.99,79,0,0,0,1.00,1.00,1.00,9,6,6,24.8,47.394,28,1.309,0.484,6,1.000,5,15.66,-4.50,0,0.0000,0.214,0.0000,2484,0.6608
100000,18.95,36,0,13,0,23,0,10,0,13,0,1.00,0,0.528,3832,1.79,234.69,10.51,62,2,0,0,1.00,1.00,1.00,4,6,6,45.6,63.609,23,0.824,0.649,6,1.000,13,55.47,31.00,0,0.0024,0.184,0.0000,2874,0.9190
100000,28.14,49,0,10,3,36,0,6,2,26,0,1.00,0,0.213,3607,0.00,200.35,39.26,62,1,0,0,1.00,1.00,1.00,7,7,7,29.6,42.328,34,0.853,0.628,7,1.000,11,32.51,31.75,2,0.0026,0.143,0.0000,2345,0.7541
100000,37.96,36,0,10,0,26,0,9,0,20,0,1.00,0,0.237,3604,0.00,151.79,76.38,79,0,0,0,1.00,1.00,1.00,6,6,6,21.2,65.097,29,1.309,0.484,6,1.000,4,47.90,-43.75,0,0.0000,0.214,0.0000,2212,0.6493
100000,17.70,36,0,16,0,20,0,10,0,12,0,1.00,0,0.565,3480,1.56,239.01,4.31,62,1,0,0,1.00,1.00,1.00,5,6,6,32.2,65.407,22,0.805,0.662,6,1.000,8,53.56,-5.75,0,0.0000,0.162,0.0000,2719,0.9507
100000,43.00,49,0,14,0,35,0,14,0,33,0,1.00,0,0.326,3298,0.58,170.69,2.93,62,2,0,0,1.00,1.00,1.00,6,7,7,39.1,48.478,47,0.915,0.563,7,1.000,2,41.17,-9.75,0,0.0108,0.335,0.0000,1983,0.6100
100000,15.50,49,0,14,0,35,0,7,0,13,0,1.00,6,0.452,2947,0.05,151.18,2.59,62,2,0,0,1.00,1.00,1.00,4,7,4,53.7,13.544,20,0.775,0.668,7,1.000,5,47.09,38.75,0,0.0058,0.126,0.0000,2389,1.0000
100000,20.59,36,0,13,0,23,0,9,0,16,0,1.00,0,0.437,2903,0.00,158.41,12.72,62,2,0,0,1.00,1.00,1.00,4,6,6,43.0,37.827,25,0.824,0.649,6,1.000,4,57.24,54.50,0,0.0024,0.184,0.0000,2305,0.8815
100000,9.75,36,0,16,0,20,0,10,0,2,0,1.00,8,1.026,2761,0.00,117.20,12.74,62,1,1,0,1.00,1.00,1.00,4,3,5,34.9,4.199,12,0.812,0.649,6,1.000,3,35.01,-0.75,0,0.0186,0.131,0.0000,2350,1.0000
100000,29.65,36,0,13,0,23,0,13,0,23,0,1.00,0,0.438,2706,0.00,165.17,13.81,62,0,0,0,1.00,1.00,1.00,4,6,6,25.2,81.921,36,0.824,0.649,6,1.000,0,55.16,-38.25,0,0.0024,0.184,0.0000,1987,0.7345
100000,18.05,36,0,10,0,26,0,8,0,13,0,1.00,0,0.443,2607,2.01,152.40,56.26,62,0,0,0,1.00,1.00,1.00,4,6,6,22.4,62.745,21,0.859,0.626,6,1.000,2,43.01,-13.75,0,0.0101,0.221,0.0000,2218,0.9416
100000,47.12,36,0,10,0,26,0,10,0,26,0,1.00,0,0.212,2457,0.00,92.66,1.81,79,1,0,0,1.00,1.00,1.00,4,6,6,26.1,8.360,36,1.309,0.484,6,1.000,0,19.83,18.25,0,0.0000,0.214,0.0000,1431,0.5827
100000,8.05,36,0,16,0,20,0,6,0,4,0,1.00,10,0.746,2392,0.00,128.59,3.11,62,0,0,0,1.00,1.00,1.00,4,4,3,4.3,10.835,10,0.805,0.662,6,1.000,2,66.01,36.50,0,0.0000,0.162,0.0000,2158,1.0000
100000,27.50,36,0,10,0,26,0,9,0,23,0,1.00,0,0.327,2368,0.02,97.64,22.23,62,1,1,0,1.00,1.00,1.00,9,6,6,28.7,12.205,32,0.859,0.626,6,1.000,4,40.60,34.75,0,0.0101,0.221,0.0000,1716,0.7628
100000,43.04,49,0,23,0,26,0,22,0,26,0,1.00,0,0.511,2367,0.15,108.61,16.37,62,0,0,0,1.00,1.00,1.00,6,7,7,16.4,2.853,48,0.897,0.713,7,1.000,1,8.87,-3.25,0,0.0000,0.275,0.0000,1441,0.6097
100000,8.05,36,0,18,0,18,0,8,0,2,0,1.00,4,0.994,2342,0.00,129.46,6.74,62,0,0,0,1.00,1.00,1.00,3,5,5,22.4,12.130,10,0.805,0.662,6,1.000,4,20.16,-14.00,0,0.0000,0.162,0.0000,2246,1.0000
100000,6.44,36,0,16,0,20,0,4,0,4,0,1.00,8,0.621,2308,0.00,125.16,23.05,62,0,0,0,1.00,1.00,1.00,2,2,6,22.3,11.410,8,0.805,0.662,6,1.000,1,48.25,-23.75,0,0.0000,0.162,0.0000,1781,1.0000
100000,13.14,36,0,18,0,18,0,7,0,9,0,1.00,2,0.533,2270,1.32,147.92,20.53,62,0,0,0,1.00,1.00,1.00,3,6,5,8.4,41.503,16,0.821,0.646,6,1.000,3,8.51,-6.50,0,0.0000,0.199,0.0000,1886,1.0000
