step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool,plant,hunger
10000,0,788,49.76,2.08,11.48,0.36,12.72,0.54,1.55,0.187,0.240,259186.0,177866.3,1,91,4.37,1.60,1.39,10.3852,251.75,28457.0,0.0299,21.6166,5462,18.9472,1607,4.2970,14371.2,165.42,1.1377,0.0,0.0000,1.000,0.7635,1.8910,1.7308
10000,1,601,48.45,2.07,12.14,0.48,11.44,0.63,1.58,0.215,0.180,245500.6,164715.5,1,118,4.32,1.66,1.34,9.7561,280.59,28354.6,0.0257,20.3540,5461,18.9437,1682,3.9123,13211.5,81.35,8.1168,0.0,0.0000,1.000,0.2025,1.9996,1.6717
10000,2,404,48.47,1.82,12.21,0.35,12.56,0.50,1.48,0.168,0.124,197707.5,124100.0,1,103,4.26,1.51,1.34,7.1513,128.61,28344.6,0.0237,15.9150,5461,18.9437,1624,2.5321,7985.5,53.21,16.6887,0.0,0.0000,1.000,0.0207,1.9798,1.4038
20000,0,615,53.04,4.43,13.75,0.30,18.07,1.38,2.08,0.397,0.259,128286.2,85141.5,6,69,5.37,2.53,1.48,3.0776,283.03,28775.6,0.0000,12.4558,5462,7.1606,1623,2.0357,4672.6,165.42,0.4996,0.0,0.0000,1.000,0.7635,1.8866,0.8297
20000,1,476,57.38,4.98,14.32,0.29,20.07,1.47,2.19,0.441,0.215,68379.4,42571.8,6,85,5.67,2.66,1.50,1.5447,218.98,30780.1,0.0000,6.5377,5461,7.1593,1518,0.9012,1861.7,81.35,2.2969,0.0,0.0000,1.000,0.2025,1.6902,0.4565
20000,2,412,57.60,4.70,13.32,0.49,20.65,1.43,2.08,0.437,0.184,46335.9,26493.4,6,99,5.54,2.54,1.42,0.9310,170.60,32791.1,0.0000,4.2874,5461,7.1593,1310,0.5804,1015.6,53.21,4.2673,0.0,0.0000,1.000,0.0207,1.4808,0.3080
30000,0,719,49.78,6.05,10.80,0.63,13.72,1.50,2.57,0.445,0.255,231052.8,152074.1,7,83,4.84,3.07,1.74,6.9234,314.50,29266.1,0.0000,22.0253,5462,17.4358,1511,3.8516,13165.8,165.42,1.1538,0.0,0.0000,1.000,0.7635,1.6506,1.4031
30000,1,634,50.22,5.26,11.16,0.56,14.98,1.34,2.33,0.404,0.233,214674.3,133693.1,6,96,4.80,2.79,1.50,6.2347,173.61,29876.4,0.0000,20.4151,5461,17.4326,1324,3.8432,12300.8,81.35,8.2986,0.0,0.0000,1.000,0.2025,1.4886,1.2146
30000,2,498,51.24,5.61,12.95,0.45,15.30,1.73,2.39,0.514,0.197,167655.1,105224.6,6,98,5.12,2.91,1.45,4.2533,146.32,30586.4,0.0000,16.1581,5461,17.4326,1291,2.5461,7466.8,53.21,17.0645,0.0,0.0000,1.000,0.0207,1.4734,1.0003
40000,0,745,49.18,4.84,11.54,0.37,13.45,1.46,2.21,0.405,0.255,130884.7,67492.9,11,101,4.67,2.64,1.40,2.5355,285.55,27820.1,0.0000,12.7665,5462,7.3160,1483,1.5790,3782.9,165.42,0.4974,0.0,0.0000,1.000,0.7635,1.6476,0.6981
40000,1,543,49.78,4.33,11.67,0.54,13.72,1.26,2.03,0.354,0.191,67117.5,30997.2,10,105,4.68,2.41,1.37,1.1620,181.21,29896.4,0.0000,6.6810,5461,7.3147,1423,0.6806,1460.7,81.35,2.2913,0.0,0.0000,1.000,0.2025,1.6024,0.3699
40000,2,429,51.97,3.91,11.34,0.77,15.01,1.23,1.92,0.340,0.151,44833.8,20106.6,9,104,4.83,2.24,1.38,0.7582,91.56,32773.9,0.0000,4.3578,5461,7.3147,1168,0.4606,824.7,53.21,4.2271,0.0,0.0000,1.000,0.0207,1.3468,0.2500
