step,mass,born_size,born_hard,born_muscle,born_sensor,born_digestive,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange,turns,pace
100000,27.44,49,0,18,0,31,0,12,0,21,0,1.00,0,0.437,4462,1.20,251.18,60.04,21,0,0,0,1.00,1.00,1.00,9,7,7,22.6,60.625,33,0.831,0.535,7,1.000,16,19.77,-10.50,0,0.0000,0.078,0.0000,2875,0.7636
100000,3.33,49,0,18,0,31,0,0,0,4,0,1.00,18,0.000,4134,0.00,243.98,13.98,21,0,0,0,1.00,1.00,1.00,2,2,3,12.5,9.313,4,0.831,0.535,7,1.000,10,51.25,-19.25,0,0.0000,0.078,0.0000,2810,1.0000
100000,32.43,49,0,18,0,31,0,12,0,27,0,1.00,0,0.370,4055,0.00,194.18,4.01,21,2,0,0,1.00,1.00,1.00,6,7,7,51.8,0.393,39,0.831,0.535,7,1.000,9,24.56,-24.50,0,0.0000,0.078,0.0000,2591,0.7024
100000,8.83,49,0,22,0,27,0,8,0,0,0,1.00,16,0.906,4036,0.00,184.13,87.62,188,0,0,0,1.00,1.00,1.00,2,3,3,15.5,4.356,8,1.104,0.633,7,1.000,5,3.04,-3.00,0,0.0000,0.285,0.0000,2455,1.0000
100000,22.45,49,0,18,0,31,0,12,0,15,0,1.00,2,0.535,3926,1.87,260.94,34.11,21,1,0,0,1.00,1.00,1.00,6,7,6,30.7,73.866,27,0.831,0.535,7,1.000,15,40.38,-40.25,0,0.0000,0.078,0.0000,2664,0.8442
100000,32.43,49,0,18,0,31,0,14,0,25,0,1.00,0,0.432,3909,4.65,258.33,25.82,21,1,0,0,1.00,1.00,1.00,9,7,7,26.7,118.385,39,0.831,0.535,7,1.000,10,49.17,-46.75,0,0.0000,0.078,0.0000,2504,0.7024
100000,35.75,49,0,18,0,31,0,18,0,25,0,1.00,0,0.503,3823,1.62,228.39,66.92,21,0,0,0,1.00,1.00,1.00,6,7,7,23.8,69.578,43,0.831,0.535,7,1.000,6,50.03,-20.25,0,0.0000,0.078,0.0000,2409,0.6690
100000,22.45,49,0,18,0,31,0,11,0,16,0,1.00,2,0.490,3813,0.00,246.54,46.14,21,1,0,0,1.00,1.00,1.00,6,6,7,32.0,77.938,27,0.831,0.535,7,1.000,13,63.91,60.00,0,0.0000,0.078,0.0000,2709,0.8442
100000,8.31,49,0,18,0,31,0,3,0,7,0,1.00,10,0.361,3799,0.00,192.34,80.09,21,1,0,0,1.00,1.00,1.00,3,5,4,34.0,23.098,10,0.831,0.535,7,1.000,18,45.14,-37.25,0,0.0000,0.078,0.0000,2991,1.0000
100000,5.82,49,0,18,0,31,0,2,0,5,0,1.00,16,0.344,3773,0.02,200.19,34.60,21,1,0,0,1.00,1.00,1.00,1,3,3,30.6,16.947,7,0.831,0.535,7,1.000,12,49.51,41.00,0,0.0000,0.078,0.0000,3043,1.0000
100000,14.13,49,0,18,0,31,0,0,0,17,0,1.00,6,0.000,3772,0.00,220.01,3.55,21,0,0,0,1.00,1.00,1.00,5,7,4,20.7,16.678,17,0.831,0.535,7,1.000,5,56.30,53.00,0,0.0000,0.078,0.0000,2599,1.0000
100000,3.68,36,0,10,4,22,0,2,0,3,0,1.00,10,0.544,3747,0.00,194.57,29.52,186,1,0,0,1.00,1.00,1.00,2,4,3,36.1,9.934,5,0.735,0.450,6,1.000,19,36.82,-7.75,0,0.0008,0.000,0.0000,3264,1.0000
100000,11.64,49,0,18,0,31,0,5,0,9,0,1.00,4,0.430,3736,0.00,187.89,30.62,21,0,0,0,1.00,1.00,1.00,3,6,6,20.1,35.600,14,0.831,0.535,7,1.000,12,39.89,-26.00,0,0.0000,0.078,0.0000,3019,1.0000
100000,32.43,49,0,18,0,31,0,16,0,23,0,1.00,0,0.493,3656,0.00,187.52,28.78,21,0,1,0,1.00,1.00,1.00,4,7,7,24.7,40.857,39,0.831,0.535,7,1.000,6,17.00,-11.25,0,0.0000,0.078,0.0000,2313,0.7024
100000,24.76,36,0,15,0,21,0,14,0,14,0,1.00,0,0.565,3552,1.17,165.67,82.17,21,1,0,0,1.00,1.00,1.00,6,6,6,29.5,33.680,28,0.884,0.612,6,1.000,8,57.24,36.00,0,0.0000,0.072,0.0000,2578,0.8038
100000,35.75,49,0,18,0,31,0,15,0,28,0,1.00,0,0.420,3524,3.55,193.57,5.55,21,1,0,0,1.00,1.00,1.00,6,7,7,26.9,23.976,43,0.831,0.535,7,1.000,6,38.28,-31.50,0,0.0000,0.078,0.0000,2238,0.6690
100000,30.51,49,0,22,0,27,0,16,0,13,0,1.00,0,0.524,3508,0.70,175.43,1.48,188,1,0,0,1.00,1.00,1.00,5,7,7,32.0,19.017,29,1.052,0.657,7,1.000,3,18.46,-16.25,0,0.0000,0.163,0.0000,2063,0.7242
100000,37.86,36,0,16,0,20,0,14,0,18,0,1.00,0,0.370,3494,0.08,146.33,7.88,172,1,0,0,1.00,1.00,1.00,6,6,6,34.4,39.013,32,1.183,0.497,6,1.000,4,22.74,-12.50,0,0.0000,0.203,0.0000,2162,0.6501
100000,31.61,49,0,28,0,21,0,21,0,6,0,1.00,2,0.664,3485,0.00,154.18,41.11,188,2,0,0,1.00,1.00,1.00,4,7,6,42.2,40.361,27,1.171,0.624,7,1.000,1,25.94,-13.75,0,0.0000,0.256,0.0000,1962,0.7114
