run,kind,lead,bodies,share,mass,pace,grass,seed,browse,algae,litter,kills
S+Fb 10,flesh / no tooth / roams / shore,litter,2814,0.017504,32,0.703,0.29015,0.0051599,0.00041988,0,0.70427,0.69081
S+Fb 10,plant / tooth / roams / shore,grass,1600,0.0099526,34,0.677,0.39695,0.35325,0.076296,0.010511,0.163,0.21307
S+Fb 10,plant / no tooth / roams / shore,litter,1370,0.0085219,32,0.702,0.20249,0.0050281,4.6667e-05,0.12637,0.66607,0.18742
S+Fb 10,mixed / no tooth / stays / land,grass,1164,0.0072405,49.965,0.564,0.81612,0.12475,0.0048243,0.00030826,0.053991,0.2023
S+Fb 10,plant / no tooth / stays / surface,algae,587,0.0036514,25.6,0.786,0.0102,1.1527e-05,0,0.98979,0,0.137
S+Fb 10,flesh / no tooth / stays / shore,litter,523,0.0032533,32,0.703,0.22631,0.0082411,0.00010017,0,0.76535,0.68823
S+Fb 10,flesh / no tooth / roams / bottom,litter,436,0.0027121,30,0.711,0.013867,0.00015947,3.6142e-05,0,0.98594,0.62804
S+Fb 10,mixed / tooth / roams / bottom,litter,414,0.0025752,12.41,1,0.012495,0.011519,0.0022616,0,0.97372,0.4087
S+Fb 10,flesh / tooth / stays / land,grass,349,0.0021709,76.18,0.457,0.51344,0.3509,0.10535,0,0.03031,0.72828
S+Fb 10,flesh / tooth / roams / land,grass,275,0.0017106,80.69,0.444,0.53952,0.23337,0.19936,0,0.027753,0.77484
S+Fb 10,flesh / tooth / roams / shore,grass,212,0.0013187,59.755,0.5155,0.3386,0.1548,0.27867,0,0.22793,0.71077
S+Fb 10,flesh / no tooth / stays / bottom,litter,168,0.001045,32,0.703,0.0083328,0,0,0,0.99167,0.65488
S+Fb 10,plant / tooth / roams / land,seed,116,0.00072156,45.395,0.585,0.44649,0.47996,0.042091,0.0071408,0.024313,0.21838
S+Fb 10,mixed / no tooth / roams / surface,algae,77,0.00047897,10.99,1,0.0044911,0.0017135,0,0.9938,0,0.44007
S+Fb 10,mixed / tooth / stays / bottom,litter,67,0.00041677,49.18,0.564,0,0,0,0,1,0.26884
S+Fb 10,plant / no tooth / roams / land,grass,50,0.00031102,32,0.695,0.93729,0.01532,0.00014533,0,0.047241,0.12326
S+Fb 10,flesh / no tooth / stays / land,grass,40,0.00024882,32,0.701,0.73254,0.13273,0.00087392,0,0.13386,0.60095
S+Fb 10,mixed / no tooth / roams / land,grass,36,0.00022393,32,0.6965,0.91103,0,0,0,0.088974,0.43254
S+Fb 10,plant / tooth / stays / bottom,litter,22,0.00013685,33,0.688,0.00012386,3.1321e-05,0.000625,0,0.99922,0.11574
S+Fb 10,flesh / tooth / stays / shore,litter,22,0.00013685,38,0.645,0.26254,0.29841,0,0,0.43905,0.5729
S+Fb 10,mixed / tooth / stays / surface,algae,20,0.00012441,20.74,0.8455,0.0017902,0.00053893,0,0.99767,0,0.40373
S+Fb 10,flesh / tooth / roams / bottom,litter,15,9.3306e-05,36,0.661,0.047018,0.19513,0.0019998,0,0.75585,0.70984
S+Fb 10,flesh / no tooth / roams / land,grass,14,8.7085e-05,32,0.701,0.69347,0,0,0,0.30653,0.76855
S+Fb 10,flesh / tooth / stays / bottom,litter,9,5.5983e-05,30,0.723,0.10698,0.029886,0.0088998,0,0.85424,0.48044
S+Fb 10,plant / tooth / stays / surface,algae,6,3.7322e-05,34.675,0.6755,0,0,0,1,0,0.17314
S+Fb 10,plant / tooth / roams / bottom,litter,6,3.7322e-05,35,0.6655,0.011414,0.0033574,0.10245,0,0.88278,0.15347
S+Fb 10,mixed / no tooth / stays / surface,algae,4,2.4882e-05,46.235,0.585,0,0,0,1,0,0.41157
S+Fb 10,mixed / tooth / roams / surface,algae,2,1.2441e-05,32.255,0.7735,0.27905,0.17164,0.042794,0.50651,0,0.33879
S+Fb 10,plant / tooth / roams / surface,algae,1,6.2204e-06,18.64,0.922,0,0,0,1,0,0.14755
S+Fb 10,flesh / no tooth / roams / surface,algae,1,6.2204e-06,19.73,0.896,0,0,0,1,0,0.73531
S+Fb 11,mixed / no tooth / roams / shore,litter,23897,0.16188,32,0.697,0.39938,0.00020522,2.4208e-05,0.00011678,0.60028,0.40187
S+Fb 11,plant / no tooth / stays / shore,litter,18227,0.12347,32,0.691,0.42001,0.0020271,0.00023799,0.032033,0.54569,0.097799
S+Fb 11,plant / no tooth / stays / bottom,litter,18133,0.12283,32,0.703,0.012134,0.00019568,1.2977e-05,0,0.98766,0.066291
S+Fb 11,mixed / tooth / roams / land,grass,14137,0.095764,45.53,0.588,0.49241,0.17051,0.28931,6.2221e-05,0.047712,0.4566
S+Fb 11,mixed / no tooth / roams / bottom,litter,11330,0.07675,32,0.701,0.039757,1.7799e-06,4.3529e-07,0,0.96024,0.39982
S+Fb 11,mixed / no tooth / stays / bottom,litter,11070,0.074988,31,0.703,0.010487,4.4502e-05,8.6693e-07,0,0.98947,0.27926
S+Fb 11,mixed / tooth / stays / land,grass,10667,0.072258,69.37,0.477,0.66866,0.24449,0.053902,0.00026431,0.032683,0.40472
S+Fb 11,mixed / no tooth / stays / shore,litter,7602,0.051496,32,0.694,0.39415,0.0165,0.0017809,0,0.58757,0.30452
S+Fb 11,plant / no tooth / roams / surface,algae,7362,0.04987,23,0.818,0.014203,0.00050046,8.9418e-05,0.98504,0.00016966,0.16654
S+Fb 11,mixed / tooth / roams / shore,grass,3825,0.025911,46.68,0.581,0.45265,0.16613,0.17971,0.0055608,0.19594,0.43547
S+Fb 11,mixed / tooth / stays / shore,grass,3761,0.025477,47.44,0.576,0.51632,0.19343,0.049125,0.030431,0.21069,0.36452
S+Fb 11,plant / no tooth / roams / bottom,litter,3168,0.02146,32,0.702,0.026092,0.00017736,0,0,0.97373,0.17047
S+Fb 11,plant / no tooth / roams / shore,grass,2516,0.017043,50,0.564,0.68026,0.000224,2.6877e-05,0.13408,0.18541,0.21173
S+Fb 11,plant / no tooth / stays / land,grass,2402,0.016271,78.695,0.448,0.96661,0.016161,0.0012672,0.00072353,0.015237,0.058459
S+Fb 11,plant / tooth / stays / shore,grass,1935,0.013108,52.24,0.55,0.63169,0.19217,0.046882,0.060589,0.068669,0.18075
S+Fb 11,plant / tooth / stays / land,grass,1888,0.012789,71.75,0.467,0.67514,0.25733,0.045349,2.4287e-05,0.022164,0.20264
S+Fb 11,mixed / no tooth / roams / land,grass,1628,0.011028,72,0.467,0.94808,0,0,0,0.051924,0.38073
S+Fb 11,plant / no tooth / stays / surface,algae,915,0.0061982,26,0.78,0.0091171,0.0021679,5.2969e-05,0.98866,0,0.084331
S+Fb 11,flesh / no tooth / stays / bottom,litter,853,0.0057782,32,0.702,0.0055055,0,0,0,0.99449,0.62332
S+Fb 11,flesh / no tooth / roams / bottom,litter,556,0.0037664,32,0.703,0.01853,0,0,0,0.98147,0.70288
S+Fb 11,flesh / no tooth / roams / shore,litter,433,0.0029331,32,0.701,0.44952,0,0,0,0.55048,0.73094
S+Fb 11,mixed / no tooth / stays / land,grass,430,0.0029128,60,0.5155,0.95081,0.00033504,0.00013347,0,0.048717,0.26345
S+Fb 11,flesh / no tooth / stays / shore,litter,169,0.0011448,32,0.703,0.45863,0,0,0,0.54137,0.66876
S+Fb 11,mixed / tooth / stays / bottom,litter,159,0.0010771,33.6,0.678,0.00053959,0.0014591,3.6866e-05,0,0.99796,0.35624
S+Fb 11,plant / tooth / stays / bottom,litter,122,0.00082643,28.495,0.739,0.0098534,0.00209,3.4626e-05,0,0.98802,0.095706
S+Fb 11,plant / no tooth / roams / land,grass,110,0.00074514,50,0.559,0.93929,0.0084607,0.00050979,0.010397,0.041343,0.1736
S+Fb 11,mixed / tooth / roams / surface,algae,73,0.0004945,23.95,0.812,0.0024405,0.00083008,0,0.99673,0,0.39309
S+Fb 11,mixed / tooth / roams / bottom,litter,64,0.00043354,40.14,0.626,0.0030662,0.0021742,2.0912e-05,0,0.99474,0.37359
S+Fb 11,plant / tooth / roams / shore,algae,56,0.00037934,35.915,0.6645,0.30606,0.17398,0.092598,0.41935,0.0080047,0.24536
S+Fb 11,mixed / no tooth / roams / surface,algae,28,0.00018967,15.94,0.982,0,0,0,1,0,0.52819
S+Fb 11,flesh / no tooth / roams / land,grass,23,0.0001558,32,0.699,0.89915,0,0,0,0.10085,0.67433
S+Fb 11,flesh / tooth / roams / land,grass,16,0.00010838,46.215,0.5835,0.54217,0.19135,0.22042,0.016436,0.029629,0.65718
S+Fb 11,plant / tooth / roams / land,seed,16,0.00010838,40,0.6175,0.29504,0.58501,0.11432,0.0049621,0.00067064,0.16173
S+Fb 11,flesh / tooth / roams / shore,litter,12,8.1288e-05,30.43,0.72,0.15425,0.040156,0.0030097,0,0.80259,0.49529
S+Fb 11,flesh / no tooth / stays / land,grass,11,7.4514e-05,30,0.717,0.95729,0,0,0,0.042708,0.58442
S+Fb 11,flesh / tooth / stays / bottom,litter,9,6.0966e-05,39.58,0.634,0.00079146,0.00019134,0,0,0.99902,0.59013
S+Fb 11,flesh / tooth / stays / land,browse,8,5.4192e-05,59.41,0.5185,0.35056,0.081192,0.56825,0,0,0.69829
S+Fb 11,mixed / no tooth / stays / surface,algae,3,2.0322e-05,19.99,0.889,0,0,0,1,0,0.53394
S+Fb 11,plant / tooth / roams / bottom,litter,3,2.0322e-05,38.53,0.635,0,0,0,0,1,0.14498
S+Fb 11,flesh / tooth / stays / shore,grass,3,2.0322e-05,61.19,0.509,0.52025,0.16355,0.22096,0.095235,0,0.76774
S+Fb 11,plant / tooth / stays / surface,algae,2,1.3548e-05,41.76,0.616,0,0,0,1,0,0.10757
S+Fb 11,plant / tooth / roams / surface,algae,1,6.774e-06,24.95,0.799,0,0,0,1,0,0
