run,kind,lead,bodies,share,mass,pace,grass,seed,browse,algae,litter,kills
control 10,plant / no tooth / stays / bottom,litter,10008,0.08728,32,0.702,0.015052,0,3.9024e-07,0,0.98495,0.062812
control 10,mixed / no tooth / roams / shore,litter,8587,0.074888,32,0.701,0.23327,0,0.0029014,0.00053851,0.76329,0.4292
control 10,plant / no tooth / roams / surface,algae,6310,0.05503,27.99,0.743,0.010819,0,8.4606e-05,0.9891,0,0.16409
control 10,mixed / tooth / roams / shore,grass,6204,0.054105,38.58,0.639,0.56371,0,0.3182,0,0.11809,0.45306
control 10,mixed / no tooth / roams / bottom,litter,6068,0.052919,32,0.701,0.02616,0,0.00014379,0,0.9737,0.39759
control 10,mixed / tooth / stays / land,grass,5653,0.0493,63.14,0.5,0.85912,0,0.10951,0.0013111,0.030055,0.34107
control 10,mixed / tooth / stays / shore,grass,5249,0.045777,54.76,0.535,0.66704,0,0.11273,0.01128,0.20895,0.37517
control 10,plant / no tooth / stays / land,grass,4914,0.042855,73.335,0.465,0.98063,0,0.001954,0.00096755,0.016449,0.062272
control 10,mixed / no tooth / stays / land,grass,1681,0.01466,53.32,0.545,0.96325,0,0.012659,0,0.024094,0.21463
control 10,flesh / no tooth / roams / shore,litter,1570,0.013692,32,0.702,0.39275,0,0.0037527,0,0.60349,0.64246
control 10,plant / no tooth / roams / bottom,litter,1203,0.010491,32,0.704,0.0077381,0,8.6329e-07,0,0.99226,0.15722
control 10,plant / no tooth / roams / shore,algae,1044,0.0091048,32,0.704,0.17082,0,0.0095311,0.70582,0.11383,0.18198
control 10,plant / tooth / stays / land,grass,945,0.0082414,72,0.463,0.89299,0,0.094165,0.00046261,0.012379,0.17306
control 10,flesh / no tooth / stays / bottom,litter,638,0.005564,26,0.7775,0.031236,0,0,0,0.96876,0.51583
control 10,plant / no tooth / stays / surface,algae,434,0.0037849,28.215,0.741,0.055622,0,0,0.94438,0,0.11229
control 10,flesh / tooth / roams / shore,grass,369,0.0032181,50,0.565,0.61594,0,0.2925,0,0.091555,0.63511
control 10,flesh / no tooth / stays / shore,grass,298,0.0025989,32,0.702,0.5373,0,0.010451,0,0.45225,0.66931
control 10,mixed / no tooth / roams / surface,algae,287,0.0025029,25,0.779,0.0016035,0,0,0.9984,0,0.41471
control 10,flesh / tooth / roams / land,browse,250,0.0021803,40.95,0.6215,0.35973,0,0.62309,0,0.017181,0.64297
control 10,flesh / no tooth / stays / land,grass,225,0.0019622,40,0.624,0.79631,0,0.098178,0,0.10551,0.53244
control 10,flesh / no tooth / roams / bottom,litter,220,0.0019186,30.245,0.7175,0.045732,0,0,0,0.95427,0.65468
control 10,plant / tooth / roams / land,grass,109,0.0009506,59.99,0.514,0.8527,0,0.14226,0,0.0050362,0.26048
control 10,mixed / tooth / roams / bottom,litter,95,0.0008285,30,0.715,0.028523,0,0.0056648,0,0.96581,0.46072
control 10,plant / tooth / stays / surface,algae,88,0.00076745,32,0.6975,0.0096669,0,0,0.99033,0,0.30877
control 10,mixed / no tooth / roams / land,grass,73,0.00063664,32,0.702,0.83606,0,0.0069273,0.018733,0.13828,0.40299
control 10,plant / tooth / stays / shore,grass,65,0.00056687,69.95,0.468,0.79253,0,0.046945,0.088743,0.071777,0.18658
control 10,flesh / no tooth / roams / land,grass,61,0.00053198,32,0.703,0.92034,0,0.010107,0,0.069555,0.7907
control 10,plant / no tooth / roams / land,grass,54,0.00047094,32,0.6985,0.88688,0,0,0.02541,0.087708,0.11717
control 10,flesh / tooth / stays / land,grass,53,0.00046222,38,0.639,0.63843,0,0.33581,0,0.025763,0.62656
control 10,plant / tooth / stays / bottom,litter,24,0.00020931,32.195,0.6915,7.3034e-19,0,0.0020278,0,0.99797,0.063589
control 10,flesh / tooth / stays / shore,litter,15,0.00013082,81.02,0.444,0.065395,0,0.21013,0,0.72448,0.59565
control 10,plant / tooth / roams / shore,grass,7,6.1047e-05,36,0.665,0.47813,0,0.28572,0,0.23615,0.13701
control 10,mixed / tooth / stays / bottom,litter,6,5.2326e-05,42,0.6165,0,0,0,0,1,0.18096
control 10,flesh / tooth / stays / bottom,litter,5,4.3605e-05,41.71,0.618,0.0090214,0,0.00026276,0,0.99072,0.76465
control 10,flesh / tooth / roams / bottom,litter,5,4.3605e-05,28.43,0.743,0.21623,0,0.016246,0,0.76752,0.76237
control 10,plant / tooth / roams / bottom,litter,5,4.3605e-05,32,0.676,0.0011645,0,0.025349,0,0.97349,0.098162
control 10,mixed / no tooth / stays / surface,algae,2,1.7442e-05,35.99,0.66,0,0,0,1,0,0.34111
control 10,plant / tooth / roams / surface,algae,1,8.7211e-06,55.12,0.532,0,0,0,1,0,0
control 11,mixed / no tooth / roams / shore,litter,18332,0.16913,32,0.699,0.2726,0,9.5376e-05,0.0051125,0.72219,0.41743
control 11,mixed / no tooth / stays / bottom,litter,13075,0.12063,32,0.7,0.01431,0,2.156e-06,0,0.98569,0.27425
control 11,plant / no tooth / stays / shore,litter,12598,0.11623,32,0.701,0.2921,0,0.00046386,0.01893,0.68851,0.089405
control 11,mixed / tooth / roams / land,grass,12402,0.11442,35.4,0.667,0.59781,0,0.3661,0.0037365,0.032356,0.46699
control 11,plant / no tooth / stays / bottom,litter,10141,0.093558,32,0.703,0.016793,0,2.873e-09,7.1824e-08,0.98321,0.053603
control 11,mixed / no tooth / roams / bottom,litter,7820,0.072145,32,0.701,0.042954,0,1.6183e-05,0,0.95703,0.37212
control 11,plant / no tooth / roams / surface,algae,5893,0.054367,27.99,0.739,0.00976,0,2.2076e-05,0.98968,0.00053966,0.18407
control 11,mixed / no tooth / stays / shore,grass,5605,0.05171,32,0.695,0.51076,0,0.0030178,0,0.48622,0.20408
control 11,plant / no tooth / stays / land,grass,4103,0.037853,74.58,0.458,0.97936,0,0.0012652,0.0036546,0.015721,0.043312
control 11,mixed / tooth / stays / land,grass,3859,0.035602,59.87,0.514,0.89783,0,0.072947,0.00066255,0.028558,0.36515
control 11,mixed / tooth / roams / shore,grass,2776,0.025611,35.165,0.669,0.55512,0,0.27783,0.0088987,0.15815,0.43419
control 11,flesh / no tooth / roams / shore,litter,2482,0.022898,32,0.701,0.42736,0,0.00014023,0,0.5725,0.63864
control 11,plant / no tooth / roams / shore,algae,1959,0.018073,30,0.72,0.2595,0,0.00072157,0.49183,0.24795,0.1643
control 11,mixed / no tooth / stays / land,grass,1609,0.014844,49.44,0.566,0.96573,0,0.0043711,0.00018384,0.029711,0.13652
control 11,plant / no tooth / roams / bottom,litter,1132,0.010443,32,0.703,0.0051869,0,0,0,0.99481,0.16237
control 11,flesh / no tooth / roams / bottom,litter,886,0.008174,32,0.702,0.031838,0,0,0,0.96816,0.65592
control 11,mixed / tooth / stays / shore,grass,875,0.0080725,53.94,0.54,0.79554,0,0.093842,0.00066567,0.10995,0.3395
control 11,flesh / no tooth / stays / shore,litter,701,0.0064672,32,0.697,0.4328,0,0.013574,0,0.55362,0.59635
control 11,flesh / no tooth / stays / bottom,litter,552,0.0050926,32,0.702,0.0019609,0,0,0,0.99804,0.46667
control 11,plant / no tooth / stays / surface,algae,277,0.0025555,26,0.768,0.00041628,0,0,0.99958,0,0.085595
control 11,mixed / no tooth / roams / surface,algae,266,0.002454,26.46,0.768,0.020887,0,0.0016224,0.97634,0.0011529,0.36572
control 11,plant / tooth / stays / land,grass,235,0.002168,73.69,0.464,0.93203,0,0.035798,6.2046e-06,0.032169,0.19526
control 11,flesh / no tooth / roams / land,grass,158,0.0014577,32,0.703,0.90084,0,0.0045526,0,0.094605,0.67288
control 11,mixed / no tooth / roams / land,grass,130,0.0011993,32,0.6935,0.92347,0,0.0047029,0,0.071826,0.35272
control 11,plant / no tooth / roams / land,grass,102,0.00094102,32,0.703,0.96824,0,9.1897e-06,0.0064364,0.025318,0.10387
control 11,flesh / tooth / roams / shore,grass,96,0.00088567,31.1,0.712,0.5326,0,0.15694,0.0089567,0.3015,0.63838
control 11,plant / tooth / stays / shore,grass,77,0.00071038,70.39,0.473,0.76009,0,0.016464,0.21874,0.0047106,0.23774
control 11,flesh / tooth / roams / land,browse,66,0.0006089,41.375,0.617,0.33757,0,0.6558,0,0.0066331,0.70006
control 11,flesh / no tooth / stays / land,grass,49,0.00045206,32,0.699,0.71979,0,0,0,0.28021,0.35364
