step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land,inv1,inv1_land,inv1_grown,inv2,inv2_land,inv2_grown,deaths_wound,kill_intake,flesh_intake,blocks_kept,water_drunk,water_air,water_sweat,water_dead,water_born,water_spill,born_dry,water_bodies,water_err,seed,seed_set,sprouted,seed_intake,fiber_in,fermented,dung,fiber_bodies
1000,16797,6783,143147,588816,554694,440199,5470,54154,1733,0,391882,5128172,195881.754,81152.004,1.0638,55096.777,0.198,0.351,0.195,0.256,0.608,0.325,1755,0.0391,0.6572,0.103,5.9,39.4,82.0,36.86,3.58,6.17,2.22,24.89,7.45,1.151,0.206,0.133,0.135,13.680,0.260,0.0026,101,412,1656,23644,34,0,0.000,7726,5182,4768,6847,2073,4609,10115,0.00,1.55,15741,30.6112,60506,10274,562093,4889.1,-0.0,389812,46.506,2616205.768,8.01e-15,0.00018,30.00,177292,83.358,2.439,79.572,1.346,83.362,12936,851,3010,0.2506,0.900,1.132,1.441,1.162,0.940,1.163,36800.112,19934.809,173887.639,37403.527,39687.365,20041.427,2325.550,3688.249,0.647,0.557,0.543,0.797,0.673,0.628,8933,44677,0.6027,0.6607,0.6051,0.9999,0.0515,0.0436,0.5789,0.7507,0.8545,0.1166,0.0596,0.0184,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,18229,0.9999,0.7566,0.7508,0.9984,0.0515,0.0436,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2536,4.7184,5.2562,0.0663,0.1871,0.1570,0.344,0.388,0.339,0.375,11438,0.1553,0.0108,0.0119,0.00241,0.00160,0.00139,22.71,27.12,27.43,50.4644,0.0504,76.3650,26.3569,20.1493,1024924,1530782,0.5013,0.0036,1575.3,50.4644,21.62,0,0,0,0,0,0,20250,26055.226,23360.252,0.9571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,7.23e-15,42801.6,7.6528,12.2261,88.142,1619.044,973.414,636.882,8748.0
2000,16855,4010,98717,173388,152650,72154,2517,35302,959,0,434149,4322222,56687.930,42602.688,1.0516,14067.901,0.136,0.669,0.084,0.110,0.531,0.329,1192,0.0817,0.6887,0.068,9.0,31.8,74.4,30.17,3.27,6.93,1.08,18.89,7.19,1.242,0.219,0.207,0.216,7.385,0.222,0.0033,82,420,857,29425,53,0,0.000,8241,2342,5244,9269,1179,2670,13006,0.00,5.85,18995,19.1565,60722,13930,527514,3214.1,0.0,454732,24.736,2616205.768,4.18e-14,0.00021,25.34,58450,37.060,2.490,33.288,1.282,37.064,6545,2934,7376,0.2379,0.946,1.170,1.628,1.248,0.950,1.351,12867.352,17384.745,33509.779,12890.912,24355.140,16196.370,2748.447,9589.971,0.561,0.554,0.486,0.440,0.387,0.421,17565,29274,0.6254,0.4460,0.3714,0.9996,0.0338,0.0388,0.5452,0.9311,1.0118,0.1841,0.0377,0.0253,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,4942,0.9994,0.8311,0.8365,0.9980,0.0338,0.0388,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5092,4.8881,5.5185,0.0445,0.1177,0.0845,0.140,0.159,0.150,0.146,6627,0.1945,0.0034,0.0043,0.00225,0.00076,0.00054,24.29,26.51,26.46,386.5406,0.0874,37.3739,16.4364,8.3000,1048573,1527652,1.1312,0.0390,2543.4,386.5406,26.00,0,0,0,0,0,0,21555,28534.787,25043.543,0.9420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.37e-14,28679.9,4.7891,8.0361,167.598,354.066,192.147,160.671,9995.9
3000,13583,2597,99383,174412,151129,72240,2789,36367,1038,0,448504,4575350,53746.047,40093.927,0.9680,12959.271,0.099,0.758,0.070,0.073,0.528,0.327,1097,0.1128,0.7278,0.069,9.0,29.8,68.2,27.66,2.48,7.52,0.93,16.72,7.25,1.278,0.255,0.155,0.166,6.098,0.206,0.0036,77,342,716,28270,75,0,0.000,7286,99,2932,10552,456,1958,11169,1.50,9.10,21341,20.6994,60776,14125,502193,2498.4,-0.0,492900,18.177,2616205.768,1.89e-14,0.00071,14.43,62822,34.216,2.453,30.784,0.979,34.219,4567,3129,5887,0.2597,0.967,1.186,1.752,1.359,0.959,1.385,15180.434,19140.269,24579.693,15098.737,27026.888,12931.342,3440.609,10762.705,0.556,0.551,0.497,0.436,0.399,0.422,23275,32966,0.7068,0.3855,0.2622,0.9995,0.0351,0.0377,0.6000,0.8728,0.9542,0.1809,0.0273,0.0305,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,4353,0.9990,0.8264,0.8541,0.9976,0.0351,0.0377,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.8000,5.0208,5.5279,0.0412,0.1069,0.0858,0.187,0.140,0.190,0.151,5946,0.1857,0.0037,0.0045,0.00200,0.00084,0.00065,21.08,27.42,26.83,741.6851,0.0979,42.4756,9.3660,8.8112,1057923,1526792,1.5734,0.0823,3029.3,741.6851,22.38,0,0,0,0,0,0,21985,27134.656,23474.514,0.9361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.47e-14,23307.6,5.1748,5.2918,79.870,364.549,191.438,173.578,9529.7
4000,10331,2758,90144,170469,148590,77684,2641,31071,805,0,400503,4464707,51212.601,37819.959,0.9789,13316.435,0.075,0.808,0.052,0.065,0.531,0.339,918,0.1277,0.7195,0.075,10.5,35.3,68.5,27.48,3.14,8.25,0.85,15.25,6.86,1.379,0.233,0.244,0.258,7.148,0.207,0.0034,75,324,577,28918,50,0,0.000,6156,61,2512,7758,375,1824,8132,1.75,8.00,23356,21.0821,60946,14755,476622,1973.5,-0.0,519769,13.824,2616205.768,3.52e-14,0.00000,37.93,64661,32.788,2.450,29.628,0.710,32.792,4684,1328,4319,0.1552,0.992,1.360,1.845,1.406,0.957,1.479,14117.897,21162.206,20678.639,13973.812,29876.586,10257.222,3276.332,10969.970,0.577,0.516,0.507,0.442,0.446,0.482,22902,35609,0.7245,0.2814,0.2627,0.9992,0.0365,0.0376,0.6028,0.8632,0.9770,0.2062,0.0247,0.0262,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,3742,0.9985,0.7837,0.7951,0.9963,0.0365,0.0376,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.6696,5.0408,5.6908,0.0433,0.1080,0.0892,0.108,0.181,0.160,0.169,3139,0.0813,0.0050,0.0030,0.00226,0.00091,0.00073,26.77,25.97,25.84,962.6079,0.0847,44.3041,5.7513,8.0728,1062007,1526050,1.6653,0.1024,3231.0,962.6079,25.42,0,0,0,0,0,0,19030,24503.523,21241.187,0.9319,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.37e-14,21349.9,5.2705,4.2902,43.591,363.861,191.768,175.144,6478.5
5000,11053,2826,76985,129324,110587,50452,1887,29315,1005,1,318936,4156159,38957.090,28995.218,1.0320,8423.022,0.074,0.808,0.051,0.067,0.536,0.339,735,0.1060,0.7414,0.060,10.0,31.5,68.5,26.69,2.84,7.22,0.51,16.12,7.10,1.336,0.223,0.216,0.227,7.009,0.234,0.0034,80,347,570,18667,81,19,0.123,6256,48,3328,7677,223,1591,9239,1.27,7.79,28696,22.7959,61052,19619,462750,2073.1,-0.0,541323,12.568,2616205.768,3.52e-14,0.00086,12.68,50752,27.236,2.441,24.044,0.752,27.239,3953,2035,5065,0.2228,0.978,1.244,1.870,1.377,0.959,1.455,10636.363,16791.253,14326.187,10545.912,22508.013,8961.892,2873.398,8736.907,0.561,0.507,0.530,0.378,0.380,0.416,33500,23058,0.6451,0.2304,0.2061,0.9989,0.0280,0.0388,0.5794,0.9849,0.9957,0.1914,0.0305,0.0463,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,2682,0.9991,0.8310,0.8470,0.9965,0.0280,0.0388,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.6022,5.0550,5.6836,0.0471,0.0805,0.0666,0.102,0.111,0.110,0.126,2757,0.0678,0.0045,0.0026,0.00250,0.00043,0.00047,25.71,26.79,25.88,1130.9095,0.0775,33.3782,5.2001,7.3681,1064546,1523665,1.1778,0.0759,3279.9,1130.9095,23.03,0,0,0,0,0,0,17445,20572.197,17529.291,0.9354,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,9.15e-15,20808.9,5.6990,4.0509,31.799,276.988,145.476,130.425,7566.3
6000,11558,3418,66343,121303,104783,53689,1271,25497,320,1,278243,4021627,43066.986,29446.035,1.1463,9512.194,0.050,0.848,0.048,0.055,0.541,0.346,418,0.0860,0.7027,0.063,15.2,39.4,77.2,31.21,3.88,7.39,0.65,19.29,7.06,1.377,0.188,0.306,0.321,7.877,0.211,0.0032,84,390,569,21020,38,23,0.325,6697,420,2252,8886,888,2587,8083,1.75,7.98,24604,23.7359,61170,24041,452401,1989.5,-0.0,568797,12.328,2616205.768,1.96e-15,0.00058,23.20,46873,27.430,2.439,24.102,0.890,27.434,6518,1445,3595,0.1911,0.976,1.330,1.924,1.355,0.971,1.580,6829.474,14135.400,27068.700,6775.767,18734.711,11248.974,1798.964,6885.904,0.600,0.456,0.518,0.538,0.278,0.400,47264,23119,0.5406,0.2898,0.2398,0.9994,0.0334,0.0438,0.5481,0.9664,0.9338,0.1705,0.0215,0.0386,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,2799,0.9996,0.7527,0.8155,0.9976,0.0334,0.0438,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.6642,4.8945,5.9858,0.0393,0.0966,0.0855,0.129,0.138,0.101,0.193,2326,0.0605,0.0048,0.0028,0.00250,0.00035,0.00044,22.19,25.79,26.04,1428.1966,0.0762,25.8698,5.7961,6.5322,1064228,1523407,0.6247,0.0233,3057.5,1428.1966,19.40,0,0,0,0,0,0,11776,19933.842,17492.636,0.9404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,2.03e-15,19890.9,5.9340,4.3517,36.539,336.122,182.284,151.040,10363.2
7000,9904,3166,63703,123043,107927,58394,946,24496,224,0,289971,3704373,45876.760,32265.028,1.2172,10205.900,0.073,0.823,0.053,0.051,0.537,0.355,239,0.0870,0.6497,0.061,15.8,43.6,85.6,35.25,5.56,8.63,0.59,20.46,7.11,1.312,0.197,0.382,0.395,8.041,0.188,0.0032,94,433,712,13714,35,22,0.249,5979,1056,1434,7414,1422,1881,6601,3.00,8.83,21661,20.8566,61339,21912,434742,2193.8,-0.0,603723,13.975,2616205.768,9.08e-15,0.00079,24.47,47329,28.216,2.443,25.192,0.581,28.219,5634,1137,3133,0.2027,0.959,1.252,1.898,1.269,0.971,1.514,9432.841,14467.418,27367.720,9350.457,19364.483,14328.444,1260.922,6469.763,0.585,0.501,0.489,0.492,0.425,0.488,56503,25135,0.6152,0.1626,0.1554,0.9997,0.0412,0.0556,0.4699,0.9051,0.9184,0.2132,0.0263,0.0399,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,2832,0.9996,0.8707,0.8565,0.9988,0.0412,0.0556,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5738,4.7406,5.9897,0.0376,0.0850,0.0660,0.097,0.126,0.074,0.117,2512,0.0702,0.0057,0.0032,0.00216,0.00046,0.00045,26.63,26.03,26.46,1723.8566,0.0963,29.0404,8.4065,5.5689,1068967,1522583,0.5166,0.0113,2620.0,1723.8566,21.78,0,0,0,0,0,0,10158,22059.128,19653.812,0.9425,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,2.28e-14,17110.4,5.2141,4.1076,58.921,336.639,184.841,154.739,7422.3
8000,9946,2834,58949,113385,99725,53609,827,21598,207,1,310602,3454141,42389.893,30419.752,1.1508,8079.883,0.048,0.862,0.035,0.054,0.534,0.355,285,0.0837,0.6515,0.050,13.5,40.6,79.6,31.49,4.62,9.05,0.43,17.39,6.76,1.349,0.220,0.309,0.320,7.401,0.176,0.0031,89,429,622,13308,118,20,0.192,5831,661,1127,8158,1654,1119,7173,3.75,9.09,21819,19.2298,61348,22651,413978,2597.0,-0.0,633723,12.520,2616205.768,2.83e-14,0.00328,7.77,43608,24.577,2.440,21.532,0.605,24.580,4384,1438,4124,0.2313,0.970,1.300,1.957,1.275,0.978,1.557,7342.419,17171.804,21791.907,7294.844,21383.026,14199.486,2154.854,5985.529,0.580,0.478,0.508,0.507,0.361,0.492,59773,23345,0.6496,0.1521,0.1693,0.9995,0.0435,0.0496,0.4748,1.0967,0.9475,0.2265,0.0471,0.0302,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,1657,0.9994,0.9311,0.8049,0.9987,0.0435,0.0496,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4319,4.7288,5.9279,0.0396,0.0723,0.0545,0.071,0.089,0.077,0.083,2602,0.0917,0.0051,0.0029,0.00183,0.00041,0.00048,23.67,26.59,27.50,1639.9933,0.0967,28.9790,7.6325,4.8871,1074572,1520766,0.9551,0.0827,2355.2,1639.9933,16.84,0,0,0,0,0,0,9497,22339.869,20082.399,0.9380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,3.39e-15,13712.6,4.8074,3.3417,75.155,299.131,158.909,139.414,8230.9
9000,8214,2152,54510,101109,88239,45899,700,19270,246,0,241200,2713187,37304.051,23770.379,1.1059,7098.662,0.059,0.832,0.039,0.070,0.496,0.375,244,0.1014,0.6714,0.059,15.0,41.6,81.3,33.04,4.19,8.57,0.61,19.67,6.93,1.339,0.201,0.240,0.246,7.706,0.181,0.0032,84,393,425,7805,70,22,0.202,4639,73,1345,6796,343,1372,6499,4.25,11.29,24529,19.7546,61404,21598,397392,2333.1,-0.0,651582,10.066,2616205.768,1.78e-16,0.00236,30.68,39466,21.295,2.434,18.394,0.467,21.298,3175,1435,3604,0.2446,0.934,1.228,1.972,1.280,0.960,1.543,7592.594,17923.502,14559.759,7550.557,22292.397,8704.024,1338.915,6628.779,0.552,0.453,0.477,0.490,0.321,0.487,61486,24869,0.6349,0.1318,0.1775,0.9999,0.0312,0.0482,0.4775,0.9355,0.9126,0.2280,0.0279,0.0235,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,1796,0.9988,0.8250,0.8216,0.9990,0.0312,0.0482,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4805,4.8430,5.5632,0.0427,0.0721,0.0551,0.107,0.087,0.098,0.111,1910,0.0802,0.0072,0.0027,0.00186,0.00035,0.00070,24.22,27.10,27.61,1187.5391,0.0757,30.1834,4.9441,5.1215,1076901,1519663,1.7655,0.1444,2552.2,1187.5391,18.95,0,0,0,0,0,0,8151,16671.718,14805.403,0.9467,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,5.42e-15,13379.3,4.9386,2.9326,35.094,271.940,142.329,129.169,8673.7
10000,8709,2453,55586,113701,99559,57289,826,17040,306,0,286332,2605609,42778.493,27226.508,1.0742,8002.989,0.062,0.825,0.047,0.065,0.495,0.383,155,0.0855,0.6554,0.061,16.6,42.7,78.7,30.57,3.94,9.99,0.47,16.18,6.46,1.442,0.223,0.282,0.291,7.480,0.173,0.0029,77,368,510,8360,63,26,0.270,5093,38,1400,7271,263,1803,6643,4.00,11.12,22984,21.2426,61527,22126,383534,2123.6,-0.0,667328,9.071,2616205.768,2.71e-14,0.00011,11.37,46139,23.339,2.422,20.341,0.576,23.342,3823,1117,3769,0.1892,0.991,1.387,1.991,1.376,0.976,1.649,7092.628,18089.064,21459.148,7057.048,22265.286,12002.533,1182.556,6038.431,0.528,0.448,0.487,0.562,0.355,0.511,61429,24570,0.6543,0.0993,0.2026,0.9998,0.0325,0.0561,0.5026,1.1568,0.9199,0.2066,0.0451,0.0220,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,1952,0.9986,0.9492,0.8403,0.9989,0.0325,0.0561,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.8373,4.7715,5.9148,0.0382,0.0753,0.0643,0.070,0.100,0.069,0.098,1506,0.0658,0.0038,0.0019,0.00216,0.00048,0.00081,26.18,26.33,27.93,1356.6544,0.0901,29.6671,4.4868,4.5841,1077700,1518647,2.1682,0.1543,2555.9,1356.6544,19.36,0,0,0,0,0,0,9717,19223.519,17119.484,0.9402,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,9.82e-15,13498.5,5.3107,2.8889,34.542,326.961,173.072,155.354,7210.1
