step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land,inv1,inv1_land,inv1_grown,inv2,inv2_land,inv2_grown,deaths_wound,kill_intake,flesh_intake,blocks_kept,water_drunk,water_air,water_sweat,water_dead,water_born,water_spill,born_dry,water_bodies,water_err,seed,seed_set,sprouted,seed_intake,fiber_in,fermented,dung,fiber_bodies
1000,13794,9492,109842,548090,522054,433419,4829,45064,179,0,205747,4038215,195564.271,70581.762,1.0458,57133.460,0.236,0.295,0.245,0.224,0.617,0.339,443,0.0257,0.6295,0.095,21.8,51.4,89.5,48.20,4.84,6.09,2.18,35.09,7.75,1.062,0.124,0.126,0.128,22.836,0.327,0.0023,143,437,1734,7203,28,0,0.000,6153,4247,3400,6147,1613,4385,7796,0.00,0.82,15793,30.3683,60500,10734,561461,3638.4,-0.0,386079,45.586,2616370.561,7.48e-15,0.00018,30.00,164170,78.123,2.456,74.724,0.944,78.127,10354,780,2660,0.3738,0.851,1.046,1.283,1.049,0.939,1.150,36471.909,20947.805,171575.691,37100.256,44021.784,8329.009,2881.811,2237.482,0.676,0.555,0.559,0.860,0.676,0.663,9004,40623,0.7198,0.6597,0.6234,0.9998,0.0520,0.0480,0.5145,0.7176,0.8325,0.1164,0.0552,0.0236,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,20985,0.9999,0.6638,0.6777,0.9992,0.0520,0.0480,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0771,5.0558,5.1082,0.0928,0.1855,0.1575,0.303,0.366,0.304,0.331,8423,0.1381,0.0099,0.0114,0.00229,0.00167,0.00142,22.98,27.91,27.85,50.8780,0.0277,80.3640,26.4117,19.1738,1019343,1531011,0.4780,0.0039,1573.9,50.8780,21.62,0,0,0,0,0,0,4750,13448.302,12414.657,0.9808,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,7.23e-15,43382.0,7.5921,12.2268,77.872,1622.112,988.707,625.333,8072.3
2000,16511,4704,65845,134771,119948,67490,1436,26538,273,0,282206,3303051,52817.835,34198.718,1.2038,12966.707,0.155,0.569,0.139,0.137,0.580,0.300,861,0.0528,0.6363,0.084,12.3,38.5,80.6,36.41,3.72,8.42,0.68,23.59,7.45,1.151,0.218,0.177,0.185,9.826,0.229,0.0029,110,910,1193,10993,31,0,0.000,8061,2080,4884,9547,1498,2404,12609,0.00,4.69,19954,18.7342,60707,13853,527897,3215.2,0.0,451169,26.573,2616370.561,1.03e-14,0.00020,25.34,45708,32.987,2.483,29.328,1.176,32.991,6466,2875,7170,0.2533,0.938,1.084,1.543,1.219,0.958,1.166,12880.244,16989.227,28441.824,12922.574,24420.145,14733.089,2615.724,3883.198,0.617,0.523,0.575,0.538,0.445,0.518,18830,16559,0.6935,0.6503,0.5991,1.0000,0.0378,0.0461,0.5098,0.8560,0.9446,0.1805,0.0255,0.0206,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,6289,0.9988,0.6631,0.7424,0.9990,0.0378,0.0461,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0773,4.8867,4.9559,0.0532,0.0710,0.0602,0.132,0.095,0.108,0.109,5225,0.1748,0.0025,0.0020,0.00193,0.00081,0.00060,25.27,26.34,26.74,387.2838,0.0650,37.4094,18.8525,7.7203,1044987,1526405,1.0925,0.0395,2537.5,387.2838,26.00,0,0,0,0,0,0,8244,21232.011,19341.709,0.9603,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.37e-14,30919.2,4.6836,8.3133,134.710,337.217,189.787,144.473,11029.4
3000,11670,3279,78730,152775,133608,72475,1570,32967,328,0,394399,3880068,52728.621,40334.079,1.0723,13901.683,0.106,0.685,0.125,0.084,0.541,0.319,842,0.1071,0.6656,0.065,14.0,39.1,72.5,32.09,3.21,8.89,0.69,19.30,6.99,1.282,0.218,0.170,0.182,7.819,0.211,0.0035,95,437,967,17845,91,0,0.000,6280,81,2441,9148,500,2452,8718,0.50,8.02,21111,20.4418,60745,15624,502392,2549.0,-0.0,490723,20.618,2616370.561,4.27e-15,0.00091,14.43,52854,31.362,2.435,28.245,0.682,31.365,4979,2232,4459,0.2423,0.960,1.247,1.674,1.374,0.960,1.342,12041.911,20048.253,26174.643,12009.444,28446.217,14382.620,1715.985,10333.791,0.595,0.486,0.519,0.501,0.412,0.490,23793,27000,0.6990,0.4813,0.4396,0.9999,0.0401,0.0432,0.5898,0.9388,0.9197,0.1730,0.0244,0.0323,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,5436,0.9995,0.7775,0.8090,0.9987,0.0401,0.0432,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.9426,4.8904,4.9382,0.0474,0.0822,0.0713,0.105,0.124,0.095,0.117,4787,0.1735,0.0034,0.0024,0.00172,0.00081,0.00077,22.04,27.19,26.87,727.7552,0.1037,40.7713,10.3532,10.2643,1055490,1527718,1.6290,0.0835,3039.6,727.7552,22.38,0,0,0,0,0,0,13053,26432.396,23698.953,0.9481,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.47e-14,24675.5,5.1104,5.6480,86.800,364.236,199.494,167.148,8623.5
4000,11667,3000,65217,122150,105704,55780,1153,23608,297,0,310455,3371917,43756.850,30467.718,1.0533,10030.676,0.080,0.768,0.080,0.072,0.527,0.342,206,0.0862,0.6610,0.061,16.0,42.6,69.2,33.35,3.77,8.62,0.46,20.51,6.86,1.288,0.206,0.225,0.239,7.626,0.173,0.0031,93,417,715,11510,83,0,0.000,5872,31,2608,9028,699,1963,9005,1.50,7.82,24232,20.4194,60914,17903,484629,2390.9,-0.0,517580,12.816,2616370.561,1.09e-14,0.00002,37.93,43491,24.660,2.429,21.593,0.638,24.663,4578,2714,4375,0.3091,0.946,1.113,1.818,1.379,0.963,1.395,11394.462,17713.147,18587.875,11333.502,23866.148,9802.624,1597.483,9036.935,0.561,0.556,0.484,0.474,0.390,0.485,31627,24458,0.7259,0.4848,0.3880,0.9991,0.0347,0.0542,0.5534,0.8740,0.8595,0.2041,0.0466,0.0412,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,4070,0.9978,0.7888,0.7052,0.9982,0.0347,0.0542,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0759,5.0500,5.0084,0.0421,0.0634,0.0560,0.088,0.055,0.045,0.101,2120,0.0706,0.0042,0.0027,0.00191,0.00065,0.00087,26.63,26.54,27.05,765.0503,0.0922,35.5219,5.8124,7.0034,1060211,1525776,1.7610,0.1053,3422.7,765.0503,25.42,0,0,0,0,0,0,10667,20437.041,18091.398,0.9485,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.37e-14,21790.4,5.1048,4.5228,51.872,305.908,164.426,140.894,9211.3
5000,8743,2701,60737,112266,97824,50698,831,23231,176,0,290549,3247177,40703.593,29705.620,1.0930,9857.444,0.079,0.788,0.081,0.052,0.525,0.354,185,0.1008,0.6537,0.062,20.2,43.4,68.9,31.13,3.55,10.55,0.24,16.78,6.47,1.407,0.242,0.227,0.241,8.064,0.184,0.0032,94,402,688,10863,66,16,0.294,4742,58,1938,6747,289,1611,6843,4.00,11.53,27197,21.2193,61021,19390,467800,1639.7,-0.0,542106,12.097,2616370.561,9.97e-15,0.00033,12.68,40210,23.594,2.419,20.761,0.414,23.597,3808,1397,3538,0.2019,0.992,1.351,1.911,1.450,0.977,1.529,11172.956,16482.453,17037.880,11123.649,22399.507,10225.931,1536.611,8085.635,0.558,0.562,0.472,0.479,0.389,0.470,38732,24737,0.6988,0.4088,0.4152,0.9979,0.0368,0.0555,0.5568,0.9928,0.9233,0.1893,0.0337,0.0403,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,5421,0.9993,0.9103,0.7993,0.9980,0.0368,0.0555,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0565,4.8349,4.9888,0.0449,0.0339,0.0323,0.040,0.041,0.018,0.061,1112,0.0295,0.0040,0.0028,0.00226,0.00069,0.00079,26.57,26.13,26.73,977.4525,0.0910,33.8948,4.8744,7.2228,1063808,1525576,1.2548,0.0794,3563.3,977.4525,23.03,0,0,0,0,0,0,8984,19848.177,17698.547,0.9407,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,9.15e-15,20464.6,5.3048,4.0767,37.614,288.184,154.871,136.463,6061.7
6000,13946,3270,67917,143333,126819,74672,744,23958,120,0,330797,3285693,55334.343,32829.868,1.0788,10525.104,0.092,0.786,0.079,0.043,0.505,0.364,118,0.0716,0.6313,0.059,22.5,46.2,74.0,34.04,2.99,9.66,0.41,20.98,6.54,1.397,0.224,0.172,0.182,7.251,0.146,0.0032,98,410,795,11675,92,17,0.392,6766,267,2377,11302,1716,2529,9701,2.75,10.82,22180,22.8281,61142,17691,446725,4080.9,-0.0,570631,12.215,2616370.561,8.72e-15,0.00099,23.20,49196,26.944,2.421,23.471,1.052,26.948,6573,2638,4735,0.2282,0.967,1.279,1.945,1.488,0.964,1.513,13327.896,20080.011,26949.493,13264.623,25645.331,12682.353,1518.280,8104.130,0.525,0.539,0.462,0.550,0.438,0.541,42299,21188,0.6103,0.3479,0.3069,0.9994,0.0439,0.0515,0.5896,0.8573,0.8151,0.1439,0.0366,0.0325,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,6065,0.9988,0.8214,0.7013,0.9981,0.0440,0.0515,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.9842,4.8073,5.0517,0.0369,0.0558,0.0501,0.063,0.070,0.041,0.093,1349,0.0389,0.0039,0.0031,0.00215,0.00078,0.00076,22.42,27.69,27.37,1177.4975,0.1175,39.2618,5.4132,6.8021,1063834,1522282,0.6766,0.0243,3519.4,1177.4975,19.40,0,0,0,0,0,0,10034,22304.764,19850.038,0.9479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,2.03e-15,19815.3,5.7070,4.3183,29.169,417.607,227.514,182.065,14089.0
7000,9000,2503,63764,125529,105908,61234,531,26810,152,0,420597,3049989,42319.130,37381.370,1.0258,10415.516,0.073,0.839,0.044,0.044,0.466,0.385,83,0.1248,0.6164,0.065,25.7,45.3,74.0,31.39,4.37,10.10,0.40,16.52,6.17,1.493,0.229,0.273,0.284,7.055,0.163,0.0038,99,409,581,11159,74,20,0.270,4871,1067,1306,6627,1096,1706,6198,5.25,12.91,21800,20.9929,61310,19655,423382,1872.2,-0.0,603646,12.525,2616370.561,4.45e-15,0.00038,24.47,48095,26.367,2.419,23.375,0.572,26.370,4880,1134,2986,0.1762,0.992,1.535,1.988,1.490,0.977,1.694,8324.045,15381.279,23735.930,8295.545,20703.171,16538.046,1177.455,9250.353,0.484,0.518,0.415,0.509,0.364,0.508,46578,21258,0.5937,0.3412,0.3460,0.9998,0.0415,0.0596,0.5480,1.0250,0.8727,0.2117,0.0252,0.0368,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,4174,0.9995,0.8569,0.7467,0.9987,0.0416,0.0596,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.6696,4.7037,4.8673,0.0363,0.0646,0.0524,0.059,0.044,0.034,0.099,2484,0.0616,0.0045,0.0031,0.00207,0.00065,0.00069,26.98,26.03,27.04,1243.7217,0.1469,29.3024,6.9376,5.5876,1068088,1523510,0.5433,0.0121,3421.9,1243.7217,21.78,0,0,0,0,0,0,13832,26965.854,23864.719,0.9369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,2.28e-14,18457.0,5.2482,4.3480,32.674,322.094,179.576,150.013,6593.9
8000,9054,2556,55073,96263,82225,40636,554,20289,161,0,279171,2794470,37380.155,25729.714,1.0673,7106.945,0.063,0.854,0.035,0.047,0.481,0.385,100,0.1008,0.6271,0.050,23.0,42.0,74.0,31.25,3.92,9.08,0.44,17.81,6.26,1.476,0.215,0.224,0.231,7.299,0.172,0.0033,96,417,489,10540,43,21,0.359,4642,656,1046,7352,1584,1220,6250,4.00,11.30,24633,21.9227,61313,19819,405689,1911.3,-0.0,627160,11.452,2616370.561,2.49e-15,0.00403,7.77,35896,21.930,2.429,18.917,0.584,21.933,4180,1537,3337,0.2031,0.985,1.443,1.993,1.529,0.965,1.645,9119.602,13694.728,17963.904,9046.565,17476.631,10615.485,1139.556,6867.727,0.493,0.548,0.427,0.422,0.364,0.454,52517,19890,0.6632,0.2699,0.3208,0.9998,0.0446,0.0607,0.5469,0.9320,0.9139,0.2234,0.0177,0.0376,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,2161,0.9995,0.8320,0.8252,0.9991,0.0446,0.0607,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.5268,4.6438,4.4871,0.0400,0.0620,0.0539,0.065,0.040,0.031,0.123,2593,0.0941,0.0053,0.0037,0.00183,0.00049,0.00053,23.01,27.05,27.21,1082.0345,0.1010,26.8600,6.1771,5.2752,1070725,1521401,0.9757,0.0884,3510.3,1082.0345,16.84,0,0,0,0,0,0,9925,18622.769,16418.159,0.9449,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,3.39e-15,17716.2,5.4807,3.9123,33.832,272.865,148.742,122.899,7817.8
9000,7829,2505,51993,85993,71663,33611,389,18225,131,0,272371,2366887,33546.837,22696.658,1.0103,5498.686,0.064,0.852,0.035,0.050,0.447,0.408,115,0.1144,0.6320,0.048,22.8,43.4,79.8,30.26,4.57,8.74,0.39,16.56,6.18,1.516,0.203,0.268,0.278,7.882,0.181,0.0033,86,393,436,8189,19,18,0.385,4257,45,1556,6228,424,1543,5862,4.00,11.51,28620,23.5299,61371,20224,391995,1401.2,0.0,641419,10.450,2616370.561,1.85e-14,0.00475,30.68,37149,21.685,2.431,18.694,0.560,21.688,3967,1201,2661,0.1944,0.994,1.570,1.998,1.543,0.968,1.724,7577.956,12812.284,15915.318,7519.519,15610.686,9087.401,1287.937,6822.634,0.474,0.517,0.380,0.405,0.328,0.408,55921,19000,0.6658,0.2545,0.3080,0.9998,0.0411,0.0531,0.5102,0.9747,0.9248,0.2483,0.0201,0.0250,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,1526,0.9989,0.8240,0.8284,0.9986,0.0411,0.0531,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.6095,4.8113,4.6016,0.0430,0.0648,0.0542,0.039,0.040,0.020,0.115,2827,0.1173,0.0049,0.0046,0.00171,0.00060,0.00080,24.39,26.57,27.63,1307.6344,0.0929,23.4216,5.5127,4.9378,1071706,1521008,1.7825,0.1582,3380.5,1307.6344,18.95,0,0,0,0,0,0,11509,17197.972,14952.365,0.9436,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,5.42e-15,17792.0,5.8825,3.7460,29.989,247.182,133.679,115.429,5892.3
10000,10181,3126,52151,92134,78623,39514,469,16303,107,0,229510,2639349,37640.038,21671.968,1.0732,6277.374,0.059,0.845,0.044,0.052,0.488,0.391,106,0.0750,0.6297,0.051,23.0,41.9,77.7,29.81,4.43,8.98,0.36,16.03,6.01,1.539,0.210,0.277,0.287,8.379,0.164,0.0029,86,401,465,6574,28,25,0.320,5246,98,2236,7847,415,2108,7658,3.25,9.80,31299,24.9289,61492,20793,382784,1980.5,0.0,650296,9.766,2616370.561,2.67e-15,0.00053,11.37,37331,22.743,2.427,19.422,0.894,22.746,4832,1310,4039,0.1651,0.996,1.633,1.999,1.500,0.970,1.771,8212.913,14745.730,17269.696,8161.807,18485.908,7663.546,1154.468,6576.579,0.529,0.502,0.439,0.447,0.337,0.454,58436,20336,0.7019,0.1508,0.3378,0.9997,0.0412,0.0468,0.4944,0.9573,0.9407,0.2434,0.0291,0.0294,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,1382,0.9996,0.7415,0.8477,0.9984,0.0412,0.0468,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.9041,4.6857,4.9059,0.0417,0.0574,0.0514,0.047,0.028,0.022,0.115,1923,0.0848,0.0029,0.0020,0.00195,0.00058,0.00075,25.87,25.94,27.34,1477.5541,0.0728,26.9303,5.1630,4.6034,1071654,1518991,2.1963,0.1656,3137.7,1477.5541,19.36,0,0,0,0,0,0,9748,15394.594,13416.010,0.9431,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,9.82e-15,17842.6,6.2322,3.7299,36.257,276.575,150.783,124.693,6991.8
