step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land,inv1,inv1_land,inv1_grown,inv2,inv2_land,inv2_grown,deaths_wound,kill_intake,flesh_intake,blocks_kept,water_drunk,water_air,water_sweat,water_dead,water_born,water_spill,born_dry,water_bodies,water_err,seed,seed_set,sprouted,seed_intake,fiber_in,fermented,dung,fiber_bodies
1000,12623,9219,100411,507806,481517,403493,3902,43563,128,0,197549,3204894,191280.732,65539.091,1.0508,52565.584,0.237,0.252,0.280,0.232,0.609,0.344,236,0.0237,0.6217,0.099,23.5,53.0,97.1,51.31,5.06,5.98,2.73,37.54,7.96,1.064,0.108,0.117,0.118,26.003,0.325,0.0023,143,441,1773,5067,60,0,0.000,5923,3934,3312,5377,1527,4167,6929,0.00,0.53,17712,31.1390,60497,11063,561908,3807.2,-0.0,382191,43.210,2616443.536,1.64e-14,0.00017,30.00,154069,76.532,2.467,73.185,0.879,76.535,9853,599,2171,0.3731,0.854,1.052,1.292,1.054,0.921,1.149,36343.794,19366.670,166540.075,36938.221,40368.021,7658.590,3178.308,2136.609,0.674,0.558,0.502,0.863,0.693,0.647,9473,36590,0.7086,0.6333,0.5802,0.9999,0.0564,0.0479,0.5074,0.7097,0.8004,0.1100,0.0629,0.0358,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,20185,0.9999,0.6872,0.6562,0.9993,0.0564,0.0479,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1702,5.2131,5.1479,0.1018,0.2294,0.1862,0.371,0.383,0.479,0.315,8142,0.1335,0.0101,0.0125,0.00227,0.00166,0.00146,23.15,27.27,28.08,58.1036,0.0237,76.5413,24.3113,18.8990,1017543,1531309,0.4588,0.0050,1566.6,58.1036,21.62,0,0,0,0,0,0,3444,12973.507,12036.866,0.9824,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,7.23e-15,44183.4,7.7848,12.2646,67.498,1590.359,977.602,604.714,8043.2
2000,15124,4409,52562,116726,106698,63489,675,19308,51,0,225299,2142075,49710.191,32051.791,1.3929,12438.532,0.178,0.445,0.200,0.178,0.579,0.316,249,0.0312,0.6014,0.073,16.6,44.5,86.3,40.18,3.95,8.35,1.33,26.54,7.65,1.135,0.186,0.208,0.212,10.940,0.199,0.0025,120,1030,1152,7403,53,0,0.000,7340,2379,4720,8025,1474,2535,11115,0.00,3.30,21372,19.1575,60677,15118,531239,3951.6,-0.0,447279,23.416,2616443.536,2.49e-15,0.00132,25.34,37267,29.170,2.519,25.732,0.920,29.174,6417,2601,6106,0.2657,0.920,1.093,1.430,1.182,0.938,1.169,12496.630,15134.129,27664.169,12515.753,21968.801,15120.342,1663.991,2828.926,0.592,0.561,0.567,0.549,0.482,0.586,22085,16658,0.6843,0.5166,0.4922,0.9998,0.0572,0.0617,0.5224,0.8559,0.8421,0.1688,0.0317,0.0276,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,5570,0.9992,0.6542,0.6723,0.9993,0.0572,0.0617,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2145,5.1334,5.2342,0.0525,0.1495,0.1135,0.211,0.192,0.247,0.153,4120,0.1520,0.0029,0.0020,0.00188,0.00072,0.00052,24.37,26.38,26.29,286.9831,0.0623,34.5772,17.7875,5.6284,1042680,1526642,1.0346,0.0383,2627.7,286.9831,26.00,0,0,0,0,0,0,4354,19613.259,18160.227,0.9635,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.37e-14,32701.0,4.7894,8.4757,117.991,322.225,184.142,134.595,11531.1
3000,10727,3287,70630,135313,120463,63960,723,28722,167,0,364812,3173217,52046.492,39024.360,1.1149,13603.601,0.113,0.618,0.128,0.141,0.543,0.324,248,0.0866,0.6378,0.061,16.2,42.9,87.2,34.84,4.15,10.08,0.71,19.90,7.25,1.276,0.234,0.256,0.263,9.244,0.178,0.0033,102,440,934,15059,36,0,0.000,6076,145,2304,8278,508,2331,7888,0.50,6.69,21959,20.7228,60729,17942,507671,2358.0,-0.0,487956,20.590,2616443.536,8.90e-16,0.00029,14.43,46382,29.909,2.463,26.899,0.547,29.912,4941,1719,4067,0.1848,0.957,1.277,1.610,1.368,0.928,1.311,10243.720,19234.233,27673.894,10223.359,27752.841,16305.476,1991.098,7124.186,0.579,0.525,0.503,0.467,0.418,0.506,28369,23734,0.7459,0.4140,0.3999,0.9998,0.0442,0.0517,0.5531,0.8913,0.8746,0.2039,0.0332,0.0351,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,6211,0.9987,0.6839,0.7210,0.9985,0.0442,0.0517,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.3123,5.2673,5.4555,0.0424,0.0894,0.0740,0.102,0.119,0.136,0.102,5315,0.2188,0.0038,0.0026,0.00173,0.00074,0.00064,20.88,26.74,26.73,635.7215,0.1006,38.2342,11.5473,9.0431,1054277,1528030,1.5295,0.0798,3188.8,635.7215,22.38,0,0,0,0,0,0,10878,25420.759,22946.942,0.9461,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.47e-14,25155.1,5.1807,5.8160,105.938,356.139,198.013,162.026,7630.5
4000,10410,3055,67159,126755,112704,58975,621,24043,191,0,272521,3151878,48456.012,29943.829,1.1615,10159.677,0.069,0.686,0.140,0.106,0.534,0.336,372,0.0881,0.6637,0.066,14.3,40.0,84.1,31.95,4.02,8.51,0.83,18.59,7.40,1.318,0.215,0.266,0.272,8.290,0.208,0.0031,91,404,826,13390,119,0,0.000,5970,79,2294,8037,262,2129,8019,1.75,8.08,25490,22.1868,60887,16025,487396,3043.1,0.0,513431,14.159,2616443.536,1.62e-14,0.00086,37.93,45390,25.877,2.452,22.866,0.559,25.880,4608,1792,4010,0.1958,0.977,1.321,1.697,1.428,0.948,1.357,13852.707,19602.520,18560.238,13816.828,26238.624,10680.575,2217.171,6886.406,0.568,0.544,0.489,0.422,0.456,0.504,33326,25559,0.7616,0.3434,0.3155,0.9987,0.0351,0.0512,0.5656,0.8839,0.8750,0.2225,0.0178,0.0505,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,5337,0.9992,0.7564,0.7863,0.9979,0.0351,0.0512,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4149,5.5008,5.3298,0.0414,0.0891,0.0713,0.101,0.154,0.106,0.152,2915,0.1018,0.0037,0.0023,0.00185,0.00067,0.00072,27.06,26.20,26.73,789.2836,0.0829,40.3316,5.9009,8.2582,1058665,1526982,1.6686,0.0995,3519.0,789.2836,25.42,0,0,0,0,0,0,9431,19784.152,17655.527,0.9439,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.37e-14,22850.2,5.5467,4.6806,47.008,339.116,182.114,156.933,7699.2
5000,10317,2758,61405,98909,85170,36935,569,22994,443,0,255043,2939257,36841.289,24498.576,1.0732,7390.953,0.063,0.745,0.094,0.098,0.509,0.357,360,0.0894,0.6818,0.051,13.5,38.2,82.7,32.10,3.18,8.09,0.92,19.91,7.69,1.353,0.204,0.218,0.225,8.107,0.190,0.0033,88,391,728,11541,126,13,0.202,5598,105,1967,8245,301,1832,8184,2.00,9.09,29217,23.4921,60995,19720,472024,2076.5,-0.0,534649,12.165,2616443.536,1.73e-14,0.00030,12.68,35858,22.344,2.452,19.354,0.538,22.346,4316,1810,4191,0.1982,0.969,1.330,1.849,1.493,0.933,1.390,8914.398,14876.036,15864.687,8892.008,19475.547,10268.152,1326.243,5513.228,0.534,0.530,0.468,0.326,0.382,0.414,41042,17187,0.6567,0.3229,0.3719,0.9993,0.0411,0.0535,0.5788,0.8798,0.8877,0.1789,0.0184,0.0365,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,4384,0.9991,0.8004,0.7970,0.9975,0.0412,0.0536,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.6767,5.5938,5.5304,0.0418,0.0987,0.0817,0.114,0.126,0.107,0.163,2719,0.0780,0.0038,0.0028,0.00240,0.00045,0.00062,25.99,27.47,27.47,749.1513,0.0859,28.5970,5.5555,6.6090,1060657,1525553,1.1871,0.0730,3844.6,749.1513,23.03,0,0,0,0,0,0,13771,17107.623,14822.479,0.9499,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,9.15e-15,22311.5,5.8730,4.5068,26.889,270.952,147.539,122.385,8727.2
6000,13383,3011,79582,138620,122592,57851,1187,25884,416,0,332043,3713829,48186.181,32273.903,1.0500,10483.220,0.053,0.776,0.103,0.068,0.524,0.352,358,0.0752,0.6774,0.050,13.7,35.4,76.6,26.80,2.71,8.59,0.63,14.87,8.70,1.513,0.226,0.213,0.219,6.590,0.184,0.0032,76,356,739,13763,95,15,0.184,7397,321,2547,10515,865,2867,9651,2.75,9.40,29264,25.3748,61115,19906,452238,2239.8,-0.0,558464,12.551,2616443.536,1.60e-15,0.00034,23.20,51375,29.625,2.455,26.230,0.940,29.628,6808,1726,4849,0.1406,0.998,1.542,1.963,1.622,0.966,1.554,10892.491,19591.745,21580.778,10882.745,26205.878,12719.947,1492.541,7578.195,0.536,0.549,0.501,0.386,0.404,0.454,45201,26401,0.6259,0.3151,0.2946,0.9999,0.0369,0.0484,0.6726,0.9550,0.9933,0.1553,0.0173,0.0418,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,4671,0.9997,0.8056,0.8455,0.9980,0.0370,0.0484,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,6.3656,5.7147,6.1408,0.0325,0.0850,0.0699,0.082,0.117,0.095,0.118,2206,0.0548,0.0045,0.0032,0.00245,0.00063,0.00075,20.91,26.66,27.05,807.2104,0.0923,37.3937,5.6102,6.9407,1061067,1524664,0.6408,0.0222,4073.9,807.2104,19.40,0,0,0,0,0,0,16938,21790.683,18843.750,0.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,2.03e-15,22091.3,6.3437,4.8628,23.345,364.949,195.770,168.673,9233.7
7000,10872,2715,72511,116696,99773,43435,750,25090,474,0,343684,3643627,41455.063,31295.114,1.0823,8048.042,0.049,0.803,0.087,0.061,0.516,0.358,397,0.0931,0.6747,0.044,13.4,44.6,86.9,31.20,3.83,9.06,0.42,17.89,8.16,1.445,0.211,0.281,0.285,7.264,0.174,0.0032,80,384,563,14228,36,13,0.117,6147,975,1638,8259,1864,2064,6944,2.00,10.13,26864,25.2723,61282,22259,436848,2201.8,-0.0,586652,13.121,2616443.536,2.14e-14,0.00007,24.47,45082,28.606,2.449,25.505,0.652,28.609,5761,1387,3724,0.1581,0.994,1.406,1.968,1.465,0.968,1.592,6260.553,13060.102,26819.360,6203.361,16480.384,14838.691,1068.663,7339.719,0.531,0.471,0.513,0.418,0.316,0.332,53811,24139,0.5158,0.3818,0.2871,0.9999,0.0452,0.0467,0.5852,0.9519,0.9501,0.1734,0.0359,0.0365,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,2559,0.9996,0.8130,0.8693,0.9987,0.0452,0.0467,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.9445,5.8855,6.6168,0.0332,0.0493,0.0440,0.056,0.094,0.105,0.069,3551,0.0997,0.0056,0.0043,0.00227,0.00053,0.00051,26.44,27.01,26.57,921.4009,0.1139,22.9224,7.5417,5.5789,1063520,1524268,0.5168,0.0113,4138.7,921.4009,21.78,0,0,0,0,0,0,19209,23247.073,20028.480,0.9457,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,2.28e-14,20663.1,6.3181,4.9486,40.822,322.529,177.784,144.497,9482.0
8000,12765,3170,82581,149380,130623,65156,1643,25274,517,0,307807,3881874,53235.830,32671.674,1.1317,10900.433,0.053,0.787,0.094,0.066,0.521,0.359,443,0.0796,0.6801,0.062,11.8,36.1,88.6,30.91,3.06,7.88,0.97,19.00,8.33,1.428,0.197,0.203,0.205,7.306,0.190,0.0030,74,353,547,17585,50,20,0.163,7073,1222,1189,10354,1570,1467,9728,1.75,9.61,27817,25.0494,61290,17502,415095,3141.9,-0.0,609610,13.540,2616443.536,1.46e-14,0.00112,7.77,58265,33.241,2.455,29.744,1.042,33.244,5639,2193,4933,0.1970,0.971,1.315,1.994,1.542,0.948,1.512,12659.346,21509.510,23583.078,12558.935,27994.249,12248.406,1508.707,8014.128,0.557,0.512,0.495,0.464,0.396,0.446,52337,32962,0.6280,0.3083,0.2571,0.9999,0.0272,0.0402,0.5995,0.9618,0.9302,0.1770,0.0185,0.0195,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,3973,0.9997,0.8330,0.8480,0.9981,0.0272,0.0402,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,6.2609,5.7575,6.5556,0.0357,0.0986,0.0870,0.157,0.168,0.151,0.162,2915,0.1079,0.0032,0.0041,0.00189,0.00085,0.00061,23.15,28.28,27.66,992.0466,0.0927,40.9230,6.6273,6.9131,1066773,1521503,0.8832,0.0810,4131.2,992.0466,16.84,0,0,0,0,0,0,15047,21771.241,18973.577,0.9456,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,3.39e-15,18939.8,6.2623,4.4975,52.231,384.545,206.955,176.076,10996.7
9000,9173,2606,72001,124640,107113,51045,1594,22947,650,0,278741,3377769,44412.889,28927.254,1.1332,9184.666,0.050,0.807,0.083,0.061,0.502,0.374,277,0.1032,0.6878,0.060,12.0,41.3,87.8,31.05,3.97,9.06,0.55,17.46,8.01,1.429,0.217,0.269,0.272,7.690,0.201,0.0031,72,356,505,17540,45,22,0.180,5390,71,1571,7531,349,1821,7003,2.50,9.87,26433,23.1337,61389,17933,397652,1982.6,-0.0,629362,13.234,2616443.536,4.27e-15,0.00002,30.68,50835,28.744,2.453,25.723,0.569,28.747,4294,1573,3306,0.2022,0.984,1.341,1.996,1.467,0.971,1.598,8074.276,17205.763,23183.392,8011.600,22402.563,12827.599,1152.755,5762.235,0.523,0.514,0.468,0.387,0.328,0.470,49837,28947,0.6273,0.3244,0.2862,0.9999,0.0303,0.0474,0.5569,1.0348,0.9449,0.1985,0.0302,0.0263,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,2781,0.9986,0.8067,0.8469,0.9977,0.0303,0.0474,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,6.0203,6.0062,6.7757,0.0353,0.0556,0.0495,0.087,0.131,0.139,0.068,4996,0.1585,0.0036,0.0031,0.00217,0.00068,0.00094,25.07,27.37,27.37,1340.1858,0.0894,30.6899,7.6167,5.6173,1070088,1521816,1.5974,0.1440,3812.2,1340.1858,18.95,0,0,0,0,0,0,15272,19742.588,17091.767,0.9426,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,5.42e-15,17711.2,5.7834,4.0756,43.737,333.836,178.940,158.256,7635.5
10000,9415,2638,59171,99803,84956,39748,884,19723,379,0,236783,2942110,38662.586,23311.788,1.1357,6504.723,0.050,0.822,0.072,0.056,0.503,0.369,259,0.0919,0.6758,0.057,12.2,40.0,84.1,30.91,4.06,8.28,0.55,18.02,7.97,1.399,0.210,0.263,0.267,7.494,0.200,0.0031,78,372,494,13915,42,22,0.167,5531,21,1754,7640,261,1497,7657,3.25,9.97,30027,23.5710,61507,17064,382968,2276.8,-0.0,642771,10.626,2616443.536,7.12e-16,0.00170,11.37,41068,25.015,2.469,21.909,0.636,25.018,3947,1683,3785,0.2121,0.983,1.270,1.996,1.412,0.962,1.580,9741.019,15416.882,16421.815,9637.790,19107.703,9643.840,1684.403,5478.822,0.564,0.491,0.451,0.428,0.359,0.406,49734,23970,0.6728,0.3805,0.2734,0.9998,0.0317,0.0451,0.5428,0.9254,0.8968,0.2265,0.0333,0.0312,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,2438,0.9992,0.7824,0.8324,0.9984,0.0317,0.0451,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.8789,5.9943,6.7593,0.0350,0.0730,0.0640,0.064,0.153,0.135,0.102,2207,0.0946,0.0027,0.0022,0.00203,0.00083,0.00094,26.71,27.45,27.49,1493.5450,0.0702,29.0839,5.3353,5.2908,1071968,1520200,1.9948,0.1502,3427.3,1493.5450,19.36,0,0,0,0,0,0,10212,16807.065,14849.397,0.9474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,9.82e-15,17433.5,5.8927,3.7500,35.742,278.292,150.126,128.143,7658.7
