step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain,seed,sprouted
2000,-20,0,2071,459.7683,336.62,39.37,15.99,122,27.96,10.363,5.189,0.3816,256.788,555.75,160.0951
2000,-20,1,2377,750.2041,645.87,1018.78,23.80,248,27.60,10.305,5.452,0.5377,347.736,957.61,361.3954
2000,-20,2,3771,1199.1288,933.53,10287.22,31.46,583,27.38,10.256,5.606,0.8415,510.354,904.75,560.6860
2000,-10,0,1836,488.8309,602.45,25.47,24.29,29,34.47,14.485,3.778,0.3182,389.136,861.81,147.4665
2000,-10,1,2061,930.2496,872.71,907.12,26.06,83,34.36,14.538,3.866,0.4435,573.247,922.26,294.4381
2000,-10,2,4327,1351.7599,1092.71,14461.69,40.72,628,32.25,13.420,4.592,0.8074,797.622,952.40,570.3689
2000,0,0,1805,405.1405,563.44,24.46,26.00,6,38.80,17.340,2.903,0.2190,430.387,952.77,117.7938
2000,0,1,1793,866.8738,1059.21,898.72,30.37,32,38.59,17.326,2.992,0.3754,750.081,1024.51,250.4697
2000,0,2,4769,1739.6580,1736.99,13733.08,44.52,483,35.91,15.882,3.884,0.6751,981.176,1365.60,611.3779
2000,10,0,3208,623.6765,827.41,60.30,25.60,17,40.16,18.272,2.655,0.2032,470.821,1677.91,210.3210
2000,10,1,2721,1052.2479,1408.02,1351.26,33.67,19,39.65,18.092,2.857,0.3543,783.566,1434.73,332.8904
2000,10,2,3516,1033.2616,887.11,8335.84,59.07,380,35.73,16.079,4.208,0.6160,894.704,890.73,414.3294
2000,20,0,4537,580.8991,709.24,63.51,34.10,41,38.05,17.036,3.268,0.1690,308.173,1569.62,211.1946
2000,20,1,2923,810.2063,924.40,1378.89,47.21,110,37.78,16.979,3.411,0.3584,625.788,1292.33,332.7504
2000,20,2,985,243.6247,194.93,1604.64,66.65,112,35.17,15.620,4.248,0.5482,735.865,281.34,124.9434
2000,30,0,6692,834.5316,914.45,87.68,42.79,97,35.04,14.951,3.834,0.1896,252.598,1971.53,320.9417
2000,30,1,2359,601.1313,697.51,988.52,43.16,47,37.25,16.045,3.025,0.3636,524.945,954.99,252.6481
2000,30,2,223,61.6246,59.31,244.94,19.21,10,35.18,14.618,3.403,0.5449,628.842,64.68,27.2806
2000,40,0,6669,696.6184,620.67,60.02,44.24,205,31.11,12.079,4.419,0.1952,164.611,1321.33,297.9249
2000,40,1,1278,347.7553,235.22,504.31,27.20,158,33.91,13.263,3.226,0.5243,458.677,421.46,169.1233
2000,40,2,223,59.7483,49.68,263.28,16.82,40,33.27,13.114,3.563,0.6623,587.952,55.65,30.2088
2000,50,0,5132,291.6208,250.45,13.08,41.77,65,24.99,8.038,5.644,0.1461,61.269,469.67,100.5334
2000,50,1,573,253.4311,176.41,142.83,18.66,87,29.84,10.179,3.702,0.7086,360.496,154.51,82.5191
2000,50,2,11,7.0150,2.65,13.73,26.53,8,28.47,9.094,3.678,0.9209,429.064,2.58,1.7767
2000,60,0,3853,110.2636,123.78,0.76,34.55,7,18.77,3.947,6.704,0.0913,14.815,167.68,27.6581
2000,60,1,2,2.3241,1.37,0.33,35.46,0,21.43,4.747,5.302,0.9202,167.863,0.67,0.3923
2000,70,0,4656,62.7554,74.29,0.10,26.53,0,15.11,1.227,6.292,0.0639,2.573,100.64,18.5308
2000,80,0,3564,13.7299,18.23,0.04,26.15,0,15.33,0.201,3.831,0.0540,0.033,38.17,6.6768
3000,-60,0,5356,0.9562,53.01,92.25,-15.88,10,-15.20,0.000,30.200,0.5392,5.360,389.05,0.6809
3000,-60,1,2376,0.1766,68.82,573.27,-18.05,7,-17.45,0.000,32.452,0.9640,5.559,362.97,0.1657
3000,-60,2,2,0.0023,0.01,2.18,-14.98,0,-5.04,0.000,20.042,0.9997,24.251,0.07,0.0038
3000,-50,0,7160,117.0726,199.46,94.17,-3.39,60,-5.12,0.000,20.533,0.4316,12.265,620.81,45.2963
3000,-50,1,1534,65.2113,112.69,466.31,-21.03,15,-6.08,0.000,21.425,0.7981,19.821,166.94,22.1195
3000,-50,2,4,0.0747,0.12,6.23,-10.77,0,0.12,0.000,15.318,0.9771,36.415,1.10,0.1882
3000,-40,0,6209,323.5340,260.32,62.39,6.14,227,6.21,0.682,12.907,0.3898,33.691,614.99,130.8096
3000,-40,1,1868,221.2782,144.46,677.57,-9.75,100,5.08,0.615,13.790,0.7150,56.610,209.56,89.5032
3000,-40,2,4,0.3229,0.04,4.88,11.25,0,12.62,1.396,8.240,0.9917,193.916,0.38,0.3134
3000,-30,0,4609,659.7104,419.38,98.00,9.31,409,15.68,3.910,8.867,0.4563,96.804,755.90,222.8860
3000,-30,1,3051,740.8205,497.08,1355.80,5.75,398,15.20,3.924,9.309,0.6422,131.326,622.00,275.0559
3000,-30,2,517,136.7964,66.56,719.59,0.69,87,17.83,4.935,8.159,0.8720,226.735,83.24,50.5220
3000,-20,0,2069,481.0471,345.27,39.38,16.48,161,24.01,8.195,6.306,0.4149,191.992,426.94,112.6617
3000,-20,1,2366,594.7461,322.51,1013.08,17.93,341,23.66,8.076,6.487,0.5830,261.368,516.52,241.6956
3000,-20,2,3784,1318.7190,959.84,10340.98,7.04,567,23.13,7.931,6.776,0.9028,393.660,566.59,360.9697
3000,-10,0,1835,663.6812,806.38,25.33,13.25,58,31.44,12.672,4.447,0.3420,339.541,841.01,146.4124
3000,-10,1,2052,861.8551,758.94,902.24,31.12,177,32.08,12.992,4.289,0.4759,486.063,701.15,223.2531
3000,-10,2,4337,1474.4801,851.16,14529.99,10.94,694,29.22,11.567,5.253,0.8630,695.820,694.80,411.4859
3000,0,0,1811,558.8859,777.27,24.81,23.11,21,37.32,16.441,3.167,0.2293,420.656,964.86,123.6400
3000,0,1,1791,953.3714,1123.12,900.94,37.57,62,37.99,16.835,3.059,0.3827,701.671,969.20,242.1323
3000,0,2,4765,1970.6743,1659.03,13761.82,17.18,605,34.44,14.913,4.123,0.6964,947.980,1097.34,485.6158
3000,10,0,3212,787.9093,1102.35,59.90,38.05,21,40.78,18.783,2.550,0.1729,440.395,1688.41,178.4658
3000,10,1,2752,1300.9009,1661.20,1374.30,36.29,16,40.56,18.714,2.685,0.3169,764.975,1449.69,293.6264
3000,10,2,3481,1138.9975,1104.31,8303.28,9.60,156,35.51,15.858,4.132,0.5874,945.372,714.38,253.0693
3000,20,0,4551,807.9692,1140.56,64.04,29.58,37,40.06,18.467,2.875,0.1289,310.453,1605.14,163.1760
3000,20,1,2923,1177.3248,1528.46,1377.98,22.67,18,39.76,18.297,2.964,0.3081,711.258,1300.22,245.6177
3000,20,2,971,249.8906,240.52,1586.13,18.86,10,36.76,16.548,3.802,0.4673,803.161,234.44,68.0137
3000,30,0,6706,1074.1456,1430.60,87.66,22.92,81,38.66,17.331,3.033,0.1408,292.450,1999.56,227.8873
3000,30,1,2347,823.9282,1124.62,979.34,35.30,32,41.23,18.748,2.271,0.2750,611.805,964.37,169.6576
3000,30,2,221,92.0598,100.51,243.15,36.92,1,39.25,17.373,2.610,0.4425,813.572,64.68,18.8792
3000,40,0,6678,795.4501,1050.30,59.98,18.96,43,36.45,15.409,3.136,0.1371,209.560,1301.47,190.6711
3000,40,1,1269,417.4667,412.47,506.97,41.33,71,39.58,16.986,2.111,0.3998,621.606,392.34,108.4359
3000,40,2,223,66.3100,64.89,266.23,41.77,8,38.34,16.435,2.528,0.5505,813.970,47.92,18.7745
3000,50,0,5128,273.6313,343.38,12.72,12.37,20,31.96,11.949,3.647,0.1006,88.177,465.35,60.2644
3000,50,1,577,309.1603,263.11,147.26,37.17,47,36.75,14.451,2.160,0.5784,575.612,153.61,63.1424
3000,50,2,11,3.8578,2.15,14.26,40.85,2,34.40,12.649,2.345,0.8754,666.790,2.06,1.4109
3000,60,0,3853,102.7489,165.91,0.76,12.87,2,28.19,8.396,3.506,0.0598,24.032,172.13,20.0169
3000,60,1,2,3.1195,3.68,0.34,1.61,0,27.47,7.910,3.407,0.8878,312.177,0.94,0.4798
3000,70,0,4656,88.4265,126.54,0.10,24.33,3,29.38,6.019,1.140,0.0303,3.781,105.00,16.9078
3000,80,0,3564,42.6452,50.29,0.03,32.21,0,31.98,4.100,0.008,0.0216,0.008,40.50,7.9288
4000,-60,0,5423,0.5994,32.28,94.31,-7.67,1,-14.97,0.000,29.966,0.5455,4.710,380.77,0.5665
4000,-60,1,2310,0.1440,40.75,539.77,-9.61,1,-17.28,0.000,32.275,0.9660,4.936,346.56,0.1888
4000,-60,2,1,0.0036,0.01,1.11,6.36,0,-4.42,0.000,19.416,0.9997,23.480,0.07,0.0038
4000,-50,0,7189,114.2329,207.23,93.36,3.21,41,-4.80,0.000,20.240,0.4366,11.093,577.21,32.7542
4000,-50,1,1505,74.3006,131.05,447.58,15.98,13,-5.47,0.000,20.855,0.7968,17.769,156.16,15.5689
4000,-50,2,4,0.2160,0.37,6.03,12.12,0,0.40,0.000,15.037,0.9853,31.408,0.98,0.1683
4000,-40,0,6218,317.9939,318.86,62.17,17.34,146,6.65,0.722,12.632,0.3966,31.498,437.88,71.8616
4000,-40,1,1859,246.7279,213.07,670.77,28.90,98,5.72,0.661,13.370,0.7159,52.150,155.28,46.7260
4000,-40,2,4,0.7711,0.46,4.88,22.16,1,12.45,1.436,8.427,0.9999,179.028,0.25,0.1423
4000,-30,0,4606,663.4320,440.88,97.43,30.24,376,16.18,4.045,8.669,0.4729,94.348,482.13,143.8723
4000,-30,1,3042,686.2634,434.98,1349.59,34.28,380,15.73,4.072,9.084,0.6637,128.761,342.91,154.8093
4000,-30,2,529,142.9842,88.77,740.63,42.77,57,18.62,5.214,7.854,0.9062,219.360,41.67,27.7162
4000,-20,0,2069,415.7966,276.22,39.54,40.05,191,24.79,8.521,6.063,0.4066,178.858,260.66,82.5971
4000,-20,1,2347,486.6931,287.01,1002.33,40.51,301,23.95,8.193,6.405,0.5770,248.880,262.37,125.3881
4000,-20,2,3803,1262.3349,692.26,10431.12,45.27,689,23.78,8.248,6.626,0.9129,379.647,366.63,242.5792
4000,-10,0,1835,602.1954,759.39,25.29,59.42,165,32.71,13.377,4.196,0.3307,312.816,737.53,136.3501
4000,-10,1,2041,599.0798,344.66,894.47,45.06,163,32.22,13.045,4.242,0.4609,464.421,461.87,163.9769
4000,-10,2,4348,1420.7687,757.68,14637.37,51.12,819,29.82,11.932,5.174,0.8696,677.434,483.00,312.8405
4000,0,0,1811,587.4387,979.57,24.55,62.74,18,38.70,17.326,2.980,0.2210,390.971,977.96,122.9956
4000,0,1,1800,871.1675,1164.79,906.80,45.13,14,38.06,16.830,3.006,0.3698,676.481,940.48,224.6806
4000,0,2,4756,1846.7721,1456.57,13814.50,55.06,609,35.01,15.306,4.071,0.6942,911.870,948.53,394.9854
4000,10,0,3221,727.2551,1272.42,59.80,54.26,9,41.90,19.544,2.418,0.1520,386.772,1692.16,160.2230
4000,10,1,2777,1233.9346,1894.35,1392.29,46.96,4,40.80,18.797,2.611,0.2906,708.404,1452.00,271.9505
4000,10,2,3447,1417.9455,1349.48,8283.04,56.51,341,35.71,16.041,4.152,0.5794,899.535,680.99,217.7880
4000,20,0,4559,850.3683,1398.96,63.88,56.63,8,41.02,19.096,2.735,0.1159,280.555,1654.07,157.3076
4000,20,1,2925,1441.1368,2194.40,1374.78,54.59,11,40.20,18.601,2.926,0.3010,691.328,1385.08,256.7749
4000,20,2,961,414.9465,481.87,1570.13,42.84,38,36.32,16.357,3.969,0.4487,764.331,254.55,64.7516
4000,30,0,6718,1218.6424,1891.84,87.35,55.52,31,39.29,17.730,2.943,0.1262,261.271,2080.51,217.6040
4000,30,1,2336,1034.2133,1572.50,970.04,41.96,8,41.49,18.938,2.255,0.2736,616.482,1024.65,181.0814
4000,30,2,220,119.9803,138.45,242.37,57.95,1,40.81,18.452,2.407,0.4289,785.950,68.04,19.6371
4000,40,0,6682,992.2348,1285.36,59.70,51.08,39,36.92,15.686,3.061,0.1252,194.979,1350.18,181.4748
4000,40,1,1262,497.8937,412.49,506.99,44.51,28,40.31,17.492,2.009,0.3904,618.225,378.73,105.3299
4000,40,2,226,77.7193,40.06,272.06,51.35,3,39.73,17.350,2.343,0.5358,795.578,35.67,15.9232
4000,50,0,5125,292.9325,325.68,12.42,48.53,51,32.47,12.213,3.543,0.0884,82.012,465.25,49.6992
4000,50,1,580,269.1129,128.72,151.60,50.19,28,37.97,15.254,2.003,0.5597,563.770,137.18,62.1273
4000,50,2,11,2.1483,0.40,14.77,28.92,0,34.94,12.997,2.245,0.8672,678.220,1.42,1.1186
4000,60,0,3853,81.7861,169.26,0.76,41.02,1,28.63,8.577,3.395,0.0486,23.206,178.15,13.7415
4000,60,1,2,3.4256,5.41,0.36,54.07,0,28.69,8.388,3.080,0.8564,294.860,1.15,0.6251
4000,70,0,4656,48.4579,120.94,0.10,33.90,0,29.68,6.149,1.103,0.0156,4.520,107.54,9.1183
4000,80,0,3564,18.0897,46.42,0.03,30.58,0,32.10,4.159,0.006,0.0051,0.002,41.68,3.1903
5000,-60,0,5472,14.9073,43.64,95.06,-13.64,3,-9.07,0.000,24.141,0.5461,8.148,369.74,13.1728
5000,-60,1,2261,10.0428,38.88,510.89,-15.16,0,-11.49,0.000,26.513,0.9629,9.784,328.01,8.6051
5000,-60,2,1,0.0379,0.05,1.07,-8.70,0,-0.45,0.000,15.910,0.9960,25.865,0.07,0.0121
5000,-50,0,7208,281.8548,367.13,92.79,-7.34,33,0.85,0.135,16.125,0.4330,18.861,550.06,61.2460
5000,-50,1,1486,196.7989,244.67,437.00,-5.79,18,0.32,0.108,16.543,0.7845,30.116,161.09,30.2710
5000,-50,2,4,0.9800,1.24,5.90,-6.09,0,4.05,0.026,12.724,0.9750,36.644,0.95,0.2569
5000,-40,0,6224,456.4188,418.95,61.98,1.00,197,11.71,2.286,10.381,0.3893,51.309,354.15,64.3406
5000,-40,1,1853,374.5146,329.07,668.35,2.36,103,10.83,2.120,10.947,0.6946,82.605,149.39,44.1920
5000,-40,2,4,0.7152,0.02,4.92,17.67,1,16.19,2.870,7.088,0.9937,189.578,0.19,0.1194
5000,-30,0,4606,662.7779,432.26,97.52,11.73,334,20.47,6.166,7.246,0.4622,144.088,331.81,107.9041
5000,-30,1,3029,673.1903,467.05,1347.24,10.46,287,20.02,6.153,7.622,0.6502,196.956,233.34,100.7141
5000,-30,2,542,151.8997,95.70,764.28,9.55,74,22.45,7.193,6.644,0.8799,317.220,33.66,19.1490
5000,-20,0,2068,353.0279,305.49,39.56,14.83,84,27.63,10.227,5.298,0.3683,235.121,227.36,59.6345
5000,-20,1,2320,426.3573,247.91,982.24,21.82,180,27.36,10.178,5.514,0.5313,328.280,170.03,73.6669
5000,-20,2,3831,956.7793,606.25,10527.11,16.23,628,27.07,10.126,5.698,0.8751,519.286,251.67,156.0504
5000,-10,0,1835,485.1636,814.35,25.11,13.35,23,33.91,14.144,3.862,0.2957,362.556,651.69,92.4942
5000,-10,1,2033,629.8256,540.23,886.50,31.00,94,34.17,14.361,3.877,0.4113,525.397,358.06,108.2911
5000,-10,2,4356,1185.6890,813.93,14705.55,22.31,571,31.95,13.244,4.644,0.8232,818.548,361.68,212.7721
5000,0,0,1823,578.1833,1086.68,22.99,13.47,16,38.19,16.945,2.978,0.2084,415.578,992.43,114.5447
5000,0,1,1803,985.1705,1574.34,915.04,38.65,21,38.53,17.210,2.962,0.3457,691.914,951.63,206.3047
5000,0,2,4741,1658.7457,1546.28,13820.37,24.83,491,35.56,15.646,3.932,0.6633,956.480,821.40,314.7572
5000,10,0,3234,792.2899,1511.02,59.10,15.96,2,39.69,17.984,2.726,0.1525,364.162,1729.04,160.6120
5000,10,1,2795,1362.0659,2382.34,1405.08,37.95,3,39.57,17.987,2.833,0.2879,656.505,1495.34,272.3541
5000,10,2,3416,1412.6637,1512.63,8252.37,32.96,236,35.38,15.808,4.255,0.5746,842.640,667.61,205.2437
5000,20,0,4564,947.9396,1658.30,63.26,17.84,2,37.60,16.733,3.313,0.1309,253.977,1657.02,178.4922
5000,20,1,2927,1695.1932,2772.63,1372.94,31.70,22,37.56,16.766,3.387,0.3363,621.049,1440.05,308.1852
5000,20,2,954,553.4675,739.49,1559.02,41.80,22,35.09,15.559,4.290,0.4741,658.683,300.04,80.1328
5000,30,0,6733,1440.9859,2387.64,86.34,21.76,37,34.69,14.677,3.836,0.1471,206.894,2172.62,260.1409
5000,30,1,2318,1393.0758,2126.43,962.77,31.95,28,37.19,15.981,3.013,0.3561,551.384,1100.10,252.0885
5000,30,2,223,161.9342,228.72,246.73,-1.66,3,34.42,14.177,3.532,0.5416,671.811,81.37,26.3255
5000,40,0,6681,1247.7009,1768.37,59.32,21.05,104,30.82,11.832,4.404,0.1560,144.431,1418.97,227.1660
5000,40,1,1252,735.8128,519.10,502.07,14.41,147,33.62,13.073,3.260,0.5038,487.541,420.50,132.1265
5000,40,2,237,134.7316,106.16,286.99,-2.21,24,32.68,12.789,3.680,0.6617,635.660,51.69,18.7215
5000,50,0,5123,316.2998,422.96,12.24,12.58,45,24.64,7.787,5.653,0.1092,55.464,478.34,55.0072
5000,50,1,582,399.8568,274.44,155.70,-0.23,115,29.35,9.895,3.768,0.6790,394.675,160.05,65.1170
5000,50,2,11,3.7910,0.66,15.21,18.16,5,29.23,9.427,3.407,0.9224,469.157,1.26,0.8817
5000,60,0,3853,79.2113,172.97,0.75,4.64,0,18.42,3.766,6.742,0.0636,16.341,184.73,12.5980
5000,60,1,2,2.7707,5.93,0.37,6.62,0,22.00,4.855,4.841,0.8637,180.559,1.20,0.6121
5000,70,0,4656,29.2722,100.31,0.09,-1.63,0,14.79,1.142,6.379,0.0303,7.277,108.85,5.7210
5000,80,0,3564,3.7444,31.42,0.03,-1.84,0,15.07,0.173,3.927,0.0086,3.471,41.72,0.8496
6000,-60,0,5487,199.2101,209.58,95.09,16.72,49,2.50,0.235,14.938,0.5345,23.350,329.46,58.5991
6000,-60,1,2246,204.7992,185.97,502.20,14.59,72,0.20,0.095,16.476,0.9454,31.753,238.40,67.4313
6000,-60,2,1,0.1259,0.00,1.07,27.35,0,7.90,0.392,10.816,0.9680,53.017,0.07,0.0275
6000,-50,0,7210,815.2692,752.07,92.31,29.52,225,11.82,2.259,10.290,0.4123,47.458,552.38,104.8004
6000,-50,1,1484,403.8154,203.24,437.35,14.87,198,10.47,1.969,11.078,0.7489,80.726,144.15,51.7933
6000,-50,2,4,1.2210,0.62,5.87,33.40,1,11.88,1.260,8.861,0.9190,71.919,0.86,0.3781
6000,-40,0,6223,649.4356,513.57,61.38,36.77,293,21.18,6.407,6.931,0.3576,110.558,308.72,63.7705
6000,-40,1,1852,459.2637,239.20,671.55,23.55,225,19.54,5.863,7.729,0.6366,177.626,121.71,48.1834
6000,-40,2,6,0.4308,0.23,7.05,25.04,1,23.71,6.665,4.992,0.9367,284.184,0.11,0.0817
6000,-30,0,4594,714.5311,446.59,96.77,36.50,297,27.87,10.310,5.216,0.4150,263.824,250.22,84.0601
6000,-30,1,3020,802.6830,438.99,1343.87,30.75,359,27.04,10.077,5.653,0.5825,355.857,185.05,82.8710
6000,-30,2,563,185.4294,122.21,798.54,34.90,76,28.72,10.911,5.053,0.7805,526.104,39.84,19.5860
