gx,gy,land,dry,temp,predicted,region
0,0,64,0.8793,-32.96,0.00236,0
1,0,64,0.9209,-30.27,8e-05,0
2,0,64,0.9224,-29.44,8e-05,0
3,0,64,0.9036,-29.54,8e-05,0
4,0,64,0.856,-31.05,0.00236,0
5,0,64,0.8567,-29.8,0.00236,0
6,0,64,0.8466,-29.7,0.00236,0
7,0,64,0.8078,-31.84,0.00236,0
8,0,64,0.827,-31.86,0.00236,0
9,0,64,0.8981,-28.32,0.00236,0
10,0,64,0.9257,-26.81,8e-05,0
11,0,64,0.9097,-29.29,8e-05,0
12,0,64,0.9279,-28.11,8e-05,0
13,0,16,0.9164,-20.93,0.0,0
15,0,31,0.8442,-22.47,0.0,0
16,0,35,0.8926,-23.84,0.00236,0
17,0,2,0.8998,-19.09,0.0,0
18,0,3,0.8148,-19.48,0.0,0
19,0,59,0.8524,-26.07,0.00236,0
20,0,48,0.8899,-25.48,0.00236,0
26,0,1,0.7689,-14.72,0.0,0
27,0,64,0.8434,-27.3,0.00236,0
28,0,64,0.8657,-30.99,0.00236,0
29,0,64,0.8714,-31.86,0.00236,0
30,0,64,0.8015,-34.38,0.00236,0
31,0,64,0.5839,-38.49,0.02325,0
32,0,64,0.4823,-38.89,0.03522,0
33,0,64,0.5616,-36.86,0.02325,0
34,0,64,0.5778,-35.97,0.02325,0
35,0,64,0.7009,-32.94,0.0093,0
36,0,64,0.794,-29.96,0.00545,0
37,0,58,0.8294,-26.8,0.00236,0
38,0,8,0.7852,-21.15,0.0,0
42,0,10,0.8187,-21.19,0.0,0
43,0,3,0.8101,-19.11,0.0,0
45,0,54,0.8515,-25.03,0.00236,0
46,0,64,0.8912,-27.72,0.00236,0
47,0,64,0.9242,-27.01,8e-05,0
48,0,64,0.9334,-26.92,8e-05,0
49,0,64,0.9201,-28.26,8e-05,0
50,0,45,0.9221,-24.67,8e-05,0
61,0,10,0.8264,-21.31,0.0,0
62,0,64,0.8471,-28.28,0.00236,0
63,0,64,0.8495,-33.07,0.00236,0
0,1,64,0.8731,-28.43,0.00236,0
1,1,64,0.8159,-29.89,0.00236,0
2,1,64,0.8287,-28.02,0.00236,0
3,1,47,0.8549,-23.61,0.00236,0
4,1,51,0.8346,-24.04,0.00236,0
5,1,57,0.8752,-24.52,0.00236,0
6,1,64,0.9032,-25.12,8e-05,0
7,1,64,0.8912,-28.4,0.00236,0
8,1,64,0.9016,-29.52,8e-05,0
9,1,64,0.9319,-27.58,8e-05,0
10,1,64,0.934,-27.11,8e-05,0
11,1,64,0.9186,-28.16,8e-05,0
12,1,63,0.9291,-25.11,8e-05,0
13,1,4,0.8863,-17.41,0.0,0
17,1,17,0.8115,-17.98,0.0,0
18,1,60,0.8599,-23.49,0.00236,0
19,1,64,0.8933,-24.88,0.00236,0
20,1,50,0.9148,-23.0,8e-05,0
21,1,3,0.8701,-18.09,0.0,0
25,1,6,0.8122,-19.39,0.0,0
26,1,36,0.8292,-22.58,0.00236,0
27,1,64,0.8382,-26.47,0.00236,0
28,1,64,0.8184,-28.56,0.00236,0
29,1,64,0.7689,-29.7,0.00545,0
30,1,64,0.6442,-32.28,0.01831,0
31,1,64,0.3969,-35.7,0.05643,0
32,1,64,0.3173,-36.67,0.05643,0
33,1,64,0.6207,-32.42,0.01831,0
34,1,64,0.7444,-30.0,0.0093,0
35,1,64,0.7656,-29.97,0.00545,0
36,1,63,0.8429,-26.82,0.00236,0
37,1,59,0.8831,-24.65,0.00236,0
38,1,23,0.8873,-21.87,0.0,0
40,1,10,0.8276,-20.16,0.0,0
41,1,59,0.8497,-24.29,0.00236,0
42,1,62,0.8741,-25.63,0.00236,0
43,1,31,0.8823,-22.54,0.0,0
44,1,4,0.8127,-18.51,0.0,0
45,1,46,0.8444,-23.0,0.00236,0
46,1,61,0.8737,-24.89,0.00236,0
47,1,64,0.8919,-26.41,0.00236,0
48,1,64,0.9106,-26.06,8e-05,0
49,1,56,0.9134,-25.34,8e-05,0
50,1,24,0.915,-22.55,0.0,0
61,1,18,0.8267,-20.85,0.0,0
62,1,64,0.8601,-25.91,0.00236,0
63,1,64,0.8714,-28.42,0.00236,0
0,2,64,0.7372,-26.84,0.0093,0
1,2,64,0.6854,-28.11,0.01417,0
2,2,64,0.7784,-25.11,0.00545,0
3,2,26,0.78,-20.16,0.0,0
5,2,3,0.8085,-17.36,0.0,0
6,2,22,0.8407,-18.48,0.0,0
7,2,64,0.8614,-24.36,0.00236,0
8,2,64,0.8845,-26.13,0.00236,0
9,2,64,0.9004,-25.77,8e-05,0
10,2,64,0.8776,-26.97,0.00236,0
11,2,64,0.857,-27.41,0.00236,0
12,2,64,0.8882,-24.48,0.00236,0
13,2,23,0.8561,-18.85,0.0,0
17,2,8,0.8044,-17.46,0.0,0
18,2,62,0.8341,-23.87,0.00236,0
19,2,64,0.8524,-25.61,0.00236,0
20,2,64,0.8602,-25.06,0.00236,0
21,2,47,0.8586,-21.93,0.00236,0
22,2,11,0.7867,-18.98,0.0,0
24,2,6,0.6572,-15.52,0.0,0
25,2,46,0.7777,-21.53,0.00545,0
26,2,64,0.7948,-24.23,0.00545,0
27,2,64,0.7659,-25.73,0.00545,0
28,2,64,0.7362,-26.92,0.0093,0
29,2,64,0.7125,-28.1,0.0093,0
30,2,64,0.6743,-29.8,0.01417,0
31,2,64,0.6214,-31.62,0.01831,0
32,2,64,0.6525,-31.48,0.01417,0
33,2,64,0.8197,-27.39,0.00236,0
34,2,62,0.8896,-23.45,0.00236,0
35,2,40,0.8818,-22.49,0.00236,0
36,2,16,0.8828,-21.33,0.0,0
37,2,2,0.8646,-16.75,0.0,0
38,2,11,0.8488,-17.89,0.0,0
39,2,34,0.8631,-20.61,0.00236,0
40,2,46,0.8669,-21.56,0.00236,0
41,2,64,0.8669,-25.22,0.00236,0
42,2,64,0.8869,-26.65,0.00236,0
43,2,49,0.9266,-23.65,8e-05,0
44,2,51,0.9011,-23.45,8e-05,0
45,2,64,0.9011,-24.56,8e-05,0
46,2,63,0.9164,-23.3,8e-05,0
47,2,64,0.9207,-24.1,8e-05,0
48,2,64,0.9328,-23.2,8e-05,0
49,2,23,0.9211,-20.36,0.0,0
60,2,16,0.808,-19.1,0.0,0
61,2,49,0.8193,-22.26,0.00236,0
62,2,64,0.8208,-24.57,0.00236,0
63,2,64,0.8017,-25.26,0.00236,0
0,3,64,0.6676,-26.84,0.01417,0
1,3,64,0.6818,-26.31,0.01417,0
2,3,64,0.7785,-22.63,0.00545,0
3,3,24,0.7327,-15.67,0.0,0
4,3,6,0.7229,-15.19,0.0,0
6,3,21,0.793,-18.18,0.0,0
7,3,64,0.8107,-22.82,0.00236,0
8,3,64,0.839,-23.11,0.00236,0
9,3,64,0.8388,-23.64,0.00236,0
10,3,64,0.7906,-25.55,0.00545,0
11,3,64,0.8126,-24.66,0.00236,0
12,3,64,0.8492,-23.14,0.00236,0
13,3,64,0.8734,-21.85,0.00236,0
14,3,31,0.8629,-18.17,0.0,0
15,3,7,0.8436,-16.32,0.0,0
16,3,7,0.7464,-15.97,0.0,0
17,3,50,0.7632,-21.46,0.00545,0
18,3,64,0.7224,-25.64,0.0093,0
19,3,64,0.6905,-27.15,0.01417,0
20,3,64,0.7002,-27.27,0.0093,0
21,3,64,0.7861,-24.99,0.00545,0
22,3,56,0.8226,-22.38,0.00236,0
23,3,54,0.8282,-20.84,0.00236,0
24,3,64,0.8189,-21.51,0.00236,0
25,3,64,0.7793,-24.11,0.00545,0
26,3,64,0.7645,-25.42,0.00545,0
