climate,size,row_matches_search,land_share,land_temp,rain_land,dryness,coolest,room,effective_0.025,effective_0.03,regions,regions_5pct,largest,dense_share,shares,masses,regions_sharing_a_mass,effective_masses,effective_0.035
c1288,512,1,0.212,3.73,693.1,0.431,-6.35,2125,7.497,7.526,11,6,0.293,0.531,0.293 0.220 0.150 0.065 0.059 0.054 0.048 0.040 0.028 0.026,5,8,3.255,7.527
c1251,512,1,0.319,8.15,496.7,0.458,-5.77,3382,5.004,5.22,9,5,0.483,0.569,0.483 0.136 0.107 0.106 0.054 0.042 0.040 0.019 0.014,2,9,1.597,5.225
c1225,512,1,0.422,21.22,3693.4,0.613,9.9,3680,3.66,5.034,8,4,0.472,0.494,0.472 0.168 0.136 0.059 0.050 0.048 0.040 0.028,2,7,1.213,4.7
c1151,512,1,0.46,-1.1,81.5,0.722,-12.35,1511,6.364,4.388,7,7,0.547,0.09,0.547 0.122 0.092 0.065 0.064 0.060 0.050,1,7,1.0,4.46
c1255,512,1,0.33,2.17,29.1,0.785,-13.24,734,3.677,3.7,4,4,0.431,0.055,0.431 0.193 0.190 0.186,2,3,1.633,2.77
c1269,512,1,0.28,2.2,105.7,0.647,-7.6,1568,3.737,3.632,5,4,0.419,0.276,0.419 0.361 0.097 0.088 0.035,2,4,1.165,3.612
c1072,512,1,0.327,30.86,1743.2,0.611,19.38,3083,3.508,3.374,8,3,0.594,0.671,0.594 0.242 0.059 0.029 0.028 0.026 0.012 0.010,6,4,3.222,6.021
c1044,512,1,0.247,21.78,144.7,0.791,-0.77,771,5.674,3.337,4,4,0.47,0.069,0.470 0.309 0.111 0.111,2,3,1.856,2.606
c1192,512,1,0.338,17.51,131.4,0.743,-9.44,1419,3.319,3.275,4,4,0.467,0.189,0.467 0.322 0.136 0.075,2,3,1.996,3.242
c1252,512,1,0.321,14.46,1129.0,0.634,-14.01,2037,1.806,3.253,7,3,0.643,0.324,0.643 0.167 0.079 0.037 0.030 0.022 0.022,1,7,1.0,3.268
c1276,512,1,0.333,2.64,207.9,0.439,-1.44,3245,2.022,3.105,6,3,0.606,0.53,0.606 0.240 0.050 0.050 0.041 0.013,2,5,1.073,3.112
c1267,512,1,0.269,-5.87,29.0,0.702,-26.77,979,3.083,3.04,5,3,0.588,0.189,0.588 0.263 0.056 0.050 0.045,2,5,1.366,3.044
c1059,512,1,0.455,21.45,257.5,0.511,-0.27,4255,1.791,2.394,7,2,0.765,0.491,0.765 0.118 0.041 0.039 0.018 0.009 0.008,1,7,1.0,2.265
c1165,512,1,0.244,-0.48,59.1,0.585,-12.75,1530,2.23,2.226,3,3,0.702,0.365,0.702 0.197 0.101,2,2,1.643,2.224
c1208,512,1,0.555,-4.21,127.9,0.48,-6.75,4614,2.17,2.209,5,2,0.782,0.503,0.782 0.108 0.047 0.033 0.029,1,5,1.0,2.202
c1049,512,1,0.277,0.76,26.2,0.765,-18.89,759,2.389,1.99,2,2,0.551,0.122,0.551 0.449,2,0,1.99,1.99
c1289,256,1,0.39,22.43,1987.3,0.619,10.87,786,2.269,1.985,2,2,0.561,0.437,0.561 0.439,1,2,1.0,1.98
c1150,256,1,0.369,13.13,220.4,0.773,-5.57,230,2.89,1.98,2,2,0.571,0.056,0.571 0.429,1,2,1.0,0.0
c1214,512,1,0.257,-6.03,42.4,0.568,-17.8,1703,2.165,1.97,2,2,0.586,0.374,0.586 0.414,2,0,1.97,1.94
c1053,512,1,0.659,25.59,233.2,0.582,20.76,6578,1.281,1.607,6,2,0.886,0.486,0.886 0.079 0.013 0.009 0.008 0.005,1,6,1.0,1.653
c1088,512,1,0.266,7.08,35.1,0.389,-0.03,2630,1.592,1.579,3,2,0.86,0.592,0.860 0.124 0.017,1,3,1.0,1.578
c1128,512,1,0.436,6.38,44.8,0.713,-19.52,1621,1.427,1.552,4,1,0.898,0.152,0.898 0.041 0.030 0.030,2,3,1.145,1.156
c1183,512,1,0.307,5.1,351.4,0.253,0.83,4139,1.526,1.522,3,2,0.872,0.779,0.872 0.117 0.011,2,2,1.063,1.522
c1221,512,1,0.409,13.4,768.8,0.739,5.91,2146,1.538,1.436,3,2,0.909,0.236,0.909 0.062 0.029,2,2,1.14,1.467
c1236,512,1,0.641,3.28,389.4,0.381,-1.23,7380,1.233,1.233,3,1,0.954,0.645,0.954 0.036 0.010,1,3,1.0,1.233
c1228,512,1,0.466,23.65,545.6,0.775,16.88,2442,1.062,1.19,2,1,0.958,0.212,0.958 0.042,1,2,1.0,1.0
c1223,512,1,0.408,15.41,2331.5,0.152,11.94,7254,1.074,1.074,2,1,0.986,0.94,0.986 0.014,1,2,1.0,1.074
c1009,512,1,0.595,4.91,290.7,0.241,2.32,8344,1.0,1.054,2,1,0.991,0.852,0.991 0.009,1,2,1.0,1.052
c1182,512,1,0.5,28.85,1927.6,0.59,16.74,4571,1.047,1.043,2,1,0.993,0.45,0.993 0.007,1,2,1.0,1.0
c1161,256,1,0.204,5.89,69.4,0.74,-5.01,214,1.478,1.0,1,1,1.0,0.182,1.000,1,0,1.0,1.0
c1017,256,1,0.23,7.2,102.3,0.837,-13.4,98,0.0,0.0,0,0,0.0,0.0,,0,0,0.0,0.0
c1173,512,1,0.675,30.81,489.9,0.924,15.0,551,0.0,0.0,0,0,0.0,0.0,,0,0,0.0,0.0
c1237,512,1,0.609,13.83,67.2,0.907,8.34,429,0.0,0.0,0,0,0.0,0.0,,0,0,0.0,0.0
c1280,512,1,0.572,26.53,461.2,0.874,14.46,1037,0.0,0.0,0,0,0.0,0.0,,0,0,0.0,0.0
